Time,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC,OzHarvest - Use It Up 50 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5972,0.332,0.6442,0.3795,0.5628,0.4711,0.5979,0.6268,0.6124,0.488,0.6673,0.5777
0.1,-0.5888,0.3371,0.6194,0.371,0.5563,0.4637,0.6007,0.6276,0.6142,0.4622,0.6428,0.5525
0.2,-0.5817,0.3426,0.5984,0.3612,0.5517,0.4565,0.6082,0.6317,0.6199,0.4395,0.6196,0.5296
0.3,-0.5749,0.3481,0.5812,0.3498,0.5484,0.4491,0.6206,0.6386,0.6296,0.4202,0.598,0.5091
0.4,-0.5679,0.3532,0.5675,0.3364,0.5458,0.4411,0.6372,0.6477,0.6425,0.4041,0.5781,0.4911
0.5,-0.5603,0.3579,0.5566,0.3214,0.5434,0.4324,0.6562,0.6576,0.6569,0.3909,0.5604,0.4756
0.6,-0.5514,0.3623,0.5476,0.306,0.5408,0.4234,0.6769,0.6666,0.6718,0.3802,0.5448,0.4625
0.7,-0.5398,0.3669,0.5396,0.2918,0.538,0.4149,0.6998,0.6738,0.6868,0.3719,0.5308,0.4514
0.8,-0.5238,0.3724,0.5321,0.2804,0.5353,0.4079,0.7259,0.6787,0.7023,0.3657,0.518,0.4418
0.9,-0.5021,0.3793,0.5248,0.2732,0.5331,0.4031,0.7558,0.6809,0.7184,0.3617,0.506,0.4339
1,-0.4739,0.3879,0.518,0.2708,0.5316,0.4012,0.789,0.68,0.7345,0.36,0.4947,0.4273
1.1,-0.4386,0.3981,0.5117,0.2737,0.5309,0.4023,0.8238,0.6753,0.7496,0.3604,0.4841,0.4223
1.2,-0.3958,0.4098,0.5063,0.2821,0.5308,0.4065,0.8585,0.6669,0.7627,0.3625,0.4743,0.4184
1.3,-0.3465,0.4228,0.502,0.296,0.5315,0.4137,0.8918,0.6555,0.7736,0.3662,0.4651,0.4157
1.4,-0.2922,0.4367,0.499,0.3147,0.533,0.4238,0.9225,0.6422,0.7824,0.3712,0.4567,0.414
1.5,-0.2361,0.451,0.4967,0.337,0.5351,0.4361,0.9495,0.627,0.7883,0.3769,0.4494,0.4132
1.6,-0.1816,0.4647,0.4942,0.3612,0.5374,0.4493,0.9716,0.6095,0.7906,0.3826,0.4432,0.4129
1.7,-0.1315,0.4769,0.4908,0.3859,0.5388,0.4623,0.988,0.5891,0.7885,0.3872,0.4378,0.4125
1.8,-0.0875,0.4872,0.486,0.4097,0.5384,0.4741,0.9981,0.5657,0.7819,0.3896,0.4327,0.4111
1.9,-0.0505,0.4952,0.4799,0.4317,0.5359,0.4838,1.0019,0.54,0.7709,0.3894,0.4275,0.4085
2,-0.0204,0.5013,0.4726,0.4509,0.5309,0.4909,0.9991,0.5128,0.7559,0.387,0.4223,0.4047
2.1,0.003,0.5054,0.4639,0.4668,0.5239,0.4953,0.9902,0.4848,0.7375,0.3828,0.4177,0.4003
2.2,0.0199,0.5078,0.4539,0.4791,0.5151,0.4971,0.9762,0.4568,0.7165,0.3773,0.414,0.3957
2.3,0.0303,0.5086,0.4433,0.4882,0.5051,0.4967,0.9583,0.43,0.6942,0.3708,0.411,0.3909
2.4,0.0342,0.5079,0.433,0.4943,0.4942,0.4943,0.9375,0.4058,0.6717,0.3637,0.4087,0.3862
2.5,0.0326,0.5062,0.4239,0.4976,0.4823,0.49,0.9146,0.3856,0.6501,0.3567,0.4072,0.3819
2.6,0.0276,0.504,0.4164,0.4977,0.4696,0.4837,0.8901,0.37,0.63,0.3506,0.4066,0.3786
2.7,0.0213,0.5016,0.4107,0.494,0.456,0.475,0.8643,0.3597,0.612,0.3456,0.4074,0.3765
2.8,0.0152,0.4991,0.407,0.4862,0.4417,0.464,0.8379,0.3549,0.5964,0.3422,0.4098,0.376
2.9,0.0104,0.4972,0.4056,0.4747,0.4273,0.451,0.8116,0.3555,0.5836,0.3406,0.4141,0.3773
3,0.0079,0.4966,0.4073,0.4604,0.4135,0.4369,0.786,0.3611,0.5736,0.3411,0.4204,0.3807
3.1,0.0091,0.4978,0.4125,0.4441,0.4006,0.4223,0.7615,0.3704,0.566,0.3438,0.4292,0.3865
3.2,0.0156,0.5008,0.4214,0.4267,0.3886,0.4076,0.7382,0.3822,0.5602,0.3488,0.4407,0.3947
3.3,0.0283,0.5051,0.4345,0.409,0.3772,0.3931,0.7166,0.3953,0.5559,0.3561,0.4548,0.4055
3.4,0.0474,0.5102,0.4518,0.392,0.3662,0.3791,0.6969,0.4087,0.5528,0.366,0.4716,0.4188
3.5,0.072,0.5158,0.4734,0.3764,0.3559,0.3661,0.6793,0.4222,0.5507,0.3787,0.491,0.4348
3.6,0.1013,0.5214,0.4989,0.3626,0.346,0.3543,0.6639,0.4349,0.5494,0.3945,0.5129,0.4537
3.7,0.1346,0.5267,0.5279,0.3509,0.3366,0.3438,0.6503,0.4462,0.5483,0.4134,0.5369,0.4751
