Time,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC,PayPal - TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0288,0.6444,0.5643,0.6044,0.5939,0.5991,0.5993,0.6054,0.6023,0.5687,0.5093,0.539
0.1,0.0317,0.6417,0.5636,0.596,0.5872,0.5916,0.5926,0.5958,0.5942,0.5647,0.5067,0.5357
0.2,0.0375,0.6375,0.563,0.587,0.5798,0.5834,0.5854,0.5865,0.5859,0.5598,0.5044,0.5321
0.3,0.0462,0.6323,0.5623,0.5779,0.5724,0.5751,0.5781,0.5781,0.5781,0.5545,0.5025,0.5285
0.4,0.0581,0.6266,0.5616,0.5689,0.5659,0.5674,0.5712,0.571,0.5711,0.5491,0.5011,0.5251
0.5,0.0726,0.6206,0.5612,0.5606,0.561,0.5608,0.5654,0.5653,0.5653,0.5442,0.5005,0.5223
0.6,0.0891,0.6144,0.561,0.5531,0.5577,0.5554,0.5609,0.5611,0.561,0.5399,0.5009,0.5204
0.7,0.1062,0.608,0.5609,0.5463,0.5557,0.551,0.5575,0.5581,0.5578,0.5364,0.5019,0.5192
0.8,0.1224,0.6009,0.5601,0.5397,0.5546,0.5471,0.5548,0.5556,0.5552,0.5337,0.5035,0.5186
0.9,0.1367,0.5931,0.5587,0.5328,0.5539,0.5434,0.5526,0.5534,0.553,0.5318,0.5052,0.5185
1,0.1483,0.5848,0.5564,0.5258,0.5535,0.5397,0.5508,0.5514,0.5511,0.5308,0.5071,0.5189
1.1,0.1573,0.5768,0.5536,0.519,0.5536,0.5363,0.5497,0.5501,0.5499,0.5309,0.5092,0.52
1.2,0.1633,0.5695,0.5507,0.5129,0.5541,0.5335,0.5495,0.5495,0.5495,0.5321,0.5116,0.5218
1.3,0.1662,0.563,0.5478,0.5075,0.5547,0.5311,0.55,0.5495,0.5497,0.534,0.5144,0.5242
1.4,0.1655,0.5569,0.5449,0.5023,0.5549,0.5286,0.5505,0.5495,0.55,0.5362,0.5171,0.5266
1.5,0.1612,0.5507,0.5417,0.4966,0.5543,0.5254,0.5506,0.549,0.5498,0.5382,0.5192,0.5287
1.6,0.1534,0.5439,0.5381,0.49,0.5524,0.5212,0.5498,0.5474,0.5486,0.5397,0.5206,0.5301
1.7,0.1425,0.5363,0.5339,0.4827,0.5489,0.5158,0.5483,0.5449,0.5466,0.5407,0.521,0.5308
1.8,0.1288,0.5279,0.5294,0.4749,0.5438,0.5094,0.5461,0.5414,0.5438,0.5411,0.5204,0.5307
1.9,0.1129,0.519,0.5244,0.4665,0.5371,0.5018,0.543,0.5368,0.5399,0.5408,0.5186,0.5297
2,0.0954,0.5097,0.5189,0.4576,0.5289,0.4933,0.5388,0.5308,0.5348,0.5396,0.5154,0.5275
2.1,0.0769,0.5003,0.5133,0.4485,0.5192,0.4838,0.5336,0.5232,0.5284,0.5373,0.511,0.5241
2.2,0.0587,0.4911,0.5076,0.4394,0.5083,0.4739,0.5276,0.5144,0.521,0.5341,0.5056,0.5199
2.3,0.0419,0.4822,0.5024,0.4308,0.4964,0.4636,0.5211,0.5048,0.5129,0.5304,0.4998,0.5151
2.4,0.0272,0.4739,0.4978,0.423,0.4838,0.4534,0.5144,0.4948,0.5046,0.5261,0.494,0.51
2.5,0.0151,0.4662,0.4939,0.416,0.4707,0.4434,0.5076,0.485,0.4963,0.5212,0.4886,0.5049
2.6,0.0057,0.4595,0.4907,0.4101,0.4575,0.4338,0.5008,0.4755,0.4882,0.516,0.4838,0.4999
2.7,-0.001,0.4547,0.4885,0.4057,0.4448,0.4253,0.4944,0.4669,0.4806,0.5106,0.4799,0.4952
2.8,-0.0053,0.4525,0.4877,0.4031,0.4336,0.4183,0.4886,0.4598,0.4742,0.5054,0.477,0.4912
2.9,-0.0076,0.4531,0.4884,0.4028,0.4244,0.4136,0.4836,0.4546,0.4691,0.5007,0.4755,0.4881
3,-0.008,0.4565,0.4909,0.4046,0.4178,0.4112,0.4794,0.4517,0.4656,0.4965,0.4753,0.4859
3.1,-0.0067,0.4626,0.4952,0.4086,0.414,0.4113,0.4762,0.4513,0.4637,0.493,0.4764,0.4847
3.2,-0.0035,0.4709,0.5014,0.4147,0.413,0.4138,0.474,0.4534,0.4637,0.4901,0.4789,0.4845
3.3,0.002,0.4814,0.5096,0.4228,0.4149,0.4188,0.473,0.4579,0.4654,0.488,0.4827,0.4854
3.4,0.0103,0.4938,0.5195,0.433,0.4196,0.4263,0.4731,0.4646,0.4688,0.4869,0.4875,0.4872
3.5,0.0215,0.5079,0.5307,0.4454,0.427,0.4362,0.4743,0.4732,0.4738,0.487,0.493,0.49
3.6,0.0351,0.5233,0.5428,0.46,0.437,0.4485,0.4768,0.4835,0.4801,0.4882,0.4989,0.4935
3.7,0.0506,0.54,0.555,0.4763,0.4495,0.4629,0.4805,0.4948,0.4877,0.4905,0.5051,0.4978
3.8,0.0674,0.5574,0.567,0.4941,0.4639,0.479,0.4853,0.5068,0.4961,0.4939,0.5112,0.5025
3.9,0.0848,0.5751,0.5784,0.5128,0.4796,0.4962,0.4906,0.5188,0.5047,0.4977,0.5171,0.5074
4,0.1019,0.5923,0.5885,0.5317,0.4958,0.5138,0.4958,0.5302,0.513,0.5015,0.5223,0.5119
4.1,0.1181,0.6088,0.5969,0.5503,0.5115,0.5309,0.5006,0.5401,0.5204,0.5045,0.5263,0.5154
