Time,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4262,1.2807,0.505,1.187,1.0653,1.1261,1.0143,0.6121,0.8132,0.6211,0.6967,0.6589
0.1,0.3921,1.2583,0.5297,1.1364,1.071,1.1037,1.0052,0.6114,0.8083,0.6066,0.7026,0.6546
0.2,0.3569,1.2324,0.5562,1.0772,1.0738,1.0755,0.9967,0.6128,0.8048,0.594,0.7108,0.6524
0.3,0.3214,1.2028,0.5836,1.0105,1.0738,1.0421,0.9884,0.6164,0.8024,0.5834,0.7205,0.652
0.4,0.2858,1.1698,0.6107,0.9373,1.0705,1.0039,0.9791,0.6214,0.8003,0.5749,0.7306,0.6527
0.5,0.2505,1.1342,0.6358,0.8596,1.0635,0.9615,0.9675,0.6267,0.7971,0.5681,0.7394,0.6538
0.6,0.2171,1.0976,0.6577,0.7809,1.0527,0.9168,0.9532,0.6311,0.7921,0.5634,0.7456,0.6545
0.7,0.1875,1.0611,0.6751,0.7053,1.0389,0.8721,0.9371,0.6342,0.7856,0.562,0.7488,0.6554
0.8,0.1625,1.025,0.6879,0.6369,1.023,0.8299,0.9205,0.6363,0.7784,0.5657,0.7498,0.6578
0.9,0.1408,0.9889,0.6957,0.5785,1.0062,0.7923,0.9039,0.638,0.7709,0.576,0.7494,0.6627
1,0.1203,0.9531,0.6987,0.5316,0.9893,0.7604,0.8867,0.6391,0.7629,0.5929,0.7485,0.6707
1.1,0.0999,0.9188,0.6971,0.4971,0.9725,0.7348,0.8683,0.6397,0.754,0.6156,0.7473,0.6815
1.2,0.0803,0.8874,0.6914,0.4749,0.9561,0.7155,0.8494,0.6401,0.7448,0.6423,0.7458,0.694
1.3,0.0628,0.8598,0.6815,0.4649,0.9406,0.7028,0.8314,0.6407,0.7361,0.671,0.7437,0.7074
1.4,0.0479,0.8367,0.6671,0.4663,0.9269,0.6966,0.8154,0.6414,0.7284,0.7003,0.741,0.7206
1.5,0.0345,0.8188,0.6476,0.4784,0.9156,0.697,0.8015,0.6418,0.7216,0.7287,0.7383,0.7335
1.6,0.0209,0.8064,0.6226,0.4999,0.9071,0.7035,0.789,0.6412,0.7151,0.7548,0.736,0.7454
1.7,0.0055,0.7991,0.592,0.5288,0.9018,0.7153,0.7771,0.6394,0.7083,0.7769,0.7344,0.7557
1.8,-0.0112,0.7962,0.5563,0.5625,0.8995,0.731,0.766,0.6362,0.7011,0.7941,0.7334,0.7638
1.9,-0.0276,0.797,0.5161,0.5985,0.9002,0.7493,0.7561,0.6318,0.6939,0.8058,0.7329,0.7694
2,-0.0418,0.8008,0.4722,0.6355,0.9029,0.7692,0.7475,0.6257,0.6866,0.8119,0.7324,0.7722
2.1,-0.0527,0.8072,0.4256,0.6724,0.9066,0.7895,0.7397,0.6172,0.6785,0.8126,0.7313,0.772
2.2,-0.0601,0.8159,0.378,0.7082,0.9103,0.8092,0.7324,0.6057,0.6691,0.8082,0.7296,0.7689
2.3,-0.0644,0.8259,0.3311,0.7413,0.913,0.8272,0.7253,0.5912,0.6583,0.7994,0.7272,0.7633
2.4,-0.0667,0.8357,0.2868,0.7698,0.9146,0.8422,0.7185,0.5741,0.6463,0.787,0.7241,0.7556
2.5,-0.0676,0.844,0.2467,0.7923,0.9147,0.8535,0.712,0.5548,0.6334,0.7721,0.7206,0.7463
2.6,-0.0679,0.8503,0.212,0.808,0.9129,0.8604,0.7058,0.5338,0.6198,0.7553,0.7168,0.7361
2.7,-0.0674,0.8552,0.1837,0.8169,0.9091,0.863,0.7,0.5114,0.6057,0.7373,0.7129,0.7251
2.8,-0.0661,0.8592,0.1621,0.8192,0.9033,0.8612,0.6948,0.4881,0.5915,0.7183,0.709,0.7136
2.9,-0.0633,0.8623,0.1479,0.8148,0.8956,0.8552,0.6905,0.4649,0.5777,0.6987,0.7051,0.7019
3,-0.0585,0.8644,0.1409,0.804,0.8859,0.8449,0.6869,0.4429,0.5649,0.6788,0.7017,0.6902
3.1,-0.0508,0.8654,0.1409,0.7879,0.8739,0.8309,0.6832,0.4231,0.5532,0.659,0.699,0.679
3.2,-0.0388,0.8654,0.1476,0.7683,0.8592,0.8137,0.6788,0.4067,0.5428,0.6401,0.6973,0.6687
3.3,-0.0218,0.8645,0.1611,0.7468,0.8417,0.7943,0.6742,0.3949,0.5345,0.6227,0.6968,0.6598
3.4,0.0001,0.8628,0.1816,0.7249,0.8222,0.7735,0.6703,0.3883,0.5293,0.6078,0.6978,0.6528
3.5,0.0259,0.8603,0.209,0.7038,0.8017,0.7528,0.6686,0.387,0.5278,0.5959,0.7005,0.6482
3.6,0.0551,0.857,0.2432,0.6847,0.7814,0.7331,0.6701,0.3909,0.5305,0.5874,0.7052,0.6463
3.7,0.0883,0.8531,0.2838,0.6684,0.7621,0.7153,0.6751,0.3997,0.5374,0.5825,0.7119,0.6472
3.8,0.1268,0.849,0.3299,0.6563,0.7447,0.7005,0.6834,0.4128,0.5481,0.582,0.7205,0.6513
3.9,0.1717,0.8452,0.3805,0.6503,0.7301,0.6902,0.6952,0.4295,0.5623,0.5869,0.7312,0.659
4,0.2227,0.8416,0.4346,0.6519,0.7189,0.6854,0.7109,0.4498,0.5803,0.5984,0.7445,0.6714
4.1,0.2784,0.8376,0.4913,0.6618,0.7114,0.6866,0.7307,0.4737,0.6022,0.617,0.761,0.689
4.2,0.3371,0.8327,0.5491,0.6796,0.7075,0.6935,0.7542,0.5012,0.6277,0.642,0.7809,0.7114
4.3,0.3971,0.827,0.6067,0.7043,0.707,0.7057,0.781,0.5321,0.6566,0.6714,0.8034,0.7374
4.4,0.4583,0.8211,0.6628,0.7348,0.7093,0.7221,0.8111,0.566,0.6885,0.7033,0.8277,0.7655
4.5,0.52,0.8154,0.7166,0.7699,0.7138,0.7419,0.8445,0.6019,0.7232,0.7356,0.853,0.7943
4.6,0.5804,0.8102,0.7673,0.808,0.7205,0.7642,0.8815,0.639,0.7603,0.7669,0.8783,0.8226
4.7,0.6362,0.8057,0.8139,0.8467,0.7297,0.7882,0.9216,0.6761,0.7988,0.7956,0.9026,0.8491
