Time,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.148,0.6501,0.5189,0.5777,0.7973,0.6875,0.5479,0.5501,0.549,0.6612,0.6684,0.6648
0.1,-0.1861,0.673,0.5147,0.5659,0.8081,0.687,0.5551,0.5681,0.5616,0.6727,0.6677,0.6702
0.2,-0.2251,0.6945,0.5074,0.5528,0.8154,0.6841,0.5596,0.5861,0.5729,0.6829,0.6661,0.6745
0.3,-0.2645,0.7147,0.4968,0.5394,0.8199,0.6797,0.5618,0.6034,0.5826,0.6916,0.6634,0.6775
0.4,-0.3026,0.7333,0.483,0.5273,0.8222,0.6747,0.5622,0.6198,0.591,0.6988,0.6593,0.6791
0.5,-0.3373,0.7491,0.4667,0.5173,0.822,0.6697,0.561,0.6345,0.5978,0.7044,0.6538,0.6791
0.6,-0.3671,0.7608,0.4483,0.5097,0.8191,0.6644,0.5585,0.6467,0.6026,0.7082,0.6468,0.6775
0.7,-0.392,0.7677,0.4286,0.5045,0.8132,0.6589,0.5549,0.6559,0.6054,0.7099,0.6384,0.6742
0.8,-0.4126,0.7709,0.4084,0.5015,0.8048,0.6532,0.5507,0.6617,0.6062,0.7093,0.6287,0.669
0.9,-0.4293,0.7719,0.3885,0.5007,0.7944,0.6476,0.5463,0.6643,0.6053,0.7061,0.6178,0.6619
1,-0.442,0.7719,0.3696,0.502,0.7824,0.6422,0.5424,0.6636,0.603,0.7003,0.6059,0.6531
1.1,-0.4501,0.7713,0.352,0.5048,0.7684,0.6366,0.5391,0.6599,0.5995,0.6919,0.5936,0.6428
1.2,-0.4534,0.7699,0.3356,0.5082,0.7522,0.6302,0.5365,0.6531,0.5948,0.6811,0.5812,0.6311
1.3,-0.4522,0.7676,0.3198,0.5118,0.7339,0.6229,0.5348,0.6435,0.5892,0.6681,0.5691,0.6186
1.4,-0.4468,0.7653,0.3044,0.5159,0.7147,0.6153,0.5344,0.6318,0.5831,0.6535,0.5573,0.6054
1.5,-0.4372,0.7639,0.2896,0.5211,0.6961,0.6086,0.5359,0.6188,0.5773,0.6378,0.5461,0.592
1.6,-0.4232,0.7638,0.2759,0.5276,0.6795,0.6036,0.5401,0.6057,0.5729,0.6218,0.5357,0.5788
1.7,-0.4046,0.7647,0.264,0.5355,0.6656,0.6005,0.5479,0.5937,0.5708,0.6064,0.5264,0.5664
1.8,-0.3819,0.7664,0.2543,0.545,0.654,0.5995,0.5594,0.5837,0.5715,0.5925,0.5188,0.5557
1.9,-0.3549,0.7688,0.2474,0.5562,0.6445,0.6003,0.5745,0.576,0.5753,0.5809,0.5137,0.5473
2,-0.323,0.7724,0.2436,0.5692,0.6372,0.6032,0.593,0.5708,0.5819,0.5718,0.512,0.5419
2.1,-0.2858,0.778,0.2443,0.584,0.633,0.6085,0.6139,0.5678,0.5909,0.5657,0.5143,0.54
2.2,-0.2436,0.7857,0.2501,0.6001,0.6322,0.6162,0.6364,0.5669,0.6017,0.5634,0.5212,0.5423
2.3,-0.1976,0.7948,0.2615,0.6171,0.6349,0.626,0.6597,0.5679,0.6138,0.5655,0.533,0.5492
2.4,-0.1493,0.8036,0.2786,0.6344,0.6404,0.6374,0.6835,0.5707,0.6271,0.5732,0.5502,0.5617
2.5,-0.0998,0.8104,0.3014,0.6514,0.6474,0.6494,0.7074,0.5755,0.6415,0.5871,0.5728,0.5799
2.6,-0.0507,0.8138,0.329,0.6672,0.6544,0.6608,0.7306,0.5816,0.6561,0.6072,0.6,0.6036
2.7,-0.0039,0.813,0.3601,0.6803,0.6604,0.6703,0.7517,0.5884,0.6701,0.6329,0.63,0.6314
2.8,0.038,0.8077,0.3928,0.69,0.6641,0.6771,0.7694,0.5946,0.682,0.6624,0.6606,0.6615
2.9,0.0727,0.7988,0.4253,0.6963,0.665,0.6807,0.7824,0.5993,0.6908,0.6937,0.6895,0.6916
