Time,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC,Purina - Fancy Feast Cat Food TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5006,0.9248,0.4802,0.6562,0.6913,0.6738,0.6937,0.5287,0.6112,0.5766,0.5019,0.5392
0.1,-0.479,0.9232,0.4721,0.6309,0.6773,0.6541,0.6876,0.5143,0.6009,0.5732,0.5054,0.5393
0.2,-0.4481,0.9176,0.463,0.6085,0.6639,0.6362,0.6819,0.4981,0.59,0.5701,0.507,0.5386
0.3,-0.41,0.9087,0.4542,0.5894,0.6521,0.6207,0.677,0.481,0.579,0.5671,0.507,0.537
0.4,-0.3669,0.8971,0.4467,0.5734,0.6432,0.6083,0.6732,0.4636,0.5684,0.5638,0.5052,0.5345
0.5,-0.3205,0.8834,0.4403,0.5604,0.6381,0.5992,0.6707,0.4465,0.5586,0.5601,0.5013,0.5307
0.6,-0.2727,0.8681,0.4349,0.5502,0.6367,0.5935,0.6695,0.4303,0.5499,0.5564,0.4952,0.5258
0.7,-0.2255,0.8513,0.431,0.5429,0.6383,0.5906,0.6697,0.4162,0.5429,0.5532,0.4872,0.5202
0.8,-0.1809,0.833,0.4299,0.5384,0.6421,0.5903,0.6714,0.4055,0.5385,0.5516,0.4787,0.5151
0.9,-0.1406,0.8133,0.4328,0.5367,0.6472,0.5919,0.6753,0.3997,0.5375,0.5523,0.4713,0.5118
1,-0.1049,0.7925,0.4404,0.5371,0.6532,0.5951,0.6813,0.3991,0.5402,0.5558,0.4664,0.5111
1.1,-0.0737,0.7709,0.4523,0.5392,0.6593,0.5993,0.6896,0.4034,0.5465,0.562,0.4641,0.5131
1.2,-0.0459,0.7491,0.4684,0.543,0.665,0.604,0.6997,0.4115,0.5556,0.571,0.4645,0.5177
1.3,-0.0213,0.728,0.4887,0.5486,0.6702,0.6094,0.7113,0.4227,0.567,0.5828,0.4675,0.5252
1.4,0.0001,0.7087,0.5131,0.5565,0.675,0.6158,0.7239,0.4371,0.5805,0.5981,0.4732,0.5357
1.5,0.0181,0.6922,0.541,0.5669,0.6795,0.6232,0.7369,0.4541,0.5955,0.6168,0.4812,0.549
1.6,0.0331,0.6793,0.571,0.5795,0.6838,0.6317,0.7494,0.4728,0.6111,0.6381,0.4904,0.5643
1.7,0.0464,0.6705,0.6011,0.594,0.6881,0.641,0.7605,0.4918,0.6262,0.6608,0.4999,0.5804
1.8,0.0593,0.6659,0.6296,0.6103,0.6926,0.6514,0.769,0.5098,0.6394,0.6837,0.5089,0.5963
1.9,0.0728,0.6651,0.6555,0.6285,0.6976,0.6631,0.7743,0.5256,0.65,0.7057,0.5169,0.6113
2,0.0875,0.6678,0.6778,0.6483,0.7031,0.6757,0.7758,0.5387,0.6573,0.726,0.5234,0.6247
2.1,0.1032,0.6732,0.6953,0.6689,0.7084,0.6887,0.7736,0.5484,0.661,0.7436,0.5277,0.6357
2.2,0.1198,0.6808,0.7071,0.689,0.7126,0.7008,0.7676,0.5545,0.661,0.7582,0.5297,0.644
2.3,0.1372,0.6905,0.7131,0.7073,0.7149,0.7111,0.7582,0.5568,0.6575,0.7696,0.5295,0.6496
2.4,0.1546,0.7019,0.7135,0.7231,0.7151,0.7191,0.7457,0.5557,0.6507,0.7779,0.5273,0.6526
2.5,0.1711,0.7147,0.7088,0.736,0.713,0.7245,0.7305,0.5515,0.641,0.7831,0.5233,0.6532
2.6,0.1859,0.7279,0.6999,0.7459,0.7085,0.7272,0.7133,0.5445,0.6289,0.7853,0.5177,0.6515
2.7,0.1977,0.7396,0.6877,0.7521,0.7012,0.7266,0.6946,0.5354,0.615,0.7846,0.5107,0.6477
2.8,0.2057,0.7476,0.673,0.7535,0.6908,0.7222,0.6749,0.5243,0.5996,0.7812,0.5026,0.6419
2.9,0.2097,0.75,0.6559,0.7489,0.6771,0.713,0.6537,0.5112,0.5825,0.7746,0.4938,0.6342
3,0.2098,0.7458,0.6364,0.7373,0.6593,0.6983,0.6311,0.4961,0.5636,0.7647,0.4844,0.6245
3.1,0.2065,0.7353,0.6148,0.719,0.6368,0.6779,0.6071,0.4791,0.5431,0.7518,0.4746,0.6132
3.2,0.2001,0.7192,0.5918,0.6949,0.6097,0.6523,0.5826,0.4609,0.5217,0.7366,0.4647,0.6006
3.3,0.1914,0.698,0.5681,0.6661,0.578,0.6221,0.5581,0.4423,0.5002,0.7195,0.4551,0.5873
3.4,0.1819,0.6723,0.5444,0.6333,0.5425,0.5879,0.5338,0.4241,0.4789,0.7005,0.4464,0.5735
3.5,0.1738,0.6425,0.5215,0.5973,0.5034,0.5504,0.5099,0.4071,0.4585,0.68,0.439,0.5595
3.6,0.1683,0.6097,0.5,0.5598,0.461,0.5104,0.487,0.3923,0.4396,0.6586,0.4333,0.546
3.7,0.1658,0.5752,0.4803,0.5225,0.416,0.4693,0.4656,0.3807,0.4231,0.637,0.4295,0.5333
3.8,0.1656,0.5406,0.4627,0.4874,0.3702,0.4288,0.4465,0.3732,0.4098,0.6162,0.4279,0.522
3.9,0.1666,0.507,0.4476,0.456,0.3254,0.3907,0.43,0.3706,0.4003,0.5966,0.4287,0.5126
4,0.1682,0.4749,0.4352,0.4287,0.2834,0.356,0.417,0.3732,0.3951,0.5784,0.4324,0.5054
4.1,0.1706,0.4448,0.4263,0.4056,0.2453,0.3254,0.4084,0.381,0.3947,0.5617,0.4394,0.5005
4.2,0.1749,0.417,0.4209,0.3866,0.2119,0.2993,0.4051,0.3938,0.3995,0.5468,0.4496,0.4982
4.3,0.1819,0.3915,0.4185,0.3716,0.1832,0.2774,0.4074,0.4108,0.4091,0.5342,0.4627,0.4985
4.4,0.1911,0.3683,0.4186,0.3598,0.1594,0.2596,0.4147,0.4306,0.4226,0.5241,0.4779,0.501
4.5,0.2023,0.3471,0.4207,0.3506,0.1406,0.2456,0.4263,0.4516,0.4389,0.517,0.4943,0.5056
4.6,0.2143,0.3283,0.4249,0.3436,0.1274,0.2355,0.4416,0.4728,0.4572,0.5131,0.5116,0.5123
4.7,0.2259,0.3127,0.4311,0.3389,0.121,0.2299,0.4602,0.4936,0.4769,0.5127,0.5295,0.5211
4.8,0.2359,0.3009,0.4387,0.3359,0.122,0.2289,0.4813,0.5131,0.4972,0.5158,0.5477,0.5318
4.9,0.2435,0.2933,0.447,0.3342,0.1307,0.2324,0.5037,0.5307,0.5172,0.5219,0.5658,0.5438
5,0.249,0.2898,0.4551,0.3332,0.1468,0.24,0.526,0.5457,0.5359,0.5304,0.5832,0.5568
5.1,0.253,0.29,0.4624,0.3332,0.1699,0.2515,0.5478,0.558,0.5529,0.5414,0.5998,0.5706
5.2,0.2562,0.2934,0.4691,0.3347,0.1991,0.2669,0.5695,0.568,0.5687,0.5556,0.6158,0.5857
5.3,0.2593,0.2999,0.4754,0.3384,0.2335,0.2859,0.5915,0.576,0.5837,0.5733,0.6314,0.6023
5.4,0.2616,0.3094,0.4809,0.3447,0.2719,0.3083,0.6139,0.5823,0.5981,0.5943,0.6466,0.6204
5.5,0.262,0.3224,0.4854,0.3537,0.313,0.3334,0.6364,0.5871,0.6117,0.6181,0.6613,0.6397
5.6,0.2592,0.3393,0.4892,0.3653,0.3553,0.3603,0.6582,0.5907,0.6245,0.6439,0.6755,0.6597
5.7,0.2523,0.3602,0.4935,0.3792,0.3977,0.3884,0.6786,0.5932,0.6359,0.6704,0.6892,0.6798
5.8,0.2408,0.3849,0.4991,0.3955,0.4391,0.4173,0.6967,0.5945,0.6456,0.6965,0.7022,0.6994
5.9,0.2256,0.4126,0.5062,0.414,0.4797,0.4468,0.7116,0.5946,0.6531,0.7209,0.7145,0.7177
6,0.2081,0.4423,0.5139,0.4347,0.5189,0.4768,0.7227,0.5936,0.6581,0.7427,0.7258,0.7342
6.1,0.1892,0.4731,0.5214,0.4574,0.5559,0.5066,0.73,0.5918,0.6609,0.7608,0.7355,0.7482
6.2,0.17,0.5035,0.5276,0.4815,0.5888,0.5351,0.7336,0.5893,0.6615,0.7744,0.7431,0.7588
6.3,0.1514,0.5322,0.5317,0.5063,0.6162,0.5612,0.7338,0.586,0.6599,0.7827,0.748,0.7653
6.4,0.1333,0.5591,0.5337,0.5311,0.638,0.5846,0.7321,0.582,0.6571,0.7856,0.7499,0.7677
6.5,0.1154,0.5845,0.5343,0.5561,0.656,0.606,0.7302,0.5779,0.6541,0.7839,0.7491,0.7665
6.6,0.0977,0.6086,0.5348,0.5811,0.6716,0.6263,0.7292,0.5746,0.6519,0.7782,0.7462,0.7622
6.7,0.0803,0.6306,0.536,0.6052,0.6851,0.6452,0.7295,0.5721,0.6508,0.7689,0.7415,0.7552
6.8,0.064,0.6497,0.5381,0.6269,0.696,0.6615,0.7306,0.5701,0.6504,0.7561,0.7352,0.7456
6.9,0.0491,0.6649,0.5409,0.6445,0.7033,0.6739,0.732,0.5683,0.6501,0.7402,0.7273,0.7337
7,0.035,0.6756,0.5442,0.657,0.7065,0.6818,0.7328,0.5664,0.6496,0.7218,0.7182,0.72
7.1,0.021,0.6819,0.5479,0.6643,0.7061,0.6852,0.7328,0.5644,0.6486,0.7019,0.7084,0.7052
7.2,0.0067,0.6839,0.5523,0.6664,0.7028,0.6846,0.7321,0.5624,0.6473,0.6816,0.6986,0.6901
7.3,-0.0077,0.6821,0.5576,0.6638,0.6972,0.6805,0.731,0.5605,0.6458,0.6619,0.6892,0.6755
7.4,-0.0216,0.6771,0.5639,0.657,0.6899,0.6734,0.73,0.5584,0.6442,0.6437,0.6803,0.662
7.5,-0.0345,0.6699,0.571,0.6469,0.6813,0.6641,0.7289,0.5565,0.6427,0.6284,0.6722,0.6503
7.6,-0.0465,0.6613,0.5786,0.6345,0.6718,0.6532,0.7275,0.5552,0.6413,0.6168,0.6651,0.6409
7.7,-0.0582,0.6518,0.5867,0.6203,0.662,0.6411,0.725,0.5549,0.6399,0.6094,0.6591,0.6343
7.8,-0.0696,0.642,0.5956,0.6049,0.6519,0.6284,0.7213,0.5556,0.6384,0.606,0.6543,0.6302
7.9,-0.0799,0.6326,0.6051,0.5893,0.6418,0.6155,0.7167,0.5572,0.637,0.6059,0.6508,0.6283
8,-0.0881,0.6243,0.6149,0.5748,0.6317,0.6032,0.7117,0.56,0.6358,0.6086,0.6483,0.6284
8.1,-0.0939,0.6177,0.6241,0.5628,0.6215,0.5921,0.7064,0.5641,0.6353,0.6137,0.6467,0.6302
8.2,-0.0979,0.6131,0.6326,0.5541,0.6114,0.5827,0.7007,0.5705,0.6356,0.6212,0.6461,0.6337
8.3,-0.1018,0.6107,0.6405,0.5494,0.602,0.5757,0.6948,0.5795,0.6372,0.6308,0.6462,0.6385
8.4,-0.1067,0.6106,0.6482,0.5498,0.5942,0.572,0.6893,0.5913,0.6403,0.6425,0.6468,0.6446
8.5,-0.1126,0.6128,0.6559,0.5557,0.5886,0.5722,0.6846,0.6048,0.6447,0.656,0.6472,0.6516
8.6,-0.119,0.6172,0.6632,0.5671,0.5852,0.5762,0.681,0.6191,0.65,0.6706,0.6471,0.6589
8.7,-0.1253,0.6233,0.6691,0.5833,0.5833,0.5833,0.6784,0.633,0.6557,0.6855,0.6459,0.6657
8.8,-0.1315,0.6306,0.673,0.6034,0.582,0.5927,0.6766,0.6456,0.6611,0.6995,0.6432,0.6714
8.9,-0.1371,0.6388,0.6746,0.6264,0.5806,0.6035,0.6759,0.6562,0.6661,0.7122,0.6392,0.6757
9,-0.1417,0.6479,0.6746,0.6513,0.5789,0.6151,0.6766,0.6643,0.6704,0.7233,0.634,0.6787
9.1,-0.1444,0.6576,0.6731,0.6773,0.5771,0.6272,0.6784,0.6694,0.6739,0.7328,0.6277,0.6803
9.2,-0.1451,0.6672,0.6704,0.7028,0.5758,0.6393,0.6804,0.671,0.6757,0.7408,0.62,0.6804
9.3,-0.1439,0.6756,0.6663,0.7261,0.5748,0.6504,0.6816,0.6688,0.6752,0.747,0.6108,0.6789
9.4,-0.1418,0.6825,0.6606,0.7457,0.5741,0.6599,0.6817,0.6631,0.6724,0.7511,0.6005,0.6758
9.5,-0.1391,0.6882,0.6542,0.7608,0.5735,0.6671,0.6806,0.6539,0.6673,0.7532,0.5895,0.6713
9.6,-0.1349,0.693,0.6482,0.7712,0.5736,0.6724,0.6786,0.6419,0.6602,0.7537,0.5789,0.6663
9.7,-0.1272,0.6976,0.6437,0.7771,0.5754,0.6763,0.6759,0.6278,0.6518,0.7534,0.5698,0.6616
9.8,-0.1142,0.7024,0.6419,0.7791,0.5798,0.6794,0.6727,0.6128,0.6427,0.7528,0.5631,0.658
9.9,-0.0952,0.7076,0.6429,0.7777,0.5867,0.6822,0.669,0.5981,0.6336,0.7522,0.5593,0.6558
10,-0.071,0.7129,0.6465,0.7728,0.5955,0.6842,0.6649,0.5843,0.6246,0.7511,0.5586,0.6548
10.1,-0.0428,0.718,0.6524,0.7646,0.6054,0.685,0.6603,0.5716,0.6159,0.7486,0.561,0.6548
10.2,-0.0119,0.7225,0.6597,0.7531,0.6159,0.6845,0.6551,0.5598,0.6075,0.7441,0.566,0.655
10.3,0.0205,0.7259,0.6673,0.7385,0.6268,0.6827,0.6493,0.5489,0.5991,0.7373,0.5731,0.6552
10.4,0.0534,0.7278,0.6745,0.7212,0.6382,0.6797,0.6428,0.539,0.5909,0.7283,0.5815,0.6549
10.5,0.0861,0.7282,0.6808,0.7016,0.6503,0.676,0.6363,0.5306,0.5835,0.7175,0.5908,0.6541
10.6,0.118,0.7275,0.6863,0.6808,0.6634,0.6721,0.6305,0.5242,0.5773,0.7053,0.6004,0.6529
10.7,0.1487,0.7262,0.6911,0.6594,0.6777,0.6686,0.6256,0.5199,0.5727,0.6922,0.6103,0.6512
10.8,0.1773,0.7241,0.6949,0.6375,0.6932,0.6654,0.6213,0.5173,0.5693,0.6782,0.6199,0.649
10.9,0.203,0.7205,0.6974,0.6148,0.7087,0.6618,0.6171,0.5162,0.5666,0.663,0.6287,0.6458
11,0.2246,0.7137,0.698,0.5906,0.7225,0.6566,0.6123,0.5161,0.5642,0.6461,0.6359,0.641
