Time,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2,Qantas - More in every Qantas point 30 TVC Viewing 2
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5698,0.6101,0.8692,0.7658,0.6256,0.6957,0.4896,0.7175,0.6035,0.708,0.7217,0.7149
0.1,-0.6889,0.6199,0.8636,0.7657,0.6454,0.7056,0.4802,0.7206,0.6004,0.6903,0.7192,0.7048
0.2,-0.7935,0.6268,0.8524,0.7666,0.6613,0.714,0.4799,0.7229,0.6014,0.6733,0.7156,0.6944
0.3,-0.8811,0.6312,0.837,0.768,0.6741,0.7211,0.4893,0.725,0.6071,0.6589,0.7113,0.6851
0.4,-0.9502,0.6341,0.8178,0.7695,0.6858,0.7277,0.508,0.7267,0.6174,0.6489,0.7069,0.6779
0.5,-0.9993,0.6365,0.7942,0.7709,0.6978,0.7343,0.5362,0.7276,0.6319,0.6444,0.7024,0.6734
0.6,-1.0271,0.6389,0.7658,0.7721,0.7103,0.7412,0.5732,0.7276,0.6504,0.6453,0.6977,0.6715
0.7,-1.0335,0.6423,0.7331,0.7736,0.7226,0.7481,0.6178,0.7274,0.6726,0.6505,0.6922,0.6714
0.8,-1.02,0.6475,0.6983,0.7758,0.7342,0.755,0.6674,0.7279,0.6976,0.6584,0.6855,0.672
0.9,-0.9891,0.6548,0.6635,0.7788,0.7449,0.7618,0.7189,0.7293,0.7241,0.6683,0.6775,0.6729
1,-0.9434,0.6639,0.6302,0.782,0.7539,0.7679,0.7697,0.7311,0.7504,0.6803,0.6686,0.6745
1.1,-0.8842,0.6739,0.5994,0.7845,0.7604,0.7725,0.8183,0.7326,0.7754,0.6954,0.6595,0.6774
1.2,-0.8137,0.6841,0.572,0.7856,0.7642,0.7749,0.8639,0.7335,0.7987,0.7137,0.6511,0.6824
1.3,-0.7358,0.6948,0.5492,0.7856,0.7658,0.7757,0.9057,0.7339,0.8198,0.7345,0.6442,0.6893
1.4,-0.6561,0.7069,0.5324,0.7855,0.7672,0.7764,0.9425,0.7342,0.8384,0.7562,0.6393,0.6978
1.5,-0.5801,0.7207,0.5226,0.7856,0.7698,0.7777,0.9735,0.7347,0.8541,0.7774,0.637,0.7072
1.6,-0.5117,0.7354,0.5202,0.7852,0.7743,0.7798,0.9988,0.7357,0.8672,0.797,0.6377,0.7173
1.7,-0.4522,0.75,0.5246,0.784,0.7801,0.782,1.0194,0.737,0.8782,0.8144,0.6417,0.728
1.8,-0.4019,0.7638,0.5353,0.7817,0.7863,0.784,1.036,0.7386,0.8873,0.8287,0.6489,0.7388
1.9,-0.3611,0.777,0.551,0.7787,0.7932,0.786,1.0479,0.7404,0.8942,0.8392,0.6586,0.7489
2,-0.3297,0.7901,0.57,0.776,0.8018,0.7889,1.0541,0.7421,0.8981,0.8454,0.6701,0.7577
2.1,-0.3076,0.8039,0.5904,0.7741,0.8127,0.7934,1.0541,0.7429,0.8985,0.8474,0.6828,0.7651
2.2,-0.2939,0.8187,0.6099,0.773,0.8251,0.7991,1.0483,0.742,0.8952,0.8453,0.696,0.7707
2.3,-0.2874,0.8348,0.6267,0.7724,0.8378,0.8051,1.0377,0.7393,0.8885,0.8395,0.7089,0.7742
2.4,-0.2862,0.8522,0.6401,0.7719,0.8497,0.8108,1.0232,0.7353,0.8792,0.8306,0.7208,0.7757
2.5,-0.2881,0.8707,0.6498,0.7715,0.8604,0.816,1.0055,0.7302,0.8679,0.8194,0.7316,0.7755
2.6,-0.2897,0.8898,0.6551,0.7715,0.8697,0.8206,0.9859,0.7233,0.8546,0.8068,0.7407,0.7737
2.7,-0.2868,0.9081,0.6549,0.7722,0.8769,0.8246,0.9657,0.7135,0.8396,0.7936,0.7472,0.7704
2.8,-0.2761,0.9245,0.6484,0.773,0.8815,0.8273,0.9462,0.7,0.8231,0.7804,0.7501,0.7653
2.9,-0.2567,0.9383,0.636,0.7733,0.8828,0.8281,0.9285,0.6832,0.8058,0.7675,0.7489,0.7582
3,-0.2297,0.9491,0.619,0.772,0.8812,0.8266,0.9133,0.6645,0.7889,0.7551,0.7437,0.7494
3.1,-0.1968,0.9561,0.5992,0.7682,0.8768,0.8225,0.9013,0.6459,0.7736,0.7437,0.7359,0.7398
3.2,-0.1597,0.9586,0.5784,0.7617,0.87,0.8159,0.8932,0.6288,0.761,0.7342,0.727,0.7306
3.3,-0.1193,0.9556,0.5581,0.753,0.8606,0.8068,0.8892,0.614,0.7516,0.7272,0.7181,0.7226
3.4,-0.0764,0.9467,0.5398,0.7428,0.8482,0.7955,0.8884,0.6015,0.745,0.7227,0.7094,0.7161
3.5,-0.0322,0.9323,0.5242,0.7318,0.8333,0.7826,0.8894,0.5914,0.7404,0.7208,0.7008,0.7108
3.6,0.0106,0.9134,0.5115,0.7206,0.8176,0.7691,0.8908,0.5834,0.7371,0.7216,0.6921,0.7068
3.7,0.0489,0.8911,0.5012,0.7095,0.8022,0.7558,0.8917,0.5769,0.7343,0.7246,0.6835,0.704
3.8,0.0806,0.8667,0.4931,0.6993,0.7872,0.7433,0.8916,0.5719,0.7317,0.7288,0.6748,0.7018
3.9,0.1054,0.8413,0.4872,0.6904,0.7723,0.7313,0.89,0.5685,0.7292,0.7329,0.666,0.6995
