Time,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC,Qantas Feels Like Home 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3585,0.3227,0.1016,0.2549,0.2489,0.2519,0.3513,0.368,0.3596,0.4252,0.3314,0.3783
0.1,0.3986,0.3216,0.0846,0.2612,0.2394,0.2503,0.3669,0.3655,0.3662,0.417,0.3348,0.3759
0.2,0.4351,0.3232,0.0687,0.2693,0.2336,0.2514,0.3807,0.3629,0.3718,0.4072,0.3378,0.3725
0.3,0.4656,0.3271,0.0542,0.2789,0.2316,0.2553,0.392,0.3603,0.3762,0.3953,0.3396,0.3674
0.4,0.4879,0.3326,0.0412,0.2899,0.2338,0.2619,0.4003,0.3581,0.3792,0.381,0.3395,0.3603
0.5,0.5002,0.3398,0.0298,0.3023,0.2401,0.2712,0.4049,0.3565,0.3807,0.3641,0.3369,0.3505
0.6,0.5014,0.3485,0.0202,0.3155,0.2502,0.2828,0.4055,0.3552,0.3804,0.345,0.3314,0.3382
0.7,0.4916,0.3583,0.0131,0.3289,0.2634,0.2961,0.4017,0.3539,0.3778,0.3244,0.3233,0.3238
0.8,0.4698,0.3697,0.009,0.3424,0.2793,0.3108,0.3935,0.3522,0.3728,0.3029,0.3131,0.308
0.9,0.435,0.3837,0.0082,0.3566,0.2977,0.3272,0.3813,0.3504,0.3658,0.2816,0.3013,0.2915
1,0.387,0.4021,0.0114,0.3725,0.3191,0.3458,0.366,0.3495,0.3577,0.2614,0.2885,0.2749
1.1,0.3277,0.4254,0.019,0.3903,0.3431,0.3667,0.3479,0.3499,0.3489,0.2427,0.2751,0.2589
1.2,0.26,0.4532,0.032,0.4093,0.369,0.3891,0.327,0.3518,0.3394,0.2257,0.2618,0.2438
1.3,0.1865,0.4836,0.0513,0.4285,0.3954,0.4119,0.3031,0.355,0.329,0.2106,0.2494,0.23
1.4,0.109,0.5153,0.0767,0.4476,0.4218,0.4347,0.2771,0.3595,0.3183,0.1977,0.2384,0.218
1.5,0.0296,0.5471,0.1071,0.4671,0.4482,0.4576,0.2508,0.3659,0.3083,0.1871,0.2292,0.2081
1.6,-0.0496,0.5782,0.1403,0.4866,0.4741,0.4804,0.2269,0.3746,0.3008,0.1795,0.2221,0.2008
1.7,-0.1257,0.6074,0.1746,0.5054,0.4984,0.5019,0.2071,0.3856,0.2963,0.1747,0.2176,0.1962
1.8,-0.1962,0.6331,0.2091,0.5228,0.5191,0.521,0.192,0.3982,0.2951,0.1727,0.2156,0.1941
1.9,-0.2589,0.6547,0.2433,0.5383,0.5357,0.537,0.1807,0.4117,0.2962,0.1729,0.2157,0.1943
2,-0.3123,0.6725,0.2765,0.5518,0.5481,0.55,0.1723,0.4253,0.2988,0.1745,0.2176,0.1961
2.1,-0.3559,0.6873,0.3075,0.563,0.5573,0.5601,0.1663,0.4388,0.3025,0.1772,0.2211,0.1992
2.2,-0.3919,0.6997,0.3356,0.5715,0.5639,0.5677,0.1626,0.4526,0.3076,0.1806,0.2265,0.2036
2.3,-0.4224,0.7091,0.3611,0.5775,0.5686,0.573,0.1615,0.4669,0.3142,0.1848,0.2339,0.2093
2.4,-0.4489,0.7146,0.3848,0.5818,0.5717,0.5767,0.1626,0.4819,0.3223,0.1902,0.2431,0.2167
2.5,-0.471,0.7153,0.4069,0.585,0.5729,0.5789,0.1655,0.4974,0.3314,0.1971,0.2539,0.2255
2.6,-0.488,0.7108,0.4275,0.5873,0.5715,0.5794,0.1698,0.5126,0.3412,0.2057,0.2662,0.236
2.7,-0.4996,0.7015,0.4469,0.5885,0.5671,0.5778,0.1754,0.527,0.3512,0.2165,0.28,0.2482
2.8,-0.5055,0.6883,0.4656,0.5883,0.5593,0.5738,0.1826,0.5408,0.3617,0.2299,0.2951,0.2625
2.9,-0.5051,0.6722,0.4839,0.5867,0.5486,0.5677,0.1919,0.5541,0.373,0.2459,0.3115,0.2787
3,-0.4978,0.6543,0.5019,0.584,0.5362,0.5601,0.2035,0.5671,0.3853,0.2641,0.3284,0.2963
3.1,-0.4844,0.6357,0.5192,0.5806,0.5231,0.5518,0.2175,0.5796,0.3986,0.2834,0.3454,0.3144
3.2,-0.4666,0.6169,0.5356,0.5767,0.5099,0.5433,0.2339,0.5916,0.4128,0.3029,0.3621,0.3325
3.3,-0.4466,0.5981,0.5513,0.5723,0.4966,0.5344,0.2526,0.6033,0.4279,0.3224,0.3785,0.3505
3.4,-0.4259,0.5791,0.5673,0.5671,0.4834,0.5252,0.2737,0.6151,0.4444,0.3422,0.3951,0.3686
3.5,-0.405,0.5598,0.5842,0.5612,0.4708,0.516,0.2973,0.6274,0.4623,0.3623,0.4117,0.387
3.6,-0.3833,0.5409,0.6019,0.5551,0.4594,0.5073,0.3233,0.6401,0.4817,0.3821,0.4275,0.4048
3.7,-0.3595,0.5239,0.6196,0.5497,0.4501,0.4999,0.3516,0.6531,0.5023,0.4009,0.4416,0.4212
3.8,-0.3328,0.5107,0.6366,0.5457,0.4438,0.4947,0.382,0.666,0.524,0.4182,0.4536,0.4359
3.9,-0.3037,0.5025,0.6533,0.5435,0.4414,0.4925,0.4147,0.6788,0.5467,0.4344,0.464,0.4492
4,-0.2721,0.4999,0.6702,0.5432,0.4436,0.4934,0.4494,0.6915,0.5705,0.4502,0.4733,0.4617
4.1,-0.2375,0.5033,0.6876,0.5444,0.4505,0.4974,0.4858,0.7042,0.595,0.4659,0.4818,0.4738
4.2,-0.1995,0.5125,0.7053,0.5467,0.4615,0.5041,0.5227,0.7167,0.6197,0.4816,0.4889,0.4853
4.3,-0.1582,0.5268,0.7225,0.5497,0.4756,0.5126,0.5589,0.7288,0.6438,0.4966,0.4943,0.4955
4.4,-0.1145,0.5444,0.7383,0.5526,0.4914,0.522,0.5924,0.7393,0.6659,0.5103,0.4973,0.5038
4.5,-0.0697,0.5628,0.7515,0.5542,0.5066,0.5304,0.6214,0.747,0.6842,0.5217,0.4981,0.5099
4.6,-0.0258,0.5792,0.7608,0.5531,0.5185,0.5358,0.6441,0.7509,0.6975,0.5303,0.4966,0.5134
4.7,0.0141,0.5913,0.7648,0.548,0.5253,0.5367,0.6602,0.7501,0.7052,0.5355,0.4928,0.5141
4.8,0.0472,0.5977,0.7623,0.5388,0.527,0.5329,0.6696,0.7446,0.7071,0.5372,0.4867,0.512
4.9,0.0719,0.5979,0.7524,0.5257,0.5242,0.5249,0.6728,0.7341,0.7034,0.5354,0.4783,0.5069
5,0.0878,0.5917,0.7352,0.5087,0.5177,0.5132,0.6694,0.7183,0.6939,0.5301,0.4674,0.4987
5.1,0.0952,0.5803,0.7112,0.4885,0.5083,0.4984,0.6588,0.6974,0.6781,0.5206,0.4536,0.4871
5.2,0.0946,0.5653,0.6818,0.4658,0.4972,0.4815,0.6405,0.6719,0.6562,0.5065,0.4366,0.4716
5.3,0.0866,0.5488,0.6487,0.4424,0.4865,0.4644,0.6155,0.6438,0.6297,0.4879,0.4171,0.4525
5.4,0.0726,0.5328,0.6139,0.4199,0.4774,0.4486,0.5858,0.6147,0.6003,0.4661,0.396,0.4311
5.5,0.0543,0.5182,0.5787,0.3995,0.4705,0.435,0.554,0.5863,0.5701,0.4428,0.3748,0.4088
5.6,0.0329,0.5051,0.5444,0.3816,0.4657,0.4236,0.5221,0.5591,0.5406,0.4196,0.3545,0.387
5.7,0.0104,0.4931,0.5117,0.3664,0.4622,0.4143,0.4918,0.5339,0.5129,0.3974,0.3358,0.3666
5.8,-0.0111,0.4818,0.4813,0.3536,0.4598,0.4067,0.464,0.511,0.4875,0.3769,0.3191,0.348
5.9,-0.0299,0.4714,0.454,0.3428,0.4585,0.4006,0.4393,0.4909,0.4651,0.358,0.3047,0.3313
6,-0.0455,0.4622,0.4305,0.3338,0.4583,0.396,0.4186,0.4737,0.4461,0.3408,0.2925,0.3166
6.1,-0.058,0.4546,0.4111,0.3264,0.4592,0.3928,0.4025,0.4592,0.4308,0.3249,0.2825,0.3037
6.2,-0.0671,0.4489,0.3959,0.3207,0.4612,0.3909,0.3911,0.4475,0.4193,0.3103,0.2747,0.2925
6.3,-0.0724,0.4451,0.3846,0.3167,0.4642,0.3904,0.3842,0.4387,0.4115,0.2972,0.2693,0.2832
6.4,-0.0736,0.443,0.3773,0.3146,0.4683,0.3914,0.3815,0.4333,0.4074,0.2857,0.2666,0.2762
6.5,-0.0704,0.4433,0.3741,0.3146,0.4736,0.3941,0.3823,0.431,0.4066,0.2762,0.2668,0.2715
6.6,-0.063,0.4463,0.3749,0.3169,0.4799,0.3984,0.3857,0.4313,0.4085,0.2691,0.2701,0.2696
6.7,-0.051,0.4523,0.3795,0.3219,0.4869,0.4044,0.3909,0.4334,0.4122,0.2645,0.2764,0.2705
6.8,-0.0334,0.4617,0.3869,0.3298,0.4939,0.4118,0.3975,0.437,0.4172,0.2627,0.2856,0.2741
6.9,-0.0092,0.4745,0.3956,0.3408,0.5006,0.4207,0.4053,0.4415,0.4234,0.2635,0.2972,0.2803
7,0.0219,0.4909,0.4039,0.3557,0.5068,0.4312,0.4138,0.4464,0.4301,0.2666,0.3103,0.2885
7.1,0.0581,0.5105,0.4109,0.3741,0.5124,0.4432,0.4227,0.4511,0.4369,0.2721,0.3245,0.2983
7.2,0.0964,0.5324,0.416,0.3956,0.5169,0.4563,0.4316,0.4553,0.4435,0.2799,0.3395,0.3097
7.3,0.1343,0.5552,0.4186,0.4188,0.5199,0.4694,0.4396,0.4586,0.4491,0.2902,0.3552,0.3227
7.4,0.1709,0.5773,0.4181,0.4423,0.5211,0.4817,0.4466,0.4603,0.4534,0.3026,0.3708,0.3367
7.5,0.2062,0.5975,0.4137,0.4651,0.5201,0.4926,0.4522,0.4597,0.4559,0.3165,0.3855,0.351
7.6,0.2389,0.6151,0.4055,0.4867,0.5171,0.5019,0.4566,0.4565,0.4565,0.3313,0.3985,0.3649
7.7,0.267,0.6299,0.3935,0.5068,0.5124,0.5096,0.4596,0.4514,0.4555,0.3463,0.4092,0.3778
7.8,0.2876,0.6417,0.3779,0.5245,0.5061,0.5153,0.4617,0.4454,0.4536,0.361,0.4175,0.3892
7.9,0.2984,0.6501,0.3589,0.5382,0.4987,0.5185,0.4632,0.4394,0.4513,0.3751,0.4231,0.3991
8,0.2984,0.6547,0.3368,0.5463,0.4906,0.5185,0.4644,0.4344,0.4494,0.3882,0.4262,0.4072
8.1,0.2882,0.6554,0.3127,0.5479,0.4823,0.5151,0.4656,0.4306,0.4481,0.3997,0.4265,0.4131
8.2,0.2703,0.6526,0.2884,0.5429,0.4742,0.5086,0.4668,0.4286,0.4477,0.4092,0.424,0.4166
8.3,0.2478,0.6468,0.2654,0.5314,0.4663,0.4989,0.468,0.4285,0.4482,0.4166,0.4193,0.418
8.4,0.2235,0.6386,0.2449,0.5144,0.4582,0.4863,0.4694,0.4299,0.4496,0.4223,0.4134,0.4179
8.5,0.1996,0.6287,0.228,0.4934,0.4496,0.4715,0.4717,0.4329,0.4523,0.4271,0.4078,0.4174
8.6,0.1776,0.6179,0.2156,0.4703,0.4403,0.4553,0.4756,0.4374,0.4565,0.4321,0.4037,0.4179
8.7,0.1592,0.6065,0.2086,0.4465,0.4303,0.4384,0.4818,0.4437,0.4628,0.4385,0.4022,0.4204
8.8,0.145,0.5948,0.207,0.4229,0.4194,0.4212,0.4902,0.4511,0.4707,0.447,0.4038,0.4254
