Time,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula,S26 - Toddler Formula
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0019,0.6145,0.4458,0.4437,0.5066,0.4751,0.4689,0.2839,0.3764,0.6368,0.2203,0.4285
0.1,0.0259,0.6131,0.4583,0.4722,0.5289,0.5006,0.5011,0.2925,0.3968,0.6547,0.2432,0.4489
0.2,0.0476,0.6146,0.4687,0.5004,0.5518,0.5261,0.535,0.3067,0.4208,0.6659,0.2672,0.4665
0.3,0.0663,0.6182,0.4778,0.5272,0.5734,0.5503,0.5693,0.3262,0.4478,0.6717,0.2923,0.482
0.4,0.0822,0.6232,0.4859,0.552,0.5922,0.5721,0.6024,0.3501,0.4762,0.6727,0.3184,0.4956
0.5,0.0953,0.6291,0.4922,0.5743,0.6076,0.5909,0.6318,0.3766,0.5042,0.6691,0.3443,0.5067
0.6,0.1054,0.6352,0.4964,0.5934,0.6194,0.6064,0.6559,0.4038,0.5299,0.6609,0.3684,0.5147
0.7,0.1122,0.641,0.4991,0.6086,0.6277,0.6181,0.6741,0.4304,0.5522,0.6489,0.3897,0.5193
0.8,0.1163,0.6458,0.5012,0.6188,0.6323,0.6255,0.6863,0.4553,0.5708,0.634,0.4079,0.521
0.9,0.1179,0.649,0.5029,0.6231,0.6334,0.6282,0.6932,0.4779,0.5855,0.6173,0.4228,0.5201
1,0.117,0.6505,0.5039,0.6218,0.6311,0.6264,0.6954,0.4979,0.5966,0.5993,0.4348,0.517
1.1,0.1137,0.6502,0.5042,0.6153,0.6262,0.6207,0.6933,0.5154,0.6044,0.5805,0.444,0.5122
1.2,0.1083,0.6485,0.504,0.6047,0.6195,0.6121,0.6879,0.5313,0.6096,0.5617,0.4508,0.5062
1.3,0.1016,0.6456,0.5042,0.5912,0.6118,0.6015,0.6802,0.5462,0.6132,0.5439,0.4563,0.5001
1.4,0.0955,0.6417,0.5055,0.5759,0.6033,0.5896,0.6709,0.5606,0.6157,0.5284,0.4613,0.4948
1.5,0.0917,0.6366,0.5078,0.5595,0.5942,0.5768,0.6605,0.5743,0.6174,0.5154,0.4664,0.4909
1.6,0.0909,0.6306,0.5108,0.5423,0.5845,0.5634,0.6486,0.5865,0.6176,0.5048,0.4717,0.4883
1.7,0.0928,0.6243,0.5143,0.5249,0.5748,0.5499,0.6353,0.5966,0.616,0.4961,0.4774,0.4868
1.8,0.0964,0.6183,0.5186,0.5084,0.5657,0.5371,0.6209,0.6041,0.6125,0.4893,0.4833,0.4863
1.9,0.1007,0.6133,0.5239,0.4943,0.5581,0.5262,0.6061,0.609,0.6075,0.4849,0.4898,0.4874
2,0.1052,0.61,0.5301,0.4836,0.5528,0.5182,0.5918,0.6119,0.6018,0.4833,0.4971,0.4902
2.1,0.1088,0.6084,0.5372,0.4769,0.5505,0.5137,0.5786,0.6133,0.5959,0.485,0.505,0.495
2.2,0.1103,0.6086,0.5445,0.474,0.5516,0.5128,0.5666,0.6134,0.59,0.4899,0.5133,0.5016
2.3,0.1095,0.61,0.5518,0.4739,0.5561,0.515,0.556,0.6125,0.5843,0.4976,0.5218,0.5097
2.4,0.1061,0.6121,0.5589,0.4756,0.5632,0.5194,0.5468,0.6106,0.5787,0.5075,0.5303,0.5189
2.5,0.1002,0.6142,0.5653,0.4784,0.572,0.5252,0.539,0.6076,0.5733,0.5188,0.5381,0.5285
2.6,0.0925,0.6159,0.5706,0.4815,0.5813,0.5314,0.5325,0.6034,0.5679,0.5307,0.5447,0.5377
2.7,0.0838,0.617,0.5748,0.4847,0.5905,0.5376,0.5276,0.5986,0.5631,0.5424,0.5494,0.5459
2.8,0.0744,0.617,0.5779,0.4872,0.599,0.5431,0.5244,0.5933,0.5589,0.5534,0.5526,0.553
2.9,0.0644,0.6157,0.5801,0.4888,0.6063,0.5476,0.5231,0.5878,0.5554,0.5637,0.555,0.5594
3,0.0537,0.6129,0.5813,0.4893,0.6121,0.5507,0.5234,0.5818,0.5526,0.5734,0.5573,0.5653
3.1,0.0418,0.609,0.5809,0.4889,0.6164,0.5526,0.5252,0.5752,0.5502,0.5823,0.5595,0.5709
3.2,0.0282,0.6043,0.5788,0.4879,0.6194,0.5537,0.5279,0.5677,0.5478,0.5901,0.5613,0.5757
3.3,0.0123,0.599,0.5748,0.4863,0.6215,0.5539,0.5308,0.5594,0.5451,0.5971,0.5626,0.5799
3.4,-0.0052,0.5932,0.5695,0.4839,0.6224,0.5532,0.5335,0.5504,0.542,0.6036,0.5636,0.5836
3.5,-0.0241,0.5863,0.5633,0.4804,0.622,0.5512,0.5357,0.5413,0.5385,0.6099,0.5648,0.5873
3.6,-0.0436,0.5783,0.5564,0.4758,0.6197,0.5477,0.5373,0.5325,0.5349,0.6157,0.5663,0.591
3.7,-0.0636,0.569,0.5492,0.4704,0.6156,0.543,0.538,0.5242,0.5311,0.6208,0.5679,0.5944
3.8,-0.0835,0.5586,0.5418,0.4647,0.61,0.5374,0.5376,0.5167,0.5271,0.625,0.569,0.597
3.9,-0.1035,0.5473,0.5342,0.4588,0.6036,0.5312,0.5359,0.51,0.5229,0.6281,0.5693,0.5987
4,-0.1231,0.5354,0.5269,0.4528,0.5971,0.5249,0.5331,0.5042,0.5187,0.6304,0.5691,0.5997
4.1,-0.1418,0.5234,0.52,0.4466,0.591,0.5188,0.5295,0.4998,0.5146,0.6318,0.5685,0.6001
4.2,-0.1588,0.5119,0.5135,0.4407,0.5859,0.5133,0.5251,0.4968,0.5109,0.6315,0.5673,0.5994
4.3,-0.173,0.5018,0.5072,0.4359,0.5819,0.5089,0.5199,0.4953,0.5076,0.6289,0.5649,0.5969
4.4,-0.1835,0.4935,0.5008,0.433,0.5797,0.5063,0.5138,0.4954,0.5046,0.624,0.5606,0.5923
4.5,-0.1895,0.4867,0.4941,0.4324,0.5796,0.506,0.507,0.4966,0.5018,0.6169,0.5542,0.5855
4.6,-0.1907,0.4812,0.4872,0.4343,0.582,0.5081,0.5,0.4988,0.4994,0.6078,0.5453,0.5765
4.7,-0.187,0.477,0.4805,0.4385,0.5865,0.5125,0.4927,0.5016,0.4972,0.5968,0.5339,0.5653
4.8,-0.1782,0.4742,0.4747,0.4444,0.5925,0.5184,0.4855,0.505,0.4953,0.5836,0.5204,0.552
4.9,-0.1647,0.4729,0.4705,0.4513,0.5993,0.5253,0.4785,0.5089,0.4937,0.5685,0.5053,0.5369
5,-0.1471,0.4731,0.4682,0.4589,0.6064,0.5327,0.4719,0.5131,0.4925,0.5523,0.4892,0.5208
5.1,-0.1258,0.4744,0.4686,0.4669,0.613,0.5399,0.4662,0.518,0.4921,0.536,0.4728,0.5044
5.2,-0.1012,0.4766,0.4721,0.4746,0.618,0.5463,0.462,0.5237,0.4928,0.5209,0.4569,0.4889
5.3,-0.0741,0.4794,0.4793,0.4812,0.6205,0.5509,0.4598,0.5301,0.4949,0.5078,0.4422,0.475
