Time,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC,Rexona - Purpose 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0419,0.4585,0.7383,0.2161,0.4463,0.3312,0.6297,0.7425,0.6861,0.5274,0.5848,0.5561
0.1,0.0404,0.4556,0.7059,0.2133,0.4534,0.3333,0.5976,0.7287,0.6631,0.5029,0.5679,0.5354
0.2,0.04,0.4507,0.6726,0.2109,0.4599,0.3354,0.5655,0.7117,0.6386,0.4814,0.5521,0.5167
0.3,0.0397,0.4436,0.639,0.2089,0.4661,0.3375,0.5355,0.6921,0.6138,0.4629,0.5371,0.5
0.4,0.0378,0.4344,0.6049,0.2075,0.4723,0.3399,0.5083,0.67,0.5892,0.4469,0.5223,0.4846
0.5,0.0323,0.423,0.5703,0.2065,0.4788,0.3427,0.484,0.6462,0.5651,0.4328,0.5072,0.47
0.6,0.0211,0.4088,0.5367,0.2055,0.4859,0.3457,0.4624,0.6216,0.542,0.4204,0.4913,0.4559
0.7,0.0036,0.3915,0.5065,0.2045,0.4934,0.349,0.4437,0.5971,0.5204,0.4097,0.4753,0.4425
0.8,-0.0206,0.3709,0.4812,0.2039,0.5013,0.3526,0.4279,0.5737,0.5008,0.4016,0.4594,0.4305
0.9,-0.0517,0.3481,0.4605,0.2037,0.5103,0.357,0.4147,0.5517,0.4832,0.3963,0.4442,0.4203
1,-0.0901,0.3241,0.4424,0.204,0.521,0.3625,0.4029,0.531,0.467,0.3936,0.4296,0.4116
1.1,-0.1366,0.3004,0.4253,0.2048,0.5343,0.3696,0.3921,0.5113,0.4517,0.3925,0.4153,0.4039
