Time,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2617,0.5878,0.5107,0.4704,0.672,0.5712,0.5966,0.837,0.7168,0.6231,0.5957,0.6094
0.1,-0.2295,0.5849,0.5527,0.4896,0.6753,0.5824,0.6253,0.866,0.7457,0.6311,0.6135,0.6223
0.2,-0.1918,0.5792,0.5977,0.5093,0.6747,0.592,0.6533,0.8899,0.7716,0.6387,0.6315,0.6351
0.3,-0.1502,0.5701,0.6452,0.5277,0.6699,0.5988,0.6788,0.9076,0.7932,0.6455,0.649,0.6473
0.4,-0.1067,0.5577,0.6944,0.5437,0.6613,0.6025,0.7011,0.9189,0.81,0.6517,0.6651,0.6584
0.5,-0.0628,0.5431,0.744,0.5571,0.6505,0.6038,0.7201,0.9249,0.8225,0.6574,0.6797,0.6686
0.6,-0.0192,0.5276,0.7924,0.5682,0.6384,0.6033,0.7363,0.9268,0.8315,0.6626,0.6931,0.6779
0.7,0.0237,0.5116,0.8373,0.5768,0.6252,0.601,0.7504,0.9253,0.8378,0.6673,0.7054,0.6863
0.8,0.0653,0.4955,0.8764,0.5824,0.611,0.5967,0.7627,0.92,0.8414,0.6712,0.7159,0.6936
0.9,0.1047,0.4798,0.9078,0.5845,0.5958,0.5902,0.7729,0.9104,0.8417,0.6741,0.7239,0.699
1,0.1408,0.4652,0.9314,0.5832,0.5802,0.5817,0.7801,0.8971,0.8386,0.6759,0.7288,0.7024
1.1,0.1724,0.4527,0.9481,0.5792,0.5652,0.5722,0.7841,0.8811,0.8326,0.6767,0.7309,0.7038
1.2,0.1982,0.4427,0.9592,0.5736,0.552,0.5628,0.7857,0.8633,0.8245,0.6768,0.7309,0.7038
1.3,0.2172,0.4355,0.9658,0.567,0.5414,0.5542,0.7859,0.8446,0.8153,0.6764,0.7289,0.7027
1.4,0.2288,0.4315,0.9687,0.5597,0.5339,0.5468,0.785,0.8263,0.8057,0.676,0.7249,0.7005
1.5,0.2334,0.4309,0.9687,0.5521,0.5295,0.5408,0.7826,0.8098,0.7962,0.6755,0.7191,0.6973
1.6,0.2326,0.4336,0.9665,0.5449,0.5279,0.5364,0.7784,0.7963,0.7873,0.6746,0.7116,0.6931
