Time,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC,V Energy Can You Feel It 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5872,0.2951,0.2399,0.1063,0.3669,0.2366,0.4753,0.6132,0.5443,0.6804,0.4151,0.5477
0.1,-0.5281,0.3005,0.2754,0.0999,0.3466,0.2232,0.498,0.6389,0.5685,0.7118,0.4575,0.5846
0.2,-0.4737,0.3089,0.3191,0.0974,0.3281,0.2127,0.5219,0.6656,0.5937,0.7426,0.5056,0.6241
0.3,-0.4255,0.3207,0.3683,0.0983,0.3124,0.2053,0.5452,0.6926,0.6189,0.7717,0.558,0.6649
0.4,-0.3836,0.3356,0.4205,0.1017,0.3005,0.2011,0.5662,0.7192,0.6427,0.7981,0.6131,0.7056
0.5,-0.3469,0.3523,0.4739,0.1068,0.2928,0.1998,0.5842,0.7444,0.6643,0.8203,0.6691,0.7447
0.6,-0.3153,0.3693,0.527,0.1123,0.2902,0.2013,0.5987,0.7673,0.683,0.8374,0.7241,0.7807
0.7,-0.2905,0.3851,0.5772,0.1171,0.2936,0.2054,0.6092,0.7875,0.6984,0.849,0.7756,0.8123
0.8,-0.2735,0.399,0.6215,0.1202,0.304,0.2121,0.6156,0.8054,0.7105,0.8559,0.8218,0.8388
0.9,-0.2637,0.4104,0.6575,0.1219,0.3207,0.2213,0.6177,0.8213,0.7195,0.8585,0.8612,0.8598
1,-0.2596,0.4197,0.6837,0.124,0.3423,0.2331,0.6154,0.8354,0.7254,0.8571,0.8922,0.8746
1.1,-0.2601,0.4279,0.7011,0.1288,0.368,0.2484,0.6101,0.8484,0.7292,0.8515,0.9143,0.8829
1.2,-0.2641,0.4361,0.711,0.1387,0.3977,0.2682,0.6036,0.8611,0.7323,0.8425,0.9278,0.8852
1.3,-0.2711,0.4445,0.7143,0.1542,0.4315,0.2929,0.5969,0.8737,0.7353,0.831,0.9335,0.8822
1.4,-0.2793,0.4526,0.7119,0.1749,0.4681,0.3215,0.5901,0.8865,0.7383,0.8175,0.9322,0.8749
1.5,-0.2867,0.4595,0.705,0.1997,0.5048,0.3523,0.5828,0.8984,0.7406,0.8028,0.9246,0.8637
1.6,-0.2924,0.4652,0.6951,0.2273,0.539,0.3832,0.5735,0.9077,0.7406,0.7874,0.9113,0.8493
1.7,-0.2975,0.4697,0.6832,0.2556,0.5693,0.4124,0.5614,0.9129,0.7372,0.7714,0.8925,0.8319
1.8,-0.3028,0.4737,0.6695,0.2826,0.5957,0.4391,0.5462,0.9133,0.7297,0.7545,0.8685,0.8115
1.9,-0.3073,0.4775,0.6533,0.3075,0.6187,0.4631,0.528,0.9077,0.7179,0.7366,0.8397,0.7882
2,-0.309,0.4817,0.6343,0.3311,0.6382,0.4847,0.5066,0.8952,0.7009,0.7177,0.8076,0.7627
2.1,-0.3076,0.4868,0.613,0.3547,0.6538,0.5042,0.4826,0.8753,0.679,0.6986,0.7742,0.7364
2.2,-0.3045,0.4937,0.5908,0.3783,0.6647,0.5215,0.4586,0.8492,0.6539,0.6807,0.7418,0.7112
