Time,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6606,0.5707,0.6669,0.4016,0.6414,0.5215,0.785,0.7277,0.7564,0.9039,0.8956,0.8998
0.1,-0.6474,0.5761,0.6341,0.407,0.6277,0.5174,0.7564,0.7114,0.7339,0.876,0.8759,0.876
0.2,-0.6295,0.5818,0.6047,0.4122,0.6138,0.513,0.7281,0.6945,0.7113,0.8481,0.8554,0.8518
0.3,-0.6051,0.5872,0.5801,0.4162,0.5987,0.5074,0.7005,0.6778,0.6892,0.8213,0.8347,0.828
0.4,-0.5736,0.5917,0.5613,0.4178,0.5819,0.4999,0.6736,0.6623,0.668,0.7968,0.8148,0.8058
0.5,-0.5355,0.5951,0.5481,0.417,0.5634,0.4902,0.6478,0.6488,0.6483,0.7755,0.7964,0.7859
0.6,-0.4926,0.5974,0.5395,0.4141,0.5439,0.479,0.624,0.6377,0.6308,0.7578,0.7795,0.7686
0.7,-0.4467,0.5992,0.5339,0.4098,0.5245,0.4671,0.603,0.6287,0.6159,0.7432,0.7637,0.7534
0.8,-0.3985,0.6008,0.5298,0.4046,0.5067,0.4556,0.5853,0.6215,0.6034,0.7315,0.7487,0.7401
0.9,-0.3488,0.6024,0.527,0.3994,0.492,0.4457,0.5711,0.6157,0.5934,0.7231,0.7346,0.7288
1,-0.2988,0.6046,0.5256,0.3953,0.482,0.4386,0.5606,0.6115,0.5861,0.7181,0.7215,0.7198
1.1,-0.2511,0.6077,0.5257,0.393,0.478,0.4355,0.5536,0.6092,0.5814,0.7162,0.7093,0.7127
1.2,-0.2076,0.6119,0.5271,0.3933,0.4802,0.4367,0.5495,0.609,0.5792,0.7163,0.6972,0.7068
