Time,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC,Volvo - XC90 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3766,0.3758,0.7258,0.4599,0.2188,0.3393,0.8045,0.7724,0.7885,0.5745,0.4564,0.5155
0.1,0.419,0.386,0.7376,0.4893,0.2012,0.3453,0.8054,0.7656,0.7855,0.5783,0.4652,0.5217
0.2,0.4532,0.396,0.7482,0.5175,0.1849,0.3512,0.8029,0.7612,0.782,0.5848,0.4752,0.53
0.3,0.4783,0.4051,0.758,0.5429,0.1703,0.3566,0.7974,0.7586,0.778,0.5956,0.4876,0.5416
0.4,0.494,0.4128,0.7667,0.5642,0.1574,0.3608,0.7897,0.7572,0.7735,0.6121,0.5033,0.5577
0.5,0.5008,0.4191,0.7746,0.5807,0.1464,0.3635,0.7802,0.7563,0.7683,0.6339,0.5226,0.5782
0.6,0.4999,0.424,0.782,0.5917,0.1369,0.3643,0.769,0.7561,0.7626,0.6596,0.5448,0.6022
0.7,0.4929,0.4275,0.789,0.5972,0.1291,0.3631,0.7565,0.7569,0.7567,0.6875,0.5688,0.6282
0.8,0.4812,0.4296,0.7957,0.5974,0.1235,0.3604,0.7444,0.759,0.7517,0.7165,0.5937,0.6551
0.9,0.4658,0.4301,0.8014,0.5928,0.1199,0.3563,0.7347,0.7621,0.7484,0.7461,0.6184,0.6822
1,0.4475,0.429,0.8052,0.5834,0.1181,0.3508,0.7283,0.7651,0.7467,0.7754,0.6417,0.7086
1.1,0.4271,0.4262,0.8064,0.5694,0.1179,0.3437,0.7252,0.7674,0.7463,0.803,0.6625,0.7327
1.2,0.4054,0.4223,0.805,0.5519,0.1194,0.3356,0.7245,0.768,0.7463,0.8278,0.68,0.7539
1.3,0.3823,0.418,0.8014,0.5325,0.1233,0.3279,0.7254,0.7664,0.7459,0.8492,0.6947,0.7719
1.4,0.3573,0.4142,0.7956,0.5128,0.1305,0.3216,0.727,0.7617,0.7444,0.867,0.707,0.787
1.5,0.3299,0.4104,0.7877,0.4934,0.1415,0.3175,0.7288,0.7531,0.7409,0.8818,0.7174,0.7996
1.6,0.2996,0.4062,0.7779,0.4746,0.1567,0.3156,0.7305,0.7402,0.7354,0.894,0.7266,0.8103
1.7,0.267,0.4015,0.7668,0.4572,0.176,0.3166,0.7322,0.7242,0.7282,0.9044,0.7351,0.8197
1.8,0.2334,0.3966,0.7554,0.4421,0.199,0.3205,0.7334,0.7063,0.7199,0.9131,0.7434,0.8282
1.9,0.2007,0.3922,0.7439,0.4297,0.2241,0.3269,0.7337,0.6875,0.7106,0.92,0.7514,0.8357
2,0.1694,0.3886,0.7319,0.4197,0.2502,0.335,0.7327,0.668,0.7004,0.9248,0.7593,0.8421
2.1,0.1399,0.3852,0.7186,0.4112,0.2762,0.3437,0.7304,0.6477,0.6891,0.927,0.7667,0.8468
2.2,0.1127,0.3814,0.7038,0.403,0.3019,0.3524,0.7267,0.6268,0.6768,0.9261,0.7726,0.8494
2.3,0.0885,0.3769,0.6879,0.3942,0.3267,0.3604,0.7215,0.6057,0.6636,0.9218,0.7768,0.8493
2.4,0.0673,0.3718,0.6713,0.384,0.3493,0.3667,0.7147,0.5848,0.6497,0.9142,0.7792,0.8467
2.5,0.0498,0.3662,0.6545,0.3726,0.3675,0.37,0.7066,0.5643,0.6354,0.9036,0.7802,0.8419
2.6,0.037,0.3598,0.6377,0.36,0.3797,0.3699,0.6973,0.5446,0.6209,0.8898,0.7802,0.835
2.7,0.0302,0.3528,0.621,0.3469,0.3854,0.3662,0.6871,0.526,0.6066,0.8723,0.7794,0.8259
2.8,0.03,0.3457,0.6041,0.3336,0.3855,0.3596,0.6761,0.5093,0.5927,0.8504,0.7778,0.8141
2.9,0.0361,0.3393,0.5868,0.3209,0.3814,0.3511,0.6644,0.4951,0.5797,0.8239,0.7748,0.7993
3,0.0472,0.3349,0.5686,0.309,0.3747,0.3419,0.652,0.4839,0.5679,0.7931,0.7699,0.7815
3.1,0.0614,0.333,0.5499,0.2985,0.3669,0.3327,0.6394,0.4762,0.5578,0.7591,0.7626,0.7608
3.2,0.0772,0.3335,0.5318,0.2896,0.3593,0.3244,0.6271,0.4724,0.5498,0.7234,0.7529,0.7382
3.3,0.093,0.3362,0.5156,0.2826,0.3529,0.3178,0.6158,0.4732,0.5445,0.6877,0.7411,0.7144
3.4,0.1079,0.3407,0.502,0.2778,0.348,0.3129,0.6059,0.4784,0.5422,0.6533,0.7275,0.6904
3.5,0.1214,0.3472,0.4911,0.2752,0.3445,0.3099,0.5983,0.4877,0.543,0.6215,0.7128,0.6671
3.6,0.1335,0.3556,0.4836,0.2752,0.343,0.3091,0.5936,0.5006,0.5471,0.5933,0.6974,0.6453
3.7,0.1446,0.366,0.4798,0.2781,0.3438,0.3109,0.592,0.517,0.5545,0.5692,0.6819,0.6256
3.8,0.1545,0.378,0.4794,0.2839,0.347,0.3155,0.5931,0.5363,0.5647,0.5493,0.6662,0.6077
3.9,0.1629,0.391,0.4821,0.2922,0.3526,0.3224,0.5961,0.5577,0.5769,0.5329,0.6503,0.5916
4,0.1694,0.4045,0.487,0.3024,0.3603,0.3314,0.6005,0.5799,0.5902,0.5197,0.6342,0.577
4.1,0.1738,0.4181,0.4936,0.3144,0.3701,0.3423,0.6064,0.6018,0.6041,0.5098,0.6183,0.5641
