Time,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC,VW Amarok - Bobblehead 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0023,0.5076,0.5688,0.7416,0.5718,0.6567,0.6125,0.5568,0.5846,0.1765,0.4156,0.2961
0.1,0.0105,0.507,0.559,0.718,0.5627,0.6404,0.6012,0.5569,0.5791,0.2063,0.4332,0.3197
0.2,0.0224,0.5064,0.5491,0.6965,0.5558,0.6261,0.5919,0.5575,0.5747,0.2388,0.4524,0.3456
0.3,0.037,0.5064,0.5403,0.678,0.5518,0.6149,0.585,0.5586,0.5718,0.2733,0.473,0.3731
0.4,0.0529,0.5074,0.5333,0.6627,0.5513,0.607,0.5808,0.5603,0.5705,0.3094,0.4941,0.4017
0.5,0.0695,0.5095,0.528,0.6504,0.554,0.6022,0.5788,0.562,0.5704,0.3461,0.5151,0.4306
0.6,0.0863,0.5126,0.5242,0.6404,0.5587,0.5996,0.5785,0.5629,0.5707,0.3813,0.535,0.4582
0.7,0.1032,0.5162,0.5216,0.6322,0.5642,0.5982,0.5794,0.5628,0.5711,0.4128,0.5529,0.4829
0.8,0.1206,0.5202,0.5203,0.6255,0.57,0.5978,0.5811,0.5615,0.5713,0.4389,0.568,0.5035
0.9,0.1382,0.5246,0.5202,0.6208,0.5765,0.5987,0.5835,0.5595,0.5715,0.4589,0.5791,0.519
1,0.155,0.5293,0.5211,0.6179,0.584,0.6009,0.5862,0.5571,0.5717,0.472,0.5843,0.5282
1.1,0.17,0.5339,0.5227,0.6158,0.5916,0.6037,0.5888,0.5544,0.5716,0.4778,0.5823,0.53
1.2,0.1824,0.538,0.5246,0.6134,0.5977,0.6055,0.591,0.5517,0.5713,0.4763,0.5728,0.5245
1.3,0.1911,0.5408,0.5268,0.6096,0.6011,0.6054,0.5934,0.5497,0.5715,0.4683,0.557,0.5127
1.4,0.1947,0.5422,0.5294,0.6043,0.6019,0.6031,0.5972,0.5492,0.5732,0.4553,0.537,0.4962
1.5,0.191,0.5422,0.532,0.5979,0.6011,0.5995,0.6027,0.5509,0.5768,0.4383,0.5144,0.4763
1.6,0.179,0.5409,0.5341,0.5908,0.5994,0.5951,0.6097,0.5546,0.5821,0.4176,0.4906,0.4541
1.7,0.1595,0.5386,0.5344,0.583,0.5965,0.5897,0.6174,0.5596,0.5885,0.3937,0.4667,0.4302
1.8,0.1339,0.535,0.5325,0.5746,0.5921,0.5833,0.6253,0.565,0.5951,0.3672,0.4438,0.4055
1.9,0.1025,0.5303,0.5284,0.5656,0.5862,0.5759,0.6332,0.5703,0.6017,0.3387,0.4224,0.3806
2,0.0649,0.5248,0.5224,0.5557,0.5794,0.5676,0.6403,0.5751,0.6077,0.3092,0.4029,0.356
2.1,0.0222,0.5192,0.5149,0.5449,0.5724,0.5586,0.6465,0.5788,0.6126,0.2793,0.3859,0.3326
2.2,-0.0228,0.5145,0.506,0.5333,0.5653,0.5493,0.6517,0.5808,0.6163,0.25,0.3722,0.3111
