Time,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4108,0.7027,0.9867,0.7823,0.8041,0.7932,0.6211,0.6842,0.6527,0.4719,0.6561,0.564
0.1,0.4224,0.7015,0.9818,0.7823,0.7889,0.7856,0.616,0.6743,0.6452,0.4966,0.6676,0.5821
0.2,0.4312,0.7003,0.9784,0.7818,0.7728,0.7773,0.6159,0.6629,0.6394,0.5217,0.6795,0.6006
0.3,0.4378,0.6989,0.9757,0.7806,0.7559,0.7682,0.62,0.6491,0.6346,0.5452,0.6913,0.6183
0.4,0.4423,0.6967,0.9727,0.7778,0.7384,0.7581,0.6274,0.6326,0.63,0.5656,0.7028,0.6342
0.5,0.4439,0.6936,0.9688,0.7731,0.7209,0.747,0.6374,0.6132,0.6253,0.582,0.7135,0.6478
0.6,0.4424,0.6899,0.9636,0.7665,0.7038,0.7352,0.6495,0.5915,0.6205,0.5941,0.7229,0.6585
0.7,0.4372,0.6859,0.9566,0.7583,0.6878,0.723,0.6634,0.5684,0.6159,0.602,0.7302,0.6661
0.8,0.4281,0.6815,0.9475,0.7486,0.6729,0.7107,0.6783,0.5447,0.6115,0.6059,0.7347,0.6703
