Time,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC,Weetbix - Aussie Kids are Weetbix Kids 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5031,0.7185,0.371,0.4581,0.3789,0.4185,0.7265,0.4091,0.5678,0.5867,0.6329,0.6098
0.1,0.4583,0.7373,0.3716,0.4645,0.4062,0.4353,0.7232,0.4048,0.564,0.5731,0.615,0.5941
0.2,0.4101,0.7524,0.3727,0.4693,0.4321,0.4507,0.7192,0.4025,0.5608,0.5601,0.5965,0.5783
0.3,0.3579,0.7632,0.3742,0.4718,0.4554,0.4636,0.7139,0.4013,0.5576,0.5487,0.5785,0.5636
0.4,0.3019,0.769,0.3768,0.472,0.4751,0.4736,0.7073,0.4009,0.5541,0.5397,0.5618,0.5508
0.5,0.2438,0.7695,0.3808,0.4706,0.4911,0.4808,0.6998,0.4009,0.5503,0.5337,0.547,0.5404
0.6,0.1861,0.7648,0.3863,0.4683,0.5032,0.4858,0.6915,0.4009,0.5462,0.5307,0.5341,0.5324
0.7,0.1314,0.7553,0.3925,0.4664,0.5117,0.4891,0.6825,0.401,0.5418,0.5297,0.5231,0.5264
0.8,0.0821,0.7421,0.3982,0.4654,0.517,0.4912,0.6726,0.401,0.5368,0.5295,0.5137,0.5216
0.9,0.0398,0.7261,0.4028,0.4654,0.519,0.4922,0.6615,0.4004,0.531,0.5296,0.5055,0.5175
1,0.0061,0.7076,0.4061,0.466,0.5178,0.4919,0.649,0.3994,0.5242,0.5296,0.4984,0.514
1.1,-0.0173,0.6868,0.4083,0.4668,0.5134,0.4901,0.635,0.3985,0.5168,0.5295,0.4927,0.5111
1.2,-0.0292,0.6638,0.4096,0.4681,0.506,0.4871,0.6199,0.3983,0.5091,0.5293,0.4889,0.5091
1.3,-0.0304,0.6394,0.4103,0.4701,0.496,0.4831,0.6038,0.3988,0.5013,0.5292,0.4876,0.5084
1.4,-0.0234,0.6148,0.4111,0.4729,0.484,0.4784,0.5873,0.3998,0.4935,0.5291,0.4894,0.5093
1.5,-0.0106,0.5915,0.4126,0.4764,0.4709,0.4737,0.5707,0.4012,0.4859,0.5295,0.4949,0.5122
1.6,0.0062,0.5708,0.4156,0.4812,0.4577,0.4694,0.5547,0.4032,0.4789,0.5307,0.5042,0.5175
1.7,0.0258,0.5534,0.4205,0.4881,0.4454,0.4667,0.5402,0.4068,0.4735,0.533,0.5171,0.525
1.8,0.0468,0.5403,0.4275,0.4982,0.4355,0.4668,0.5277,0.4131,0.4704,0.5367,0.5337,0.5352
1.9,0.0668,0.5322,0.4368,0.5119,0.4294,0.4707,0.5178,0.4225,0.4702,0.5421,0.5541,0.5481
2,0.0829,0.5294,0.4483,0.5285,0.4285,0.4785,0.5109,0.4356,0.4733,0.5492,0.5786,0.5639
2.1,0.0936,0.5318,0.4615,0.5468,0.4334,0.4901,0.5075,0.4524,0.48,0.5577,0.6063,0.582
2.2,0.0982,0.5391,0.4761,0.566,0.4447,0.5053,0.5078,0.4731,0.4904,0.5671,0.636,0.6016
2.3,0.0971,0.5511,0.4922,0.586,0.4623,0.5241,0.5119,0.4973,0.5046,0.577,0.6667,0.6218
2.4,0.0904,0.5681,0.51,0.6075,0.4861,0.5468,0.5199,0.5251,0.5225,0.5872,0.6974,0.6423
2.5,0.0773,0.591,0.5298,0.6314,0.5163,0.5739,0.5321,0.5565,0.5443,0.5981,0.7278,0.6629
2.6,0.0575,0.6202,0.5511,0.6582,0.5528,0.6055,0.5489,0.5912,0.5701,0.6101,0.7572,0.6837
2.7,0.0309,0.6547,0.5725,0.687,0.5947,0.6409,0.57,0.6283,0.5992,0.6233,0.7848,0.704
2.8,-0.0018,0.6924,0.593,0.7159,0.6398,0.6779,0.5938,0.6662,0.63,0.637,0.8093,0.7231
2.9,-0.0397,0.731,0.6118,0.7424,0.6855,0.714,0.6179,0.7026,0.6602,0.6504,0.8298,0.7401
3,-0.0816,0.768,0.6286,0.7646,0.7296,0.7471,0.6397,0.7357,0.6877,0.6628,0.846,0.7544
3.1,-0.1263,0.8018,0.6433,0.7813,0.7709,0.7761,0.6582,0.7642,0.7112,0.6735,0.8581,0.7658
3.2,-0.1721,0.8317,0.6557,0.7926,0.8091,0.8008,0.6732,0.7879,0.7305,0.6822,0.8664,0.7743
3.3,-0.2179,0.8568,0.6659,0.7986,0.8437,0.8212,0.6851,0.8067,0.7459,0.689,0.8707,0.7799
3.4,-0.2635,0.877,0.6743,0.7995,0.8738,0.8366,0.6938,0.8202,0.757,0.6937,0.8709,0.7823
3.5,-0.3089,0.892,0.6811,0.795,0.8979,0.8464,0.6988,0.8282,0.7635,0.6963,0.8669,0.7816
3.6,-0.3539,0.9019,0.6868,0.7853,0.9151,0.8502,0.7003,0.8305,0.7654,0.6967,0.8593,0.778
3.7,-0.3976,0.9074,0.6909,0.7714,0.9255,0.8485,0.6991,0.8277,0.7634,0.6955,0.8488,0.7722
3.8,-0.4379,0.9091,0.6927,0.7552,0.9299,0.8425,0.6961,0.8198,0.758,0.6929,0.836,0.7644
3.9,-0.472,0.9075,0.6907,0.7384,0.9287,0.8336,0.6916,0.8067,0.7492,0.689,0.821,0.755
4,-0.4976,0.9025,0.6844,0.7216,0.9222,0.8219,0.685,0.7884,0.7367,0.6837,0.8043,0.744
4.1,-0.513,0.8943,0.6741,0.7045,0.9105,0.8075,0.6758,0.7659,0.7208,0.6771,0.7861,0.7316
4.2,-0.5171,0.8834,0.6607,0.6867,0.8944,0.7905,0.6641,0.7404,0.7023,0.6695,0.7665,0.718
4.3,-0.5092,0.8702,0.6457,0.6683,0.8746,0.7714,0.6508,0.7135,0.6821,0.6613,0.7456,0.7035
4.4,-0.4886,0.8551,0.6302,0.6509,0.8523,0.7516,0.6366,0.6862,0.6614,0.6531,0.724,0.6885
4.5,-0.4544,0.8389,0.6154,0.6373,0.8285,0.7329,0.6227,0.6594,0.6411,0.6457,0.7022,0.6739
4.6,-0.4064,0.8232,0.6018,0.6298,0.8043,0.7171,0.6107,0.6336,0.6222,0.6399,0.6816,0.6608
4.7,-0.3454,0.8096,0.5892,0.6293,0.781,0.7051,0.6015,0.6088,0.6051,0.6368,0.6639,0.6504
4.8,-0.2734,0.7991,0.5768,0.6352,0.7593,0.6972,0.595,0.5847,0.5898,0.637,0.6501,0.6435
4.9,-0.1926,0.7918,0.5639,0.6459,0.7397,0.6928,0.5906,0.5612,0.5759,0.6409,0.6402,0.6405
5,-0.1058,0.7872,0.5507,0.6594,0.7224,0.6909,0.5877,0.5385,0.5631,0.6485,0.634,0.6413
5.1,-0.0168,0.7844,0.5373,0.6738,0.7079,0.6909,0.5865,0.5168,0.5516,0.6598,0.6309,0.6454
5.2,0.0701,0.7826,0.5241,0.6871,0.6965,0.6918,0.5871,0.4962,0.5417,0.6741,0.6301,0.6521
5.3,0.1513,0.781,0.5109,0.6981,0.6884,0.6933,0.5901,0.4769,0.5335,0.6909,0.631,0.661
5.4,0.2247,0.7796,0.4971,0.7068,0.684,0.6954,0.5952,0.4592,0.5272,0.7096,0.6332,0.6714
5.5,0.2897,0.7782,0.4832,0.7139,0.6834,0.6986,0.602,0.4432,0.5226,0.7293,0.6357,0.6825
5.6,0.3461,0.7767,0.4694,0.7201,0.6862,0.7031,0.6099,0.4293,0.5196,0.7487,0.6375,0.6931
5.7,0.3931,0.7745,0.4555,0.7256,0.6915,0.7086,0.6192,0.4179,0.5186,0.7664,0.6377,0.7021
5.8,0.4296,0.7707,0.4412,0.7302,0.6984,0.7143,0.63,0.4091,0.5196,0.7814,0.6356,0.7085
5.9,0.4551,0.7648,0.4257,0.7341,0.7062,0.7202,0.6424,0.4033,0.5229,0.7931,0.6309,0.712
6,0.4685,0.7569,0.4088,0.7374,0.7149,0.7262,0.6561,0.4008,0.5284,0.8009,0.6237,0.7123
6.1,0.4697,0.7472,0.3908,0.7399,0.7247,0.7323,0.6706,0.4019,0.5363,0.8042,0.6144,0.7093
6.2,0.4593,0.7364,0.3726,0.7411,0.7355,0.7383,0.6859,0.4069,0.5464,0.8028,0.6037,0.7032
6.3,0.4388,0.7254,0.3554,0.7415,0.7477,0.7446,0.7023,0.4158,0.559,0.7971,0.5925,0.6948
6.4,0.4108,0.7152,0.3396,0.7423,0.7616,0.752,0.7213,0.429,0.5752,0.7882,0.5821,0.6851
6.5,0.3775,0.707,0.3256,0.7446,0.7776,0.7611,0.7439,0.4466,0.5952,0.7775,0.5727,0.6751
6.6,0.3406,0.7018,0.3137,0.7491,0.7952,0.7722,0.77,0.4683,0.6192,0.7657,0.5644,0.6651
6.7,0.3017,0.6999,0.3045,0.7558,0.8133,0.7845,0.7985,0.4935,0.646,0.7532,0.5565,0.6548
6.8,0.2627,0.7012,0.2982,0.7638,0.8307,0.7972,0.8271,0.5206,0.6738,0.7398,0.5488,0.6443
6.9,0.2257,0.7049,0.2943,0.7722,0.8463,0.8093,0.8541,0.5482,0.7011,0.7259,0.5414,0.6336
7,0.1924,0.7107,0.2919,0.7808,0.8597,0.8203,0.8787,0.5748,0.7268,0.7122,0.5342,0.6232
7.1,0.1637,0.7181,0.2903,0.7894,0.8705,0.83,0.9005,0.5992,0.7499,0.6996,0.5272,0.6134
7.2,0.1405,0.7268,0.2896,0.7977,0.8777,0.8377,0.9186,0.62,0.7693,0.6888,0.5206,0.6047
7.3,0.1241,0.736,0.2906,0.8045,0.8804,0.8424,0.932,0.6365,0.7843,0.6801,0.5148,0.5974
7.4,0.1154,0.7455,0.2941,0.8093,0.8783,0.8438,0.9406,0.6488,0.7947,0.6736,0.5101,0.5918
7.5,0.115,0.7553,0.3002,0.8122,0.8724,0.8423,0.9446,0.6572,0.8009,0.6694,0.5066,0.588
7.6,0.1223,0.7657,0.3083,0.8139,0.8633,0.8386,0.9444,0.6621,0.8032,0.6672,0.5042,0.5857
7.7,0.135,0.7767,0.3177,0.8149,0.8521,0.8335,0.9403,0.6631,0.8017,0.6665,0.5025,0.5845
7.8,0.1505,0.7881,0.328,0.8153,0.8395,0.8274,0.9324,0.6597,0.796,0.6669,0.5018,0.5843
7.9,0.1663,0.7997,0.3388,0.8146,0.8264,0.8205,0.9207,0.6518,0.7862,0.6681,0.5024,0.5853
8,0.1798,0.8113,0.35,0.8123,0.8136,0.813,0.9056,0.6398,0.7727,0.6699,0.5049,0.5874
8.1,0.1888,0.8229,0.3613,0.8084,0.8018,0.8051,0.8872,0.6244,0.7558,0.6718,0.5089,0.5904
8.2,0.1922,0.8346,0.3726,0.8032,0.7916,0.7974,0.8655,0.6065,0.736,0.6731,0.5136,0.5934
8.3,0.189,0.8459,0.3845,0.7974,0.7831,0.7902,0.8408,0.5869,0.7138,0.6731,0.5186,0.5958
8.4,0.1792,0.8566,0.3974,0.7915,0.776,0.7838,0.8138,0.5665,0.6901,0.6714,0.5238,0.5976
8.5,0.1632,0.8663,0.4114,0.7867,0.7704,0.7785,0.7855,0.5463,0.6659,0.6678,0.5295,0.5987
8.6,0.1422,0.875,0.4263,0.7844,0.7663,0.7753,0.7573,0.5271,0.6422,0.6623,0.5361,0.5992
8.7,0.1177,0.8829,0.4417,0.7858,0.764,0.7749,0.73,0.5093,0.6196,0.655,0.5433,0.5992
8.8,0.0915,0.8895,0.4577,0.791,0.7633,0.7772,0.7036,0.4928,0.5982,0.646,0.5509,0.5984
8.9,0.0642,0.8945,0.4745,0.7991,0.7637,0.7814,0.6784,0.4777,0.5781,0.6349,0.5582,0.5966
9,0.0367,0.8977,0.492,0.8091,0.7652,0.7872,0.6545,0.4645,0.5595,0.6221,0.565,0.5935
9.1,0.0094,0.8993,0.5097,0.8205,0.7682,0.7944,0.6326,0.4533,0.543,0.6074,0.5709,0.5891
