Time,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1193,0.5543,0.5349,0.6562,0.3588,0.5075,0.7452,0.3046,0.5249,0.5184,0.7303,0.6243
0.1,0.1065,0.5606,0.4892,0.6775,0.3791,0.5283,0.7066,0.2819,0.4942,0.4663,0.6884,0.5773
0.2,0.0986,0.5646,0.4438,0.6929,0.3962,0.5446,0.6694,0.2624,0.4659,0.4187,0.648,0.5333
0.3,0.0954,0.5662,0.4,0.7026,0.4086,0.5556,0.6356,0.2463,0.441,0.3763,0.6118,0.4941
0.4,0.0971,0.565,0.3594,0.7063,0.4147,0.5605,0.6051,0.2336,0.4193,0.3392,0.5814,0.4603
0.5,0.1036,0.5607,0.3233,0.7034,0.4138,0.5586,0.5768,0.2242,0.4005,0.3063,0.5567,0.4315
0.6,0.1152,0.5534,0.2919,0.6939,0.4059,0.5499,0.5508,0.2184,0.3846,0.2769,0.5369,0.4069
0.7,0.1317,0.5429,0.2644,0.6782,0.3918,0.535,0.5281,0.2164,0.3723,0.251,0.521,0.386
0.8,0.1525,0.5287,0.2403,0.6569,0.3727,0.5148,0.5095,0.2179,0.3637,0.2291,0.509,0.369
0.9,0.1758,0.5102,0.2207,0.6308,0.35,0.4904,0.4924,0.2231,0.3578,0.2111,0.5005,0.3558
1,0.1999,0.4872,0.2062,0.6017,0.3256,0.4636,0.4754,0.2321,0.3537,0.1969,0.4949,0.3459
1.1,0.224,0.4594,0.1961,0.5715,0.301,0.4363,0.4587,0.2446,0.3517,0.1865,0.4919,0.3392
1.2,0.2492,0.4276,0.1891,0.5419,0.2774,0.4097,0.4445,0.26,0.3522,0.1802,0.4913,0.3357
1.3,0.2762,0.3929,0.1851,0.5141,0.2555,0.3848,0.4344,0.2779,0.3561,0.1782,0.4925,0.3354
1.4,0.3042,0.3578,0.1847,0.4897,0.2366,0.3631,0.4284,0.2988,0.3636,0.18,0.495,0.3375
1.5,0.3299,0.3244,0.187,0.47,0.2223,0.3461,0.4256,0.3232,0.3744,0.1849,0.4979,0.3414
1.6,0.3502,0.2941,0.1904,0.4549,0.2136,0.3343,0.4257,0.3503,0.388,0.1929,0.5009,0.3469
1.7,0.3638,0.2677,0.1937,0.4434,0.2103,0.3268,0.4285,0.3784,0.4034,0.2042,0.504,0.3541
1.8,0.3698,0.2464,0.1963,0.4344,0.2123,0.3233,0.4328,0.406,0.4194,0.2185,0.5069,0.3627
1.9,0.3667,0.2313,0.1989,0.4285,0.2201,0.3243,0.4368,0.4329,0.4348,0.2344,0.5084,0.3714
2,0.3543,0.2233,0.2023,0.4261,0.2344,0.3303,0.439,0.4591,0.449,0.2497,0.5072,0.3785
2.1,0.3341,0.2218,0.2068,0.4269,0.2547,0.3408,0.4388,0.4841,0.4615,0.2631,0.5021,0.3826
2.2,0.3095,0.2254,0.2129,0.4299,0.2803,0.3551,0.4372,0.5074,0.4723,0.2743,0.4929,0.3836
2.3,0.2837,0.2327,0.2218,0.4339,0.3105,0.3722,0.435,0.5291,0.482,0.2836,0.4799,0.3817
2.4,0.2578,0.2433,0.2354,0.4384,0.3452,0.3918,0.4321,0.5502,0.4911,0.2904,0.4631,0.3767
2.5,0.2311,0.2571,0.2543,0.4434,0.3842,0.4138,0.428,0.5711,0.4995,0.2927,0.4422,0.3675
2.6,0.2035,0.2746,0.278,0.4491,0.4263,0.4377,0.4226,0.5913,0.507,0.2886,0.4175,0.3531
2.7,0.1768,0.2958,0.3058,0.4559,0.4701,0.463,0.4161,0.6097,0.5129,0.2781,0.3898,0.334
2.8,0.1531,0.3205,0.3375,0.4643,0.5135,0.4889,0.4086,0.6253,0.517,0.2623,0.3603,0.3113
2.9,0.1344,0.348,0.3728,0.4746,0.5544,0.5145,0.4011,0.6385,0.5198,0.2428,0.3296,0.2862
3,0.1227,0.3778,0.4096,0.4871,0.5911,0.5391,0.395,0.6497,0.5223,0.2211,0.2988,0.26
