Time,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC,Woolworths - Australian First Sourcing Policy 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.241,0.8323,0.8959,0.7362,1.0215,0.8789,0.6579,0.8444,0.7511,0.2942,0.1794,0.2368
0.1,-0.2059,0.8458,0.8938,0.7479,1.0244,0.8862,0.6572,0.8051,0.7312,0.2797,0.1644,0.222
0.2,-0.1706,0.8545,0.8866,0.758,1.0246,0.8913,0.6566,0.7611,0.7089,0.2731,0.1585,0.2158
0.3,-0.1372,0.8581,0.8755,0.7661,1.0224,0.8943,0.6552,0.7145,0.6849,0.2742,0.1624,0.2183
0.4,-0.1057,0.8569,0.8621,0.7728,1.0181,0.8954,0.6521,0.668,0.66,0.2816,0.1752,0.2284
0.5,-0.0747,0.8523,0.8482,0.7792,1.0113,0.8952,0.6472,0.6242,0.6357,0.2937,0.1957,0.2447
0.6,-0.043,0.8449,0.835,0.7864,1.0016,0.894,0.6414,0.5849,0.6131,0.3087,0.2231,0.2659
0.7,-0.0096,0.8352,0.822,0.7949,0.9882,0.8915,0.6352,0.5509,0.593,0.3251,0.2559,0.2905
0.8,0.0259,0.8241,0.8092,0.8043,0.9713,0.8878,0.6292,0.5225,0.5759,0.3414,0.2916,0.3165
0.9,0.0634,0.8128,0.7969,0.814,0.9522,0.8831,0.6238,0.4996,0.5617,0.3577,0.3279,0.3428
1,0.1024,0.8028,0.7854,0.8231,0.9321,0.8776,0.6194,0.4816,0.5505,0.3748,0.3631,0.3689
1.1,0.1414,0.7945,0.7746,0.8314,0.9126,0.872,0.6163,0.4672,0.5417,0.3934,0.3959,0.3947
1.2,0.1781,0.7879,0.7646,0.8383,0.8947,0.8665,0.6142,0.4551,0.5347,0.413,0.4258,0.4194
1.3,0.2109,0.7825,0.7548,0.8436,0.8795,0.8616,0.6129,0.4449,0.5289,0.4324,0.4526,0.4425
1.4,0.2387,0.7785,0.7442,0.8472,0.8674,0.8573,0.6121,0.4362,0.5241,0.4508,0.4767,0.4638
1.5,0.2614,0.7764,0.7336,0.849,0.8589,0.8539,0.6119,0.4291,0.5205,0.4682,0.4984,0.4833
1.6,0.2792,0.7769,0.725,0.8494,0.8543,0.8518,0.6133,0.4239,0.5186,0.4848,0.5182,0.5015
1.7,0.2923,0.7805,0.7202,0.8488,0.8542,0.8515,0.6167,0.4204,0.5185,0.5011,0.5367,0.5189
1.8,0.3,0.7873,0.7186,0.8475,0.8591,0.8533,0.6217,0.4181,0.5199,0.5166,0.5535,0.5351
1.9,0.3014,0.7967,0.7182,0.8451,0.8685,0.8568,0.6275,0.4167,0.5221,0.5309,0.5678,0.5494
2,0.2957,0.8073,0.7173,0.8411,0.8818,0.8614,0.6328,0.4153,0.5241,0.5442,0.5789,0.5615
2.1,0.2827,0.8179,0.7151,0.835,0.8977,0.8663,0.6361,0.4133,0.5247,0.5566,0.5861,0.5714
2.2,0.2627,0.8275,0.7112,0.8262,0.9149,0.8706,0.6361,0.4093,0.5227,0.5677,0.5894,0.5786
2.3,0.2357,0.8352,0.7048,0.8142,0.9319,0.8731,0.6326,0.4027,0.5176,0.5766,0.5884,0.5825
2.4,0.2009,0.8397,0.6945,0.7981,0.9478,0.873,0.6258,0.3933,0.5096,0.5826,0.5823,0.5825
2.5,0.1578,0.8398,0.6784,0.7772,0.9625,0.8698,0.6163,0.3816,0.499,0.5855,0.571,0.5782
2.6,0.1074,0.8353,0.6561,0.7516,0.9761,0.8639,0.6044,0.3684,0.4864,0.5858,0.5545,0.5702
