Time,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4608,0.3361,0.4636,0.5044,0.4444,0.4744,0.6763,0.6389,0.6576,0.5364,0.503,0.5197
0.1,0.4391,0.3244,0.4398,0.5228,0.4433,0.483,0.6702,0.6272,0.6487,0.5293,0.4868,0.5081
0.2,0.42,0.3171,0.4159,0.5441,0.4463,0.4952,0.6656,0.616,0.6408,0.5204,0.4709,0.4956
0.3,0.4033,0.3146,0.3924,0.5677,0.4533,0.5105,0.6621,0.6055,0.6338,0.5102,0.4558,0.483
0.4,0.3899,0.3176,0.37,0.5933,0.464,0.5287,0.6594,0.5959,0.6276,0.4993,0.442,0.4707
0.5,0.3807,0.3272,0.3492,0.6207,0.4785,0.5496,0.6571,0.5874,0.6223,0.4886,0.4302,0.4594
0.6,0.3752,0.3434,0.3306,0.6492,0.4962,0.5727,0.6548,0.5803,0.6175,0.4784,0.4207,0.4496
0.7,0.3706,0.365,0.3142,0.677,0.5167,0.5969,0.6523,0.5744,0.6133,0.4691,0.4136,0.4413
0.8,0.3644,0.3907,0.3003,0.7027,0.5391,0.6209,0.6495,0.5693,0.6094,0.4607,0.4087,0.4347
0.9,0.3557,0.4189,0.2897,0.725,0.5624,0.6437,0.6462,0.565,0.6056,0.4535,0.4061,0.4298
1,0.3444,0.4482,0.2834,0.7432,0.5853,0.6643,0.6423,0.561,0.6017,0.4474,0.4056,0.4265
1.1,0.3315,0.4771,0.2814,0.7571,0.6063,0.6817,0.6382,0.5573,0.5977,0.4426,0.4072,0.4249
1.2,0.3189,0.5044,0.2835,0.7671,0.6235,0.6953,0.6342,0.5539,0.5941,0.4393,0.4111,0.4252
1.3,0.3076,0.5289,0.2894,0.7736,0.6363,0.7049,0.6306,0.5507,0.5907,0.4377,0.4169,0.4273
1.4,0.2972,0.5497,0.2989,0.7765,0.6448,0.7106,0.627,0.5472,0.5871,0.4379,0.4244,0.4311
1.5,0.2881,0.5662,0.3119,0.7764,0.6493,0.7129,0.623,0.543,0.583,0.4397,0.4332,0.4365
1.6,0.281,0.5786,0.328,0.7743,0.6505,0.7124,0.6181,0.5379,0.578,0.4431,0.4426,0.4429
1.7,0.277,0.5873,0.347,0.7713,0.6487,0.71,0.6118,0.5321,0.5719,0.4477,0.452,0.4499
1.8,0.276,0.5928,0.3678,0.768,0.6439,0.706,0.6041,0.5256,0.5648,0.4539,0.4614,0.4576
1.9,0.2775,0.5953,0.3894,0.7646,0.6359,0.7002,0.5951,0.5188,0.5569,0.4618,0.4708,0.4663
2,0.2815,0.5956,0.4109,0.7614,0.6251,0.6932,0.5851,0.5121,0.5486,0.472,0.4804,0.4762
