Time,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30,Unicef - Always there in emergencies 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3242,0.7137,0.5559,0.743,0.9193,0.8312,0.5194,0.6196,0.5695,0.7017,0.7536,0.7276
0.1,-0.3386,0.7269,0.5312,0.7848,0.9262,0.8555,0.5187,0.6072,0.563,0.6877,0.7299,0.7088
0.2,-0.352,0.7363,0.507,0.8172,0.9298,0.8735,0.5196,0.5951,0.5574,0.6735,0.7038,0.6886
0.3,-0.3642,0.7423,0.4848,0.8408,0.9299,0.8854,0.5218,0.5841,0.553,0.6592,0.6768,0.668
0.4,-0.3747,0.7453,0.4655,0.8567,0.9262,0.8914,0.5246,0.5743,0.5494,0.6449,0.6503,0.6476
0.5,-0.3829,0.7454,0.4492,0.8654,0.9186,0.892,0.5271,0.5654,0.5462,0.63,0.6249,0.6275
0.6,-0.388,0.7432,0.4363,0.8674,0.9073,0.8873,0.5288,0.5575,0.5431,0.6137,0.6009,0.6073
0.7,-0.3896,0.7391,0.427,0.864,0.8929,0.8784,0.5299,0.5508,0.5403,0.5953,0.578,0.5866
0.8,-0.3877,0.7339,0.4209,0.8578,0.8762,0.867,0.5306,0.5457,0.5382,0.5747,0.556,0.5653
0.9,-0.3825,0.7281,0.4171,0.8511,0.8583,0.8547,0.531,0.542,0.5365,0.5522,0.5349,0.5436
1,-0.3745,0.7218,0.4148,0.8447,0.8398,0.8422,0.5308,0.5384,0.5346,0.5285,0.5152,0.5219
1.1,-0.3649,0.7145,0.4135,0.8377,0.8213,0.8295,0.529,0.5335,0.5312,0.5043,0.4975,0.5009
1.2,-0.3545,0.7059,0.4131,0.8292,0.803,0.8161,0.5249,0.5266,0.5258,0.4803,0.4822,0.4812
1.3,-0.344,0.6958,0.4137,0.8187,0.7855,0.8021,0.5183,0.5179,0.5181,0.4565,0.4692,0.4629
1.4,-0.3342,0.6843,0.4149,0.8064,0.769,0.7877,0.5084,0.5075,0.508,0.433,0.4575,0.4452
1.5,-0.3256,0.6712,0.4162,0.7927,0.7532,0.773,0.4951,0.4954,0.4953,0.4097,0.4469,0.4283
1.6,-0.3185,0.6561,0.4168,0.7777,0.7379,0.7578,0.4781,0.4815,0.4798,0.3876,0.4375,0.4126
1.7,-0.3119,0.6388,0.4173,0.7619,0.7227,0.7423,0.4582,0.4656,0.4619,0.3676,0.4304,0.399
1.8,-0.3042,0.62,0.4189,0.7462,0.7079,0.727,0.4371,0.4489,0.443,0.3514,0.4268,0.3891
1.9,-0.2941,0.601,0.4234,0.732,0.6931,0.7125,0.4168,0.4337,0.4253,0.3405,0.4279,0.3842
2,-0.281,0.5827,0.4317,0.72,0.6776,0.6988,0.3993,0.4225,0.4109,0.3357,0.4349,0.3853
2.1,-0.2645,0.5648,0.4442,0.7101,0.6604,0.6852,0.3852,0.4163,0.4008,0.3374,0.4484,0.3929
2.2,-0.2441,0.5463,0.4605,0.7008,0.6402,0.6705,0.375,0.4146,0.3948,0.3456,0.4684,0.407
2.3,-0.2192,0.526,0.4797,0.691,0.6161,0.6535,0.3686,0.4162,0.3924,0.3601,0.4944,0.4273
2.4,-0.1894,0.5035,0.5008,0.6804,0.5876,0.634,0.3662,0.4203,0.3932,0.3808,0.5257,0.4533
2.5,-0.1552,0.4792,0.5222,0.6698,0.5546,0.6122,0.3674,0.4254,0.3964,0.4072,0.5608,0.484
