Time,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC,Youfoodz 30 new Winter items 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0456,0.7748,0.6864,0.8312,0.843,0.8371,0.6892,0.7043,0.6968,0.6428,0.5393,0.5911
0.1,-0.0572,0.7672,0.6855,0.8337,0.8477,0.8407,0.7002,0.7062,0.7032,0.65,0.5421,0.5961
0.2,-0.0638,0.7584,0.6835,0.8334,0.8494,0.8414,0.7084,0.7059,0.7071,0.6564,0.5452,0.6008
0.3,-0.065,0.7487,0.6805,0.8304,0.8479,0.8392,0.7137,0.703,0.7084,0.6624,0.549,0.6057
0.4,-0.0611,0.7388,0.6766,0.825,0.8438,0.8344,0.7162,0.6978,0.707,0.6679,0.5538,0.6108
0.5,-0.0528,0.7293,0.6729,0.8175,0.8375,0.8275,0.7162,0.6908,0.7035,0.673,0.5594,0.6162
0.6,-0.0409,0.7206,0.6699,0.8082,0.8298,0.819,0.7141,0.6832,0.6986,0.6775,0.5657,0.6216
0.7,-0.0259,0.7124,0.6678,0.7976,0.821,0.8093,0.7103,0.6754,0.6928,0.6811,0.5718,0.6265
0.8,-0.0084,0.7046,0.6663,0.7858,0.8112,0.7985,0.7049,0.6676,0.6863,0.6836,0.5772,0.6304
0.9,0.0111,0.6971,0.6651,0.7732,0.8005,0.7869,0.6981,0.66,0.6791,0.6848,0.5813,0.633
1,0.0318,0.6903,0.6638,0.7602,0.7892,0.7747,0.6901,0.6526,0.6713,0.6843,0.5835,0.6339
1.1,0.0523,0.6848,0.6628,0.7471,0.7776,0.7624,0.681,0.6458,0.6634,0.6823,0.5839,0.6331
1.2,0.0715,0.6811,0.6622,0.7343,0.7664,0.7503,0.6713,0.6403,0.6558,0.6789,0.5831,0.631
1.3,0.0882,0.6792,0.6624,0.7222,0.756,0.7391,0.6614,0.6365,0.649,0.6747,0.5816,0.6282
1.4,0.1016,0.6789,0.6631,0.711,0.7465,0.7288,0.6517,0.6345,0.6431,0.6701,0.58,0.625
1.5,0.1114,0.6799,0.664,0.7008,0.7378,0.7193,0.6421,0.6342,0.6382,0.6655,0.5781,0.6218
1.6,0.1175,0.6821,0.665,0.6914,0.7295,0.7105,0.6329,0.6355,0.6342,0.6608,0.5757,0.6183
1.7,0.1199,0.6855,0.666,0.683,0.7219,0.7024,0.6246,0.6385,0.6315,0.6562,0.5724,0.6143
1.8,0.1187,0.6901,0.6669,0.6757,0.7152,0.6955,0.6178,0.643,0.6304,0.6519,0.5683,0.6101
1.9,0.1137,0.6959,0.6681,0.6702,0.7101,0.6901,0.6134,0.6495,0.6314,0.6481,0.5641,0.6061
2,0.1051,0.7026,0.6702,0.6666,0.7066,0.6866,0.6116,0.6581,0.6349,0.6454,0.5608,0.6031
2.1,0.0927,0.71,0.6738,0.6648,0.7048,0.6848,0.6124,0.6688,0.6406,0.6439,0.5589,0.6014
2.2,0.0768,0.7177,0.6787,0.6648,0.7046,0.6847,0.6152,0.6812,0.6482,0.6433,0.5586,0.6009
2.3,0.0581,0.7252,0.6846,0.6669,0.7058,0.6863,0.6201,0.6949,0.6575,0.6434,0.5597,0.6016
2.4,0.0377,0.7318,0.6911,0.671,0.7082,0.6896,0.6271,0.7093,0.6682,0.6444,0.5624,0.6034
2.5,0.0163,0.7368,0.698,0.6771,0.7113,0.6942,0.6359,0.7235,0.6797,0.6465,0.5671,0.6068
2.6,-0.0056,0.7397,0.7055,0.6846,0.7147,0.6997,0.6459,0.7371,0.6915,0.6498,0.5741,0.6119
2.7,-0.0285,0.7406,0.7136,0.6932,0.7184,0.7058,0.6561,0.7494,0.7028,0.6546,0.5834,0.619
2.8,-0.0523,0.7397,0.7223,0.7023,0.7225,0.7124,0.6661,0.7602,0.7131,0.6608,0.5947,0.6278
2.9,-0.0761,0.7373,0.7315,0.7117,0.7268,0.7192,0.6759,0.7693,0.7226,0.6685,0.6079,0.6382
3,-0.0986,0.7332,0.7411,0.7212,0.7308,0.726,0.6859,0.7765,0.7312,0.6775,0.6229,0.6502
3.1,-0.1189,0.7277,0.751,0.7307,0.7342,0.7325,0.6961,0.7817,0.7389,0.688,0.6396,0.6638
3.2,-0.1361,0.721,0.7614,0.7401,0.7365,0.7383,0.7063,0.785,0.7457,0.6998,0.6582,0.679
3.3,-0.1502,0.7135,0.7722,0.7493,0.7376,0.7435,0.716,0.7867,0.7514,0.7126,0.6785,0.6955
3.4,-0.1609,0.7057,0.7834,0.758,0.7376,0.7478,0.7251,0.7869,0.756,0.7261,0.7,0.7131
3.5,-0.1676,0.698,0.7946,0.7659,0.7362,0.7511,0.7333,0.7859,0.7596,0.7396,0.7222,0.7309
3.6,-0.1697,0.6907,0.8051,0.7727,0.7335,0.7531,0.7405,0.7833,0.7619,0.7523,0.7439,0.7481
3.7,-0.1668,0.6841,0.8142,0.7782,0.7295,0.7538,0.7462,0.7789,0.7625,0.7634,0.7641,0.7638
3.8,-0.159,0.6782,0.8214,0.7822,0.7246,0.7534,0.7496,0.7726,0.7611,0.7723,0.7818,0.777
3.9,-0.147,0.6725,0.8258,0.7846,0.719,0.7518,0.7501,0.7643,0.7572,0.7784,0.7963,0.7874
4,-0.1321,0.6665,0.8269,0.785,0.7121,0.7485,0.7476,0.7538,0.7507,0.7816,0.8072,0.7944
4.1,-0.1154,0.6598,0.8246,0.7829,0.7037,0.7433,0.742,0.7413,0.7417,0.7815,0.8141,0.7978
4.2,-0.0983,0.6528,0.8197,0.7783,0.6937,0.736,0.7335,0.7271,0.7303,0.778,0.8171,0.7975
4.3,-0.0817,0.6464,0.8132,0.7712,0.6829,0.7271,0.7223,0.7117,0.717,0.7708,0.8165,0.7937
4.4,-0.0664,0.6415,0.8058,0.7622,0.6722,0.7172,0.7089,0.696,0.7024,0.7603,0.813,0.7866
4.5,-0.0529,0.6389,0.7977,0.7516,0.6622,0.7069,0.6938,0.6803,0.6871,0.7468,0.807,0.7769
4.6,-0.0421,0.6385,0.7888,0.7396,0.6531,0.6963,0.6776,0.6649,0.6713,0.7309,0.799,0.765
4.7,-0.035,0.6395,0.7789,0.7258,0.6446,0.6852,0.6604,0.6499,0.6551,0.7133,0.789,0.7512
4.8,-0.0324,0.6415,0.7679,0.7098,0.6363,0.673,0.6423,0.635,0.6387,0.6943,0.7773,0.7358
4.9,-0.0341,0.6442,0.7563,0.6919,0.6285,0.6602,0.6237,0.6205,0.6221,0.6746,0.7642,0.7194
5,-0.0395,0.6476,0.7444,0.6728,0.6219,0.6473,0.6054,0.6072,0.6063,0.6547,0.7506,0.7026
5.1,-0.0478,0.6517,0.7326,0.6531,0.6169,0.635,0.5884,0.5957,0.5921,0.6349,0.7369,0.6859
5.2,-0.0588,0.6559,0.7213,0.6331,0.6133,0.6232,0.5732,0.5865,0.5799,0.6156,0.7236,0.6696
5.3,-0.0725,0.6595,0.7104,0.6128,0.6104,0.6116,0.5598,0.5795,0.5697,0.5973,0.7103,0.6538
5.4,-0.0882,0.6618,0.7002,0.5923,0.6077,0.6,0.5479,0.5743,0.5611,0.5805,0.6966,0.6386
5.5,-0.1048,0.6624,0.6902,0.572,0.6046,0.5883,0.5373,0.5704,0.5538,0.5654,0.6821,0.6237
5.6,-0.121,0.661,0.6804,0.5522,0.6007,0.5764,0.5282,0.5674,0.5478,0.5522,0.6665,0.6093
5.7,-0.1354,0.6574,0.6704,0.5331,0.5957,0.5644,0.5206,0.565,0.5428,0.5408,0.6498,0.5953
5.8,-0.1471,0.652,0.6606,0.5152,0.5898,0.5525,0.5145,0.563,0.5388,0.531,0.632,0.5815
5.9,-0.1557,0.6457,0.6515,0.499,0.5834,0.5412,0.5094,0.5613,0.5354,0.5232,0.6134,0.5683
6,-0.1605,0.6394,0.6439,0.4854,0.5774,0.5314,0.5055,0.56,0.5327,0.5175,0.5948,0.5562
6.1,-0.1609,0.6338,0.6385,0.4752,0.5727,0.5239,0.5035,0.5594,0.5315,0.5147,0.5774,0.546
6.2,-0.1564,0.629,0.6357,0.4685,0.5694,0.519,0.5041,0.5598,0.532,0.5148,0.5623,0.5385
