Time,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC,Youi - Cant Find It 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3975,0.562,0.5503,0.559,0.4654,0.5122,0.5267,0.5355,0.5311,0.3986,0.5786,0.4886
0.1,-0.4695,0.5467,0.557,0.577,0.5007,0.5389,0.508,0.5523,0.5301,0.3975,0.5841,0.4908
0.2,-0.524,0.5329,0.5568,0.5975,0.5317,0.5646,0.4912,0.5677,0.5294,0.3975,0.5905,0.494
0.3,-0.5622,0.5223,0.5512,0.62,0.5589,0.5895,0.4781,0.5821,0.5301,0.3989,0.5976,0.4983
0.4,-0.5863,0.516,0.5426,0.6442,0.5833,0.6137,0.4699,0.5966,0.5333,0.4014,0.6048,0.5031
0.5,-0.5984,0.5145,0.5328,0.6693,0.6048,0.6371,0.4666,0.6115,0.5391,0.4036,0.6112,0.5074
0.6,-0.5987,0.5176,0.5221,0.6935,0.6224,0.6579,0.4673,0.6258,0.5466,0.4041,0.6161,0.5101
0.7,-0.588,0.5242,0.5104,0.7146,0.635,0.6748,0.4705,0.6377,0.5541,0.402,0.6191,0.5105
0.8,-0.5681,0.5327,0.4984,0.7316,0.6422,0.6869,0.475,0.6462,0.5606,0.3969,0.6199,0.5084
0.9,-0.5413,0.5417,0.4864,0.7446,0.6441,0.6943,0.48,0.6516,0.5658,0.3887,0.6182,0.5034
1,-0.51,0.5502,0.4741,0.7542,0.6417,0.6979,0.4852,0.6544,0.5698,0.3774,0.6132,0.4953
1.1,-0.4754,0.5577,0.4612,0.7613,0.6359,0.6986,0.4903,0.6553,0.5728,0.3631,0.6048,0.484
1.2,-0.4384,0.5637,0.4474,0.7664,0.6271,0.6967,0.4951,0.6539,0.5745,0.3461,0.593,0.4695
1.3,-0.4,0.5674,0.4325,0.7695,0.6152,0.6924,0.4993,0.6497,0.5745,0.326,0.5783,0.4521
1.4,-0.3611,0.5684,0.4164,0.7705,0.6002,0.6853,0.5024,0.6424,0.5724,0.3025,0.5615,0.432
1.5,-0.3225,0.5671,0.3991,0.7696,0.5824,0.676,0.5046,0.6326,0.5686,0.2762,0.543,0.4096
1.6,-0.284,0.5636,0.3811,0.7673,0.5624,0.6648,0.5067,0.6218,0.5643,0.2485,0.5237,0.3861
1.7,-0.245,0.5577,0.3628,0.7637,0.5407,0.6522,0.51,0.6116,0.5608,0.2212,0.5047,0.3629
1.8,-0.2054,0.5489,0.346,0.7586,0.5176,0.6381,0.5154,0.6037,0.5595,0.196,0.4873,0.3417
1.9,-0.1655,0.5367,0.3326,0.7513,0.4936,0.6225,0.5231,0.5997,0.5614,0.1741,0.4735,0.3238
2,-0.1254,0.521,0.3243,0.7412,0.4696,0.6054,0.5324,0.6007,0.5665,0.1561,0.4644,0.3102
2.1,-0.0868,0.5022,0.3222,0.7278,0.4464,0.5871,0.5422,0.607,0.5746,0.1428,0.4608,0.3018
2.2,-0.0512,0.481,0.3268,0.7122,0.4254,0.5688,0.5518,0.6183,0.5851,0.1357,0.4631,0.2994
2.3,-0.02,0.459,0.338,0.6963,0.4081,0.5522,0.5613,0.6343,0.5978,0.1361,0.4709,0.3035
2.4,0.0063,0.4378,0.3557,0.6824,0.396,0.5392,0.5708,0.6545,0.6126,0.1448,0.4838,0.3143
2.5,0.0273,0.419,0.3791,0.6724,0.3902,0.5313,0.5795,0.6783,0.6289,0.1611,0.501,0.3311
2.6,0.0427,0.4035,0.4068,0.6671,0.3912,0.5292,0.5866,0.7047,0.6456,0.1845,0.5223,0.3534
2.7,0.0522,0.3916,0.4372,0.6668,0.3992,0.533,0.5915,0.7328,0.6621,0.2147,0.5476,0.3811
2.8,0.0559,0.3835,0.4692,0.671,0.4137,0.5423,0.5945,0.7619,0.6782,0.2516,0.5768,0.4142
2.9,0.055,0.3787,0.5022,0.6784,0.4336,0.556,0.5961,0.7908,0.6934,0.2948,0.6089,0.4519
3,0.051,0.3766,0.5356,0.6869,0.4578,0.5723,0.5964,0.818,0.7072,0.3426,0.6427,0.4926
3.1,0.0445,0.3767,0.5684,0.6943,0.4843,0.5893,0.5954,0.8418,0.7186,0.3925,0.6765,0.5345
3.2,0.0358,0.379,0.5994,0.6992,0.5122,0.6057,0.5938,0.8611,0.7274,0.4417,0.7088,0.5753
3.3,0.025,0.3838,0.6275,0.7016,0.5407,0.6211,0.5925,0.8754,0.7339,0.4869,0.7386,0.6127
3.4,0.0123,0.3912,0.6521,0.702,0.569,0.6355,0.5924,0.8847,0.7386,0.5255,0.7654,0.6454
3.5,-0.0016,0.4005,0.6737,0.7008,0.5962,0.6485,0.5936,0.8897,0.7416,0.5565,0.7888,0.6726
3.6,-0.0155,0.4106,0.6925,0.698,0.6204,0.6592,0.595,0.8912,0.7431,0.5797,0.8083,0.694
3.7,-0.0292,0.4202,0.7078,0.6932,0.6405,0.6668,0.596,0.8895,0.7427,0.5954,0.8239,0.7096
3.8,-0.0438,0.4285,0.7186,0.6855,0.6557,0.6706,0.5962,0.8843,0.7402,0.6039,0.8354,0.7197
3.9,-0.0604,0.4349,0.7242,0.6744,0.6656,0.67,0.5953,0.8753,0.7353,0.6059,0.8433,0.7246
4,-0.0793,0.439,0.7243,0.6598,0.67,0.6649,0.5933,0.8623,0.7278,0.6022,0.8476,0.7249
4.1,-0.1003,0.4405,0.7191,0.6427,0.6695,0.6561,0.5902,0.8456,0.7179,0.5941,0.8484,0.7213
4.2,-0.1236,0.439,0.709,0.6242,0.6646,0.6444,0.5866,0.8262,0.7064,0.5823,0.8455,0.7139
4.3,-0.1492,0.4347,0.6938,0.6051,0.6564,0.6308,0.5833,0.8047,0.694,0.5673,0.8389,0.7031
4.4,-0.1781,0.4276,0.6735,0.5862,0.6459,0.616,0.581,0.7813,0.6811,0.5499,0.8288,0.6893
4.5,-0.2108,0.4177,0.649,0.5675,0.6335,0.6005,0.5796,0.7561,0.6679,0.5309,0.8159,0.6734
4.6,-0.2472,0.405,0.6222,0.5495,0.6192,0.5843,0.579,0.7295,0.6543,0.5117,0.8007,0.6562
4.7,-0.2858,0.3898,0.5955,0.5325,0.6036,0.5681,0.579,0.7026,0.6408,0.4932,0.784,0.6386
4.8,-0.3241,0.3739,0.5712,0.5179,0.5879,0.5529,0.5799,0.6771,0.6285,0.4768,0.7659,0.6213
4.9,-0.3585,0.3599,0.5512,0.5068,0.574,0.5404,0.5822,0.6546,0.6184,0.4635,0.7464,0.605
5,-0.3859,0.3492,0.5363,0.4997,0.5627,0.5312,0.5853,0.636,0.6106,0.454,0.7255,0.5898
5.1,-0.4047,0.3412,0.5268,0.4961,0.5534,0.5247,0.5879,0.6214,0.6046,0.4485,0.703,0.5757
5.2,-0.4149,0.3347,0.5225,0.4952,0.5451,0.5202,0.589,0.6104,0.5997,0.4471,0.6787,0.5629
5.3,-0.4174,0.3282,0.5228,0.4966,0.5373,0.5169,0.5886,0.6026,0.5956,0.4499,0.6532,0.5516
5.4,-0.413,0.3212,0.5269,0.5002,0.5299,0.5151,0.5872,0.5982,0.5927,0.4569,0.6274,0.5421
5.5,-0.4027,0.3137,0.5334,0.5065,0.5231,0.5148,0.585,0.5968,0.5909,0.468,0.6022,0.5351
5.6,-0.3867,0.3062,0.5412,0.5158,0.5166,0.5162,0.5816,0.5979,0.5898,0.4825,0.5782,0.5303
5.7,-0.3642,0.2987,0.5493,0.5274,0.5096,0.5185,0.5765,0.6007,0.5886,0.4985,0.5557,0.5271
5.8,-0.3345,0.291,0.5573,0.54,0.5012,0.5206,0.5689,0.6044,0.5866,0.5144,0.5347,0.5245
5.9,-0.2971,0.2825,0.5649,0.5519,0.4906,0.5213,0.5586,0.6083,0.5835,0.5289,0.5154,0.5221
6,-0.2521,0.2729,0.5723,0.562,0.4773,0.5197,0.5452,0.612,0.5786,0.5416,0.4981,0.5198
6.1,-0.2,0.2623,0.5796,0.5701,0.4605,0.5153,0.528,0.6145,0.5713,0.5525,0.4827,0.5176
