Time,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0327,0.6266,0.8183,0.8386,0.6634,0.751,0.8508,0.7158,0.7833,0.8278,0.9469,0.8874
0.1,0.029,0.6216,0.7892,0.8154,0.6819,0.7487,0.8357,0.7094,0.7726,0.8283,0.9333,0.8808
0.2,0.0356,0.6131,0.7564,0.7896,0.6942,0.7419,0.8162,0.7008,0.7585,0.824,0.9165,0.8702
0.3,0.0513,0.6013,0.7231,0.7615,0.6998,0.7307,0.7932,0.6911,0.7421,0.8149,0.8973,0.8561
0.4,0.073,0.5874,0.6922,0.7327,0.7002,0.7164,0.7679,0.6816,0.7248,0.8017,0.8768,0.8392
0.5,0.098,0.5727,0.6648,0.7049,0.6972,0.701,0.7412,0.6729,0.7071,0.7852,0.8559,0.8206
0.6,0.1252,0.5583,0.6401,0.6798,0.6924,0.6861,0.7127,0.6648,0.6887,0.7662,0.835,0.8006
0.7,0.1543,0.5446,0.6171,0.6577,0.6869,0.6723,0.6823,0.6561,0.6692,0.7452,0.8138,0.7795
0.8,0.1842,0.5316,0.5947,0.6379,0.681,0.6594,0.6505,0.6461,0.6483,0.7221,0.7922,0.7572
0.9,0.2135,0.5189,0.5726,0.6197,0.675,0.6473,0.6183,0.6344,0.6264,0.6977,0.7702,0.7339
1,0.2411,0.5072,0.551,0.6028,0.6691,0.636,0.5867,0.6211,0.6039,0.6726,0.7481,0.7103
1.1,0.2675,0.4972,0.5298,0.5879,0.6641,0.626,0.5564,0.6064,0.5814,0.6479,0.7263,0.6871
1.2,0.2931,0.4898,0.509,0.5756,0.6601,0.6179,0.5278,0.5909,0.5593,0.6242,0.7054,0.6648
1.3,0.3179,0.4852,0.4889,0.5664,0.6578,0.6121,0.5012,0.575,0.5381,0.6013,0.6855,0.6434
1.4,0.341,0.4832,0.47,0.5609,0.6572,0.6091,0.4767,0.5595,0.5181,0.5789,0.6667,0.6228
1.5,0.3615,0.4836,0.4524,0.5592,0.6583,0.6088,0.4545,0.5448,0.4997,0.5569,0.6489,0.6029
1.6,0.3793,0.4864,0.4361,0.5614,0.6604,0.6109,0.435,0.5314,0.4832,0.5356,0.6326,0.5841
1.7,0.3945,0.492,0.4211,0.5671,0.6633,0.6152,0.4187,0.5198,0.4692,0.5157,0.6184,0.5671
1.8,0.4068,0.5002,0.4078,0.5756,0.6665,0.6211,0.4067,0.5107,0.4587,0.4979,0.607,0.5525
1.9,0.4153,0.5106,0.3974,0.5865,0.6704,0.6284,0.3999,0.505,0.4524,0.4822,0.5986,0.5404
