Time,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0804,0.4676,0.4381,0.3786,0.3809,0.3797,0.8424,0.4018,0.6221,0.4985,0.539,0.5188
0.1,0.0619,0.4716,0.4582,0.3785,0.4158,0.3972,0.8275,0.4117,0.6196,0.5222,0.5778,0.55
0.2,0.0405,0.4764,0.4823,0.3819,0.4529,0.4174,0.8141,0.4251,0.6196,0.5453,0.6149,0.5801
0.3,0.0169,0.4818,0.5101,0.3886,0.4915,0.4401,0.8002,0.4419,0.6211,0.5669,0.6486,0.6077
0.4,-0.0084,0.4874,0.5417,0.3984,0.5307,0.4646,0.7845,0.4622,0.6233,0.586,0.6771,0.6315
0.5,-0.0353,0.493,0.5766,0.4103,0.5695,0.4899,0.7665,0.4855,0.626,0.6019,0.6992,0.6506
0.6,-0.0628,0.4982,0.613,0.4234,0.6066,0.515,0.7465,0.5108,0.6287,0.6143,0.7147,0.6645
0.7,-0.0911,0.5031,0.6487,0.4365,0.6418,0.5391,0.7247,0.5369,0.6308,0.6238,0.7239,0.6739
0.8,-0.121,0.5083,0.6824,0.4489,0.6753,0.5621,0.7016,0.5625,0.632,0.6311,0.7277,0.6794
0.9,-0.1537,0.5142,0.7137,0.4602,0.7076,0.5839,0.6773,0.5872,0.6323,0.637,0.7278,0.6824
1,-0.1908,0.5212,0.7416,0.4698,0.739,0.6044,0.6525,0.6109,0.6317,0.6418,0.7249,0.6834
1.1,-0.2328,0.5295,0.7653,0.4776,0.7688,0.6232,0.628,0.6333,0.6306,0.6454,0.7196,0.6825
1.2,-0.2789,0.5391,0.7843,0.4834,0.7964,0.6399,0.6048,0.6539,0.6294,0.6476,0.7125,0.6801
1.3,-0.3281,0.5504,0.799,0.4876,0.8212,0.6544,0.5842,0.6725,0.6284,0.6494,0.7043,0.6769
1.4,-0.3798,0.5641,0.8103,0.4912,0.8431,0.6671,0.5673,0.689,0.6281,0.6514,0.696,0.6737
1.5,-0.4328,0.5809,0.8189,0.4957,0.8622,0.6789,0.5554,0.7031,0.6292,0.6535,0.6881,0.6708
1.6,-0.4852,0.6011,0.8251,0.5018,0.8786,0.6902,0.5501,0.7147,0.6324,0.6556,0.6811,0.6683
1.7,-0.5337,0.6241,0.8286,0.5096,0.8921,0.7008,0.5531,0.7231,0.6381,0.6573,0.6753,0.6663
1.8,-0.5752,0.6484,0.8281,0.5184,0.902,0.7102,0.5657,0.7277,0.6467,0.6589,0.6714,0.6651
1.9,-0.6075,0.6726,0.8228,0.527,0.908,0.7175,0.5878,0.7278,0.6578,0.6609,0.6696,0.6653
2,-0.63,0.6954,0.8129,0.5346,0.9099,0.7223,0.6179,0.7234,0.6707,0.6636,0.6705,0.6671
2.1,-0.6427,0.7159,0.7995,0.5405,0.9081,0.7243,0.654,0.7153,0.6847,0.6669,0.6744,0.6707
2.2,-0.6463,0.7334,0.7842,0.5443,0.903,0.7236,0.6944,0.7043,0.6994,0.6705,0.6816,0.676
2.3,-0.641,0.7472,0.7679,0.5459,0.8952,0.7205,0.738,0.691,0.7145,0.6739,0.6919,0.6829
2.4,-0.6274,0.7566,0.7506,0.5458,0.8854,0.7156,0.7837,0.675,0.7293,0.6769,0.7046,0.6908
2.5,-0.6066,0.7614,0.7325,0.5449,0.8744,0.7097,0.8302,0.6561,0.7432,0.6796,0.7189,0.6993
2.6,-0.5803,0.7615,0.7138,0.5442,0.8632,0.7037,0.876,0.635,0.7555,0.6821,0.7342,0.7082
2.7,-0.55,0.7573,0.6953,0.5442,0.8528,0.6985,0.9195,0.6125,0.766,0.6853,0.7507,0.718
2.8,-0.5169,0.7494,0.6776,0.5452,0.8441,0.6946,0.9593,0.5902,0.7747,0.6907,0.7687,0.7297
2.9,-0.4817,0.7383,0.6618,0.547,0.8375,0.6923,0.9945,0.5691,0.7818,0.6997,0.7883,0.744
3,-0.4452,0.725,0.6486,0.5493,0.8334,0.6914,1.0252,0.5501,0.7876,0.7134,0.8085,0.761
3.1,-0.4078,0.7103,0.6374,0.5513,0.8314,0.6913,1.0512,0.5338,0.7925,0.7317,0.8285,0.7801
3.2,-0.37,0.6946,0.6273,0.5525,0.83,0.6912,1.0725,0.5206,0.7966,0.7545,0.8475,0.801
3.3,-0.3318,0.678,0.6176,0.5525,0.8275,0.69,1.088,0.5109,0.7994,0.7821,0.8655,0.8238
3.4,-0.293,0.6606,0.6078,0.5514,0.8225,0.6869,1.096,0.5041,0.8001,0.8146,0.8824,0.8485
3.5,-0.2534,0.6429,0.5972,0.5494,0.8142,0.6818,1.0952,0.4994,0.7973,0.8508,0.8974,0.8741
3.6,-0.2127,0.6255,0.5856,0.5465,0.8022,0.6744,1.0852,0.4956,0.7904,0.8874,0.9099,0.8986
3.7,-0.1707,0.6084,0.5736,0.5426,0.7862,0.6644,1.0668,0.4919,0.7793,0.9204,0.919,0.9197
3.8,-0.1276,0.5916,0.5612,0.537,0.7663,0.6516,1.0416,0.4875,0.7646,0.9474,0.9246,0.936
3.9,-0.0846,0.5748,0.5481,0.5295,0.743,0.6363,1.0111,0.4817,0.7464,0.968,0.9274,0.9477
4,-0.0437,0.5583,0.5339,0.5205,0.7177,0.6191,0.9764,0.4735,0.725,0.9829,0.9283,0.9556
4.1,-0.0064,0.5422,0.5193,0.5099,0.6919,0.6009,0.9386,0.4629,0.7007,0.9921,0.9277,0.9599
4.2,0.0257,0.5265,0.5055,0.4977,0.6668,0.5823,0.8991,0.4506,0.6748,0.995,0.9253,0.9601
4.3,0.0521,0.5107,0.4927,0.4833,0.6424,0.5629,0.8589,0.4375,0.6482,0.9907,0.9201,0.9554
4.4,0.073,0.4942,0.4806,0.4667,0.6181,0.5424,0.8185,0.4243,0.6214,0.9792,0.9106,0.9449
4.5,0.0887,0.477,0.4692,0.4484,0.5938,0.5211,0.7783,0.4117,0.595,0.9614,0.8963,0.9288
4.6,0.0998,0.4593,0.4589,0.4296,0.5701,0.4998,0.7391,0.3998,0.5694,0.9388,0.8775,0.9081
4.7,0.107,0.4413,0.4498,0.4115,0.5481,0.4798,0.7013,0.3887,0.545,0.9124,0.8551,0.8838
4.8,0.1113,0.4234,0.4415,0.3953,0.5289,0.4621,0.665,0.3783,0.5217,0.8827,0.8296,0.8562
4.9,0.1132,0.4059,0.4336,0.3821,0.5124,0.4473,0.6301,0.3686,0.4993,0.8498,0.8016,0.8257
5,0.1125,0.3894,0.4258,0.3725,0.4987,0.4356,0.5965,0.3598,0.4782,0.8146,0.772,0.7933
5.1,0.1089,0.3745,0.4189,0.367,0.4876,0.4273,0.5641,0.3529,0.4585,0.7783,0.7426,0.7604
5.2,0.1023,0.3618,0.4143,0.3662,0.4794,0.4228,0.533,0.3492,0.4411,0.7425,0.7155,0.729
5.3,0.0918,0.3515,0.4136,0.3705,0.4739,0.4222,0.503,0.3496,0.4263,0.7082,0.6924,0.7003
5.4,0.0759,0.3436,0.4175,0.3795,0.4712,0.4253,0.4739,0.3546,0.4142,0.676,0.6738,0.6749
5.5,0.053,0.3378,0.4264,0.3919,0.4707,0.4313,0.4459,0.3641,0.405,0.6466,0.6602,0.6534
