Time,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi,Scholl Velvet - Smoot Express Pedi
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1739,0.6354,0.579,0.6716,0.6635,0.6675,0.6281,0.6599,0.644,0.5448,0.5862,0.5655
0.1,-0.1881,0.6373,0.5668,0.6727,0.6712,0.672,0.6172,0.6487,0.633,0.5466,0.5852,0.5659
0.2,-0.2003,0.6356,0.5541,0.6724,0.677,0.6747,0.6055,0.6375,0.6215,0.5494,0.5849,0.5672
0.3,-0.2094,0.6301,0.5411,0.6707,0.6806,0.6756,0.5933,0.6263,0.6098,0.5529,0.5849,0.5689
0.4,-0.2145,0.6205,0.528,0.6681,0.6816,0.6748,0.5808,0.615,0.5979,0.5563,0.5846,0.5705
0.5,-0.2156,0.607,0.5148,0.665,0.6798,0.6724,0.5681,0.6036,0.5858,0.5591,0.5838,0.5714
0.6,-0.2128,0.5903,0.5023,0.6615,0.6751,0.6683,0.5555,0.5925,0.574,0.5611,0.5825,0.5718
0.7,-0.2064,0.5711,0.4915,0.6576,0.6679,0.6627,0.5437,0.5823,0.563,0.5626,0.5811,0.5718
0.8,-0.1972,0.5508,0.4836,0.6531,0.6589,0.656,0.5335,0.5735,0.5535,0.5638,0.5798,0.5718
0.9,-0.1857,0.5306,0.4797,0.6482,0.6491,0.6486,0.5257,0.5667,0.5462,0.565,0.579,0.572
1,-0.1722,0.5115,0.4803,0.6431,0.6392,0.6412,0.5211,0.5622,0.5416,0.5667,0.5791,0.5729
1.1,-0.1569,0.4943,0.4853,0.6381,0.6298,0.6339,0.5202,0.5604,0.5403,0.5692,0.5807,0.575
1.2,-0.1402,0.4794,0.4948,0.6331,0.6213,0.6272,0.5235,0.562,0.5427,0.573,0.5845,0.5787
1.3,-0.1226,0.4673,0.5086,0.6284,0.6149,0.6217,0.5311,0.5676,0.5494,0.5787,0.591,0.5848
1.4,-0.1045,0.4586,0.5265,0.6246,0.6118,0.6182,0.5431,0.5775,0.5603,0.5867,0.6002,0.5935
1.5,-0.0857,0.4537,0.5479,0.6222,0.6129,0.6176,0.5589,0.5911,0.575,0.597,0.6117,0.6044
1.6,-0.0655,0.4528,0.5712,0.6222,0.6186,0.6204,0.578,0.6075,0.5927,0.6092,0.6244,0.6168
1.7,-0.0442,0.4556,0.5948,0.6247,0.6283,0.6265,0.5995,0.6253,0.6124,0.6226,0.6374,0.63
1.8,-0.0232,0.4617,0.6172,0.6296,0.641,0.6353,0.6222,0.6432,0.6327,0.637,0.6498,0.6434
1.9,-0.0039,0.4708,0.6376,0.6364,0.6555,0.6459,0.6451,0.6601,0.6526,0.6522,0.6611,0.6567
2,0.0119,0.4821,0.6554,0.645,0.6713,0.6581,0.6673,0.6755,0.6714,0.6681,0.6712,0.6696
