Time,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC,Smoothskin Bare Hair Removal TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0983,0.4949,0.4953,0.474,0.4035,0.4388,0.5018,0.5404,0.5211,0.5621,0.4774,0.5198
0.1,0.127,0.4974,0.4997,0.4915,0.4208,0.4562,0.5338,0.5579,0.5458,0.595,0.509,0.552
0.2,0.156,0.4984,0.5058,0.5068,0.4382,0.4725,0.5665,0.5755,0.571,0.6304,0.5434,0.5869
0.3,0.1855,0.4979,0.5143,0.5204,0.4556,0.488,0.599,0.5937,0.5963,0.6674,0.5802,0.6238
0.4,0.2149,0.4963,0.5255,0.5328,0.4734,0.5031,0.6302,0.6124,0.6213,0.7045,0.6186,0.6616
0.5,0.2431,0.4942,0.5391,0.5443,0.4914,0.5179,0.659,0.6312,0.6451,0.7403,0.6578,0.6991
0.6,0.269,0.4919,0.554,0.5549,0.5092,0.5321,0.684,0.6494,0.6667,0.7735,0.6967,0.7351
0.7,0.2916,0.49,0.569,0.5645,0.5259,0.5452,0.7046,0.6663,0.6855,0.8035,0.7345,0.769
0.8,0.31,0.4889,0.5836,0.5735,0.5413,0.5574,0.7202,0.6819,0.701,0.83,0.7707,0.8003
0.9,0.3235,0.4891,0.5979,0.5826,0.556,0.5693,0.7307,0.6962,0.7134,0.8528,0.8052,0.829
1,0.3312,0.4908,0.6121,0.5921,0.5705,0.5813,0.7367,0.7093,0.723,0.8719,0.8377,0.8548
1.1,0.3329,0.4936,0.6259,0.6015,0.5844,0.5929,0.7394,0.721,0.7302,0.8871,0.8674,0.8773
1.2,0.3298,0.4971,0.6387,0.61,0.5962,0.6031,0.7393,0.7307,0.735,0.8983,0.8934,0.8958
1.3,0.3231,0.5006,0.6497,0.617,0.6052,0.6111,0.7368,0.7383,0.7375,0.9054,0.9149,0.9101
1.4,0.3136,0.5038,0.6589,0.6224,0.6115,0.6169,0.7325,0.7436,0.738,0.9091,0.9315,0.9203
1.5,0.302,0.5066,0.6672,0.6262,0.6161,0.6212,0.7272,0.7471,0.7372,0.9102,0.9433,0.9267
1.6,0.2885,0.5095,0.6754,0.6289,0.62,0.6244,0.7222,0.7495,0.7358,0.9091,0.9506,0.9298
1.7,0.2738,0.5127,0.6839,0.6308,0.6233,0.6271,0.7181,0.7512,0.7346,0.9058,0.9536,0.9297
1.8,0.2587,0.5162,0.6923,0.6326,0.626,0.6293,0.715,0.7525,0.7338,0.9002,0.9526,0.9264
1.9,0.2436,0.5194,0.7004,0.6344,0.628,0.6312,0.7126,0.7535,0.733,0.8923,0.9477,0.92
2,0.2286,0.5223,0.7078,0.6364,0.6293,0.6329,0.7101,0.754,0.7321,0.8825,0.9394,0.9109
2.1,0.2142,0.5251,0.7148,0.6387,0.6302,0.6344,0.7074,0.7539,0.7307,0.8708,0.9278,0.8993
2.2,0.2015,0.5283,0.7215,0.6409,0.6308,0.6359,0.7043,0.7532,0.7288,0.8575,0.913,0.8853
2.3,0.1914,0.5325,0.7275,0.6431,0.6309,0.637,0.7009,0.7518,0.7263,0.8429,0.8952,0.869
2.4,0.1849,0.5377,0.7321,0.645,0.6302,0.6376,0.6972,0.7495,0.7233,0.8271,0.8749,0.851
2.5,0.1819,0.5435,0.7345,0.6462,0.6278,0.637,0.6929,0.7462,0.7196,0.8103,0.853,0.8316
2.6,0.1818,0.5492,0.7341,0.6462,0.6233,0.6347,0.6881,0.7418,0.7149,0.7925,0.83,0.8112
2.7,0.1841,0.5544,0.7311,0.6446,0.6162,0.6304,0.6829,0.7365,0.7097,0.7738,0.8064,0.7901
2.8,0.1887,0.5588,0.7257,0.6417,0.6067,0.6242,0.678,0.7309,0.7044,0.7544,0.7826,0.7685
2.9,0.195,0.5627,0.7185,0.6382,0.5957,0.6169,0.6739,0.7257,0.6998,0.735,0.7596,0.7473
3,0.2027,0.5661,0.7098,0.635,0.584,0.6095,0.671,0.7217,0.6963,0.7164,0.7384,0.7274
3.1,0.2115,0.5693,0.6996,0.6322,0.5724,0.6023,0.6693,0.7192,0.6943,0.6993,0.7204,0.7098
3.2,0.2208,0.5725,0.6878,0.6296,0.5615,0.5955,0.6685,0.7184,0.6934,0.684,0.7064,0.6952
3.3,0.2293,0.5759,0.675,0.6275,0.5517,0.5896,0.668,0.7189,0.6935,0.6707,0.6967,0.6837
3.4,0.2362,0.5799,0.6616,0.6263,0.5435,0.5849,0.6675,0.7209,0.6942,0.6594,0.6908,0.6751
3.5,0.2406,0.5848,0.6482,0.6267,0.5373,0.582,0.6669,0.7243,0.6956,0.6503,0.689,0.6696
3.6,0.2426,0.5904,0.6356,0.6292,0.5334,0.5813,0.6665,0.729,0.6978,0.6438,0.6913,0.6676
3.7,0.2421,0.5965,0.6242,0.6334,0.5314,0.5824,0.6665,0.7345,0.7005,0.64,0.6979,0.6689
3.8,0.2394,0.6025,0.6142,0.6388,0.5308,0.5848,0.6668,0.7401,0.7035,0.6383,0.7083,0.6733
3.9,0.2345,0.6082,0.6054,0.6446,0.5309,0.5878,0.6671,0.7451,0.7061,0.638,0.7216,0.6798
4,0.2273,0.6139,0.5973,0.6507,0.5317,0.5912,0.667,0.7487,0.7078,0.6384,0.7371,0.6878
4.1,0.2176,0.6201,0.5899,0.6569,0.5336,0.5953,0.6666,0.7509,0.7087,0.6394,0.7543,0.6968
4.2,0.2053,0.6274,0.5829,0.6636,0.5373,0.6005,0.666,0.7518,0.7089,0.6411,0.7727,0.7069
4.3,0.1905,0.6363,0.5764,0.6707,0.5429,0.6068,0.6653,0.7517,0.7085,0.6431,0.7918,0.7174
4.4,0.1729,0.6463,0.5703,0.6781,0.5501,0.6141,0.6645,0.7502,0.7073,0.6448,0.8106,0.7277
4.5,0.1527,0.6573,0.5643,0.6854,0.5582,0.6218,0.6632,0.7472,0.7052,0.6457,0.8282,0.7369
4.6,0.1298,0.6693,0.5583,0.6926,0.5669,0.6298,0.6616,0.7424,0.702,0.646,0.844,0.745
4.7,0.1045,0.6829,0.5527,0.7002,0.5764,0.6383,0.6602,0.7363,0.6983,0.6467,0.8581,0.7524
4.8,0.0767,0.6985,0.548,0.7084,0.5871,0.6477,0.6593,0.7292,0.6943,0.6488,0.8707,0.7597
4.9,0.0466,0.7162,0.5445,0.7175,0.5985,0.658,0.6588,0.7213,0.6901,0.6522,0.8816,0.7669
5,0.0145,0.7357,0.5421,0.7273,0.6101,0.6687,0.6582,0.7121,0.6851,0.6566,0.8903,0.7734
5.1,-0.0184,0.7564,0.5404,0.7378,0.6208,0.6793,0.6567,0.7011,0.6789,0.6617,0.896,0.7788
5.2,-0.0501,0.7781,0.5395,0.7492,0.6302,0.6897,0.6541,0.6881,0.6711,0.6676,0.8982,0.7829
5.3,-0.0784,0.8002,0.5392,0.7614,0.6384,0.6999,0.6509,0.6734,0.6621,0.6741,0.8961,0.7851
5.4,-0.1009,0.8218,0.5395,0.7741,0.6456,0.7098,0.6475,0.6571,0.6523,0.6812,0.8891,0.7852
5.5,-0.1156,0.8416,0.54,0.786,0.6517,0.7189,0.644,0.6395,0.6417,0.6881,0.8772,0.7827
5.6,-0.1205,0.858,0.5403,0.7959,0.6562,0.726,0.6403,0.6207,0.6305,0.6944,0.8603,0.7773
5.7,-0.1143,0.8697,0.5401,0.8029,0.6584,0.7307,0.6365,0.6014,0.6189,0.6999,0.8391,0.7695
5.8,-0.097,0.8762,0.5401,0.8072,0.6587,0.7329,0.6331,0.5826,0.6078,0.7049,0.8151,0.76
5.9,-0.0694,0.877,0.541,0.8095,0.6577,0.7336,0.6307,0.5653,0.598,0.7094,0.7898,0.7496
6,-0.0339,0.8719,0.5435,0.8102,0.6566,0.7334,0.6294,0.5503,0.5899,0.713,0.764,0.7385
6.1,0.0069,0.8612,0.5475,0.8095,0.6556,0.7326,0.6289,0.5379,0.5834,0.715,0.7382,0.7266
6.2,0.0501,0.8462,0.5529,0.8077,0.6554,0.7316,0.6287,0.5287,0.5787,0.7152,0.7128,0.714
6.3,0.0935,0.8288,0.5598,0.8051,0.6566,0.7309,0.6294,0.5235,0.5765,0.7139,0.6887,0.7013
6.4,0.1354,0.8112,0.5685,0.8024,0.6599,0.7311,0.6313,0.5232,0.5773,0.7117,0.6669,0.6893
6.5,0.1748,0.7946,0.5794,0.7996,0.6653,0.7325,0.6351,0.5282,0.5816,0.7093,0.6484,0.6788
