Time,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding,Spark - Wedding
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4259,0.5528,0.5712,0.6634,0.6124,0.6379,0.6578,0.6111,0.6344,0.5328,0.5615,0.5471
0.1,-0.4302,0.541,0.5765,0.6722,0.6154,0.6438,0.6851,0.622,0.6535,0.5541,0.5754,0.5647
0.2,-0.4203,0.5273,0.5839,0.6809,0.6179,0.6494,0.7119,0.6339,0.6729,0.5781,0.5916,0.5849
0.3,-0.3983,0.5124,0.593,0.6893,0.62,0.6547,0.7378,0.6465,0.6922,0.6043,0.6096,0.607
0.4,-0.3658,0.4973,0.6034,0.6974,0.622,0.6597,0.7625,0.6594,0.7109,0.632,0.6288,0.6304
0.5,-0.3251,0.4832,0.6147,0.705,0.6243,0.6647,0.7853,0.6721,0.7287,0.6607,0.6488,0.6548
0.6,-0.2785,0.4714,0.6263,0.712,0.6274,0.6697,0.8057,0.6844,0.7451,0.6897,0.6691,0.6794
0.7,-0.228,0.463,0.6378,0.7184,0.6316,0.675,0.8232,0.6958,0.7595,0.7185,0.6892,0.7038
0.8,-0.1747,0.4581,0.649,0.7238,0.6367,0.6803,0.8377,0.706,0.7719,0.7464,0.7085,0.7274
0.9,-0.1194,0.456,0.6601,0.7278,0.6423,0.685,0.8492,0.7148,0.782,0.7729,0.7264,0.7497
1,-0.0629,0.4563,0.6709,0.7299,0.6479,0.6889,0.8576,0.7219,0.7898,0.7974,0.7425,0.77
1.1,-0.0069,0.4586,0.6817,0.73,0.6537,0.6919,0.8633,0.7272,0.7953,0.8195,0.7565,0.788
1.2,0.0462,0.4629,0.6926,0.7283,0.66,0.6941,0.8667,0.7308,0.7988,0.8391,0.7681,0.8036
1.3,0.0944,0.4688,0.704,0.7248,0.667,0.6959,0.8683,0.7326,0.8004,0.8559,0.7772,0.8165
1.4,0.1359,0.4759,0.7157,0.7195,0.6755,0.6975,0.8682,0.733,0.8006,0.8696,0.7838,0.8267
1.5,0.1692,0.4837,0.7273,0.7122,0.6862,0.6992,0.8667,0.7324,0.7996,0.8801,0.7876,0.8338
1.6,0.193,0.4916,0.7384,0.7028,0.7,0.7014,0.8642,0.7312,0.7977,0.8872,0.7885,0.8378
1.7,0.2072,0.4996,0.7482,0.6919,0.7163,0.7041,0.8609,0.7297,0.7953,0.891,0.7866,0.8388
1.8,0.2124,0.5081,0.7559,0.6805,0.7337,0.7071,0.8576,0.7281,0.7928,0.8917,0.7826,0.8371
1.9,0.2095,0.5176,0.7604,0.6696,0.7507,0.7102,0.8547,0.7265,0.7906,0.8894,0.7767,0.8331
2,0.1997,0.5282,0.7616,0.6596,0.7664,0.713,0.8526,0.7252,0.7889,0.8845,0.7695,0.827
2.1,0.1847,0.5394,0.7601,0.6502,0.7801,0.7151,0.8516,0.7243,0.788,0.8775,0.7612,0.8193
