Time,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC,Speight's - The Speech 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1252,0.245,0.5268,0.374,0.311,0.3425,0.248,0.4322,0.3401,0.2134,0.1326,0.173
0.1,0.0945,0.2338,0.5196,0.3771,0.3321,0.3546,0.2848,0.4473,0.3661,0.2252,0.1741,0.1997
0.2,0.065,0.2281,0.5136,0.3851,0.3558,0.3704,0.322,0.463,0.3925,0.2467,0.2178,0.2323
0.3,0.0384,0.2276,0.5086,0.3965,0.3811,0.3888,0.3589,0.4787,0.4188,0.2788,0.2635,0.2711
0.4,0.0164,0.2319,0.5037,0.4096,0.4061,0.4079,0.3938,0.4935,0.4437,0.3212,0.3106,0.3159
0.5,-0.0001,0.2398,0.498,0.4237,0.4292,0.4264,0.4248,0.5061,0.4655,0.3721,0.3578,0.365
0.6,-0.0113,0.2503,0.4916,0.4382,0.4496,0.4439,0.4511,0.5155,0.4833,0.4283,0.4035,0.4159
0.7,-0.0182,0.2627,0.4849,0.4525,0.4675,0.46,0.4724,0.5215,0.497,0.4849,0.4463,0.4656
0.8,-0.0221,0.2766,0.4783,0.4658,0.4836,0.4747,0.4893,0.5242,0.5067,0.5376,0.4854,0.5115
0.9,-0.024,0.2923,0.4718,0.4777,0.4986,0.4881,0.5015,0.5242,0.5129,0.5832,0.5203,0.5518
1,-0.0252,0.3103,0.4652,0.4883,0.5135,0.5009,0.5091,0.5222,0.5157,0.6202,0.5505,0.5854
1.1,-0.0265,0.3306,0.4588,0.4984,0.5287,0.5135,0.5117,0.5191,0.5154,0.6491,0.5759,0.6125
1.2,-0.0286,0.3528,0.4531,0.5081,0.544,0.526,0.5096,0.515,0.5123,0.6713,0.5968,0.634
1.3,-0.0325,0.3759,0.4489,0.5172,0.5587,0.5379,0.5038,0.5099,0.5068,0.6877,0.6139,0.6508
1.4,-0.0384,0.399,0.4463,0.5251,0.5718,0.5484,0.4952,0.5035,0.4994,0.6991,0.6277,0.6634
1.5,-0.0462,0.4212,0.4456,0.5315,0.5825,0.557,0.4844,0.4965,0.4905,0.7053,0.6387,0.672
1.6,-0.0555,0.4416,0.4475,0.536,0.5903,0.5632,0.4722,0.4896,0.4809,0.7062,0.6475,0.6769
1.7,-0.0656,0.4595,0.4528,0.5386,0.5949,0.5668,0.4594,0.4838,0.4716,0.7016,0.655,0.6783
1.8,-0.0753,0.4751,0.4625,0.5399,0.5962,0.5681,0.4478,0.4796,0.4637,0.6921,0.6624,0.6772
1.9,-0.084,0.489,0.4771,0.541,0.5949,0.5679,0.4394,0.4782,0.4588,0.6786,0.6705,0.6745
2,-0.0918,0.5013,0.4971,0.5426,0.5912,0.5669,0.4357,0.4804,0.458,0.6619,0.6789,0.6704
2.1,-0.099,0.512,0.5222,0.545,0.5855,0.5652,0.4368,0.4862,0.4615,0.642,0.6869,0.6644
2.2,-0.1054,0.5203,0.5508,0.548,0.5778,0.5629,0.4424,0.495,0.4687,0.6189,0.6934,0.6562
2.3,-0.1102,0.5259,0.5809,0.5513,0.5679,0.5596,0.4517,0.5051,0.4784,0.593,0.6975,0.6452
2.4,-0.1124,0.529,0.6109,0.5547,0.5556,0.5552,0.4642,0.515,0.4896,0.5651,0.6992,0.6322
2.5,-0.111,0.5297,0.6401,0.5584,0.5409,0.5497,0.4795,0.5234,0.5014,0.5366,0.699,0.6178
2.6,-0.1054,0.5278,0.6679,0.5629,0.5237,0.5433,0.4972,0.5302,0.5137,0.5085,0.697,0.6027
2.7,-0.0957,0.5235,0.6935,0.5686,0.5043,0.5364,0.5166,0.5356,0.5261,0.4813,0.6926,0.587
2.8,-0.0828,0.517,0.7163,0.5751,0.4829,0.529,0.5368,0.5397,0.5383,0.4554,0.6859,0.5707
2.9,-0.0683,0.5089,0.7365,0.5819,0.4604,0.5212,0.5567,0.5428,0.5497,0.4312,0.6772,0.5542
3,-0.0534,0.4997,0.7548,0.5882,0.4373,0.5128,0.575,0.545,0.56,0.4091,0.6672,0.5381
