Time,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.202,0.7746,0.8577,0.7631,0.6782,0.7206,0.8581,0.9298,0.894,0.8128,0.9583,0.8855
0.1,0.2159,0.7854,0.8385,0.7621,0.6704,0.7162,0.858,0.93,0.894,0.8068,0.9543,0.8806
0.2,0.2324,0.797,0.8201,0.7626,0.6624,0.7125,0.8566,0.9277,0.8921,0.7999,0.948,0.8739
0.3,0.2504,0.8096,0.8024,0.7644,0.655,0.7097,0.854,0.9231,0.8885,0.7922,0.9396,0.8659
0.4,0.2692,0.8225,0.7857,0.7662,0.6482,0.7072,0.8506,0.9157,0.8832,0.7839,0.9293,0.8566
0.5,0.2883,0.8351,0.7699,0.7671,0.6414,0.7042,0.8461,0.9055,0.8758,0.7747,0.9172,0.846
0.6,0.3077,0.8474,0.7546,0.7669,0.6345,0.7007,0.8405,0.8923,0.8664,0.7647,0.9031,0.8339
0.7,0.3274,0.86,0.7395,0.7664,0.6283,0.6973,0.8344,0.8765,0.8554,0.7545,0.8875,0.821
0.8,0.3475,0.8738,0.7247,0.7667,0.6234,0.6951,0.8284,0.8588,0.8436,0.7452,0.8714,0.8083
0.9,0.367,0.8885,0.7105,0.7687,0.6198,0.6942,0.8234,0.8403,0.8318,0.7375,0.856,0.7968
1,0.3845,0.9035,0.6974,0.7726,0.617,0.6948,0.8199,0.8219,0.8209,0.732,0.8419,0.7869
1.1,0.3982,0.9177,0.685,0.7785,0.6152,0.6968,0.8178,0.8046,0.8112,0.728,0.8291,0.7785
1.2,0.4064,0.9301,0.6732,0.7862,0.6146,0.7004,0.8166,0.7895,0.803,0.7248,0.8172,0.771
1.3,0.4081,0.94,0.6621,0.7954,0.6156,0.7055,0.8158,0.7775,0.7966,0.7218,0.8063,0.764
1.4,0.4032,0.9467,0.6521,0.8055,0.618,0.7117,0.8156,0.7689,0.7922,0.7191,0.7965,0.7578
1.5,0.3927,0.95,0.644,0.8154,0.6208,0.7181,0.8158,0.7638,0.7898,0.7168,0.7879,0.7524
1.6,0.378,0.95,0.638,0.825,0.6237,0.7244,0.8165,0.7618,0.7892,0.7144,0.7804,0.7474
1.7,0.3605,0.9469,0.6339,0.8342,0.6267,0.7304,0.8173,0.7625,0.7899,0.7114,0.7737,0.7425
1.8,0.3407,0.9413,0.6318,0.8429,0.6305,0.7367,0.818,0.7657,0.7918,0.7071,0.7678,0.7375
1.9,0.3182,0.9339,0.6317,0.851,0.6359,0.7435,0.8182,0.7714,0.7948,0.7018,0.763,0.7324
2,0.2931,0.9252,0.6341,0.8583,0.6431,0.7507,0.8179,0.7798,0.7989,0.6958,0.7592,0.7275
2.1,0.2666,0.9155,0.6392,0.864,0.6517,0.7579,0.8167,0.791,0.8038,0.6889,0.7561,0.7225
2.2,0.2406,0.9043,0.6466,0.8673,0.6608,0.7641,0.8138,0.8044,0.8091,0.6808,0.7532,0.717
2.3,0.2169,0.891,0.6551,0.8674,0.669,0.7682,0.8087,0.819,0.8139,0.6707,0.7504,0.7106
2.4,0.1965,0.8756,0.6638,0.8636,0.6753,0.7694,0.8007,0.8338,0.8173,0.6586,0.7471,0.7029
