Time,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC,Steel Blue Boots 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3324,0.5899,0.3677,0.4524,0.3792,0.4158,0.3967,0.4289,0.4128,0.1645,0.3839,0.2742
0.1,0.3154,0.5886,0.3664,0.4674,0.3869,0.4271,0.3677,0.4352,0.4015,0.1756,0.3784,0.277
0.2,0.2971,0.5901,0.3657,0.486,0.3951,0.4406,0.3445,0.4451,0.3948,0.1888,0.3715,0.2802
0.3,0.2786,0.5937,0.365,0.5076,0.4038,0.4557,0.327,0.4571,0.392,0.2041,0.3636,0.2839
0.4,0.2611,0.5987,0.3638,0.531,0.4131,0.472,0.3149,0.4692,0.3921,0.2211,0.3553,0.2882
0.5,0.246,0.6043,0.3616,0.5551,0.4227,0.4889,0.3078,0.4803,0.394,0.2393,0.3472,0.2932
0.6,0.2338,0.61,0.3585,0.5788,0.4322,0.5055,0.3052,0.4894,0.3973,0.2583,0.3398,0.299
0.7,0.2243,0.6151,0.3546,0.6014,0.4408,0.5211,0.307,0.4964,0.4017,0.2785,0.3337,0.3061
0.8,0.2164,0.619,0.3502,0.6221,0.4479,0.535,0.3132,0.5014,0.4073,0.2999,0.3293,0.3146
0.9,0.2092,0.6211,0.3458,0.6404,0.453,0.5467,0.3234,0.5045,0.4139,0.3225,0.3269,0.3247
1,0.2013,0.6214,0.3419,0.6553,0.4561,0.5557,0.3373,0.5057,0.4215,0.3454,0.3265,0.3359
1.1,0.1917,0.6201,0.3391,0.6668,0.4577,0.5622,0.3545,0.5055,0.43,0.3679,0.3282,0.3481
1.2,0.1795,0.6175,0.3376,0.6746,0.4582,0.5664,0.3742,0.5045,0.4393,0.3894,0.3323,0.3608
1.3,0.1649,0.614,0.3377,0.6791,0.4581,0.5686,0.3957,0.5032,0.4495,0.409,0.339,0.374
1.4,0.1484,0.6095,0.3398,0.6808,0.4578,0.5693,0.419,0.5022,0.4606,0.4263,0.3482,0.3872
1.5,0.1307,0.6036,0.3446,0.6804,0.4573,0.5689,0.4442,0.5021,0.4732,0.4413,0.3597,0.4005
1.6,0.1128,0.5965,0.3524,0.6784,0.4568,0.5676,0.4717,0.5038,0.4877,0.4541,0.3732,0.4137
1.7,0.0955,0.5881,0.363,0.6751,0.4562,0.5656,0.5014,0.5075,0.5044,0.4649,0.3887,0.4268
1.8,0.0795,0.5784,0.3759,0.6708,0.4555,0.5632,0.5328,0.5129,0.5228,0.4736,0.406,0.4398
1.9,0.0656,0.5673,0.3904,0.6662,0.4547,0.5604,0.5652,0.5196,0.5424,0.4802,0.425,0.4526
2,0.0542,0.5548,0.4061,0.6616,0.4538,0.5577,0.5979,0.5275,0.5627,0.4847,0.4457,0.4652
2.1,0.0458,0.541,0.4232,0.6576,0.4531,0.5554,0.6304,0.5373,0.5839,0.4877,0.4683,0.478
2.2,0.0402,0.5266,0.4422,0.655,0.4525,0.5537,0.6626,0.5498,0.6062,0.4899,0.493,0.4915
2.3,0.0369,0.512,0.4634,0.6542,0.4517,0.553,0.6938,0.565,0.6294,0.4919,0.5192,0.5056
2.4,0.036,0.4975,0.4863,0.6558,0.4502,0.553,0.7235,0.5818,0.6526,0.494,0.5464,0.5202
2.5,0.0373,0.4832,0.5098,0.6597,0.4477,0.5537,0.7503,0.5989,0.6746,0.4964,0.5738,0.5351
2.6,0.0406,0.4695,0.5321,0.6656,0.4439,0.5548,0.7732,0.6154,0.6943,0.4993,0.601,0.5502
2.7,0.0451,0.4572,0.5524,0.6728,0.4389,0.5559,0.7918,0.6314,0.7116,0.5029,0.6271,0.565
2.8,0.05,0.4472,0.5704,0.6802,0.4329,0.5565,0.807,0.6475,0.7273,0.5071,0.6511,0.5791
