Time,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC,Subaru - Do EOFY 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.082,0.8601,0.7561,0.793,0.7497,0.7713,0.4343,0.6828,0.5586,0.6056,0.5752,0.5904
0.1,0.0931,0.8686,0.7668,0.8033,0.7578,0.7805,0.4408,0.6805,0.5606,0.6094,0.5804,0.5949
0.2,0.0981,0.8739,0.7781,0.8115,0.7662,0.7889,0.4493,0.6798,0.5646,0.6138,0.5872,0.6005
0.3,0.0955,0.8752,0.7895,0.8164,0.7742,0.7953,0.4588,0.6799,0.5693,0.6179,0.5951,0.6065
0.4,0.0841,0.8724,0.8004,0.8175,0.7808,0.7992,0.4678,0.6798,0.5738,0.6213,0.6035,0.6124
0.5,0.0634,0.8655,0.8098,0.8146,0.7856,0.8001,0.4756,0.6785,0.577,0.6232,0.6116,0.6174
0.6,0.0332,0.8542,0.8166,0.8073,0.788,0.7976,0.4818,0.6754,0.5786,0.6237,0.6196,0.6217
0.7,-0.0059,0.8386,0.8206,0.795,0.7874,0.7912,0.4865,0.6706,0.5785,0.6233,0.6279,0.6256
0.8,-0.0532,0.819,0.8221,0.7774,0.7837,0.7805,0.4901,0.6643,0.5772,0.623,0.6371,0.63
0.9,-0.1073,0.7957,0.8214,0.7552,0.7767,0.7659,0.4926,0.6567,0.5747,0.6232,0.6474,0.6353
1,-0.1662,0.7697,0.8185,0.7297,0.7667,0.7482,0.4938,0.6476,0.5707,0.6241,0.6583,0.6412
1.1,-0.2271,0.7421,0.8129,0.7024,0.7541,0.7283,0.4935,0.6369,0.5652,0.6257,0.6696,0.6477
1.2,-0.287,0.7137,0.804,0.6743,0.7391,0.7067,0.4916,0.6243,0.5579,0.6282,0.6811,0.6546
1.3,-0.3433,0.6853,0.7919,0.6461,0.7223,0.6842,0.488,0.6102,0.5491,0.6319,0.6928,0.6624
1.4,-0.3944,0.6577,0.7775,0.6186,0.704,0.6613,0.4829,0.5954,0.5392,0.6373,0.7053,0.6713
1.5,-0.439,0.6314,0.7615,0.5925,0.6847,0.6386,0.477,0.5808,0.5289,0.645,0.7188,0.6819
1.6,-0.4767,0.6069,0.7444,0.5681,0.6644,0.6162,0.4708,0.5669,0.5188,0.6552,0.7334,0.6943
1.7,-0.5062,0.5842,0.7263,0.5463,0.6432,0.5947,0.4648,0.5539,0.5093,0.6678,0.7488,0.7083
1.8,-0.5263,0.5637,0.7079,0.5279,0.6217,0.5748,0.4595,0.5423,0.5009,0.6823,0.7648,0.7236
1.9,-0.5363,0.5457,0.6901,0.5139,0.6009,0.5574,0.4552,0.5327,0.4939,0.6983,0.781,0.7397
2,-0.5362,0.5311,0.6739,0.5054,0.582,0.5437,0.4524,0.5258,0.4891,0.7152,0.797,0.7561
2.1,-0.5264,0.521,0.6599,0.5028,0.566,0.5344,0.4515,0.5219,0.4867,0.7324,0.8124,0.7724
2.2,-0.5082,0.5165,0.6479,0.5063,0.5539,0.5301,0.4527,0.5212,0.487,0.7492,0.8265,0.7878
2.3,-0.4821,0.5182,0.6377,0.5154,0.5467,0.5311,0.4563,0.5234,0.4899,0.7648,0.8387,0.8018
2.4,-0.4482,0.5264,0.6291,0.5297,0.5449,0.5373,0.4623,0.5282,0.4952,0.7787,0.8489,0.8138
2.5,-0.4059,0.541,0.6227,0.5485,0.5485,0.5485,0.4703,0.5355,0.5029,0.7905,0.857,0.8237
2.6,-0.3546,0.5611,0.6189,0.5711,0.5567,0.5639,0.4799,0.545,0.5125,0.8003,0.8629,0.8316
2.7,-0.295,0.585,0.6181,0.5966,0.5684,0.5825,0.4905,0.5565,0.5235,0.8083,0.8667,0.8375
2.8,-0.2296,0.6114,0.6205,0.6237,0.5825,0.6031,0.5022,0.5695,0.5358,0.8146,0.8687,0.8417
2.9,-0.1623,0.6393,0.6266,0.6515,0.5982,0.6248,0.515,0.5834,0.5492,0.8193,0.8687,0.844
3,-0.0967,0.6678,0.6364,0.6788,0.6149,0.6468,0.5289,0.598,0.5635,0.822,0.8668,0.8444
3.1,-0.0351,0.6957,0.6498,0.7046,0.6319,0.6682,0.5439,0.6129,0.5784,0.823,0.8632,0.8431
3.2,0.0211,0.7215,0.666,0.7276,0.6479,0.6878,0.5592,0.6275,0.5934,0.8227,0.8581,0.8404
