Time,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC,Speights - The Dance TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0895,0.4583,0.6756,0.4869,0.403,0.445,0.6496,0.621,0.6353,0.621,0.623,0.622
0.1,0.0675,0.4672,0.6915,0.5083,0.4146,0.4614,0.6714,0.6454,0.6584,0.621,0.6526,0.6368
0.2,0.0407,0.4773,0.7065,0.53,0.4294,0.4797,0.6918,0.6714,0.6816,0.623,0.6783,0.6506
0.3,0.0103,0.4881,0.7202,0.5514,0.4466,0.499,0.7105,0.6981,0.7043,0.6267,0.7,0.6634
0.4,-0.0225,0.4991,0.7323,0.572,0.4655,0.5188,0.7273,0.7245,0.7259,0.6318,0.7178,0.6748
0.5,-0.0563,0.5102,0.7422,0.591,0.4855,0.5382,0.7418,0.7495,0.7456,0.6379,0.7315,0.6847
0.6,-0.0896,0.5211,0.7491,0.6077,0.5057,0.5567,0.7534,0.7721,0.7627,0.6448,0.7408,0.6928
0.7,-0.1213,0.5316,0.7525,0.6215,0.5256,0.5735,0.7618,0.7912,0.7765,0.652,0.7458,0.6989
0.8,-0.1502,0.5407,0.7527,0.632,0.544,0.588,0.7671,0.8063,0.7867,0.6593,0.7465,0.7029
0.9,-0.1757,0.5474,0.7503,0.6392,0.5599,0.5996,0.7698,0.8171,0.7934,0.6661,0.7432,0.7046
1,-0.1971,0.5507,0.7462,0.6429,0.5722,0.6075,0.7702,0.8233,0.7967,0.6721,0.7361,0.7041
1.1,-0.2144,0.5506,0.7409,0.6432,0.5809,0.612,0.7686,0.8252,0.7969,0.677,0.7259,0.7015
1.2,-0.228,0.5479,0.735,0.6404,0.5865,0.6135,0.7654,0.8238,0.7946,0.6807,0.7135,0.6971
1.3,-0.2383,0.5433,0.7292,0.635,0.5897,0.6123,0.7608,0.8197,0.7902,0.683,0.6996,0.6913
