Time,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC,Subway - Bigger er Feat Hamish Blake 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.227,0.6553,0.9115,0.6069,0.6444,0.6257,0.8526,0.8349,0.8437,0.9353,0.9829,0.9591
0.1,0.2102,0.6556,0.9226,0.613,0.6258,0.6194,0.8477,0.8239,0.8358,0.937,0.9761,0.9565
0.2,0.1908,0.658,0.9307,0.6225,0.6117,0.6171,0.8398,0.8111,0.8255,0.9359,0.9672,0.9515
0.3,0.1699,0.663,0.9354,0.6354,0.6029,0.6192,0.8288,0.7976,0.8132,0.9321,0.9564,0.9442
0.4,0.1481,0.6706,0.9374,0.6512,0.5996,0.6254,0.8151,0.7846,0.7998,0.9262,0.9446,0.9354
0.5,0.1257,0.6796,0.9371,0.6689,0.6009,0.6349,0.7987,0.7725,0.7856,0.9189,0.9326,0.9257
0.6,0.1028,0.6886,0.9348,0.687,0.6058,0.6464,0.7797,0.7614,0.7705,0.9107,0.9209,0.9158
0.7,0.0786,0.6954,0.9308,0.7037,0.6131,0.6584,0.758,0.7508,0.7544,0.9022,0.9096,0.9059
0.8,0.0524,0.699,0.9257,0.7176,0.622,0.6698,0.7333,0.7405,0.7369,0.8935,0.8987,0.8961
0.9,0.0248,0.6989,0.9199,0.728,0.6326,0.6803,0.7054,0.7304,0.7179,0.8852,0.8884,0.8868
1,-0.0029,0.6959,0.9137,0.7353,0.645,0.6901,0.6748,0.7207,0.6978,0.8771,0.8793,0.8782
1.1,-0.0285,0.691,0.9074,0.7406,0.6596,0.7001,0.6429,0.712,0.6774,0.8693,0.872,0.8707
1.2,-0.0508,0.6852,0.901,0.7456,0.6771,0.7113,0.6113,0.7048,0.658,0.8618,0.8667,0.8642
