Time,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis,Subway - New Hot Grilled Paninis
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3659,0.5444,0.6427,0.5179,0.8032,0.6605,0.712,0.6225,0.6673,0.4718,0.553,0.5124
0.1,-0.4039,0.5576,0.6437,0.5107,0.806,0.6584,0.7134,0.6139,0.6636,0.4773,0.5481,0.5127
0.2,-0.4416,0.5709,0.6425,0.5032,0.8058,0.6545,0.7107,0.6055,0.6581,0.4798,0.5409,0.5103
0.3,-0.4776,0.5839,0.6391,0.4956,0.8022,0.6489,0.7041,0.5976,0.6508,0.4791,0.5315,0.5053
0.4,-0.5103,0.596,0.6342,0.4879,0.7949,0.6414,0.6943,0.5908,0.6426,0.4761,0.5207,0.4984
0.5,-0.5383,0.6067,0.6289,0.4798,0.7834,0.6316,0.6821,0.5858,0.634,0.4718,0.5096,0.4907
0.6,-0.5607,0.616,0.6238,0.4711,0.7679,0.6195,0.6679,0.5832,0.6255,0.4671,0.4992,0.4832
0.7,-0.5773,0.6241,0.6197,0.462,0.749,0.6055,0.6518,0.5828,0.6173,0.4626,0.4904,0.4765
0.8,-0.5884,0.6315,0.6166,0.4528,0.7276,0.5902,0.6338,0.5843,0.6091,0.4581,0.4833,0.4707
0.9,-0.5945,0.6388,0.6147,0.4439,0.7044,0.5742,0.6141,0.5872,0.6006,0.4539,0.478,0.466
1,-0.5961,0.6465,0.6141,0.4358,0.6807,0.5583,0.5931,0.5912,0.5922,0.4506,0.4749,0.4627
1.1,-0.5934,0.6549,0.6148,0.4293,0.6575,0.5434,0.5716,0.5961,0.5839,0.4484,0.4742,0.4613
1.2,-0.5866,0.6641,0.6162,0.4247,0.6358,0.5302,0.5501,0.6015,0.5758,0.4476,0.4758,0.4617
1.3,-0.5758,0.674,0.6181,0.4222,0.6161,0.5192,0.5294,0.6069,0.5682,0.4481,0.4794,0.4638
1.4,-0.5611,0.6842,0.6202,0.4221,0.5988,0.5105,0.5103,0.6123,0.5613,0.45,0.4846,0.4673
1.5,-0.5426,0.6943,0.6224,0.4248,0.584,0.5044,0.4939,0.6175,0.5557,0.4538,0.4917,0.4728
1.6,-0.5201,0.7038,0.6247,0.4305,0.5717,0.5011,0.481,0.6222,0.5516,0.4598,0.5011,0.4805
1.7,-0.4936,0.7122,0.6272,0.4392,0.5617,0.5004,0.4722,0.6259,0.5491,0.4683,0.513,0.4907
1.8,-0.4636,0.7191,0.6298,0.4501,0.5538,0.502,0.4673,0.6281,0.5477,0.4788,0.5272,0.503
1.9,-0.4314,0.7243,0.6322,0.4624,0.5481,0.5053,0.4659,0.6286,0.5473,0.4906,0.5427,0.5167
2,-0.3985,0.7278,0.6339,0.4751,0.5447,0.5099,0.4676,0.6276,0.5476,0.503,0.5584,0.5307
2.1,-0.3656,0.7295,0.6344,0.4878,0.5435,0.5157,0.4719,0.6255,0.5487,0.5155,0.5735,0.5445
2.2,-0.3326,0.7292,0.6334,0.5005,0.5442,0.5223,0.4779,0.6223,0.5501,0.5273,0.5872,0.5573
2.3,-0.2988,0.7268,0.6307,0.513,0.5456,0.5293,0.4845,0.6182,0.5514,0.5382,0.5994,0.5688
2.4,-0.2641,0.7224,0.6265,0.5254,0.5468,0.5361,0.4908,0.6134,0.5521,0.548,0.6102,0.5791
2.5,-0.2289,0.7162,0.6213,0.5376,0.5469,0.5422,0.4964,0.6086,0.5525,0.5571,0.6197,0.5884
2.6,-0.1945,0.709,0.6152,0.5494,0.5458,0.5476,0.5013,0.6044,0.5528,0.5657,0.6281,0.5969
2.7,-0.1616,0.7014,0.6086,0.5609,0.5441,0.5525,0.5054,0.6009,0.5531,0.5739,0.6355,0.6047
2.8,-0.131,0.6938,0.602,0.5718,0.5423,0.5571,0.5082,0.5983,0.5532,0.5814,0.6418,0.6116
2.9,-0.1037,0.6862,0.5957,0.5823,0.5408,0.5615,0.5093,0.5965,0.5529,0.5881,0.6473,0.6177
3,-0.0799,0.6792,0.5903,0.5924,0.5398,0.5661,0.5087,0.5958,0.5522,0.5941,0.652,0.6231
3.1,-0.06,0.6732,0.5861,0.6022,0.54,0.5711,0.507,0.5966,0.5518,0.5997,0.6566,0.6281
3.2,-0.0438,0.6687,0.5835,0.612,0.5418,0.5769,0.5051,0.5991,0.5521,0.6053,0.6614,0.6333
3.3,-0.0313,0.6663,0.5828,0.6216,0.5458,0.5837,0.503,0.6032,0.5531,0.611,0.6667,0.6388
3.4,-0.0225,0.6661,0.5837,0.6313,0.5522,0.5918,0.5009,0.6087,0.5548,0.6166,0.6725,0.6446
3.5,-0.0168,0.6681,0.586,0.6409,0.5611,0.601,0.4988,0.6155,0.5572,0.622,0.6788,0.6504
3.6,-0.0135,0.6723,0.589,0.6503,0.5714,0.6109,0.4972,0.6234,0.5603,0.627,0.6853,0.6562
3.7,-0.0119,0.6782,0.5926,0.6593,0.5827,0.621,0.4963,0.6321,0.5642,0.6317,0.6917,0.6617
3.8,-0.0122,0.686,0.5963,0.6678,0.5944,0.6311,0.4963,0.6415,0.5689,0.6365,0.6981,0.6673
3.9,-0.0154,0.6959,0.5997,0.6764,0.6068,0.6416,0.4974,0.6514,0.5744,0.6416,0.7045,0.673
4,-0.0226,0.7084,0.6022,0.6859,0.6202,0.653,0.4995,0.6614,0.5804,0.6466,0.7108,0.6787
4.1,-0.0342,0.7235,0.603,0.6969,0.6349,0.6659,0.5023,0.6711,0.5867,0.6509,0.7166,0.6838
4.2,-0.0494,0.7408,0.6017,0.7102,0.6507,0.6805,0.5057,0.6802,0.5929,0.6537,0.7211,0.6874
4.3,-0.0668,0.76,0.5981,0.726,0.6668,0.6964,0.5097,0.6883,0.599,0.6547,0.7239,0.6893
4.4,-0.085,0.7802,0.5921,0.744,0.6821,0.7131,0.5141,0.6954,0.6048,0.6536,0.7249,0.6893
4.5,-0.1032,0.8009,0.584,0.7641,0.6955,0.7298,0.5189,0.7015,0.6102,0.6506,0.7244,0.6875
4.6,-0.1204,0.821,0.5739,0.7859,0.706,0.746,0.524,0.7064,0.6152,0.6458,0.7229,0.6843
4.7,-0.1357,0.8393,0.5625,0.8089,0.7131,0.761,0.5299,0.71,0.6199,0.6395,0.7207,0.6801
4.8,-0.1481,0.8546,0.5503,0.8324,0.7162,0.7743,0.537,0.7121,0.6245,0.6324,0.7183,0.6753
4.9,-0.1566,0.866,0.5375,0.8549,0.7152,0.7851,0.5453,0.7127,0.629,0.625,0.7159,0.6704
5,-0.1611,0.8732,0.5243,0.8751,0.7106,0.7928,0.5545,0.712,0.6332,0.6176,0.7136,0.6656
5.1,-0.1617,0.8767,0.5109,0.8921,0.7033,0.7977,0.5641,0.7104,0.6373,0.6107,0.7111,0.6609
5.2,-0.1579,0.8777,0.4981,0.906,0.6942,0.8001,0.5741,0.7085,0.6413,0.6048,0.7085,0.6567
5.3,-0.1488,0.8769,0.487,0.9169,0.6836,0.8003,0.5839,0.7064,0.6452,0.6005,0.7062,0.6533
5.4,-0.1336,0.8747,0.4785,0.9251,0.6714,0.7982,0.593,0.7041,0.6485,0.5982,0.7048,0.6515
5.5,-0.1126,0.8706,0.4734,0.9301,0.657,0.7936,0.6004,0.7014,0.6509,0.5981,0.7047,0.6514
5.6,-0.0874,0.8645,0.4719,0.9316,0.6404,0.786,0.6056,0.6982,0.6519,0.6,0.7062,0.6531
5.7,-0.0598,0.8565,0.4745,0.9292,0.6223,0.7758,0.6091,0.6948,0.6519,0.604,0.7093,0.6566
5.8,-0.0314,0.8475,0.4818,0.9233,0.6039,0.7636,0.6116,0.6916,0.6516,0.6105,0.7139,0.6622
5.9,-0.0033,0.8382,0.494,0.9144,0.5866,0.7505,0.614,0.6887,0.6514,0.6195,0.7198,0.6696
