Time,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0953,0.4886,0.5263,0.4548,0.4118,0.4333,0.3928,0.528,0.4604,0.5206,0.5709,0.5457
0.1,0.0736,0.4934,0.5263,0.4533,0.4281,0.4407,0.3652,0.5203,0.4427,0.5266,0.5665,0.5465
0.2,0.0529,0.5007,0.5271,0.4536,0.4452,0.4494,0.3389,0.5106,0.4247,0.5311,0.5604,0.5457
0.3,0.0342,0.5098,0.5285,0.4555,0.4628,0.4592,0.3143,0.4988,0.4066,0.5343,0.5534,0.5439
0.4,0.0185,0.5197,0.5305,0.4593,0.4803,0.4698,0.2918,0.4855,0.3887,0.5365,0.5461,0.5413
0.5,0.0058,0.5299,0.5335,0.4648,0.497,0.4809,0.2722,0.4713,0.3717,0.5375,0.539,0.5382
0.6,-0.0039,0.5401,0.5378,0.4721,0.5122,0.4921,0.2558,0.4567,0.3563,0.5375,0.5328,0.5351
0.7,-0.0107,0.5496,0.5436,0.4806,0.5253,0.503,0.2429,0.4423,0.3426,0.537,0.5279,0.5325
0.8,-0.0147,0.5581,0.5502,0.4899,0.5361,0.513,0.2333,0.4281,0.3307,0.5368,0.5243,0.5306
0.9,-0.0163,0.565,0.5571,0.499,0.5444,0.5217,0.2265,0.4143,0.3204,0.5374,0.5222,0.5298
1,-0.0155,0.5699,0.5644,0.5073,0.5499,0.5286,0.2221,0.401,0.3116,0.5396,0.5218,0.5307
1.1,-0.012,0.5729,0.5726,0.5146,0.5525,0.5336,0.2195,0.3885,0.304,0.5436,0.523,0.5333
1.2,-0.0055,0.5743,0.5827,0.5209,0.5526,0.5368,0.2186,0.3769,0.2977,0.549,0.5255,0.5373
1.3,0.0034,0.5747,0.5944,0.5265,0.5509,0.5387,0.2195,0.3666,0.2931,0.5556,0.5287,0.5422
1.4,0.0135,0.5743,0.6071,0.5315,0.5482,0.5398,0.2228,0.3583,0.2905,0.5631,0.532,0.5476
1.5,0.0237,0.5732,0.6201,0.5358,0.5449,0.5404,0.2287,0.3521,0.2904,0.5714,0.5352,0.5533
1.6,0.0333,0.5713,0.633,0.5392,0.5408,0.54,0.237,0.3484,0.2927,0.5802,0.5383,0.5592
1.7,0.0424,0.5683,0.6462,0.541,0.5352,0.5381,0.2473,0.347,0.2971,0.5896,0.5414,0.5655
1.8,0.0507,0.5641,0.6589,0.5407,0.5277,0.5342,0.2588,0.348,0.3034,0.5993,0.5444,0.5718
