Time,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.541,0.4712,0.6432,0.9498,0.4142,0.682,0.3947,0.4686,0.4317,0.1192,0.204,0.1616
0.1,0.4876,0.494,0.6333,0.9587,0.4383,0.6985,0.3905,0.4651,0.4278,0.1422,0.2258,0.184
0.2,0.427,0.517,0.6229,0.9684,0.463,0.7157,0.3886,0.4636,0.4261,0.1662,0.2519,0.2091
0.3,0.3619,0.5399,0.6126,0.978,0.4875,0.7328,0.3888,0.4638,0.4263,0.1905,0.2811,0.2358
0.4,0.2945,0.562,0.6028,0.9863,0.5113,0.7488,0.3905,0.4652,0.4278,0.2144,0.3124,0.2634
0.5,0.2268,0.5825,0.5939,0.9922,0.5344,0.7633,0.3927,0.4674,0.4301,0.2379,0.3452,0.2915
0.6,0.1594,0.6006,0.586,0.9949,0.557,0.776,0.3947,0.4704,0.4325,0.2606,0.3787,0.3196
0.7,0.0925,0.6162,0.5791,0.9946,0.5796,0.7871,0.3959,0.4739,0.4349,0.2823,0.4116,0.347
0.8,0.0268,0.6299,0.5727,0.9917,0.6023,0.797,0.3963,0.4782,0.4372,0.3029,0.443,0.3729
0.9,-0.0362,0.6418,0.5668,0.9873,0.6253,0.8063,0.3963,0.483,0.4397,0.3222,0.4724,0.3973
1,-0.0954,0.6519,0.5612,0.9817,0.6488,0.8152,0.396,0.4881,0.442,0.3405,0.4992,0.4198
1.1,-0.1507,0.6602,0.5558,0.9751,0.6727,0.8239,0.3952,0.493,0.4441,0.3574,0.5229,0.4401
1.2,-0.2021,0.6667,0.5508,0.9679,0.697,0.8325,0.3941,0.4978,0.4459,0.3727,0.5428,0.4577
1.3,-0.2501,0.6714,0.5463,0.9603,0.7212,0.8407,0.3929,0.5024,0.4477,0.3864,0.5588,0.4726
1.4,-0.2951,0.6747,0.5427,0.952,0.7449,0.8485,0.3921,0.5074,0.4497,0.3987,0.5709,0.4848
1.5,-0.3368,0.6775,0.5404,0.9431,0.7683,0.8557,0.3925,0.513,0.4527,0.4098,0.5793,0.4945
1.6,-0.3749,0.6814,0.5398,0.9343,0.792,0.8632,0.395,0.5196,0.4573,0.4193,0.584,0.5017
1.7,-0.4085,0.6873,0.5406,0.9268,0.8168,0.8718,0.4003,0.5275,0.4639,0.427,0.5852,0.5061
1.8,-0.4385,0.695,0.542,0.9214,0.8423,0.8818,0.4086,0.5364,0.4725,0.4326,0.5833,0.508
1.9,-0.4666,0.7028,0.5428,0.9177,0.8669,0.8923,0.4199,0.546,0.4829,0.4368,0.5793,0.5081
2,-0.4942,0.7093,0.5429,0.9149,0.8889,0.9019,0.4342,0.5561,0.4952,0.4405,0.5745,0.5075
2.1,-0.5215,0.714,0.5425,0.9124,0.9073,0.9098,0.4521,0.5672,0.5097,0.4442,0.5701,0.5072
2.2,-0.5475,0.7174,0.5423,0.9106,0.9223,0.9165,0.4745,0.5797,0.5271,0.4481,0.5666,0.5074
2.3,-0.5703,0.72,0.5426,0.9097,0.9342,0.9219,0.5021,0.5937,0.5479,0.4523,0.5636,0.508
2.4,-0.5886,0.7213,0.5429,0.9096,0.9424,0.926,0.5353,0.6091,0.5722,0.4567,0.5608,0.5087
2.5,-0.6012,0.7208,0.5429,0.9096,0.9458,0.9277,0.5737,0.6252,0.5994,0.4608,0.5573,0.5091
2.6,-0.605,0.7188,0.542,0.9091,0.9435,0.9263,0.6161,0.6414,0.6287,0.4646,0.5528,0.5087
2.7,-0.5958,0.7165,0.5399,0.9074,0.9361,0.9218,0.6603,0.6569,0.6586,0.4674,0.5467,0.507
2.8,-0.5711,0.7148,0.537,0.9042,0.9244,0.9143,0.7041,0.6706,0.6873,0.4691,0.5392,0.5042
2.9,-0.5327,0.7133,0.5335,0.8991,0.9089,0.904,0.7454,0.6813,0.7133,0.4699,0.5311,0.5005
3,-0.485,0.7112,0.5297,0.892,0.8892,0.8906,0.7827,0.6885,0.7356,0.4698,0.5231,0.4964
3.1,-0.4318,0.7084,0.5258,0.883,0.8655,0.8743,0.8151,0.6924,0.7538,0.4685,0.5155,0.492
3.2,-0.3737,0.7058,0.5213,0.8731,0.8388,0.856,0.8424,0.6933,0.7679,0.4658,0.5079,0.4868
3.3,-0.3102,0.704,0.5158,0.8628,0.8106,0.8367,0.8642,0.6911,0.7777,0.4615,0.4996,0.4805
3.4,-0.242,0.7028,0.5085,0.8522,0.7823,0.8173,0.8803,0.6855,0.7829,0.4562,0.4901,0.4732
3.5,-0.1708,0.7016,0.4992,0.8408,0.7545,0.7977,0.8907,0.6766,0.7836,0.4501,0.4797,0.4649
3.6,-0.0977,0.6996,0.4881,0.8291,0.7276,0.7783,0.8955,0.6651,0.7803,0.4434,0.4689,0.4562
3.7,-0.0241,0.6972,0.4759,0.8176,0.7021,0.7598,0.8952,0.6521,0.7736,0.4361,0.4585,0.4473
3.8,0.0502,0.6943,0.4628,0.8068,0.6782,0.7425,0.8901,0.638,0.7641,0.4284,0.4486,0.4385
3.9,0.1255,0.6909,0.4493,0.7968,0.6562,0.7265,0.8808,0.6231,0.752,0.4207,0.4392,0.43
4,0.201,0.6873,0.4359,0.7875,0.6358,0.7117,0.8677,0.6074,0.7375,0.4137,0.4306,0.4222
4.1,0.2755,0.6838,0.4235,0.7795,0.6169,0.6982,0.8516,0.5916,0.7216,0.408,0.423,0.4155
4.2,0.3478,0.6809,0.413,0.7738,0.6,0.6869,0.8336,0.5769,0.7053,0.4038,0.4167,0.4102
4.3,0.4161,0.6789,0.4052,0.7705,0.5869,0.6787,0.8147,0.5647,0.6897,0.4012,0.412,0.4066
4.4,0.4783,0.6784,0.4005,0.7697,0.5798,0.6748,0.7952,0.5558,0.6755,0.4004,0.4091,0.4048
4.5,0.5329,0.6796,0.3988,0.7712,0.5801,0.6757,0.775,0.5506,0.6628,0.4015,0.4079,0.4047
4.6,0.5787,0.6832,0.4003,0.7755,0.5883,0.6819,0.7543,0.5491,0.6517,0.4049,0.4082,0.4066
4.7,0.6149,0.689,0.4049,0.783,0.6036,0.6933,0.7332,0.5507,0.6419,0.4107,0.4107,0.4107
4.8,0.6402,0.6968,0.4123,0.7943,0.6249,0.7096,0.7125,0.5549,0.6337,0.4191,0.4157,0.4174
4.9,0.6526,0.7055,0.422,0.8089,0.6513,0.7301,0.6926,0.5609,0.6268,0.4305,0.4236,0.427
5,0.6501,0.7138,0.4336,0.8258,0.6815,0.7536,0.6737,0.5682,0.621,0.4453,0.4343,0.4398
5.1,0.6317,0.721,0.4468,0.8438,0.7139,0.7788,0.6557,0.5765,0.6161,0.464,0.4473,0.4557
5.2,0.5971,0.7269,0.4617,0.8617,0.7466,0.8041,0.6386,0.5859,0.6122,0.4866,0.4619,0.4742
5.3,0.5476,0.732,0.4782,0.8789,0.7783,0.8286,0.6232,0.5963,0.6097,0.5121,0.4769,0.4945
5.4,0.4852,0.737,0.4963,0.8948,0.8088,0.8518,0.6104,0.6073,0.6088,0.5387,0.4914,0.515
5.5,0.4122,0.7431,0.5149,0.9089,0.8379,0.8734,0.6006,0.6182,0.6094,0.5638,0.5041,0.5339
5.6,0.3305,0.7512,0.5332,0.9209,0.8653,0.8931,0.5941,0.6283,0.6112,0.5854,0.5143,0.5498
5.7,0.2426,0.7617,0.5501,0.9307,0.8901,0.9104,0.5911,0.6374,0.6143,0.6023,0.5218,0.562
5.8,0.1515,0.7739,0.565,0.938,0.9116,0.9248,0.592,0.646,0.619,0.6138,0.5269,0.5704
5.9,0.061,0.7867,0.5774,0.942,0.9295,0.9358,0.5969,0.6542,0.6255,0.6198,0.5302,0.575
6,-0.0252,0.7991,0.5872,0.942,0.9438,0.9429,0.6053,0.6618,0.6336,0.6204,0.5323,0.5763
6.1,-0.1043,0.8106,0.5943,0.9375,0.9548,0.9462,0.6163,0.6685,0.6424,0.6158,0.5336,0.5747
6.2,-0.1751,0.8204,0.5991,0.9292,0.9624,0.9458,0.629,0.6738,0.6514,0.6069,0.5347,0.5708
6.3,-0.2365,0.828,0.6017,0.918,0.9665,0.9422,0.6427,0.6778,0.6603,0.5946,0.5357,0.5651
6.4,-0.2875,0.8328,0.6022,0.9048,0.9674,0.9361,0.6574,0.6807,0.669,0.5798,0.5361,0.558
