Time,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1433,0.7708,0.7389,0.6954,0.8306,0.763,0.741,0.7461,0.7436,0.7117,0.7252,0.7184
0.1,0.1204,0.7732,0.7311,0.6866,0.8336,0.7601,0.7348,0.7398,0.7373,0.7047,0.7113,0.708
0.2,0.0968,0.7743,0.7225,0.6769,0.8345,0.7557,0.7282,0.7328,0.7305,0.6975,0.6963,0.6969
0.3,0.0737,0.7743,0.713,0.6675,0.8339,0.7507,0.7216,0.7252,0.7234,0.6903,0.6804,0.6853
0.4,0.0521,0.7731,0.7026,0.6593,0.8321,0.7457,0.7151,0.7168,0.7159,0.6833,0.6637,0.6735
0.5,0.0331,0.771,0.6913,0.6528,0.8293,0.741,0.7086,0.7073,0.7079,0.6763,0.6466,0.6615
0.6,0.0181,0.7682,0.6792,0.648,0.8252,0.7366,0.7017,0.6963,0.699,0.6694,0.6298,0.6496
0.7,0.0077,0.7647,0.667,0.6449,0.8193,0.7321,0.6946,0.6836,0.6891,0.6624,0.6133,0.6379
0.8,0.002,0.7603,0.6549,0.6429,0.8114,0.7272,0.6874,0.6696,0.6785,0.6555,0.5972,0.6264
0.9,0.0005,0.7547,0.6436,0.6414,0.8016,0.7215,0.6801,0.6543,0.6672,0.6487,0.5817,0.6152
1,0.0032,0.7477,0.633,0.6402,0.7903,0.7152,0.6729,0.6384,0.6556,0.6421,0.5668,0.6044
1.1,0.0091,0.7399,0.6233,0.6392,0.778,0.7086,0.6657,0.6222,0.644,0.6357,0.553,0.5944
1.2,0.0171,0.7327,0.6149,0.6391,0.7656,0.7023,0.6586,0.6063,0.6325,0.6301,0.5406,0.5853
1.3,0.0259,0.7268,0.6082,0.6401,0.7542,0.6971,0.6519,0.5912,0.6216,0.6253,0.5302,0.5778
1.4,0.0345,0.7227,0.604,0.6429,0.7446,0.6937,0.646,0.5776,0.6118,0.6218,0.5224,0.5721
1.5,0.0423,0.7202,0.6026,0.6477,0.7374,0.6926,0.6409,0.5661,0.6035,0.6195,0.5175,0.5685
1.6,0.0495,0.7192,0.6041,0.6548,0.7327,0.6937,0.6366,0.5573,0.5969,0.6187,0.5158,0.5672
