Time,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC,Suzuki EOFY Sale 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1674,0.673,0.6347,0.7001,0.5655,0.6328,0.8815,0.5831,0.7323,0.5428,0.4049,0.4738
0.1,0.1593,0.6608,0.6367,0.7055,0.5578,0.6317,0.8923,0.5969,0.7446,0.5423,0.4011,0.4717
0.2,0.1477,0.6469,0.6381,0.7093,0.5518,0.6305,0.8956,0.612,0.7538,0.5396,0.3976,0.4686
0.3,0.1332,0.6319,0.6386,0.7109,0.5475,0.6292,0.8913,0.6272,0.7593,0.5344,0.3946,0.4645
0.4,0.1156,0.6165,0.6378,0.71,0.5447,0.6274,0.88,0.6415,0.7607,0.5272,0.3925,0.4598
0.5,0.0941,0.6015,0.6359,0.7063,0.5431,0.6247,0.8629,0.654,0.7584,0.5187,0.3916,0.4551
0.6,0.0678,0.5876,0.6329,0.6997,0.5427,0.6212,0.8415,0.6641,0.7528,0.51,0.3922,0.4511
0.7,0.0371,0.5753,0.6289,0.6905,0.5434,0.6169,0.8171,0.6711,0.7441,0.502,0.3947,0.4483
0.8,0.0038,0.5646,0.624,0.6796,0.5446,0.6121,0.7908,0.6741,0.7324,0.4948,0.3989,0.4468
0.9,-0.0303,0.5554,0.6181,0.6675,0.5458,0.6067,0.7628,0.6727,0.7177,0.4882,0.4048,0.4465
1,-0.0635,0.5475,0.6111,0.6543,0.5466,0.6005,0.7333,0.6667,0.7,0.482,0.4118,0.4469
1.1,-0.0949,0.541,0.6028,0.6408,0.5472,0.594,0.7028,0.6566,0.6797,0.4761,0.4197,0.4479
1.2,-0.1237,0.5363,0.5935,0.6279,0.5481,0.588,0.6721,0.643,0.6576,0.471,0.4284,0.4497
1.3,-0.1487,0.5332,0.5837,0.6162,0.5492,0.5827,0.642,0.6267,0.6344,0.4674,0.4383,0.4528
1.4,-0.1683,0.5317,0.5735,0.6063,0.5503,0.5783,0.6135,0.6084,0.611,0.4658,0.4493,0.4576
1.5,-0.1819,0.5317,0.5636,0.5987,0.551,0.5749,0.5875,0.5887,0.5881,0.4665,0.4616,0.464
1.6,-0.1903,0.5335,0.554,0.5937,0.5516,0.5726,0.5645,0.5685,0.5665,0.469,0.4746,0.4718
1.7,-0.1947,0.5372,0.5449,0.5915,0.5525,0.572,0.5448,0.5486,0.5467,0.4729,0.488,0.4805
1.8,-0.1964,0.543,0.5365,0.5921,0.5543,0.5732,0.5286,0.5292,0.5289,0.4778,0.5017,0.4898
1.9,-0.1957,0.5505,0.5288,0.5951,0.557,0.576,0.5153,0.5108,0.513,0.4835,0.5154,0.4995
2,-0.1926,0.5591,0.5218,0.5996,0.5602,0.5799,0.5046,0.4935,0.499,0.4897,0.5288,0.5092
2.1,-0.1874,0.5677,0.5154,0.6054,0.5634,0.5844,0.4963,0.4773,0.4868,0.4961,0.5411,0.5186
2.2,-0.1806,0.5758,0.5096,0.612,0.5665,0.5893,0.49,0.4623,0.4761,0.5026,0.5522,0.5274
2.3,-0.1729,0.5835,0.505,0.6197,0.5697,0.5947,0.4857,0.4483,0.467,0.5089,0.562,0.5354
2.4,-0.1645,0.5912,0.5022,0.6285,0.5732,0.6009,0.4834,0.4356,0.4595,0.5149,0.5706,0.5428
2.5,-0.1555,0.5992,0.5015,0.6387,0.5777,0.6082,0.4833,0.425,0.4542,0.5209,0.5784,0.5497
2.6,-0.1463,0.6073,0.5032,0.6502,0.5833,0.6167,0.4856,0.4168,0.4512,0.527,0.5855,0.5562
2.7,-0.1374,0.6153,0.5072,0.6626,0.5898,0.6262,0.4896,0.4112,0.4504,0.533,0.5921,0.5625
2.8,-0.1293,0.6224,0.5132,0.6752,0.5969,0.636,0.4946,0.4078,0.4512,0.5389,0.5984,0.5686
2.9,-0.1219,0.6285,0.5208,0.6872,0.6042,0.6457,0.4997,0.406,0.4528,0.5447,0.6047,0.5747
3,-0.1151,0.6336,0.5297,0.6984,0.612,0.6552,0.5046,0.4054,0.455,0.5508,0.6116,0.5812
3.1,-0.1088,0.6379,0.5397,0.7086,0.6207,0.6646,0.5096,0.406,0.4578,0.5577,0.6194,0.5885
3.2,-0.1035,0.6417,0.5506,0.7178,0.6305,0.6741,0.515,0.4083,0.4616,0.5653,0.6282,0.5968
3.3,-0.1004,0.645,0.5627,0.7258,0.6415,0.6837,0.5205,0.4122,0.4664,0.5732,0.6379,0.6055
3.4,-0.1005,0.648,0.5757,0.7325,0.6534,0.6929,0.5256,0.4175,0.4716,0.5805,0.648,0.6143
3.5,-0.1041,0.6512,0.5897,0.7378,0.6659,0.7018,0.53,0.4239,0.4769,0.5868,0.6582,0.6225
3.6,-0.1114,0.6551,0.6042,0.7419,0.6787,0.7103,0.5338,0.4311,0.4824,0.5921,0.6681,0.6301
