Time,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC,TAC - Think Before you text 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2745,0.9275,0.9415,0.8822,0.9778,0.93,0.7869,0.8847,0.8358,0.9532,0.8604,0.9068
0.1,0.2668,0.9182,0.944,0.876,0.9647,0.9204,0.7955,0.8961,0.8458,0.9611,0.8658,0.9134
0.2,0.2569,0.906,0.9467,0.8686,0.9496,0.9091,0.8098,0.9075,0.8587,0.9677,0.8701,0.9189
0.3,0.2446,0.891,0.9485,0.8601,0.9328,0.8964,0.8286,0.9181,0.8733,0.9723,0.8728,0.9225
0.4,0.23,0.8738,0.9486,0.8504,0.9146,0.8825,0.8498,0.927,0.8884,0.9737,0.8732,0.9235
0.5,0.2134,0.8551,0.9463,0.8398,0.8953,0.8676,0.8714,0.9342,0.9028,0.9709,0.8711,0.921
0.6,0.1955,0.8362,0.9421,0.8292,0.8752,0.8522,0.8919,0.9399,0.9159,0.9637,0.8669,0.9153
0.7,0.1777,0.818,0.9361,0.8192,0.8546,0.8369,0.9105,0.9445,0.9275,0.9524,0.861,0.9067
0.8,0.1612,0.8013,0.9285,0.8102,0.8339,0.822,0.9259,0.9479,0.9369,0.9375,0.8536,0.8955
0.9,0.1467,0.7861,0.9186,0.8021,0.8132,0.8076,0.9365,0.9497,0.9431,0.9188,0.8442,0.8815
1,0.1346,0.7719,0.9059,0.7946,0.7922,0.7934,0.9413,0.9491,0.9452,0.8964,0.8325,0.8644
1.1,0.1249,0.7583,0.8901,0.7871,0.7707,0.7789,0.9401,0.9455,0.9428,0.8711,0.8187,0.8449
1.2,0.1178,0.7449,0.8718,0.7793,0.7489,0.7641,0.9334,0.9389,0.9361,0.8442,0.8037,0.8239
1.3,0.114,0.7316,0.8517,0.7709,0.7267,0.7488,0.9219,0.9295,0.9257,0.8172,0.7883,0.8028
1.4,0.114,0.7184,0.83,0.7619,0.7044,0.7332,0.9066,0.9174,0.912,0.7916,0.7728,0.7822
1.5,0.1178,0.7053,0.807,0.7524,0.6823,0.7174,0.8884,0.9032,0.8958,0.7686,0.757,0.7628
1.6,0.1246,0.6928,0.7836,0.7428,0.6608,0.7018,0.8687,0.8875,0.8781,0.7493,0.7415,0.7454
1.7,0.1329,0.6813,0.7615,0.7333,0.6409,0.6871,0.8487,0.8718,0.8602,0.7348,0.727,0.7309
1.8,0.1415,0.6713,0.7424,0.7245,0.6238,0.6742,0.8296,0.857,0.8433,0.7263,0.7147,0.7205
1.9,0.1494,0.6625,0.7274,0.7163,0.6099,0.6631,0.8118,0.8435,0.8277,0.7235,0.7055,0.7145
2,0.1555,0.6544,0.7165,0.7082,0.599,0.6536,0.7953,0.8312,0.8132,0.7252,0.6995,0.7124
2.1,0.1595,0.6468,0.7096,0.6995,0.5909,0.6452,0.7801,0.8198,0.7999,0.7303,0.6965,0.7134
2.2,0.1609,0.6404,0.7067,0.69,0.5855,0.6378,0.7667,0.8096,0.7881,0.7381,0.6967,0.7174
2.3,0.1595,0.6363,0.7081,0.6801,0.5831,0.6316,0.7557,0.8012,0.7785,0.7483,0.7002,0.7243
2.4,0.1559,0.6353,0.7134,0.6705,0.5836,0.6271,0.7477,0.7946,0.7711,0.7607,0.7074,0.7341
2.5,0.1507,0.6371,0.722,0.6616,0.5869,0.6242,0.7424,0.7895,0.766,0.7745,0.7177,0.7461
2.6,0.1438,0.6411,0.733,0.6537,0.592,0.6228,0.7393,0.7855,0.7624,0.7885,0.73,0.7593
2.7,0.1349,0.6466,0.7454,0.6466,0.598,0.6223,0.7379,0.7822,0.76,0.802,0.7437,0.7728
2.8,0.1233,0.6531,0.7584,0.6402,0.6045,0.6224,0.7382,0.7796,0.7589,0.8147,0.7583,0.7865
2.9,0.1092,0.6605,0.7712,0.6345,0.6113,0.6229,0.7404,0.7778,0.7591,0.8266,0.7739,0.8002
3,0.0931,0.6685,0.7832,0.6298,0.6185,0.6241,0.7446,0.7771,0.7608,0.8373,0.79,0.8137
3.1,0.0762,0.677,0.794,0.6265,0.6264,0.6265,0.7509,0.7776,0.7642,0.8465,0.8062,0.8263
3.2,0.059,0.686,0.8035,0.6252,0.6351,0.6301,0.7591,0.7795,0.7693,0.8535,0.8219,0.8377
3.3,0.0422,0.6952,0.8119,0.6261,0.6444,0.6353,0.7691,0.7829,0.776,0.858,0.837,0.8475
3.4,0.0263,0.704,0.8191,0.6292,0.6539,0.6415,0.7802,0.7874,0.7838,0.86,0.8512,0.8556
3.5,0.0125,0.712,0.8248,0.6341,0.6631,0.6486,0.792,0.7929,0.7924,0.8595,0.8641,0.8618
3.6,0.0013,0.7192,0.8288,0.6407,0.6717,0.6562,0.8035,0.7989,0.8012,0.8567,0.8751,0.8659
3.7,-0.0068,0.7258,0.8312,0.649,0.6794,0.6642,0.8139,0.8053,0.8096,0.8517,0.8837,0.8677
3.8,-0.0117,0.7322,0.8323,0.6588,0.6864,0.6726,0.8227,0.8122,0.8174,0.8449,0.8897,0.8673
3.9,-0.0131,0.7381,0.8322,0.6698,0.6929,0.6814,0.8299,0.8192,0.8246,0.8369,0.8929,0.8649
