Time,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC,TAB Long May We Play 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1712,0.7111,0.4693,0.6829,0.4562,0.5695,0.3492,0.4212,0.3852,0.4331,0.5096,0.4713
0.1,0.2036,0.677,0.4635,0.6833,0.4383,0.5608,0.3447,0.4179,0.3813,0.4392,0.5071,0.4731
0.2,0.2318,0.6432,0.4551,0.6772,0.4226,0.5499,0.3408,0.4136,0.3772,0.4466,0.5018,0.4742
0.3,0.2547,0.6108,0.4432,0.6645,0.409,0.5368,0.3371,0.4084,0.3727,0.4547,0.4934,0.4741
0.4,0.2713,0.5811,0.4281,0.6464,0.3988,0.5226,0.3338,0.4026,0.3682,0.4624,0.4821,0.4723
0.5,0.2815,0.5556,0.4105,0.6253,0.3933,0.5093,0.331,0.3966,0.3638,0.4692,0.4688,0.469
0.6,0.2865,0.535,0.3918,0.6038,0.3934,0.4986,0.3291,0.391,0.3601,0.4748,0.4546,0.4647
0.7,0.2878,0.519,0.3733,0.5834,0.3987,0.491,0.3285,0.3859,0.3572,0.4789,0.4406,0.4598
0.8,0.2865,0.5069,0.3562,0.564,0.4079,0.4859,0.3296,0.381,0.3553,0.4817,0.4276,0.4546
0.9,0.2828,0.4982,0.3414,0.5451,0.4198,0.4824,0.3327,0.3764,0.3546,0.4828,0.4163,0.4496
1,0.2761,0.4922,0.3298,0.5266,0.4335,0.4801,0.3384,0.3724,0.3554,0.4822,0.407,0.4446
1.1,0.2668,0.4882,0.3216,0.5085,0.4487,0.4786,0.3467,0.3692,0.358,0.4795,0.4,0.4397
1.2,0.2554,0.4851,0.3167,0.491,0.4651,0.478,0.357,0.3666,0.3618,0.4746,0.3948,0.4347
1.3,0.2424,0.4826,0.3148,0.4744,0.482,0.4782,0.368,0.3642,0.3661,0.4672,0.3908,0.429
1.4,0.2284,0.481,0.3159,0.4596,0.4991,0.4794,0.3784,0.3622,0.3703,0.4576,0.3874,0.4225
1.5,0.213,0.4807,0.3195,0.4478,0.5166,0.4822,0.3876,0.361,0.3743,0.4462,0.384,0.4151
1.6,0.1958,0.4816,0.3252,0.4399,0.5346,0.4872,0.396,0.3613,0.3786,0.4344,0.3806,0.4075
1.7,0.1762,0.4834,0.3324,0.4357,0.5527,0.4942,0.4037,0.3635,0.3836,0.4234,0.3775,0.4005
1.8,0.1543,0.4847,0.3404,0.4344,0.5691,0.5018,0.4103,0.3673,0.3888,0.4143,0.3746,0.3945
1.9,0.131,0.4847,0.3484,0.4345,0.5812,0.5079,0.4148,0.3721,0.3934,0.4072,0.3718,0.3895
2,0.1068,0.4833,0.356,0.4354,0.5866,0.511,0.4163,0.3768,0.3965,0.4016,0.3685,0.3851
2.1,0.0813,0.4808,0.3628,0.4373,0.585,0.5112,0.4148,0.3809,0.3978,0.3975,0.3645,0.381
2.2,0.0538,0.4778,0.3688,0.441,0.5771,0.5091,0.4109,0.3845,0.3977,0.3946,0.3596,0.3771
2.3,0.0234,0.4751,0.3739,0.4466,0.5648,0.5057,0.4053,0.388,0.3967,0.393,0.3541,0.3736
2.4,-0.0101,0.4732,0.3784,0.4539,0.5504,0.5022,0.3988,0.3924,0.3956,0.3928,0.3484,0.3706
2.5,-0.0459,0.4727,0.3829,0.463,0.536,0.4995,0.3919,0.3981,0.395,0.3937,0.3427,0.3682
2.6,-0.0825,0.474,0.388,0.4737,0.523,0.4983,0.3848,0.4053,0.395,0.395,0.3373,0.3662
2.7,-0.1196,0.4772,0.3941,0.4859,0.5118,0.4989,0.3768,0.4136,0.3952,0.3962,0.3324,0.3643
2.8,-0.1569,0.4819,0.4009,0.4988,0.5025,0.5006,0.3665,0.4224,0.3945,0.3967,0.3284,0.3626
2.9,-0.1945,0.4874,0.4081,0.5109,0.4948,0.5029,0.3532,0.4311,0.3921,0.3964,0.3256,0.361
3,-0.2315,0.4933,0.4152,0.5212,0.4887,0.5049,0.3373,0.4393,0.3883,0.3955,0.3239,0.3597
3.1,-0.2668,0.4994,0.4223,0.5293,0.4839,0.5066,0.3202,0.4474,0.3838,0.3939,0.3237,0.3588
3.2,-0.2992,0.5057,0.4295,0.5355,0.4804,0.5079,0.3029,0.4556,0.3793,0.3917,0.3251,0.3584
3.3,-0.3279,0.5123,0.437,0.5407,0.4778,0.5093,0.2855,0.4643,0.3749,0.3883,0.328,0.3581
3.4,-0.3522,0.5192,0.4445,0.5455,0.4758,0.5107,0.2673,0.4737,0.3705,0.3826,0.3323,0.3575
3.5,-0.3715,0.5264,0.452,0.5498,0.4742,0.512,0.2485,0.4844,0.3665,0.3741,0.3378,0.3559
3.6,-0.3855,0.534,0.4594,0.5533,0.473,0.5131,0.2301,0.4964,0.3633,0.3628,0.3444,0.3536
3.7,-0.3944,0.5421,0.4667,0.5559,0.4721,0.514,0.2134,0.5101,0.3617,0.3497,0.3528,0.3512
3.8,-0.3987,0.5504,0.4742,0.5577,0.4714,0.5146,0.1986,0.5253,0.362,0.3357,0.3633,0.3495
3.9,-0.3992,0.5586,0.4816,0.5584,0.4703,0.5143,0.1856,0.5423,0.364,0.3221,0.3761,0.3491
4,-0.3964,0.5659,0.4885,0.5575,0.468,0.5127,0.1738,0.5611,0.3675,0.3094,0.3907,0.35
