Time,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1577,0.2744,0.819,0.3363,0.3428,0.3395,0.4789,0.673,0.576,0.47,0.7027,0.5864
0.1,-0.087,0.2838,0.8315,0.3486,0.3362,0.3424,0.4859,0.6861,0.586,0.4687,0.7135,0.5911
0.2,-0.0207,0.2964,0.8405,0.3672,0.3352,0.3512,0.4941,0.6982,0.5961,0.4654,0.7202,0.5928
0.3,0.0392,0.3122,0.8457,0.3921,0.3405,0.3663,0.5034,0.7088,0.6061,0.46,0.7224,0.5912
0.4,0.0926,0.3311,0.8465,0.4225,0.3517,0.3871,0.5132,0.7166,0.6149,0.4527,0.7201,0.5864
0.5,0.1393,0.3521,0.8425,0.4569,0.3677,0.4123,0.5224,0.7208,0.6216,0.4439,0.7138,0.5788
0.6,0.1785,0.3742,0.8334,0.4932,0.3872,0.4402,0.5304,0.7208,0.6256,0.4345,0.7051,0.5698
0.7,0.2091,0.3963,0.8195,0.5299,0.409,0.4694,0.5372,0.7168,0.627,0.4251,0.6947,0.5599
0.8,0.2308,0.4176,0.8012,0.5661,0.4318,0.4989,0.5428,0.7093,0.6261,0.416,0.683,0.5495
0.9,0.2438,0.4374,0.7786,0.601,0.4541,0.5275,0.548,0.6986,0.6233,0.4079,0.6697,0.5388
1,0.2492,0.4552,0.7519,0.6335,0.4748,0.5541,0.5531,0.6855,0.6193,0.4017,0.6547,0.5282
1.1,0.2484,0.4705,0.7211,0.6621,0.4927,0.5774,0.5584,0.6707,0.6145,0.3984,0.6384,0.5184
1.2,0.2427,0.4827,0.6871,0.6852,0.5066,0.5959,0.5634,0.6548,0.6091,0.3986,0.6211,0.5099
1.3,0.2332,0.4912,0.6509,0.7019,0.5157,0.6088,0.5673,0.6382,0.6028,0.4021,0.6031,0.5026
1.4,0.2212,0.496,0.6139,0.712,0.5196,0.6158,0.5696,0.621,0.5953,0.4081,0.5849,0.4965
1.5,0.2079,0.4977,0.5775,0.7157,0.5183,0.617,0.5699,0.6033,0.5866,0.4167,0.5672,0.4919
1.6,0.1944,0.4968,0.543,0.713,0.5131,0.613,0.5687,0.5854,0.5771,0.4277,0.5505,0.4891
1.7,0.1816,0.4939,0.512,0.7039,0.505,0.6044,0.5669,0.5679,0.5674,0.4412,0.5355,0.4883
1.8,0.1697,0.4891,0.4859,0.6882,0.4949,0.5916,0.5648,0.5513,0.5581,0.4572,0.5226,0.4899
1.9,0.1583,0.4828,0.4661,0.6663,0.4837,0.575,0.5629,0.536,0.5494,0.4753,0.5127,0.494
2,0.1468,0.4755,0.4535,0.6384,0.4722,0.5553,0.5613,0.5219,0.5416,0.495,0.5062,0.5006
2.1,0.1349,0.4677,0.4482,0.6055,0.4611,0.5333,0.5602,0.5091,0.5347,0.5165,0.5039,0.5102
2.2,0.1233,0.4604,0.4504,0.5688,0.4508,0.5098,0.5598,0.4977,0.5287,0.5396,0.5061,0.5228
2.3,0.1129,0.4543,0.4598,0.5303,0.4418,0.486,0.5602,0.4878,0.524,0.5635,0.5121,0.5378
2.4,0.1035,0.4498,0.4755,0.4915,0.4342,0.4628,0.5617,0.4798,0.5207,0.5868,0.5208,0.5538
2.5,0.0947,0.4467,0.4963,0.4541,0.4279,0.441,0.5651,0.4737,0.5194,0.6081,0.5306,0.5693
2.6,0.0854,0.4448,0.52,0.4193,0.4231,0.4212,0.571,0.4696,0.5203,0.6264,0.5405,0.5835
2.7,0.075,0.4438,0.5447,0.3882,0.4197,0.4039,0.5799,0.4675,0.5237,0.6418,0.5501,0.5959
2.8,0.0634,0.4437,0.5692,0.362,0.4177,0.3898,0.5913,0.4677,0.5295,0.6545,0.5594,0.6069
2.9,0.0506,0.445,0.5933,0.3423,0.4173,0.3798,0.6044,0.4704,0.5374,0.6652,0.5687,0.617
3,0.0361,0.4482,0.6172,0.3304,0.4189,0.3746,0.618,0.4756,0.5468,0.6744,0.5784,0.6264
3.1,0.0186,0.4538,0.6406,0.3267,0.4227,0.3747,0.6319,0.4833,0.5576,0.6824,0.5885,0.6354
