Time,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC,Tasmania Tourism - Walk ins Welcome 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0593,0.2405,0.6304,-0.1459,0.1956,0.0248,0.3216,0.63,0.4758,0.2125,0.3637,0.2881
0.1,0.0318,0.2645,0.6257,-0.1501,0.1927,0.0213,0.2808,0.5823,0.4316,0.2096,0.3616,0.2856
0.2,-0.0018,0.2918,0.6208,-0.1484,0.1921,0.0219,0.2417,0.5416,0.3917,0.2136,0.366,0.2898
0.3,-0.0389,0.3214,0.6157,-0.1406,0.1932,0.0263,0.2034,0.5074,0.3554,0.2254,0.3767,0.3011
0.4,-0.0773,0.352,0.611,-0.1271,0.1951,0.034,0.1658,0.4793,0.3226,0.2454,0.3929,0.3192
0.5,-0.1163,0.3827,0.6071,-0.108,0.1976,0.0448,0.13,0.4573,0.2937,0.2738,0.4131,0.3434
0.6,-0.1552,0.4133,0.6044,-0.0841,0.2006,0.0583,0.0976,0.4411,0.2694,0.3101,0.4355,0.3728
0.7,-0.1931,0.4428,0.6031,-0.0557,0.2045,0.0744,0.0704,0.4299,0.2502,0.3534,0.4583,0.4058
0.8,-0.2287,0.4701,0.603,-0.0234,0.209,0.0928,0.0494,0.4224,0.2359,0.4012,0.4798,0.4405
0.9,-0.2607,0.4936,0.6041,0.0118,0.2134,0.1126,0.0346,0.4178,0.2262,0.4499,0.4985,0.4742
1,-0.2875,0.512,0.607,0.0484,0.2172,0.1328,0.025,0.4154,0.2202,0.4958,0.5134,0.5046
1.1,-0.3081,0.525,0.612,0.085,0.2198,0.1524,0.0198,0.4147,0.2173,0.5357,0.5239,0.5298
1.2,-0.3222,0.5321,0.6189,0.1194,0.2207,0.17,0.0187,0.4151,0.2169,0.568,0.5301,0.5491
1.3,-0.3303,0.5331,0.6263,0.1499,0.2196,0.1847,0.0216,0.4159,0.2187,0.5926,0.5327,0.5626
1.4,-0.3338,0.5276,0.6324,0.1744,0.2166,0.1955,0.0284,0.4164,0.2224,0.6098,0.532,0.5709
1.5,-0.334,0.5161,0.6363,0.1916,0.2116,0.2016,0.0383,0.416,0.2272,0.6204,0.5287,0.5746
1.6,-0.3318,0.4999,0.6383,0.2017,0.2054,0.2035,0.0507,0.4146,0.2326,0.6249,0.5232,0.5741
1.7,-0.3284,0.4809,0.6391,0.2057,0.1992,0.2025,0.0645,0.4125,0.2385,0.6238,0.5161,0.57
1.8,-0.3253,0.4607,0.6387,0.2054,0.1944,0.1999,0.0796,0.41,0.2448,0.6178,0.5082,0.563
1.9,-0.3236,0.4404,0.6365,0.2021,0.1924,0.1972,0.0955,0.4073,0.2514,0.608,0.5003,0.5542
2,-0.3244,0.421,0.6323,0.197,0.1936,0.1953,0.1123,0.4044,0.2584,0.5957,0.4934,0.5445
2.1,-0.3275,0.4032,0.627,0.191,0.1983,0.1946,0.1298,0.4019,0.2659,0.5822,0.488,0.5351
2.2,-0.3323,0.3876,0.6217,0.1855,0.2068,0.1961,0.1486,0.4004,0.2745,0.5683,0.4852,0.5267
2.3,-0.3377,0.3745,0.6173,0.182,0.2199,0.201,0.1691,0.3999,0.2845,0.5547,0.4854,0.5201
2.4,-0.3428,0.3643,0.6136,0.1822,0.2381,0.2102,0.1917,0.4,0.2959,0.5421,0.4887,0.5154
2.5,-0.3475,0.3571,0.6096,0.1871,0.261,0.2241,0.2162,0.4004,0.3083,0.5305,0.4947,0.5126
2.6,-0.3524,0.3537,0.6049,0.1975,0.2883,0.2429,0.2423,0.4011,0.3217,0.5201,0.5031,0.5116
2.7,-0.3578,0.3546,0.5999,0.214,0.3194,0.2667,0.2702,0.4028,0.3365,0.5114,0.5142,0.5128
2.8,-0.3641,0.3607,0.5949,0.2367,0.3538,0.2953,0.2998,0.4065,0.3532,0.5049,0.5284,0.5166
2.9,-0.3715,0.3723,0.5898,0.2657,0.3913,0.3285,0.3313,0.4125,0.3719,0.5012,0.5459,0.5236
3,-0.3801,0.3897,0.5844,0.3007,0.431,0.3659,0.3642,0.4204,0.3923,0.5008,0.5666,0.5337
3.1,-0.3891,0.4124,0.5787,0.3415,0.4712,0.4064,0.398,0.4298,0.4139,0.5048,0.5895,0.5472
3.2,-0.3976,0.4398,0.5731,0.3879,0.5106,0.4492,0.4325,0.4407,0.4366,0.514,0.6136,0.5638
3.3,-0.4052,0.4712,0.5687,0.4389,0.5483,0.4936,0.4674,0.4535,0.4604,0.5286,0.6381,0.5834
3.4,-0.4112,0.5059,0.5664,0.4929,0.5839,0.5384,0.5023,0.4686,0.4854,0.5489,0.6626,0.6057
3.5,-0.414,0.5427,0.5664,0.5478,0.6174,0.5826,0.5367,0.4857,0.5112,0.5746,0.687,0.6308
3.6,-0.4111,0.5805,0.5689,0.6011,0.6486,0.6248,0.57,0.5049,0.5374,0.6061,0.7112,0.6587
3.7,-0.4005,0.6185,0.5743,0.651,0.6771,0.6641,0.602,0.5261,0.564,0.6432,0.735,0.6891
3.8,-0.3816,0.6555,0.5834,0.6957,0.7028,0.6992,0.633,0.5495,0.5912,0.685,0.7574,0.7212
3.9,-0.3555,0.6906,0.5966,0.7333,0.7255,0.7294,0.6631,0.575,0.6191,0.7298,0.7776,0.7537
4,-0.3248,0.7225,0.6142,0.7624,0.7454,0.7539,0.6918,0.6021,0.6469,0.7756,0.7942,0.7849
4.1,-0.292,0.7505,0.6359,0.7821,0.7626,0.7723,0.7185,0.6298,0.6742,0.8204,0.8067,0.8135
4.2,-0.2592,0.7737,0.6616,0.7923,0.7777,0.785,0.7433,0.6576,0.7004,0.8627,0.8145,0.8386
4.3,-0.2289,0.7916,0.6909,0.7938,0.7907,0.7923,0.7664,0.6847,0.7256,0.9004,0.818,0.8592
4.4,-0.2041,0.8044,0.7226,0.7876,0.8021,0.7949,0.7878,0.7105,0.7492,0.9317,0.8178,0.8748
4.5,-0.1876,0.8124,0.755,0.7747,0.8123,0.7935,0.8069,0.7338,0.7703,0.9555,0.8149,0.8852
4.6,-0.1803,0.8162,0.7865,0.7558,0.8221,0.7889,0.8227,0.7539,0.7883,0.9713,0.8101,0.8907
4.7,-0.1813,0.8169,0.8157,0.7321,0.8324,0.7822,0.8349,0.7711,0.803,0.9794,0.8043,0.8919
4.8,-0.1887,0.8152,0.842,0.7051,0.8433,0.7742,0.8436,0.7859,0.8148,0.9804,0.798,0.8892
4.9,-0.2001,0.8111,0.8653,0.6762,0.8541,0.7651,0.849,0.7986,0.8238,0.9748,0.7914,0.8831
5,-0.213,0.8046,0.8855,0.6463,0.8638,0.7551,0.851,0.8086,0.8298,0.963,0.7847,0.8739
5.1,-0.2247,0.7954,0.902,0.6164,0.8714,0.7439,0.8493,0.815,0.8322,0.946,0.7781,0.862
5.2,-0.2318,0.7837,0.9142,0.5874,0.8759,0.7316,0.8447,0.817,0.8309,0.9245,0.7717,0.8481
5.3,-0.2319,0.7703,0.9217,0.5606,0.8763,0.7184,0.8379,0.8144,0.8261,0.8996,0.7653,0.8325
5.4,-0.224,0.756,0.9244,0.5369,0.8723,0.7046,0.8294,0.8077,0.8185,0.872,0.7587,0.8154
5.5,-0.2091,0.7415,0.923,0.517,0.8642,0.6906,0.8192,0.7978,0.8085,0.8424,0.7516,0.797
5.6,-0.1886,0.7269,0.9178,0.5013,0.8527,0.677,0.8068,0.7858,0.7963,0.8115,0.7435,0.7775
5.7,-0.1642,0.7127,0.9089,0.4901,0.8386,0.6643,0.7919,0.772,0.7819,0.78,0.734,0.757
5.8,-0.1371,0.6993,0.8967,0.4832,0.8218,0.6525,0.7739,0.757,0.7655,0.7484,0.7225,0.7354
5.9,-0.1086,0.6869,0.8817,0.4802,0.8018,0.641,0.753,0.742,0.7475,0.7171,0.7084,0.7128
6,-0.0802,0.6757,0.8648,0.4804,0.7779,0.6292,0.7294,0.728,0.7287,0.6865,0.6921,0.6893
6.1,-0.0529,0.6655,0.8471,0.4823,0.7502,0.6162,0.7036,0.7154,0.7095,0.6567,0.6741,0.6654
6.2,-0.0274,0.656,0.8294,0.4851,0.7186,0.6019,0.676,0.7044,0.6902,0.6279,0.6553,0.6416
6.3,-0.004,0.6469,0.8123,0.4882,0.6833,0.5858,0.6473,0.6946,0.6709,0.6002,0.6362,0.6182
6.4,0.0174,0.638,0.7966,0.4916,0.6449,0.5683,0.6177,0.686,0.6518,0.5743,0.6175,0.5959
6.5,0.0361,0.6295,0.7826,0.4953,0.6048,0.55,0.5876,0.6791,0.6334,0.5507,0.5996,0.5751
6.6,0.0511,0.6215,0.7708,0.4988,0.5654,0.5321,0.5577,0.6748,0.6162,0.5296,0.5827,0.5561
6.7,0.0617,0.6141,0.7616,0.5017,0.5288,0.5152,0.529,0.6735,0.6013,0.511,0.5671,0.5391
6.8,0.0685,0.6077,0.7555,0.5041,0.4972,0.5006,0.5028,0.6755,0.5892,0.4954,0.5535,0.5245
6.9,0.0722,0.6032,0.7527,0.5073,0.4724,0.4898,0.4811,0.6809,0.581,0.483,0.5422,0.5126
7,0.0737,0.6011,0.7535,0.5126,0.4556,0.4841,0.4656,0.6901,0.5779,0.4738,0.5333,0.5036
7.1,0.0727,0.6018,0.7581,0.521,0.4474,0.4842,0.4576,0.703,0.5803,0.4677,0.5272,0.4974
7.2,0.0689,0.605,0.7659,0.532,0.4475,0.4897,0.4576,0.7189,0.5882,0.4645,0.5238,0.4942
7.3,0.0617,0.6105,0.7762,0.5453,0.4552,0.5002,0.4651,0.7369,0.601,0.4641,0.5233,0.4937
7.4,0.0505,0.618,0.7883,0.5604,0.4694,0.5149,0.4798,0.7561,0.618,0.4656,0.5253,0.4955
7.5,0.0358,0.6268,0.8012,0.5772,0.4888,0.533,0.5008,0.7758,0.6383,0.4683,0.5295,0.4989
7.6,0.0194,0.6358,0.8133,0.5947,0.5115,0.5531,0.5272,0.7949,0.6611,0.4715,0.5355,0.5035
7.7,0.0034,0.6437,0.8231,0.6114,0.5354,0.5734,0.5574,0.812,0.6847,0.4751,0.5431,0.5091
7.8,-0.01,0.6493,0.8295,0.6258,0.5583,0.5921,0.5896,0.8257,0.7076,0.4791,0.5525,0.5158
7.9,-0.0197,0.6522,0.8328,0.6372,0.5787,0.6079,0.6218,0.8354,0.7286,0.4839,0.5635,0.5237
8,-0.0247,0.6522,0.8344,0.6458,0.5956,0.6207,0.6526,0.8412,0.7469,0.4892,0.5755,0.5323
8.1,-0.0247,0.6496,0.8348,0.6526,0.6081,0.6303,0.6809,0.8432,0.762,0.4946,0.5873,0.5409
8.2,-0.0194,0.6444,0.8342,0.6578,0.6155,0.6367,0.7052,0.8407,0.7729,0.4994,0.5976,0.5485
8.3,-0.0085,0.6366,0.8317,0.6617,0.6174,0.6396,0.724,0.8326,0.7783,0.5034,0.6056,0.5545
8.4,0.0079,0.6264,0.8271,0.6642,0.6137,0.639,0.7361,0.8185,0.7773,0.5064,0.6107,0.5586
