Time,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC,Target - All the way 45 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.27,0.2431,-0.1127,0.2172,0.2798,0.2485,0.2163,0.0984,0.1573,0.1744,0.4153,0.2949
0.1,-0.219,0.2812,-0.1128,0.2508,0.3142,0.2825,0.2202,0.1223,0.1713,0.1706,0.4061,0.2884
0.2,-0.1663,0.3193,-0.1042,0.2851,0.3513,0.3182,0.2271,0.1537,0.1904,0.1668,0.3995,0.2831
0.3,-0.113,0.3551,-0.0866,0.3193,0.3892,0.3542,0.2371,0.1913,0.2142,0.164,0.3961,0.28
0.4,-0.0601,0.3864,-0.0606,0.3522,0.426,0.3891,0.25,0.2336,0.2418,0.1622,0.3963,0.2793
0.5,-0.0094,0.4122,-0.0266,0.3829,0.4604,0.4217,0.2656,0.2783,0.272,0.1616,0.3994,0.2805
0.6,0.0377,0.4321,0.0138,0.4112,0.4917,0.4514,0.2838,0.3234,0.3036,0.1622,0.4046,0.2834
0.7,0.0807,0.4465,0.0593,0.4375,0.5189,0.4782,0.3046,0.3677,0.3361,0.1647,0.4108,0.2878
0.8,0.1187,0.4561,0.1085,0.4623,0.5417,0.502,0.3269,0.4101,0.3685,0.1692,0.4172,0.2932
0.9,0.1518,0.4612,0.1601,0.4849,0.5599,0.5224,0.3492,0.4496,0.3994,0.1752,0.4231,0.2991
1,0.1802,0.4624,0.2125,0.5046,0.5736,0.5391,0.3705,0.4851,0.4278,0.1823,0.428,0.3052
1.1,0.2037,0.4605,0.2635,0.5208,0.5833,0.552,0.3906,0.5163,0.4535,0.1904,0.4318,0.3111
1.2,0.2222,0.4558,0.3106,0.5334,0.5894,0.5614,0.4101,0.5432,0.4766,0.1999,0.4341,0.317
1.3,0.2351,0.4488,0.3514,0.5428,0.5922,0.5675,0.4296,0.5659,0.4978,0.2114,0.4348,0.3231
1.4,0.2421,0.4402,0.3847,0.5493,0.5918,0.5705,0.4492,0.5849,0.5171,0.2248,0.4336,0.3292
1.5,0.2436,0.4308,0.4102,0.5524,0.5881,0.5703,0.4682,0.6007,0.5345,0.2394,0.43,0.3347
1.6,0.2408,0.4213,0.4281,0.5517,0.581,0.5664,0.4865,0.6137,0.5501,0.2548,0.424,0.3394
1.7,0.2341,0.4124,0.4384,0.5466,0.5708,0.5587,0.5045,0.6242,0.5643,0.2707,0.4149,0.3428
1.8,0.2233,0.4046,0.4414,0.5371,0.5584,0.5477,0.522,0.6323,0.5771,0.2867,0.4026,0.3446
1.9,0.2088,0.3979,0.4373,0.5231,0.5444,0.5338,0.5384,0.6377,0.5881,0.3019,0.3866,0.3442
2,0.1919,0.3924,0.4264,0.5049,0.5291,0.517,0.5531,0.6402,0.5966,0.3151,0.367,0.341
2.1,0.1743,0.3886,0.4103,0.4827,0.513,0.4978,0.5654,0.64,0.6027,0.3251,0.3439,0.3345
2.2,0.1573,0.3872,0.3907,0.4576,0.4969,0.4773,0.5755,0.6378,0.6067,0.3308,0.3177,0.3243
2.3,0.1417,0.3888,0.3696,0.4315,0.4824,0.4569,0.5844,0.6343,0.6094,0.3318,0.2889,0.3103
2.4,0.1271,0.3937,0.3484,0.4059,0.4707,0.4383,0.5928,0.6305,0.6116,0.3277,0.2579,0.2928
2.5,0.1124,0.4021,0.3284,0.3824,0.4626,0.4225,0.6005,0.6265,0.6135,0.3184,0.2254,0.2719
2.6,0.0963,0.4137,0.3106,0.3618,0.4585,0.4102,0.6071,0.6226,0.6149,0.3041,0.1927,0.2484
2.7,0.0784,0.4284,0.2965,0.3451,0.4589,0.402,0.6133,0.6188,0.6161,0.2863,0.1612,0.2237
2.8,0.0587,0.4472,0.2884,0.3333,0.4652,0.3992,0.6202,0.6157,0.6179,0.2669,0.1322,0.1995
2.9,0.0376,0.4707,0.2879,0.3275,0.4788,0.4031,0.629,0.6137,0.6214,0.2477,0.1069,0.1773
3,0.0155,0.4988,0.2952,0.328,0.5,0.414,0.6396,0.6135,0.6265,0.2297,0.0859,0.1578
3.1,-0.0071,0.5296,0.3092,0.334,0.5275,0.4308,0.6512,0.6144,0.6328,0.2133,0.0695,0.1414
3.2,-0.0304,0.5607,0.3284,0.3443,0.5591,0.4517,0.6627,0.6162,0.6395,0.1988,0.0578,0.1283
3.3,-0.0543,0.5891,0.3518,0.3573,0.5924,0.4748,0.6737,0.6187,0.6462,0.1871,0.051,0.119
3.4,-0.0779,0.6129,0.3786,0.3719,0.6259,0.4989,0.6843,0.622,0.6531,0.1791,0.0497,0.1144
3.5,-0.0996,0.6314,0.4079,0.3874,0.6584,0.5229,0.6944,0.6259,0.6601,0.1759,0.054,0.115
3.6,-0.1184,0.6443,0.4386,0.4027,0.6888,0.5457,0.7032,0.6296,0.6664,0.1771,0.064,0.1205
3.7,-0.1345,0.6517,0.4686,0.417,0.716,0.5665,0.7092,0.6321,0.6707,0.1814,0.0787,0.13
3.8,-0.1502,0.6542,0.4963,0.4299,0.7397,0.5848,0.7106,0.6331,0.6719,0.1881,0.0968,0.1425
3.9,-0.1672,0.6527,0.5205,0.4413,0.7606,0.6009,0.7064,0.6324,0.6694,0.1971,0.117,0.1571
4,-0.1862,0.6486,0.5407,0.4513,0.7789,0.6151,0.6958,0.6303,0.663,0.2081,0.1382,0.1732
4.1,-0.207,0.6429,0.5563,0.4596,0.7948,0.6272,0.6783,0.6269,0.6526,0.2197,0.1593,0.1895
4.2,-0.2292,0.6363,0.5669,0.4656,0.8078,0.6367,0.6546,0.6218,0.6382,0.2302,0.1793,0.2047
4.3,-0.2529,0.6288,0.5719,0.4684,0.8176,0.643,0.6262,0.6148,0.6205,0.2389,0.1976,0.2183
4.4,-0.2776,0.6207,0.5714,0.468,0.8244,0.6462,0.5953,0.6057,0.6005,0.2467,0.214,0.2304
4.5,-0.3027,0.6124,0.566,0.4644,0.8285,0.6465,0.5632,0.5947,0.579,0.2544,0.2283,0.2414
4.6,-0.3274,0.6039,0.5559,0.458,0.8298,0.6439,0.5305,0.5817,0.5561,0.2618,0.2404,0.2511
4.7,-0.3511,0.5951,0.5413,0.4488,0.8278,0.6383,0.4967,0.5663,0.5315,0.2682,0.2499,0.2591
4.8,-0.3738,0.5857,0.5227,0.4372,0.8225,0.6299,0.4618,0.5483,0.505,0.2735,0.2573,0.2654
4.9,-0.3956,0.5756,0.5008,0.4236,0.8143,0.6189,0.4269,0.5276,0.4772,0.2782,0.2632,0.2707
5,-0.4165,0.5648,0.4765,0.4086,0.8038,0.6062,0.3935,0.5044,0.449,0.2832,0.2683,0.2757
5.1,-0.4363,0.5535,0.4502,0.3927,0.7917,0.5922,0.3628,0.4789,0.4208,0.2887,0.2729,0.2808
5.2,-0.4547,0.5414,0.4223,0.3763,0.7779,0.5771,0.335,0.4513,0.3932,0.2945,0.277,0.2858
5.3,-0.4711,0.5287,0.3933,0.3597,0.7621,0.5609,0.3104,0.4222,0.3663,0.3009,0.2805,0.2907
5.4,-0.4851,0.5156,0.364,0.3438,0.7445,0.5441,0.2896,0.3924,0.341,0.3087,0.2837,0.2962
5.5,-0.4957,0.5023,0.3359,0.3298,0.7252,0.5275,0.2735,0.3634,0.3184,0.3184,0.2869,0.3027
5.6,-0.5022,0.4892,0.3101,0.3185,0.7047,0.5116,0.2626,0.3366,0.2996,0.3303,0.2908,0.3105
5.7,-0.5049,0.4764,0.2875,0.3097,0.6833,0.4965,0.2563,0.3131,0.2847,0.3436,0.2952,0.3194
5.8,-0.5048,0.4637,0.268,0.3027,0.6614,0.482,0.254,0.2934,0.2737,0.3576,0.2998,0.3287
5.9,-0.5027,0.4517,0.2518,0.2972,0.6398,0.4685,0.255,0.2778,0.2664,0.3713,0.3043,0.3378
6,-0.4988,0.4409,0.239,0.2937,0.6195,0.4566,0.26,0.2663,0.2631,0.3848,0.3088,0.3468
6.1,-0.4923,0.4319,0.2305,0.2929,0.6013,0.4471,0.2694,0.2588,0.2641,0.398,0.3136,0.3558
6.2,-0.4825,0.4247,0.2263,0.2942,0.5854,0.4398,0.2827,0.2553,0.269,0.4109,0.3191,0.365
6.3,-0.4692,0.4186,0.2258,0.296,0.5713,0.4337,0.2987,0.2555,0.2771,0.4235,0.3255,0.3745
6.4,-0.4535,0.413,0.228,0.2972,0.5589,0.4281,0.3161,0.2592,0.2876,0.4355,0.3325,0.384
6.5,-0.4369,0.4081,0.2324,0.2974,0.5484,0.4229,0.3346,0.2658,0.3002,0.4471,0.34,0.3935
6.6,-0.4203,0.4042,0.239,0.2967,0.5403,0.4185,0.3544,0.2752,0.3148,0.4579,0.3476,0.4028
6.7,-0.4036,0.4018,0.2476,0.2954,0.5354,0.4154,0.3756,0.2869,0.3312,0.4678,0.3551,0.4114
6.8,-0.3869,0.4014,0.2575,0.2934,0.5337,0.4135,0.3977,0.3006,0.3491,0.4764,0.3617,0.4191
6.9,-0.3714,0.4029,0.2676,0.2897,0.5348,0.4123,0.4197,0.3159,0.3678,0.4839,0.3669,0.4254
7,-0.3591,0.4063,0.2765,0.2837,0.538,0.4109,0.4404,0.3325,0.3864,0.4901,0.3703,0.4302
7.1,-0.3529,0.4119,0.2836,0.2757,0.5432,0.4094,0.4592,0.3505,0.4049,0.4953,0.3714,0.4333
7.2,-0.3549,0.4203,0.2887,0.2666,0.5506,0.4086,0.4762,0.3704,0.4233,0.4996,0.3702,0.4349
7.3,-0.3658,0.432,0.2925,0.2578,0.5607,0.4093,0.4922,0.3927,0.4425,0.5028,0.3674,0.4351
7.4,-0.3847,0.4476,0.2956,0.2501,0.5736,0.4119,0.5085,0.4179,0.4632,0.5045,0.3635,0.434
7.5,-0.4106,0.4667,0.2991,0.2443,0.5893,0.4168,0.5259,0.4458,0.4858,0.5046,0.3597,0.4322
7.6,-0.4426,0.4882,0.3035,0.2407,0.6068,0.4238,0.5451,0.475,0.51,0.5037,0.3573,0.4305
7.7,-0.4796,0.51,0.309,0.24,0.625,0.4325,0.566,0.5036,0.5348,0.5027,0.3573,0.43
7.8,-0.5198,0.53,0.3153,0.2421,0.6421,0.4421,0.5875,0.5298,0.5587,0.5021,0.3603,0.4312
7.9,-0.5606,0.5465,0.3219,0.2467,0.6563,0.4515,0.6075,0.552,0.5797,0.5017,0.3661,0.4339
8,-0.5992,0.558,0.3288,0.2538,0.6664,0.4601,0.6241,0.569,0.5965,0.5014,0.3744,0.4379
8.1,-0.6327,0.5642,0.3364,0.2637,0.6722,0.4679,0.6362,0.5794,0.6078,0.5018,0.3845,0.4432
8.2,-0.6585,0.5654,0.3452,0.2765,0.6742,0.4754,0.6438,0.5827,0.6133,0.5032,0.3956,0.4494
8.3,-0.6746,0.5625,0.3553,0.2917,0.6727,0.4822,0.647,0.579,0.613,0.5055,0.4066,0.4561
8.4,-0.6797,0.556,0.3666,0.3078,0.6673,0.4875,0.6457,0.5694,0.6076,0.508,0.4161,0.462
8.5,-0.6737,0.5466,0.3782,0.3235,0.6573,0.4904,0.6397,0.5557,0.5977,0.51,0.423,0.4665
8.6,-0.6578,0.5352,0.3894,0.3386,0.6433,0.4909,0.6293,0.5399,0.5846,0.5113,0.427,0.4691
8.7,-0.6339,0.5227,0.3999,0.3534,0.6268,0.4901,0.6148,0.524,0.5694,0.5118,0.428,0.4699
8.8,-0.6039,0.5102,0.4095,0.3685,0.6097,0.4891,0.5969,0.5096,0.5532,0.5113,0.4268,0.4691
8.9,-0.5699,0.4989,0.4184,0.3834,0.5932,0.4883,0.5764,0.4975,0.537,0.5092,0.4242,0.4667
9,-0.5341,0.4896,0.4263,0.3969,0.5782,0.4876,0.5545,0.4884,0.5215,0.5045,0.4207,0.4626
9.1,-0.4982,0.4824,0.433,0.408,0.5649,0.4864,0.5324,0.482,0.5072,0.4972,0.4163,0.4568
9.2,-0.463,0.4776,0.4383,0.4163,0.5535,0.4849,0.5114,0.4779,0.4947,0.4875,0.4107,0.4491
9.3,-0.4275,0.4755,0.4426,0.4223,0.5442,0.4833,0.4933,0.4762,0.4848,0.4761,0.4044,0.4403
9.4,-0.3906,0.4761,0.4463,0.4269,0.5366,0.4817,0.4793,0.4773,0.4783,0.4643,0.3986,0.4315
9.5,-0.3525,0.479,0.4499,0.4303,0.53,0.4802,0.4697,0.4824,0.4761,0.4528,0.3947,0.4238
9.6,-0.315,0.4839,0.4535,0.4327,0.5245,0.4786,0.4648,0.4924,0.4786,0.4419,0.3933,0.4176
9.7,-0.2806,0.4901,0.457,0.4336,0.5205,0.4771,0.4643,0.5076,0.486,0.4309,0.3943,0.4126
9.8,-0.2515,0.4968,0.4602,0.433,0.5182,0.4756,0.4683,0.528,0.4982,0.419,0.3969,0.4079
9.9,-0.2287,0.5034,0.4632,0.4304,0.5174,0.4739,0.4764,0.553,0.5147,0.4058,0.4002,0.403
10,-0.2116,0.5095,0.4665,0.4259,0.5177,0.4718,0.488,0.5827,0.5353,0.3913,0.4041,0.3977
10.1,-0.2001,0.5145,0.4706,0.4201,0.5187,0.4694,0.5024,0.6169,0.5596,0.3761,0.4086,0.3923
10.2,-0.194,0.5183,0.4758,0.4134,0.5201,0.4668,0.5183,0.6552,0.5867,0.3607,0.4132,0.3869
10.3,-0.1927,0.5202,0.4819,0.4062,0.5216,0.4639,0.5339,0.6962,0.6151,0.3446,0.4173,0.3809
10.4,-0.1947,0.5202,0.4883,0.3987,0.5226,0.4606,0.5475,0.7376,0.6425,0.3272,0.4201,0.3737
10.5,-0.1979,0.5184,0.4943,0.3915,0.5229,0.4572,0.5578,0.7768,0.6673,0.3085,0.4217,0.3651
10.6,-0.2007,0.5152,0.5,0.385,0.5223,0.4537,0.5647,0.8115,0.6881,0.2893,0.423,0.3562
10.7,-0.2019,0.5106,0.5052,0.3793,0.5206,0.4499,0.5689,0.8397,0.7043,0.2711,0.4252,0.3481
10.8,-0.2011,0.5041,0.5103,0.3738,0.5173,0.4455,0.5706,0.8602,0.7154,0.2553,0.429,0.3421
