Time,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC,Telstra - 12 months of Kayo from Telstra 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0076,0.6865,0.4942,0.7253,0.7199,0.7226,0.463,0.4028,0.4329,0.6366,0.6576,0.6471
0.1,-0.0436,0.665,0.4891,0.721,0.6877,0.7044,0.4662,0.4076,0.4369,0.6254,0.6488,0.6371
0.2,-0.0778,0.647,0.4861,0.7147,0.6596,0.6871,0.4738,0.4165,0.4452,0.6156,0.6401,0.6278
0.3,-0.1089,0.6334,0.485,0.7068,0.6357,0.6713,0.486,0.4285,0.4572,0.6072,0.6319,0.6196
0.4,-0.1356,0.6247,0.4846,0.6975,0.6159,0.6567,0.5022,0.4424,0.4723,0.6004,0.6245,0.6125
0.5,-0.1569,0.62,0.4835,0.6863,0.5996,0.6429,0.5218,0.4566,0.4892,0.5952,0.6182,0.6067
0.6,-0.1727,0.6182,0.4804,0.6726,0.5856,0.6291,0.5435,0.4705,0.507,0.5916,0.6129,0.6023
0.7,-0.1831,0.6184,0.4753,0.6569,0.5736,0.6152,0.5662,0.4839,0.525,0.5895,0.6091,0.5993
0.8,-0.1883,0.6202,0.4692,0.6402,0.5634,0.6018,0.5886,0.4968,0.5427,0.5887,0.607,0.5979
