Time,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC,Telstra - Secured by Telstra 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1431,0.7221,0.4794,0.611,0.7003,0.6557,0.5455,0.5279,0.5367,0.4921,0.5377,0.5149
0.1,-0.0849,0.6943,0.4907,0.5873,0.6963,0.6418,0.5411,0.5237,0.5324,0.4607,0.4962,0.4785
0.2,-0.0306,0.6678,0.499,0.567,0.6916,0.6293,0.5365,0.5159,0.5262,0.4325,0.4577,0.4451
0.3,0.0206,0.6427,0.5034,0.5507,0.6869,0.6188,0.5322,0.5045,0.5183,0.4076,0.4218,0.4147
0.4,0.0694,0.6197,0.504,0.5395,0.6841,0.6118,0.5283,0.49,0.5091,0.3865,0.3886,0.3875
0.5,0.1155,0.5995,0.5013,0.5339,0.6844,0.6092,0.5254,0.4734,0.4994,0.3701,0.3585,0.3643
0.6,0.1582,0.5822,0.4959,0.5332,0.6877,0.6105,0.5236,0.4561,0.4898,0.3589,0.3324,0.3456
0.7,0.1964,0.5671,0.4879,0.5358,0.693,0.6144,0.523,0.4396,0.4813,0.3526,0.3106,0.3316
0.8,0.2282,0.554,0.4782,0.5397,0.6993,0.6195,0.5235,0.4253,0.4744,0.3507,0.2933,0.322
0.9,0.2517,0.5426,0.4672,0.5437,0.7066,0.6251,0.5246,0.4139,0.4692,0.3524,0.2804,0.3164
1,0.2655,0.5326,0.4554,0.5465,0.7147,0.6306,0.5256,0.4053,0.4655,0.3574,0.2719,0.3146
1.1,0.2694,0.523,0.4429,0.5474,0.7233,0.6354,0.5256,0.3993,0.4624,0.3649,0.2675,0.3162
1.2,0.2649,0.513,0.4303,0.5457,0.7314,0.6385,0.524,0.3958,0.4599,0.3741,0.2671,0.3206
1.3,0.2534,0.5023,0.4181,0.5411,0.7384,0.6398,0.5211,0.3956,0.4584,0.3846,0.2703,0.3274
1.4,0.2366,0.4916,0.4071,0.5344,0.7443,0.6393,0.5177,0.3995,0.4586,0.3964,0.277,0.3367
1.5,0.2164,0.4817,0.3982,0.5262,0.7491,0.6377,0.5145,0.4082,0.4614,0.4098,0.2873,0.3486
1.6,0.1951,0.4728,0.3916,0.5172,0.7525,0.6349,0.5114,0.4213,0.4664,0.4244,0.301,0.3627
1.7,0.1741,0.4643,0.3871,0.507,0.7535,0.6302,0.5078,0.4375,0.4726,0.4393,0.3173,0.3783
1.8,0.1538,0.4557,0.3846,0.4949,0.7512,0.623,0.5031,0.4545,0.4788,0.4528,0.3349,0.3938
1.9,0.1341,0.447,0.3839,0.4809,0.7452,0.6131,0.4966,0.4708,0.4837,0.4637,0.3527,0.4082
2,0.1151,0.4393,0.3854,0.4657,0.7359,0.6008,0.4887,0.4852,0.487,0.4715,0.3696,0.4205
2.1,0.0971,0.4336,0.3893,0.4506,0.7238,0.5872,0.4799,0.4973,0.4886,0.476,0.3852,0.4306
2.2,0.0798,0.4312,0.3955,0.4366,0.7093,0.5729,0.4709,0.5065,0.4887,0.4772,0.3995,0.4383
2.3,0.0621,0.4324,0.4035,0.4247,0.693,0.5588,0.4621,0.5117,0.4869,0.4758,0.4122,0.444
2.4,0.0437,0.4373,0.4127,0.4155,0.6756,0.5455,0.4537,0.5121,0.4829,0.4722,0.4233,0.4478
2.5,0.0255,0.4457,0.4227,0.4097,0.6579,0.5338,0.4458,0.5078,0.4768,0.4673,0.433,0.4502
2.6,0.0087,0.4575,0.4333,0.4077,0.6408,0.5243,0.4393,0.4995,0.4694,0.4619,0.4415,0.4517
2.7,-0.0053,0.4729,0.4449,0.4103,0.6249,0.5176,0.4351,0.4883,0.4617,0.4567,0.4493,0.453
2.8,-0.0164,0.4917,0.4573,0.4177,0.6106,0.5141,0.4339,0.4753,0.4546,0.4524,0.4569,0.4546
2.9,-0.026,0.5127,0.4697,0.4299,0.5978,0.5138,0.436,0.461,0.4485,0.4494,0.4644,0.4569
3,-0.0364,0.5344,0.4811,0.4457,0.5865,0.5161,0.441,0.4457,0.4434,0.448,0.4721,0.4601
3.1,-0.0486,0.5559,0.4908,0.4639,0.5763,0.5201,0.4489,0.4303,0.4396,0.4484,0.4799,0.4641
3.2,-0.0625,0.5771,0.4983,0.4835,0.5671,0.5253,0.459,0.4154,0.4372,0.4504,0.4876,0.469
3.3,-0.0767,0.5981,0.5035,0.5044,0.5588,0.5316,0.4711,0.4012,0.4362,0.4536,0.495,0.4743
3.4,-0.09,0.6191,0.5058,0.5271,0.5513,0.5392,0.4844,0.3881,0.4363,0.4581,0.5018,0.4799
3.5,-0.1021,0.6404,0.5055,0.5516,0.5453,0.5485,0.4982,0.3761,0.4372,0.4642,0.5081,0.4861
3.6,-0.1125,0.6619,0.5034,0.577,0.5415,0.5592,0.5116,0.3658,0.4387,0.4725,0.5141,0.4933
3.7,-0.12,0.6838,0.5003,0.602,0.54,0.571,0.524,0.3577,0.4408,0.4833,0.5203,0.5018
3.8,-0.1227,0.7059,0.4969,0.6252,0.5404,0.5828,0.5352,0.352,0.4436,0.4962,0.5265,0.5114
3.9,-0.1192,0.7277,0.4932,0.6452,0.5414,0.5933,0.5445,0.3487,0.4466,0.5102,0.5327,0.5214
4,-0.11,0.7485,0.4897,0.661,0.5425,0.6017,0.5512,0.348,0.4496,0.524,0.5383,0.5312
4.1,-0.0956,0.7675,0.4864,0.6723,0.5435,0.6079,0.5541,0.3499,0.452,0.5366,0.5431,0.5398
4.2,-0.0768,0.7846,0.484,0.6798,0.5444,0.6121,0.5533,0.3543,0.4538,0.5473,0.5467,0.547
4.3,-0.0534,0.7999,0.4827,0.6847,0.5452,0.615,0.5491,0.361,0.455,0.5557,0.5486,0.5521
4.4,-0.0246,0.813,0.4823,0.6886,0.5458,0.6172,0.5423,0.3696,0.456,0.5611,0.5487,0.5549
4.5,0.0101,0.8237,0.483,0.6927,0.5455,0.6191,0.5337,0.3801,0.4569,0.5629,0.5466,0.5548
4.6,0.0497,0.8316,0.4848,0.6974,0.544,0.6207,0.5236,0.392,0.4578,0.5612,0.542,0.5516
4.7,0.0927,0.8367,0.4876,0.703,0.5412,0.6221,0.5126,0.4053,0.4589,0.5563,0.5348,0.5455
4.8,0.1376,0.8387,0.4911,0.7094,0.5369,0.6232,0.5013,0.4191,0.4602,0.5482,0.5249,0.5365
4.9,0.1826,0.8373,0.4947,0.7163,0.5314,0.6238,0.4903,0.4324,0.4613,0.5367,0.5121,0.5244
5,0.2257,0.8325,0.4977,0.7236,0.5249,0.6243,0.48,0.4444,0.4622,0.5213,0.4963,0.5088
5.1,0.2648,0.8248,0.4996,0.7313,0.5181,0.6247,0.4709,0.4546,0.4628,0.502,0.4774,0.4897
5.2,0.2977,0.8147,0.4998,0.7398,0.5117,0.6258,0.4634,0.4631,0.4633,0.4799,0.4554,0.4677
5.3,0.3223,0.8033,0.4979,0.749,0.5064,0.6277,0.4576,0.4702,0.4639,0.4565,0.4311,0.4438
5.4,0.337,0.7911,0.4936,0.7586,0.5025,0.6305,0.4536,0.4765,0.465,0.4333,0.4052,0.4192
5.5,0.3401,0.7784,0.4866,0.7679,0.5001,0.634,0.4516,0.4823,0.467,0.4111,0.3787,0.3949
5.6,0.3316,0.7649,0.4769,0.7766,0.4994,0.638,0.4518,0.488,0.4699,0.3908,0.3527,0.3717
5.7,0.3124,0.7509,0.4647,0.7849,0.5006,0.6427,0.4545,0.4938,0.4741,0.3728,0.3277,0.3503
5.8,0.285,0.7369,0.4504,0.7931,0.5039,0.6485,0.4597,0.4998,0.4797,0.3576,0.3042,0.3309
5.9,0.2524,0.7232,0.4349,0.8017,0.5091,0.6554,0.4673,0.506,0.4867,0.3449,0.2821,0.3135
6,0.216,0.7102,0.4186,0.8108,0.516,0.6634,0.4768,0.5123,0.4945,0.3347,0.2615,0.2981
6.1,0.1759,0.6982,0.4019,0.8203,0.5245,0.6724,0.4874,0.5181,0.5027,0.3267,0.2427,0.2847
6.2,0.131,0.6879,0.3849,0.8297,0.5351,0.6824,0.4983,0.5235,0.5109,0.3214,0.2258,0.2736
6.3,0.0814,0.68,0.3676,0.8385,0.5481,0.6933,0.5095,0.5288,0.5192,0.3189,0.2112,0.265
6.4,0.0293,0.6753,0.35,0.8471,0.5638,0.7055,0.5211,0.5343,0.5277,0.3191,0.1988,0.259
6.5,-0.0216,0.6748,0.3322,0.8569,0.5825,0.7197,0.5331,0.5404,0.5368,0.3223,0.1891,0.2557
6.6,-0.0684,0.6786,0.3152,0.8692,0.605,0.7371,0.5459,0.5476,0.5467,0.3287,0.1826,0.2557
6.7,-0.1101,0.6862,0.3004,0.8846,0.6319,0.7582,0.5593,0.5566,0.5579,0.3394,0.1808,0.2601
6.8,-0.1473,0.6969,0.2898,0.9022,0.6638,0.783,0.5735,0.5685,0.571,0.355,0.1855,0.2703
6.9,-0.1798,0.7095,0.2853,0.9205,0.701,0.8108,0.5887,0.5841,0.5864,0.3759,0.1982,0.2871
7,-0.2067,0.7229,0.2886,0.9383,0.7428,0.8405,0.6045,0.6036,0.604,0.4016,0.2195,0.3106
7.1,-0.2268,0.7362,0.3009,0.9553,0.7882,0.8717,0.6205,0.6266,0.6236,0.4306,0.2494,0.34
7.2,-0.2391,0.7485,0.324,0.9717,0.8363,0.904,0.6361,0.6526,0.6443,0.4612,0.2873,0.3742
7.3,-0.2437,0.7591,0.3598,0.9876,0.8858,0.9367,0.6502,0.6804,0.6653,0.4916,0.3325,0.412
7.4,-0.2413,0.7674,0.4094,1.0022,0.9343,0.9682,0.6627,0.709,0.6859,0.5204,0.3834,0.4519
7.5,-0.2318,0.7727,0.4712,1.0143,0.9785,0.9964,0.6736,0.7369,0.7053,0.5463,0.4373,0.4918
7.6,-0.2148,0.7745,0.5407,1.0227,1.0157,1.0192,0.6835,0.7624,0.7229,0.5687,0.4898,0.5293
7.7,-0.1906,0.7721,0.6111,1.0266,1.045,1.0358,0.6923,0.7838,0.738,0.5865,0.5366,0.5616
7.8,-0.1607,0.7655,0.6751,1.0256,1.0671,1.0464,0.6995,0.7998,0.7496,0.5986,0.5743,0.5864
7.9,-0.127,0.7547,0.7277,1.0196,1.0827,1.0512,0.7044,0.8097,0.7571,0.604,0.6012,0.6026
8,-0.0907,0.7399,0.7658,1.0084,1.0913,1.0499,0.7067,0.8143,0.7605,0.6023,0.6173,0.6098
8.1,-0.0521,0.721,0.789,0.9917,1.0922,1.042,0.7069,0.8144,0.7607,0.5939,0.6237,0.6088
8.2,-0.0126,0.6977,0.7987,0.9692,1.0854,1.0273,0.7058,0.8112,0.7585,0.58,0.622,0.601
8.3,0.0243,0.6706,0.7966,0.9413,1.0717,1.0065,0.7038,0.8055,0.7546,0.562,0.6134,0.5877
8.4,0.0555,0.6401,0.7844,0.9084,1.0524,0.9804,0.7003,0.7977,0.749,0.541,0.5992,0.5701
8.5,0.0788,0.6069,0.7634,0.8714,1.0273,0.9494,0.6951,0.7879,0.7415,0.5176,0.5799,0.5487
8.6,0.0932,0.5718,0.7353,0.8311,0.9956,0.9134,0.6876,0.7764,0.732,0.4919,0.5564,0.5241
8.7,0.0993,0.5354,0.7027,0.7885,0.957,0.8728,0.6782,0.7638,0.721,0.4646,0.5295,0.497
8.8,0.0982,0.4985,0.6684,0.745,0.9123,0.8286,0.6674,0.7507,0.7091,0.4361,0.5004,0.4682
8.9,0.0909,0.4621,0.6348,0.7018,0.8632,0.7825,0.656,0.7379,0.6969,0.407,0.4697,0.4383
9,0.0787,0.4271,0.6032,0.6602,0.8117,0.7359,0.6441,0.7255,0.6848,0.3778,0.4377,0.4077
9.1,0.0628,0.3939,0.5741,0.6204,0.7594,0.6899,0.6314,0.7136,0.6725,0.3485,0.4041,0.3763
9.2,0.0437,0.3631,0.5474,0.5825,0.7073,0.6449,0.6174,0.7024,0.6599,0.3192,0.3692,0.3442
9.3,0.022,0.3351,0.5232,0.547,0.6563,0.6016,0.602,0.6925,0.6472,0.2909,0.3334,0.3122
9.4,-0.002,0.3106,0.5012,0.515,0.6078,0.5614,0.5857,0.6844,0.6351,0.2647,0.2978,0.2813
9.5,-0.0275,0.2905,0.4814,0.4876,0.5638,0.5257,0.5699,0.6787,0.6243,0.2416,0.263,0.2523
9.6,-0.0534,0.2754,0.464,0.4652,0.5254,0.4953,0.5559,0.676,0.616,0.2217,0.2293,0.2255
9.7,-0.0782,0.2658,0.4493,0.4476,0.493,0.4703,0.545,0.6765,0.6108,0.2046,0.1967,0.2007
9.8,-0.1005,0.261,0.4376,0.4343,0.4663,0.4503,0.5374,0.68,0.6087,0.19,0.1656,0.1778
9.9,-0.1192,0.2603,0.4292,0.425,0.4451,0.435,0.5326,0.6858,0.6092,0.1782,0.1364,0.1573
10,-0.1331,0.2632,0.4241,0.4199,0.4293,0.4246,0.53,0.6931,0.6116,0.1699,0.11,0.14
10.1,-0.1428,0.2692,0.4216,0.4192,0.4189,0.4191,0.529,0.7014,0.6152,0.1655,0.0867,0.1261
10.2,-0.1492,0.2781,0.4209,0.4227,0.4135,0.4181,0.5285,0.7095,0.619,0.1648,0.0665,0.1156
10.3,-0.1523,0.2895,0.4211,0.4298,0.4126,0.4212,0.5266,0.7157,0.6212,0.1667,0.0485,0.1076
10.4,-0.1517,0.3032,0.4215,0.44,0.415,0.4275,0.5212,0.7183,0.6197,0.1701,0.0317,0.1009
10.5,-0.148,0.3184,0.4216,0.4527,0.4201,0.4364,0.5105,0.7162,0.6133,0.174,0.015,0.0945
10.6,-0.1431,0.3348,0.4215,0.4669,0.4277,0.4473,0.4941,0.7093,0.6017,0.1781,-0.0015,0.0883
10.7,-0.1396,0.3526,0.422,0.4818,0.438,0.4599,0.4732,0.6989,0.5861,0.1831,-0.0172,0.083
10.8,-0.1396,0.3718,0.4236,0.4969,0.4509,0.4739,0.4494,0.6863,0.5678,0.1895,-0.0312,0.0791
10.9,-0.1442,0.3917,0.4266,0.5116,0.4658,0.4887,0.4237,0.6721,0.5479,0.1971,-0.0433,0.0769
11,-0.1528,0.4115,0.4309,0.5258,0.4818,0.5038,0.3964,0.6562,0.5263,0.2049,-0.0535,0.0757
11.1,-0.165,0.4302,0.4358,0.5395,0.4977,0.5186,0.3672,0.6381,0.5026,0.2118,-0.0623,0.0748
11.2,-0.1801,0.4472,0.4409,0.5529,0.5128,0.5329,0.3358,0.618,0.4769,0.2174,-0.0697,0.0738
11.3,-0.1972,0.4623,0.4467,0.566,0.5259,0.546,0.3028,0.5967,0.4497,0.2221,-0.0751,0.0735
11.4,-0.2151,0.475,0.4537,0.5784,0.536,0.5572,0.2695,0.575,0.4222,0.2264,-0.0776,0.0744
11.5,-0.2336,0.4848,0.4621,0.5897,0.5423,0.566,0.2374,0.5535,0.3954,0.2311,-0.077,0.0771
11.6,-0.2531,0.4913,0.4713,0.5993,0.5447,0.572,0.208,0.5326,0.3703,0.2366,-0.0735,0.0816
