Time,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC,Tetley - Spill The Tea 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.032,0.362,0.2019,0.214,0.5273,0.3707,0.2573,0.5626,0.41,0.0803,0.0156,0.048
0.1,0.0035,0.3638,0.2176,0.2056,0.551,0.3783,0.2751,0.5841,0.4296,0.1035,0.0421,0.0728
0.2,-0.0263,0.3684,0.2371,0.2014,0.572,0.3867,0.2991,0.6076,0.4533,0.1307,0.0717,0.1012
0.3,-0.0562,0.376,0.2605,0.2022,0.59,0.3961,0.3289,0.6327,0.4808,0.1615,0.1036,0.1325
0.4,-0.0845,0.3866,0.2882,0.2088,0.6047,0.4067,0.3644,0.659,0.5117,0.1963,0.1376,0.1669
0.5,-0.1101,0.4001,0.3214,0.2212,0.6156,0.4184,0.4057,0.6868,0.5463,0.236,0.1743,0.2051
0.6,-0.1316,0.4165,0.3611,0.2388,0.6229,0.4308,0.4516,0.7153,0.5834,0.2804,0.2132,0.2468
0.7,-0.1474,0.4354,0.4064,0.2613,0.6269,0.4441,0.4993,0.7421,0.6207,0.3271,0.2522,0.2896
0.8,-0.1559,0.4563,0.4548,0.2881,0.628,0.458,0.5455,0.7643,0.6549,0.373,0.2882,0.3306
0.9,-0.1566,0.478,0.503,0.3184,0.6264,0.4724,0.5875,0.7799,0.6837,0.4152,0.3193,0.3672
1,-0.1499,0.4991,0.5478,0.3508,0.6221,0.4864,0.6237,0.7881,0.7059,0.452,0.3446,0.3983
1.1,-0.1373,0.5188,0.5866,0.3834,0.6157,0.4996,0.6531,0.7891,0.7211,0.4826,0.3641,0.4234
1.2,-0.1209,0.5365,0.6176,0.415,0.6086,0.5118,0.6742,0.7832,0.7287,0.506,0.3777,0.4418
1.3,-0.1026,0.5521,0.6392,0.4453,0.6024,0.5239,0.686,0.7709,0.7285,0.5212,0.3857,0.4534
1.4,-0.0831,0.5662,0.6513,0.475,0.5986,0.5368,0.6888,0.7537,0.7213,0.5282,0.3887,0.4585
1.5,-0.0628,0.5792,0.6541,0.5047,0.598,0.5513,0.6842,0.7342,0.7092,0.5283,0.3881,0.4582
1.6,-0.0428,0.5917,0.6485,0.5343,0.6012,0.5678,0.6736,0.7148,0.6942,0.5229,0.3849,0.4539
1.7,-0.0244,0.6037,0.6349,0.5635,0.6091,0.5863,0.6584,0.6972,0.6778,0.5135,0.3799,0.4467
1.8,-0.0085,0.6154,0.6136,0.5915,0.6222,0.6069,0.6396,0.6816,0.6606,0.5006,0.3731,0.4369
1.9,0.0053,0.6264,0.5859,0.6181,0.6402,0.6291,0.6188,0.6679,0.6434,0.4851,0.3647,0.4249
2,0.0178,0.6368,0.5541,0.6437,0.6621,0.6529,0.5983,0.6565,0.6274,0.4684,0.356,0.4122
2.1,0.0291,0.6469,0.5211,0.6696,0.6872,0.6784,0.5796,0.6483,0.614,0.4521,0.3482,0.4001
2.2,0.0385,0.6571,0.4886,0.6961,0.7141,0.7051,0.5639,0.6433,0.6036,0.4371,0.3421,0.3896
2.3,0.0449,0.6678,0.4578,0.7225,0.7414,0.7319,0.5516,0.6408,0.5962,0.4239,0.338,0.3809
2.4,0.0476,0.6782,0.4294,0.7471,0.7675,0.7573,0.5427,0.64,0.5914,0.4128,0.3357,0.3742
2.5,0.047,0.6877,0.4044,0.7682,0.7905,0.7794,0.5372,0.6407,0.5889,0.4043,0.3354,0.3698
2.6,0.0435,0.6957,0.3835,0.7852,0.8093,0.7973,0.5348,0.6429,0.5888,0.3986,0.3373,0.3679
2.7,0.0376,0.7017,0.3666,0.7982,0.8229,0.8105,0.5351,0.6463,0.5907,0.3954,0.3415,0.3684
2.8,0.03,0.7054,0.3541,0.8074,0.83,0.8187,0.5378,0.6505,0.5942,0.3944,0.3481,0.3712
2.9,0.0216,0.7065,0.3465,0.8129,0.8301,0.8215,0.542,0.6548,0.5984,0.3955,0.3569,0.3762
3,0.0132,0.7051,0.3443,0.8149,0.8231,0.819,0.5467,0.6581,0.6024,0.398,0.367,0.3825
3.1,0.005,0.7015,0.3466,0.8133,0.8102,0.8117,0.5508,0.6598,0.6053,0.4009,0.3777,0.3893
3.2,-0.0039,0.6959,0.3517,0.8078,0.7928,0.8003,0.5535,0.6593,0.6064,0.4036,0.3882,0.3959
3.3,-0.0143,0.6882,0.3581,0.7982,0.7723,0.7852,0.5541,0.6566,0.6053,0.4057,0.3977,0.4017
3.4,-0.0263,0.6786,0.3652,0.7841,0.7497,0.7669,0.5526,0.6521,0.6024,0.4072,0.406,0.4066
3.5,-0.0391,0.6668,0.3735,0.7661,0.7261,0.7461,0.5491,0.6462,0.5977,0.4081,0.4126,0.4103
3.6,-0.0526,0.6535,0.384,0.7453,0.7025,0.7239,0.5437,0.6393,0.5915,0.4085,0.4177,0.4131
3.7,-0.0674,0.6393,0.3976,0.7225,0.68,0.7013,0.5363,0.6316,0.5839,0.4087,0.4219,0.4153
3.8,-0.0837,0.6247,0.4144,0.6981,0.6592,0.6787,0.5266,0.6232,0.5749,0.4089,0.4254,0.4172
3.9,-0.1006,0.61,0.4339,0.6725,0.64,0.6563,0.5148,0.6141,0.5644,0.409,0.428,0.4185
4,-0.1157,0.5955,0.4557,0.6464,0.6227,0.6345,0.5012,0.6041,0.5526,0.4082,0.4292,0.4187
4.1,-0.1262,0.5819,0.479,0.6214,0.6077,0.6145,0.4868,0.5933,0.5401,0.4062,0.4287,0.4174
4.2,-0.1304,0.5696,0.5032,0.5991,0.5963,0.5977,0.4734,0.5822,0.5278,0.4034,0.4268,0.4151
4.3,-0.1275,0.5592,0.5278,0.5809,0.5897,0.5853,0.4626,0.5719,0.5172,0.4011,0.4246,0.4128
4.4,-0.1172,0.5512,0.5524,0.5675,0.5884,0.5779,0.4554,0.5634,0.5094,0.4001,0.4227,0.4114
4.5,-0.0981,0.546,0.5762,0.5595,0.5926,0.576,0.4513,0.5576,0.5044,0.4005,0.421,0.4108
4.6,-0.0686,0.5441,0.5987,0.5575,0.6022,0.5798,0.4495,0.5547,0.5021,0.4021,0.4193,0.4107
4.7,-0.027,0.5458,0.6193,0.5619,0.6166,0.5893,0.45,0.5551,0.5026,0.4048,0.4177,0.4112
4.8,0.0276,0.5505,0.638,0.5726,0.6343,0.6035,0.4534,0.5589,0.5061,0.4091,0.4165,0.4128
4.9,0.095,0.5571,0.6545,0.5878,0.6528,0.6203,0.4595,0.5659,0.5127,0.4153,0.4158,0.4155
5,0.1736,0.5641,0.6676,0.6046,0.6698,0.6372,0.4677,0.5747,0.5212,0.4223,0.4149,0.4186
5.1,0.2615,0.5703,0.6764,0.6207,0.6834,0.652,0.4766,0.5836,0.5301,0.4289,0.4127,0.4208
5.2,0.3565,0.5745,0.6804,0.6342,0.6921,0.6631,0.4857,0.5908,0.5382,0.4339,0.4085,0.4212
5.3,0.4555,0.5759,0.6793,0.6439,0.6947,0.6693,0.4946,0.5951,0.5448,0.4369,0.4021,0.4195
5.4,0.5543,0.5739,0.6733,0.6488,0.6906,0.6697,0.5029,0.5961,0.5495,0.4379,0.3939,0.4159
5.5,0.6482,0.5683,0.6621,0.6479,0.6797,0.6638,0.5098,0.5937,0.5518,0.437,0.3845,0.4107
5.6,0.733,0.5594,0.6457,0.6404,0.6623,0.6513,0.5148,0.5878,0.5513,0.4342,0.3741,0.4042
5.7,0.8065,0.5476,0.6248,0.6267,0.6398,0.6333,0.5178,0.5785,0.5482,0.4299,0.3632,0.3966
5.8,0.8673,0.5335,0.6003,0.6086,0.6134,0.611,0.5192,0.5663,0.5428,0.4245,0.3523,0.3884
5.9,0.915,0.5173,0.5733,0.5877,0.5843,0.586,0.5188,0.5521,0.5355,0.4183,0.3416,0.38
6,0.9494,0.4995,0.545,0.5655,0.5531,0.5593,0.5164,0.5363,0.5264,0.4111,0.3315,0.3713
6.1,0.9701,0.4802,0.5163,0.5427,0.5211,0.5319,0.5117,0.5194,0.5155,0.4033,0.3219,0.3626
6.2,0.9768,0.4597,0.4881,0.5191,0.4891,0.5041,0.5047,0.5018,0.5033,0.3953,0.3127,0.354
6.3,0.9699,0.4378,0.4612,0.4946,0.458,0.4763,0.4962,0.4839,0.49,0.3875,0.304,0.3458
6.4,0.9499,0.4142,0.4357,0.469,0.4284,0.4487,0.487,0.4658,0.4764,0.3805,0.2958,0.3381
6.5,0.9179,0.3883,0.4116,0.4429,0.4004,0.4216,0.4778,0.4483,0.463,0.3746,0.2883,0.3315
6.6,0.8752,0.3603,0.3894,0.4171,0.374,0.3956,0.4692,0.4319,0.4506,0.3707,0.2822,0.3265
6.7,0.8238,0.3309,0.3698,0.393,0.35,0.3715,0.4616,0.4175,0.4396,0.37,0.2783,0.3242
6.8,0.7663,0.3015,0.3535,0.3718,0.3291,0.3504,0.4559,0.4059,0.4309,0.3732,0.2776,0.3254
6.9,0.7049,0.2733,0.3402,0.3543,0.3119,0.3331,0.4527,0.3974,0.4251,0.3802,0.2806,0.3304
7,0.6415,0.2475,0.3293,0.3409,0.2984,0.3197,0.4519,0.3918,0.4219,0.3899,0.2876,0.3387
7.1,0.5771,0.2249,0.3199,0.3319,0.2885,0.3102,0.4529,0.3889,0.4209,0.4013,0.298,0.3497
7.2,0.5125,0.2063,0.312,0.328,0.2823,0.3052,0.4554,0.3886,0.422,0.414,0.3115,0.3627
7.3,0.4478,0.1926,0.3055,0.33,0.2807,0.3054,0.4601,0.3914,0.4257,0.4276,0.3274,0.3775
7.4,0.3834,0.1846,0.3007,0.3387,0.2847,0.3117,0.4674,0.3974,0.4324,0.442,0.3454,0.3937
7.5,0.3197,0.1828,0.2975,0.3547,0.2946,0.3247,0.4775,0.4068,0.4422,0.4569,0.365,0.4109
7.6,0.2579,0.1877,0.2958,0.3785,0.3102,0.3444,0.49,0.4193,0.4547,0.4718,0.3857,0.4287
7.7,0.1989,0.1994,0.2954,0.4096,0.3302,0.3699,0.5036,0.4343,0.469,0.4862,0.4068,0.4465
7.8,0.1446,0.2179,0.296,0.4471,0.3527,0.3999,0.5168,0.4509,0.4839,0.4992,0.4277,0.4635
7.9,0.0973,0.2424,0.2977,0.4899,0.376,0.433,0.5284,0.4683,0.4983,0.5101,0.4479,0.479
8,0.0588,0.2718,0.3,0.5363,0.3989,0.4676,0.538,0.4854,0.5117,0.5187,0.4666,0.4927
8.1,0.03,0.3047,0.3026,0.5842,0.4205,0.5024,0.5455,0.5013,0.5234,0.5248,0.4833,0.5041
8.2,0.0104,0.3398,0.3049,0.6313,0.4403,0.5358,0.5505,0.5154,0.5329,0.5281,0.4973,0.5127
8.3,-0.0018,0.3758,0.3062,0.6755,0.4579,0.5667,0.5523,0.5266,0.5394,0.5284,0.5076,0.518
8.4,-0.0089,0.4116,0.3059,0.7147,0.4733,0.594,0.5504,0.5341,0.5423,0.5255,0.514,0.5197
8.5,-0.0129,0.4458,0.3036,0.7476,0.4867,0.6171,0.5448,0.5378,0.5413,0.5195,0.5167,0.5181
8.6,-0.0143,0.4774,0.2993,0.7738,0.4977,0.6358,0.5359,0.5378,0.5368,0.5106,0.516,0.5133
8.7,-0.0134,0.5059,0.2935,0.7937,0.5067,0.6502,0.5244,0.5348,0.5296,0.4991,0.5123,0.5057
8.8,-0.0111,0.5312,0.2868,0.8078,0.514,0.6609,0.5107,0.53,0.5203,0.4852,0.506,0.4956
8.9,-0.0078,0.5532,0.2798,0.8163,0.5201,0.6682,0.4952,0.5242,0.5097,0.4694,0.4975,0.4834
