Time,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3159,0.8591,0.2596,0.6681,0.4928,0.5805,0.3384,0.3761,0.3573,0.6229,0.6628,0.6429
0.1,-0.3577,0.8473,0.258,0.6808,0.5062,0.5935,0.3324,0.3457,0.3391,0.6041,0.6501,0.6271
0.2,-0.3962,0.8331,0.2607,0.7005,0.5236,0.612,0.3277,0.3213,0.3245,0.5825,0.6347,0.6086
0.3,-0.428,0.8172,0.2688,0.7263,0.544,0.6352,0.3255,0.305,0.3152,0.5592,0.6175,0.5883
0.4,-0.4496,0.8004,0.2825,0.7564,0.5657,0.661,0.3271,0.2971,0.3121,0.5351,0.5993,0.5672
0.5,-0.4603,0.7833,0.3013,0.7872,0.5868,0.687,0.3329,0.297,0.315,0.5102,0.5809,0.5456
0.6,-0.4628,0.7663,0.3242,0.8157,0.6075,0.7116,0.3425,0.3038,0.3232,0.4844,0.5629,0.5236
0.7,-0.4599,0.7497,0.3498,0.8395,0.6281,0.7338,0.3555,0.317,0.3362,0.4582,0.5455,0.5018
0.8,-0.4524,0.7338,0.3773,0.8569,0.6479,0.7524,0.3717,0.336,0.3539,0.4325,0.5289,0.4807
0.9,-0.4392,0.7192,0.4056,0.8662,0.6644,0.7653,0.3911,0.3599,0.3755,0.4083,0.5133,0.4608
1,-0.4201,0.7065,0.4332,0.8671,0.6761,0.7716,0.4134,0.3871,0.4002,0.3866,0.499,0.4428
1.1,-0.3963,0.6966,0.4587,0.8604,0.6828,0.7716,0.4379,0.4162,0.427,0.3675,0.4862,0.4269
1.2,-0.3703,0.6902,0.4805,0.8476,0.6854,0.7665,0.4633,0.4459,0.4546,0.35,0.4743,0.4121
1.3,-0.344,0.6873,0.4978,0.8302,0.6847,0.7575,0.4886,0.4757,0.4821,0.3339,0.4635,0.3987
1.4,-0.3186,0.6872,0.51,0.8094,0.6804,0.7449,0.5129,0.5041,0.5085,0.3205,0.4546,0.3875
1.5,-0.2937,0.6886,0.5165,0.7856,0.6721,0.7289,0.5353,0.5292,0.5322,0.3112,0.4486,0.3799
1.6,-0.2695,0.6917,0.5173,0.759,0.66,0.7095,0.5544,0.5489,0.5517,0.3068,0.4463,0.3766
1.7,-0.2465,0.6965,0.5122,0.7294,0.6443,0.6869,0.5684,0.5609,0.5647,0.307,0.4475,0.3772
1.8,-0.2254,0.7023,0.5012,0.6974,0.6254,0.6614,0.5765,0.5641,0.5703,0.3109,0.4512,0.381
1.9,-0.2057,0.7083,0.4843,0.6635,0.603,0.6332,0.5792,0.5587,0.569,0.3175,0.457,0.3872
2,-0.1858,0.7131,0.4615,0.6286,0.5764,0.6025,0.5776,0.5467,0.5622,0.3265,0.4641,0.3953
2.1,-0.1655,0.7163,0.4344,0.5936,0.5451,0.5694,0.5729,0.5307,0.5518,0.3374,0.4724,0.4049
2.2,-0.1462,0.7176,0.405,0.5594,0.5085,0.534,0.5663,0.5129,0.5396,0.3495,0.4819,0.4157
2.3,-0.1306,0.7167,0.3752,0.5262,0.4664,0.4963,0.5586,0.4944,0.5265,0.3619,0.4926,0.4272
2.4,-0.1211,0.712,0.3469,0.4936,0.4194,0.4565,0.5512,0.4767,0.514,0.3743,0.5043,0.4393
2.5,-0.1178,0.7016,0.3221,0.4613,0.3688,0.4151,0.5458,0.4624,0.5041,0.3872,0.5171,0.4521
2.6,-0.1194,0.6838,0.3023,0.4296,0.3166,0.3731,0.543,0.4531,0.4981,0.4007,0.5304,0.4656
2.7,-0.1239,0.6584,0.288,0.399,0.2648,0.3319,0.5422,0.4492,0.4957,0.4146,0.5435,0.4791
2.8,-0.1307,0.6263,0.279,0.3702,0.2155,0.2929,0.5419,0.4498,0.4958,0.4282,0.5557,0.4919
2.9,-0.1398,0.5885,0.275,0.344,0.1708,0.2574,0.5412,0.4542,0.4977,0.4407,0.5663,0.5035
3,-0.1513,0.5458,0.2759,0.3211,0.1322,0.2267,0.5397,0.4618,0.5008,0.4518,0.5752,0.5135
3.1,-0.1648,0.4987,0.2815,0.302,0.1004,0.2012,0.5369,0.4718,0.5044,0.4614,0.5825,0.522
3.2,-0.1785,0.4482,0.2912,0.2865,0.0756,0.181,0.5316,0.4834,0.5075,0.4696,0.5879,0.5287
3.3,-0.1907,0.3962,0.3038,0.2743,0.0578,0.1661,0.5234,0.4952,0.5093,0.476,0.5911,0.5335
3.4,-0.1995,0.3456,0.318,0.2658,0.0471,0.1564,0.5121,0.5068,0.5095,0.4804,0.5916,0.536
3.5,-0.2027,0.2992,0.333,0.2612,0.043,0.1521,0.499,0.5187,0.5088,0.483,0.5895,0.5362
3.6,-0.1984,0.2592,0.3483,0.2613,0.0446,0.1529,0.4853,0.5312,0.5082,0.484,0.5845,0.5342
3.7,-0.1858,0.2277,0.3629,0.2668,0.051,0.1589,0.4719,0.5434,0.5077,0.4834,0.5767,0.5301
3.8,-0.165,0.2061,0.3753,0.2776,0.0616,0.1696,0.4591,0.554,0.5065,0.4814,0.5662,0.5238
3.9,-0.1377,0.1946,0.3852,0.2931,0.0762,0.1846,0.4466,0.5626,0.5046,0.4779,0.5533,0.5156
4,-0.1058,0.1924,0.3932,0.3124,0.0948,0.2036,0.4348,0.5696,0.5022,0.4735,0.5391,0.5063
4.1,-0.0704,0.1985,0.3997,0.334,0.1178,0.2259,0.4242,0.5758,0.5,0.4684,0.5241,0.4962
4.2,-0.0327,0.2118,0.4055,0.3565,0.1449,0.2507,0.4155,0.5815,0.4985,0.4629,0.5086,0.4857
4.3,0.0049,0.2316,0.4107,0.3791,0.1755,0.2773,0.409,0.5867,0.4978,0.4567,0.4926,0.4747
4.4,0.0389,0.2568,0.4158,0.4011,0.2092,0.3051,0.4046,0.5914,0.498,0.4497,0.4762,0.4629
4.5,0.0661,0.2866,0.4209,0.4224,0.2462,0.3343,0.4023,0.5958,0.4991,0.4415,0.4593,0.4504
4.6,0.0839,0.3196,0.4263,0.4426,0.2867,0.3647,0.4021,0.6003,0.5012,0.4322,0.4424,0.4373
4.7,0.0911,0.3548,0.432,0.4611,0.3303,0.3957,0.404,0.605,0.5045,0.4226,0.4262,0.4244
4.8,0.0873,0.3915,0.438,0.477,0.3759,0.4264,0.4077,0.6097,0.5087,0.4132,0.4113,0.4122
4.9,0.0736,0.4295,0.4438,0.4901,0.4223,0.4562,0.4127,0.6141,0.5134,0.4044,0.3976,0.401
5,0.0525,0.4685,0.4489,0.5011,0.4681,0.4846,0.4181,0.6178,0.5179,0.3965,0.3855,0.391
5.1,0.0274,0.5073,0.4529,0.5107,0.5117,0.5112,0.423,0.6204,0.5217,0.39,0.3751,0.3826
5.2,0.0016,0.5442,0.4561,0.5194,0.5512,0.5353,0.427,0.6218,0.5244,0.3855,0.3669,0.3762
5.3,-0.0228,0.5776,0.4592,0.5274,0.5855,0.5564,0.4301,0.6223,0.5262,0.3834,0.3615,0.3724
5.4,-0.0452,0.607,0.4623,0.535,0.6139,0.5745,0.433,0.6218,0.5274,0.3833,0.359,0.3712
5.5,-0.0657,0.6321,0.4655,0.5428,0.6365,0.5896,0.4358,0.6205,0.5281,0.3849,0.359,0.3719
5.6,-0.0842,0.6528,0.4689,0.551,0.6532,0.6021,0.4382,0.618,0.5281,0.3877,0.3613,0.3745
