Time,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC,TK Max Toy Blocks 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1915,0.493,0.4377,0.5545,0.5731,0.5638,0.452,0.3679,0.41,0.591,0.7072,0.6491
0.1,-0.1816,0.4878,0.4465,0.5638,0.5508,0.5573,0.4521,0.3749,0.4135,0.6052,0.7194,0.6623
0.2,-0.1739,0.4837,0.454,0.5731,0.5312,0.5522,0.4475,0.3773,0.4124,0.6173,0.7252,0.6713
0.3,-0.1691,0.4809,0.461,0.5814,0.515,0.5482,0.4382,0.3759,0.407,0.6265,0.7252,0.6758
0.4,-0.1667,0.4798,0.4684,0.5881,0.5022,0.5451,0.4244,0.3721,0.3982,0.6324,0.7198,0.6761
0.5,-0.1654,0.4804,0.4761,0.5926,0.4924,0.5425,0.406,0.3663,0.3861,0.6357,0.7102,0.673
0.6,-0.1645,0.4824,0.4827,0.595,0.4852,0.5401,0.3828,0.3589,0.3708,0.6375,0.6974,0.6674
0.7,-0.165,0.486,0.4873,0.5954,0.4806,0.538,0.3553,0.3504,0.3528,0.6389,0.6832,0.661
0.8,-0.1684,0.4916,0.4898,0.5942,0.4791,0.5367,0.3246,0.342,0.3333,0.6411,0.6695,0.6553
0.9,-0.1754,0.4996,0.4908,0.5916,0.4813,0.5365,0.2921,0.3347,0.3134,0.6447,0.6582,0.6514
1,-0.1853,0.5099,0.4911,0.5877,0.4868,0.5373,0.259,0.329,0.294,0.6495,0.6493,0.6494
1.1,-0.1963,0.5214,0.4907,0.5826,0.4948,0.5387,0.2266,0.3245,0.2756,0.6547,0.6424,0.6486
1.2,-0.2071,0.5335,0.4896,0.5765,0.5045,0.5405,0.1961,0.321,0.2585,0.66,0.6368,0.6484
1.3,-0.2172,0.5456,0.4875,0.57,0.5153,0.5426,0.1688,0.3187,0.2438,0.6656,0.6325,0.649
1.4,-0.2265,0.5577,0.4844,0.564,0.5268,0.5454,0.1462,0.3176,0.2319,0.6717,0.6295,0.6506
