Time,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC,Toyota - Gazoo Racing 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5199,0.6773,0.6928,0.6816,0.5144,0.598,0.5169,0.2703,0.3936,0.6871,0.6404,0.6638
0.1,0.4805,0.7021,0.6965,0.6896,0.5242,0.6069,0.5464,0.2998,0.4231,0.6992,0.6404,0.6698
0.2,0.4344,0.7192,0.6977,0.6919,0.5309,0.6114,0.5699,0.3269,0.4484,0.7052,0.6366,0.6709
0.3,0.3866,0.7278,0.697,0.6889,0.5325,0.6107,0.5885,0.352,0.4703,0.7058,0.6297,0.6678
0.4,0.3416,0.7279,0.6948,0.682,0.5288,0.6054,0.6037,0.3756,0.4897,0.7025,0.6212,0.6618
0.5,0.3023,0.7201,0.6917,0.6729,0.521,0.597,0.6172,0.3979,0.5076,0.6972,0.6123,0.6547
0.6,0.2692,0.7049,0.6879,0.663,0.5114,0.5872,0.63,0.4189,0.5244,0.6915,0.604,0.6477
0.7,0.2411,0.6824,0.6837,0.6524,0.5012,0.5768,0.6421,0.4382,0.5402,0.6857,0.5971,0.6414
0.8,0.217,0.6526,0.679,0.6407,0.4904,0.5656,0.6529,0.4553,0.5541,0.68,0.5919,0.636
0.9,0.1975,0.6163,0.6738,0.6272,0.479,0.5531,0.6611,0.4694,0.5652,0.6744,0.5885,0.6314
1,0.1836,0.5753,0.6688,0.6119,0.4673,0.5396,0.6662,0.4804,0.5733,0.669,0.5875,0.6283
1.1,0.1756,0.5317,0.6648,0.5958,0.4562,0.526,0.6686,0.4886,0.5786,0.665,0.5893,0.6271
1.2,0.1726,0.4873,0.6625,0.5794,0.4464,0.5129,0.6686,0.4943,0.5815,0.6631,0.594,0.6285
1.3,0.1726,0.4436,0.6619,0.5629,0.4371,0.5,0.6664,0.4978,0.5821,0.6641,0.6011,0.6326
1.4,0.1738,0.4019,0.6621,0.5461,0.4275,0.4868,0.6617,0.4993,0.5805,0.668,0.6097,0.6388
1.5,0.1756,0.364,0.6629,0.5291,0.4168,0.473,0.6546,0.499,0.5768,0.6741,0.6186,0.6464
1.6,0.1787,0.3317,0.6647,0.5129,0.4055,0.4592,0.6455,0.4974,0.5714,0.6822,0.6271,0.6547
1.7,0.1834,0.3064,0.6683,0.4987,0.3946,0.4467,0.6357,0.4956,0.5656,0.6923,0.6349,0.6636
1.8,0.1894,0.2883,0.6739,0.487,0.3854,0.4362,0.6269,0.4942,0.5606,0.7044,0.6415,0.673
1.9,0.1962,0.2768,0.6808,0.4775,0.3782,0.4278,0.6197,0.4938,0.5567,0.7185,0.6465,0.6825
2,0.2041,0.2711,0.6878,0.4695,0.3725,0.421,0.6143,0.4943,0.5543,0.7341,0.6492,0.6916
2.1,0.2133,0.2703,0.6942,0.4624,0.368,0.4152,0.6103,0.4957,0.553,0.7501,0.6491,0.6996
2.2,0.2237,0.2732,0.6997,0.4559,0.3642,0.4101,0.607,0.4973,0.5522,0.7654,0.6461,0.7057
2.3,0.2348,0.2786,0.7046,0.4505,0.3615,0.406,0.6037,0.499,0.5514,0.7792,0.6404,0.7098
