Time,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.564,0.4877,0.6154,0.6131,0.682,0.6476,0.7347,0.6151,0.6749,0.6715,0.5667,0.6191
0.1,-0.5647,0.5009,0.6262,0.6074,0.7042,0.6558,0.7261,0.6167,0.6714,0.6843,0.588,0.6362
0.2,-0.5636,0.513,0.6364,0.6004,0.7259,0.6632,0.7174,0.6169,0.6671,0.6964,0.6099,0.6532
0.3,-0.5609,0.5237,0.6457,0.5925,0.7457,0.6691,0.7088,0.6158,0.6623,0.7075,0.6321,0.6698
0.4,-0.5554,0.5328,0.6531,0.5836,0.7616,0.6726,0.7007,0.6134,0.657,0.7177,0.654,0.6859
0.5,-0.5459,0.54,0.6577,0.5735,0.7721,0.6728,0.6934,0.6095,0.6515,0.7268,0.6752,0.701
0.6,-0.5319,0.5453,0.6586,0.5628,0.7767,0.6698,0.687,0.6046,0.6458,0.7344,0.6952,0.7148
0.7,-0.5144,0.5491,0.6553,0.5521,0.7758,0.6639,0.6812,0.5993,0.6403,0.7401,0.713,0.7265
0.8,-0.4946,0.5518,0.6476,0.5418,0.7703,0.6561,0.6754,0.5941,0.6347,0.7432,0.7279,0.7355
0.9,-0.4734,0.554,0.6354,0.5322,0.7612,0.6467,0.6693,0.589,0.6291,0.7436,0.7391,0.7413
1,-0.4517,0.5557,0.6183,0.5228,0.7485,0.6356,0.6623,0.5835,0.6229,0.7409,0.7462,0.7436
1.1,-0.4308,0.5569,0.5958,0.5131,0.7321,0.6226,0.6537,0.5769,0.6153,0.7352,0.7486,0.7419
1.2,-0.4124,0.5579,0.5678,0.5033,0.7126,0.608,0.6436,0.5684,0.606,0.7261,0.7465,0.7363
1.3,-0.3975,0.5595,0.5351,0.4942,0.6912,0.5927,0.6316,0.5577,0.5947,0.7141,0.7406,0.7273
1.4,-0.3853,0.5622,0.4998,0.487,0.669,0.578,0.6177,0.5444,0.581,0.7001,0.7318,0.7159
1.5,-0.3735,0.5664,0.4647,0.4826,0.6471,0.5648,0.6014,0.5281,0.5648,0.6858,0.7217,0.7037
1.6,-0.3597,0.5716,0.4323,0.4812,0.6259,0.5535,0.5828,0.5092,0.546,0.6729,0.7118,0.6923
1.7,-0.343,0.5767,0.4043,0.4825,0.6053,0.5439,0.5621,0.4883,0.5252,0.6625,0.7033,0.6829
1.8,-0.324,0.5809,0.3816,0.4855,0.5858,0.5357,0.5407,0.4668,0.5037,0.655,0.697,0.676
1.9,-0.3038,0.5838,0.3651,0.4899,0.5679,0.5289,0.5204,0.4463,0.4834,0.6513,0.6933,0.6723
2,-0.2836,0.5855,0.3555,0.4956,0.5525,0.5241,0.5023,0.4282,0.4652,0.6519,0.6924,0.6722
2.1,-0.2637,0.5859,0.3535,0.5026,0.5398,0.5212,0.4867,0.4129,0.4498,0.657,0.6945,0.6758
2.2,-0.2441,0.5849,0.3587,0.5107,0.5294,0.52,0.473,0.4006,0.4368,0.666,0.6992,0.6826
2.3,-0.224,0.5821,0.3692,0.5197,0.5206,0.5201,0.4606,0.3908,0.4257,0.6774,0.7051,0.6913
2.4,-0.2022,0.5773,0.3826,0.5291,0.513,0.521,0.4495,0.3829,0.4162,0.6893,0.7112,0.7003
2.5,-0.1778,0.5704,0.3979,0.5376,0.5068,0.5222,0.4397,0.3769,0.4083,0.701,0.7171,0.709
2.6,-0.1504,0.5614,0.4155,0.5436,0.5021,0.5228,0.4312,0.3726,0.4019,0.7119,0.723,0.7174
2.7,-0.1212,0.5506,0.4355,0.5459,0.4984,0.5221,0.4235,0.3697,0.3966,0.7211,0.729,0.725
2.8,-0.092,0.5385,0.4571,0.5436,0.4952,0.5194,0.4161,0.3682,0.3921,0.7273,0.7347,0.731
2.9,-0.0648,0.5259,0.4792,0.537,0.4919,0.5145,0.4089,0.3683,0.3886,0.7294,0.7389,0.7342
3,-0.0412,0.513,0.5017,0.527,0.4887,0.5078,0.4023,0.3708,0.3866,0.7272,0.7407,0.7339
3.1,-0.0222,0.5,0.525,0.5145,0.4861,0.5003,0.3966,0.3761,0.3863,0.7211,0.7396,0.7303
3.2,-0.0084,0.4869,0.5491,0.5002,0.4848,0.4925,0.3918,0.3839,0.3878,0.7121,0.7357,0.7239
3.3,-0.0003,0.4741,0.573,0.485,0.4854,0.4852,0.3878,0.394,0.3909,0.7006,0.7294,0.715
3.4,0.0018,0.462,0.5952,0.4704,0.4884,0.4794,0.3849,0.4068,0.3958,0.6868,0.7213,0.704
3.5,-0.0021,0.4511,0.6149,0.4578,0.4939,0.4759,0.3831,0.4229,0.403,0.6715,0.7122,0.6918
3.6,-0.012,0.4419,0.6316,0.4479,0.5019,0.4749,0.3827,0.443,0.4128,0.6561,0.7029,0.6795
3.7,-0.027,0.4347,0.6456,0.441,0.5122,0.4766,0.3839,0.4673,0.4256,0.6421,0.6944,0.6682
3.8,-0.0468,0.4297,0.6571,0.4367,0.5248,0.4807,0.3866,0.4951,0.4409,0.6297,0.6869,0.6583
3.9,-0.0707,0.4264,0.6658,0.435,0.5393,0.4872,0.3905,0.5254,0.4579,0.619,0.6807,0.6498
4,-0.0981,0.4246,0.672,0.436,0.5553,0.4957,0.3952,0.5567,0.4759,0.61,0.6759,0.643
4.1,-0.1281,0.4238,0.6763,0.4398,0.5721,0.506,0.4006,0.5882,0.4944,0.6037,0.6732,0.6384
4.2,-0.1595,0.4238,0.6794,0.4459,0.5889,0.5174,0.4067,0.6192,0.5129,0.6007,0.6732,0.6369
4.3,-0.1911,0.4244,0.6814,0.4532,0.6046,0.5289,0.4131,0.6487,0.5309,0.6008,0.6759,0.6383
4.4,-0.2214,0.4253,0.6822,0.4608,0.6184,0.5396,0.4194,0.6753,0.5474,0.603,0.6807,0.6419
4.5,-0.2483,0.4266,0.6817,0.4688,0.6291,0.549,0.4254,0.6981,0.5618,0.6066,0.6868,0.6467
4.6,-0.2682,0.4283,0.6802,0.4783,0.6362,0.5572,0.4312,0.7168,0.574,0.6113,0.6938,0.6526
4.7,-0.2779,0.43,0.6781,0.4898,0.6389,0.5643,0.4367,0.7319,0.5843,0.6176,0.7015,0.6596
4.8,-0.2757,0.4312,0.6757,0.5026,0.6371,0.5699,0.4419,0.7436,0.5927,0.6255,0.7096,0.6676
4.9,-0.2618,0.4314,0.6727,0.5153,0.6311,0.5732,0.4465,0.7517,0.5991,0.6343,0.7179,0.6761
5,-0.2376,0.4303,0.6689,0.527,0.6212,0.5741,0.4506,0.7565,0.6036,0.643,0.7258,0.6844
5.1,-0.2047,0.4278,0.6648,0.5375,0.6079,0.5727,0.455,0.7586,0.6068,0.6513,0.7331,0.6922
5.2,-0.1645,0.4245,0.661,0.5467,0.5913,0.569,0.4604,0.7586,0.6095,0.659,0.7395,0.6992
5.3,-0.1178,0.4206,0.6583,0.5541,0.5715,0.5628,0.4669,0.7568,0.6119,0.6658,0.7452,0.7055
5.4,-0.0652,0.4158,0.6569,0.5589,0.5483,0.5536,0.4741,0.7533,0.6137,0.6716,0.75,0.7108
5.5,-0.0072,0.4097,0.6565,0.5604,0.5218,0.5411,0.4816,0.7478,0.6147,0.6759,0.7539,0.7149
5.6,0.0549,0.402,0.657,0.5585,0.4928,0.5256,0.4893,0.7405,0.6149,0.6788,0.7571,0.7179
5.7,0.1193,0.3927,0.6585,0.5528,0.4619,0.5074,0.4974,0.7319,0.6146,0.681,0.7602,0.7206
5.8,0.1833,0.3819,0.662,0.5429,0.4295,0.4862,0.5063,0.7227,0.6145,0.6838,0.7641,0.724
5.9,0.2443,0.37,0.6688,0.5282,0.3953,0.4618,0.5162,0.7138,0.615,0.6881,0.7697,0.7289
6,0.3,0.3578,0.6798,0.5089,0.3597,0.4343,0.527,0.7058,0.6164,0.6945,0.7772,0.7359
6.1,0.3484,0.346,0.6945,0.4865,0.3236,0.405,0.5388,0.6987,0.6187,0.7031,0.7865,0.7448
6.2,0.3869,0.3359,0.7122,0.4634,0.2887,0.3761,0.552,0.6924,0.6222,0.7139,0.797,0.7555
6.3,0.4132,0.3285,0.7321,0.4422,0.2577,0.3499,0.5668,0.6864,0.6266,0.7267,0.8081,0.7674
6.4,0.4247,0.325,0.7531,0.4239,0.2329,0.3284,0.5822,0.6801,0.6311,0.7414,0.8195,0.7804
6.5,0.4198,0.3259,0.7741,0.4085,0.2163,0.3124,0.5967,0.6725,0.6346,0.7573,0.8311,0.7942
6.6,0.3975,0.3319,0.7932,0.3954,0.2089,0.3022,0.6091,0.663,0.6361,0.7738,0.843,0.8084
6.7,0.3571,0.3427,0.8095,0.3847,0.2111,0.2979,0.6188,0.652,0.6354,0.7907,0.8548,0.8227
6.8,0.2992,0.3582,0.8226,0.3767,0.2226,0.2997,0.6262,0.6402,0.6332,0.808,0.8663,0.8372
6.9,0.2259,0.3779,0.8326,0.3717,0.2433,0.3075,0.6315,0.6285,0.63,0.826,0.8773,0.8517
7,0.1406,0.4004,0.8393,0.369,0.2719,0.3205,0.6338,0.617,0.6254,0.8441,0.8877,0.8659
7.1,0.0479,0.424,0.8423,0.3675,0.3068,0.3371,0.6318,0.6049,0.6184,0.8613,0.8973,0.8793
7.2,-0.047,0.4467,0.8415,0.3664,0.3452,0.3558,0.6247,0.5917,0.6082,0.8768,0.9059,0.8914
7.3,-0.1393,0.467,0.8371,0.3662,0.3845,0.3754,0.6127,0.5775,0.5951,0.8901,0.9133,0.9017
7.4,-0.225,0.4846,0.8298,0.3677,0.4225,0.3951,0.5965,0.5631,0.5798,0.9009,0.9189,0.9099
7.5,-0.3005,0.4997,0.8202,0.3713,0.4572,0.4143,0.5772,0.5494,0.5633,0.9087,0.9223,0.9155
7.6,-0.3641,0.5127,0.8081,0.3771,0.4876,0.4323,0.5555,0.5369,0.5462,0.9132,0.9233,0.9182
7.7,-0.4156,0.5236,0.793,0.385,0.5135,0.4493,0.5321,0.5261,0.5291,0.9143,0.9217,0.918
7.8,-0.4553,0.5326,0.7755,0.3956,0.5354,0.4655,0.5083,0.5179,0.5131,0.9126,0.918,0.9153
7.9,-0.484,0.5395,0.7567,0.4093,0.5541,0.4817,0.4858,0.5134,0.4996,0.9096,0.9134,0.9115
8,-0.5023,0.5444,0.738,0.4259,0.5706,0.4982,0.4663,0.5137,0.49,0.9063,0.9089,0.9076
8.1,-0.5113,0.5475,0.7199,0.4442,0.5856,0.5149,0.4501,0.5194,0.4848,0.9032,0.905,0.9041
8.2,-0.5133,0.5487,0.7027,0.4626,0.5997,0.5312,0.4371,0.5304,0.4838,0.9001,0.9012,0.9006
8.3,-0.5101,0.5483,0.6868,0.4798,0.6133,0.5465,0.4272,0.5464,0.4868,0.8971,0.8972,0.8972
8.4,-0.5026,0.5466,0.673,0.4953,0.6263,0.5608,0.4209,0.5673,0.4941,0.8949,0.8934,0.8942
8.5,-0.4906,0.5443,0.6619,0.5091,0.6388,0.574,0.4192,0.5931,0.5062,0.895,0.8908,0.8929
8.6,-0.4737,0.5419,0.6533,0.5213,0.6505,0.5859,0.4224,0.6228,0.5226,0.8981,0.8905,0.8943
8.7,-0.4513,0.5397,0.6469,0.532,0.6613,0.5966,0.4302,0.6546,0.5424,0.9044,0.8927,0.8985
8.8,-0.4232,0.5378,0.6425,0.5411,0.6712,0.6061,0.4419,0.6861,0.564,0.9131,0.8968,0.9049
8.9,-0.3905,0.5363,0.6402,0.5488,0.6804,0.6146,0.4566,0.7152,0.5859,0.9239,0.902,0.9129
9,-0.3545,0.5356,0.6402,0.5551,0.6891,0.6221,0.4737,0.7403,0.607,0.9362,0.9079,0.9221
9.1,-0.3163,0.5361,0.6424,0.56,0.6968,0.6284,0.4926,0.7604,0.6265,0.9495,0.9143,0.9319
9.2,-0.2765,0.5378,0.6463,0.5632,0.7031,0.6332,0.5121,0.7748,0.6434,0.9625,0.9207,0.9416
9.3,-0.2358,0.5409,0.6508,0.5648,0.7084,0.6366,0.5312,0.7834,0.6573,0.9735,0.9264,0.95
9.4,-0.1954,0.5455,0.6553,0.5651,0.7132,0.6392,0.5491,0.7868,0.6679,0.9812,0.9303,0.9558
9.5,-0.1574,0.5512,0.6595,0.5639,0.7179,0.6409,0.5657,0.7857,0.6757,0.9847,0.9318,0.9583
9.6,-0.1241,0.5573,0.6637,0.561,0.7219,0.6414,0.5813,0.7808,0.6811,0.9843,0.9306,0.9575
9.7,-0.0967,0.5627,0.6682,0.5553,0.7238,0.6396,0.5958,0.7726,0.6842,0.9801,0.9272,0.9536
9.8,-0.0755,0.5664,0.6732,0.546,0.7227,0.6343,0.6085,0.7615,0.685,0.9722,0.9217,0.9469
9.9,-0.0606,0.5673,0.6787,0.5327,0.7181,0.6254,0.6189,0.7486,0.6837,0.9613,0.9144,0.9379
10,-0.0516,0.5653,0.6848,0.5162,0.7101,0.6132,0.6268,0.7348,0.6808,0.9484,0.9057,0.927
10.1,-0.0481,0.5605,0.6917,0.4982,0.6995,0.5988,0.6326,0.7212,0.6769,0.9346,0.8962,0.9154
10.2,-0.0496,0.5533,0.6986,0.4804,0.6867,0.5836,0.6367,0.7083,0.6725,0.9211,0.8862,0.9036
10.3,-0.0554,0.5443,0.7048,0.4641,0.6724,0.5682,0.6396,0.6963,0.668,0.9084,0.876,0.8922
10.4,-0.065,0.5338,0.7099,0.4494,0.6569,0.5532,0.6413,0.6851,0.6632,0.8973,0.8658,0.8815
10.5,-0.078,0.5219,0.7135,0.4364,0.6408,0.5386,0.642,0.6744,0.6582,0.888,0.8556,0.8718
10.6,-0.0929,0.5092,0.7157,0.4257,0.6245,0.5251,0.642,0.6643,0.6532,0.8811,0.8454,0.8632
10.7,-0.1073,0.4966,0.716,0.418,0.6083,0.5132,0.6417,0.6552,0.6484,0.8764,0.8347,0.8555
10.8,-0.1186,0.4849,0.7138,0.4142,0.5925,0.5034,0.6413,0.6475,0.6444,0.8735,0.8233,0.8484
10.9,-0.1254,0.4744,0.7087,0.4145,0.5771,0.4958,0.6412,0.6416,0.6414,0.8719,0.811,0.8415
11,-0.1273,0.4651,0.7006,0.4189,0.5624,0.4906,0.6415,0.6375,0.6395,0.8717,0.798,0.8348
11.1,-0.1248,0.4574,0.6897,0.4275,0.5489,0.4882,0.6422,0.6353,0.6388,0.8729,0.7847,0.8288
11.2,-0.118,0.4516,0.6769,0.4402,0.5371,0.4887,0.6437,0.6349,0.6393,0.8758,0.7715,0.8236
11.3,-0.106,0.4478,0.6631,0.4569,0.527,0.492,0.6464,0.636,0.6412,0.8802,0.7583,0.8193
11.4,-0.0878,0.4466,0.649,0.477,0.5186,0.4978,0.6505,0.6385,0.6445,0.8853,0.745,0.8151
11.5,-0.0629,0.4481,0.6349,0.4997,0.5118,0.5058,0.6557,0.6424,0.649,0.8906,0.7315,0.8111
11.6,-0.0323,0.4525,0.6213,0.524,0.507,0.5155,0.6617,0.6478,0.6547,0.8964,0.7187,0.8075
11.7,0.002,0.4598,0.6084,0.5495,0.5044,0.527,0.6683,0.6542,0.6612,0.9024,0.7081,0.8052
