Time,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1446,0.5746,0.5249,0.6751,0.5887,0.6319,0.8398,0.5833,0.7116,0.4884,0.5863,0.5373
0.1,0.1569,0.5583,0.5271,0.6556,0.6287,0.6422,0.8193,0.5924,0.7059,0.4843,0.5822,0.5333
0.2,0.1731,0.5406,0.5279,0.6342,0.6659,0.65,0.7957,0.5993,0.6975,0.4793,0.5782,0.5287
0.3,0.1913,0.5228,0.5276,0.6107,0.7004,0.6556,0.7698,0.6042,0.687,0.4733,0.5745,0.5239
0.4,0.2102,0.5061,0.5265,0.586,0.7322,0.6591,0.7427,0.6075,0.6751,0.4666,0.5713,0.5189
0.5,0.2295,0.4916,0.5251,0.5615,0.7602,0.6609,0.7156,0.6097,0.6627,0.4596,0.5686,0.5141
0.6,0.2492,0.4798,0.5236,0.5388,0.7825,0.6606,0.6897,0.6116,0.6507,0.453,0.567,0.51
0.7,0.2692,0.471,0.522,0.5181,0.7973,0.6577,0.666,0.6141,0.6401,0.4478,0.5668,0.5073
0.8,0.2887,0.464,0.5204,0.499,0.8031,0.651,0.6451,0.6181,0.6316,0.4447,0.5687,0.5067
0.9,0.3048,0.4578,0.5194,0.4804,0.8004,0.6404,0.6273,0.6244,0.6259,0.4446,0.573,0.5088
1,0.3133,0.4516,0.5194,0.4617,0.7904,0.6261,0.6134,0.6333,0.6233,0.4475,0.5794,0.5135
1.1,0.3099,0.446,0.5207,0.443,0.7751,0.6091,0.6043,0.645,0.6246,0.4531,0.5872,0.5201
1.2,0.2922,0.4425,0.5232,0.425,0.7565,0.5908,0.6007,0.6597,0.6302,0.4606,0.5958,0.5282
1.3,0.2604,0.4423,0.5267,0.4088,0.7371,0.5729,0.6024,0.6773,0.6399,0.4695,0.6047,0.5371
1.4,0.2171,0.4458,0.5305,0.3954,0.7191,0.5573,0.6089,0.6971,0.653,0.4793,0.6137,0.5465
1.5,0.1658,0.4522,0.5341,0.3857,0.7045,0.5451,0.6197,0.7181,0.6689,0.4897,0.6227,0.5562
1.6,0.1088,0.4598,0.537,0.3803,0.6942,0.5372,0.6347,0.7393,0.687,0.5007,0.6319,0.5663
1.7,0.0485,0.4668,0.5386,0.3786,0.6884,0.5335,0.6533,0.7594,0.7063,0.5129,0.6417,0.5773
1.8,-0.0116,0.4712,0.5386,0.3795,0.6869,0.5332,0.6747,0.7773,0.726,0.527,0.6525,0.5898
1.9,-0.0681,0.4721,0.5369,0.3818,0.6889,0.5353,0.6975,0.7922,0.7448,0.5431,0.6645,0.6038
