Time,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC,TripADeal Tour Deals 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0685,0.8182,0.5052,0.9452,0.8786,0.9119,0.3068,0.5529,0.4298,0.4662,0.4797,0.473
0.1,-0.0386,0.8123,0.4942,0.931,0.8451,0.888,0.3224,0.5411,0.4318,0.4571,0.4824,0.4698
0.2,-0.0121,0.8015,0.482,0.9111,0.8069,0.859,0.3391,0.5272,0.4331,0.4466,0.4814,0.464
0.3,0.0092,0.7856,0.468,0.8855,0.7652,0.8254,0.3562,0.512,0.4341,0.4349,0.4769,0.4559
0.4,0.0253,0.7649,0.452,0.8548,0.7225,0.7886,0.3734,0.4964,0.4349,0.4227,0.4699,0.4463
0.5,0.0367,0.7405,0.435,0.821,0.6817,0.7513,0.3893,0.4811,0.4352,0.4109,0.4618,0.4363
0.6,0.044,0.714,0.4182,0.7871,0.6459,0.7165,0.4029,0.4666,0.4348,0.3997,0.4538,0.4268
0.7,0.0479,0.6868,0.4022,0.7559,0.6172,0.6866,0.4136,0.4531,0.4333,0.3891,0.4465,0.4178
0.8,0.0491,0.66,0.3874,0.7292,0.5964,0.6628,0.4214,0.4406,0.431,0.3785,0.4399,0.4092
0.9,0.0482,0.6343,0.374,0.7072,0.5834,0.6453,0.4268,0.4297,0.4282,0.3679,0.434,0.401
1,0.046,0.6099,0.3621,0.6897,0.5773,0.6335,0.4299,0.4207,0.4253,0.3577,0.4293,0.3935
1.1,0.0428,0.587,0.3521,0.6762,0.577,0.6266,0.4308,0.4138,0.4223,0.3482,0.4263,0.3872
1.2,0.0385,0.566,0.3446,0.6661,0.5814,0.6237,0.4295,0.4089,0.4192,0.3395,0.4256,0.3825
1.3,0.0328,0.5477,0.3405,0.6589,0.5903,0.6246,0.426,0.4057,0.4159,0.3316,0.4276,0.3796
1.4,0.0257,0.5325,0.3401,0.6546,0.6034,0.629,0.4207,0.4038,0.4122,0.3242,0.4321,0.3781
1.5,0.0177,0.5208,0.3429,0.6527,0.6209,0.6368,0.4142,0.4027,0.4085,0.3169,0.4385,0.3777
1.6,0.0089,0.513,0.3474,0.653,0.6424,0.6477,0.4078,0.4021,0.4049,0.3097,0.4464,0.3781
1.7,-0.0019,0.5087,0.3527,0.6548,0.6666,0.6607,0.4023,0.4015,0.4019,0.3029,0.4554,0.3791
1.8,-0.0162,0.5074,0.3584,0.6575,0.6921,0.6748,0.3982,0.4007,0.3995,0.2969,0.4651,0.381
1.9,-0.0339,0.5083,0.3643,0.6605,0.7168,0.6887,0.3953,0.3997,0.3975,0.2921,0.4752,0.3836
2,-0.054,0.5108,0.3704,0.6635,0.7398,0.7016,0.3934,0.3986,0.396,0.2885,0.4858,0.3871
2.1,-0.0745,0.5141,0.3769,0.6658,0.7598,0.7128,0.3922,0.3979,0.395,0.2861,0.4967,0.3914
2.2,-0.0938,0.5173,0.3839,0.6669,0.7763,0.7216,0.3911,0.3976,0.3944,0.2848,0.5078,0.3963
2.3,-0.1119,0.5197,0.3912,0.6659,0.7886,0.7272,0.3897,0.3978,0.3937,0.2843,0.5186,0.4014
2.4,-0.1303,0.5206,0.3983,0.662,0.7962,0.7291,0.3872,0.3983,0.3928,0.2844,0.5285,0.4064
2.5,-0.1506,0.5197,0.4052,0.6543,0.7992,0.7268,0.3836,0.3992,0.3914,0.2847,0.5368,0.4107
2.6,-0.1725,0.5167,0.4112,0.6423,0.7975,0.7199,0.3789,0.4007,0.3898,0.2847,0.5427,0.4137
2.7,-0.1942,0.5113,0.4158,0.6249,0.791,0.7079,0.3732,0.4029,0.3881,0.284,0.5455,0.4148
2.8,-0.2137,0.5028,0.4182,0.6012,0.779,0.6901,0.3664,0.4054,0.3859,0.2828,0.5447,0.4137
2.9,-0.23,0.4906,0.4181,0.5708,0.7612,0.666,0.358,0.4076,0.3828,0.2817,0.5401,0.4109
3,-0.2433,0.4747,0.4151,0.5338,0.7375,0.6356,0.3481,0.4093,0.3787,0.2815,0.5319,0.4067
3.1,-0.2546,0.4554,0.4096,0.491,0.7086,0.5998,0.3378,0.4105,0.3741,0.2834,0.5202,0.4018
3.2,-0.2641,0.4336,0.4017,0.4441,0.6758,0.56,0.3283,0.4115,0.3699,0.2879,0.5057,0.3968
3.3,-0.2713,0.41,0.3918,0.3956,0.641,0.5183,0.321,0.4124,0.3667,0.2955,0.4895,0.3925
3.4,-0.2755,0.3855,0.38,0.348,0.6056,0.4768,0.3166,0.4132,0.3649,0.3069,0.4732,0.3901
3.5,-0.2771,0.3604,0.3669,0.3042,0.5711,0.4377,0.3149,0.4137,0.3643,0.3223,0.4582,0.3902
3.6,-0.2769,0.3353,0.3531,0.266,0.5387,0.4024,0.3161,0.4137,0.3649,0.3413,0.4453,0.3933
3.7,-0.2752,0.3108,0.3397,0.2348,0.5094,0.3721,0.3204,0.4135,0.3669,0.3632,0.4351,0.3992
3.8,-0.2724,0.2881,0.3281,0.2117,0.4839,0.3478,0.3273,0.4131,0.3702,0.387,0.4279,0.4074
3.9,-0.2689,0.2678,0.3194,0.197,0.4619,0.3295,0.336,0.4126,0.3743,0.4108,0.4232,0.417
4,-0.2648,0.2507,0.314,0.19,0.4429,0.3165,0.3454,0.4113,0.3784,0.4327,0.4206,0.4267
4.1,-0.2602,0.2369,0.3114,0.189,0.4258,0.3074,0.355,0.4088,0.3819,0.4507,0.4189,0.4348
4.2,-0.255,0.2268,0.3104,0.1926,0.4095,0.3011,0.3648,0.4046,0.3847,0.4631,0.4174,0.4402
4.3,-0.2497,0.2207,0.3106,0.2,0.3936,0.2968,0.3751,0.3991,0.3871,0.4692,0.4153,0.4423
4.4,-0.2442,0.2185,0.3115,0.2108,0.378,0.2944,0.3857,0.3927,0.3892,0.4689,0.4126,0.4408
4.5,-0.2382,0.2203,0.313,0.2249,0.3629,0.2939,0.3959,0.3857,0.3908,0.4624,0.4095,0.436
4.6,-0.231,0.2259,0.3145,0.242,0.3492,0.2956,0.4054,0.3783,0.3918,0.4508,0.406,0.4284
4.7,-0.2215,0.2354,0.3157,0.2616,0.3375,0.2996,0.4143,0.3707,0.3925,0.4359,0.4022,0.419
4.8,-0.2088,0.2481,0.3166,0.2828,0.3285,0.3056,0.4228,0.3637,0.3933,0.4199,0.3986,0.4093
4.9,-0.193,0.2629,0.3173,0.3046,0.3221,0.3134,0.4308,0.3581,0.3944,0.4047,0.3958,0.4003
5,-0.1749,0.2781,0.3181,0.3261,0.3179,0.322,0.4379,0.3542,0.396,0.3915,0.3942,0.3928
5.1,-0.1554,0.2927,0.3192,0.3461,0.3157,0.3309,0.4433,0.3519,0.3976,0.3806,0.3935,0.387
5.2,-0.1349,0.3063,0.3205,0.3642,0.3155,0.3398,0.4464,0.3513,0.3989,0.3715,0.393,0.3822
5.3,-0.1136,0.3189,0.322,0.3802,0.3179,0.349,0.4472,0.3525,0.3999,0.3639,0.3922,0.378
5.4,-0.0919,0.3307,0.3239,0.3941,0.3229,0.3585,0.4461,0.3559,0.401,0.3579,0.3908,0.3743
5.5,-0.071,0.3411,0.3266,0.4055,0.3302,0.3678,0.4432,0.3618,0.4025,0.3538,0.3889,0.3713
5.6,-0.0523,0.3496,0.3297,0.4138,0.3386,0.3762,0.4385,0.3694,0.404,0.3517,0.3866,0.3692
5.7,-0.0366,0.3558,0.3327,0.4188,0.3474,0.3831,0.4324,0.378,0.4052,0.3519,0.3842,0.368
5.8,-0.024,0.3601,0.3353,0.4205,0.3562,0.3884,0.4256,0.3872,0.4064,0.3545,0.3819,0.3682
5.9,-0.0133,0.3629,0.3378,0.4196,0.3653,0.3925,0.4189,0.3969,0.4079,0.36,0.3801,0.37
6,-0.0032,0.3648,0.3406,0.4172,0.3747,0.396,0.4127,0.4074,0.4101,0.3688,0.3795,0.3741
6.1,0.0078,0.3662,0.3441,0.4141,0.3841,0.3991,0.4068,0.4184,0.4126,0.3814,0.3805,0.3809
6.2,0.0201,0.3675,0.3486,0.4106,0.393,0.4018,0.4005,0.4292,0.4148,0.3978,0.3832,0.3905
6.3,0.0334,0.3692,0.3544,0.4072,0.4017,0.4044,0.3937,0.4395,0.4166,0.4176,0.3882,0.4029
6.4,0.047,0.3722,0.3621,0.4046,0.4108,0.4077,0.3869,0.4496,0.4182,0.44,0.3959,0.418
6.5,0.0604,0.377,0.3724,0.4035,0.4211,0.4123,0.3806,0.4601,0.4204,0.4649,0.4071,0.436
6.6,0.074,0.3841,0.3855,0.4044,0.4326,0.4185,0.3756,0.4711,0.4234,0.4921,0.4223,0.4572
6.7,0.0876,0.3937,0.401,0.4075,0.4447,0.4261,0.3724,0.4821,0.4272,0.5213,0.4416,0.4815
6.8,0.1008,0.4058,0.4187,0.4128,0.4567,0.4347,0.3715,0.4924,0.432,0.5523,0.4648,0.5086
6.9,0.1123,0.4206,0.4381,0.4197,0.4674,0.4436,0.3736,0.5016,0.4376,0.5843,0.4914,0.5378
7,0.1215,0.4379,0.4589,0.427,0.4754,0.4512,0.3788,0.5094,0.4441,0.6159,0.5203,0.5681
7.1,0.1288,0.4571,0.4804,0.4334,0.4788,0.4561,0.3872,0.5157,0.4515,0.6459,0.5503,0.5981
7.2,0.1344,0.4777,0.5018,0.4381,0.4767,0.4574,0.399,0.5205,0.4597,0.6732,0.5805,0.6268
7.3,0.1372,0.4989,0.5221,0.4407,0.4696,0.4551,0.4143,0.5234,0.4689,0.6969,0.6099,0.6534
7.4,0.1349,0.5197,0.5411,0.4412,0.459,0.4501,0.4338,0.5245,0.4791,0.7166,0.6385,0.6776
7.5,0.1262,0.5388,0.5586,0.4398,0.4461,0.443,0.4579,0.5239,0.4909,0.7318,0.6653,0.6985
7.6,0.1113,0.5549,0.5751,0.4368,0.4315,0.4342,0.4864,0.5223,0.5044,0.7418,0.6889,0.7153
7.7,0.0927,0.5667,0.5906,0.4323,0.4155,0.4239,0.5182,0.5199,0.5191,0.7461,0.7084,0.7273
7.8,0.0732,0.573,0.6043,0.4264,0.3988,0.4126,0.5511,0.5167,0.5339,0.7446,0.7234,0.734
7.9,0.0546,0.5729,0.6153,0.4188,0.3828,0.4008,0.583,0.5125,0.5477,0.7377,0.7342,0.7359
8,0.0372,0.5661,0.6229,0.4095,0.3688,0.3891,0.6123,0.5074,0.5598,0.7258,0.7411,0.7334
8.1,0.0209,0.5525,0.6266,0.3986,0.3574,0.378,0.6379,0.5017,0.5698,0.7095,0.7443,0.7269
8.2,0.005,0.5327,0.626,0.3864,0.3489,0.3676,0.6591,0.4958,0.5774,0.6894,0.7437,0.7166
8.3,-0.0113,0.5077,0.6204,0.3733,0.3431,0.3582,0.6748,0.4892,0.582,0.6655,0.7389,0.7022
8.4,-0.0281,0.479,0.6094,0.3594,0.34,0.3497,0.6837,0.4814,0.5825,0.6383,0.7291,0.6837
8.5,-0.0448,0.4484,0.5931,0.3452,0.3396,0.3424,0.6849,0.472,0.5785,0.609,0.7141,0.6615
8.6,-0.0604,0.4175,0.5721,0.3318,0.3417,0.3368,0.6784,0.4617,0.5701,0.5793,0.6943,0.6368
8.7,-0.0742,0.3874,0.5473,0.3202,0.3459,0.3331,0.6651,0.4512,0.5582,0.5514,0.6711,0.6113
8.8,-0.0856,0.3588,0.5197,0.3113,0.3516,0.3314,0.6463,0.4411,0.5437,0.5273,0.6469,0.5871
8.9,-0.0941,0.3326,0.4898,0.3053,0.3582,0.3318,0.6231,0.4313,0.5272,0.508,0.624,0.566
9,-0.0988,0.3093,0.4581,0.3025,0.3656,0.3341,0.5968,0.4218,0.5093,0.4939,0.6038,0.5489
9.1,-0.0983,0.2893,0.4251,0.3029,0.3735,0.3382,0.5681,0.4128,0.4905,0.4847,0.5866,0.5357
9.2,-0.0906,0.273,0.3919,0.307,0.3814,0.3442,0.5381,0.4047,0.4714,0.4799,0.572,0.526
9.3,-0.0745,0.2603,0.3602,0.3149,0.3886,0.3517,0.5075,0.398,0.4528,0.4792,0.56,0.5196
9.4,-0.0496,0.2515,0.3315,0.3263,0.3942,0.3602,0.4774,0.3928,0.4351,0.4824,0.5509,0.5167
9.5,-0.0158,0.2462,0.3064,0.3406,0.3974,0.369,0.4486,0.3886,0.4186,0.4892,0.545,0.5171
9.6,0.0263,0.2443,0.2849,0.3569,0.3977,0.3773,0.422,0.3849,0.4034,0.4992,0.542,0.5206
9.7,0.0763,0.2453,0.2672,0.3744,0.395,0.3847,0.3977,0.3818,0.3898,0.5123,0.5418,0.5271
9.8,0.1332,0.2484,0.2539,0.392,0.3889,0.3904,0.3762,0.3796,0.3779,0.5288,0.5442,0.5365
9.9,0.195,0.2531,0.2449,0.4089,0.3791,0.394,0.3576,0.3784,0.368,0.549,0.5486,0.5488
10,0.2594,0.2589,0.24,0.4244,0.3652,0.3948,0.3418,0.3773,0.3595,0.5723,0.554,0.5631
10.1,0.325,0.2661,0.2384,0.4389,0.3472,0.3931,0.3289,0.3758,0.3523,0.597,0.5589,0.5779
10.2,0.3907,0.2748,0.2397,0.4529,0.3258,0.3894,0.3185,0.374,0.3462,0.6214,0.562,0.5917
10.3,0.4555,0.285,0.2438,0.4668,0.3016,0.3842,0.3098,0.3723,0.3411,0.643,0.5626,0.6028
10.4,0.518,0.2962,0.2508,0.4812,0.2756,0.3784,0.3019,0.371,0.3364,0.6597,0.5602,0.6099
10.5,0.5763,0.3083,0.2608,0.4969,0.249,0.373,0.2945,0.3704,0.3325,0.67,0.5544,0.6122
10.6,0.6279,0.3211,0.2742,0.5145,0.2238,0.3691,0.2882,0.3709,0.3296,0.6735,0.5452,0.6094
10.7,0.6702,0.3348,0.291,0.534,0.2015,0.3678,0.2829,0.3726,0.3277,0.6701,0.5333,0.6017
10.8,0.7001,0.349,0.3105,0.5549,0.1835,0.3692,0.278,0.3755,0.3267,0.6597,0.5184,0.589
10.9,0.7161,0.3633,0.3315,0.5756,0.17,0.3728,0.2729,0.3797,0.3263,0.6422,0.5002,0.5712
11,0.7175,0.377,0.3523,0.5946,0.161,0.3778,0.2668,0.3853,0.326,0.6181,0.4789,0.5485
11.1,0.705,0.3897,0.3715,0.6106,0.157,0.3838,0.2594,0.3923,0.3259,0.5887,0.4556,0.5222
11.2,0.6801,0.4011,0.3881,0.6237,0.1591,0.3914,0.2508,0.4009,0.3259,0.556,0.4321,0.4941
11.3,0.6444,0.4113,0.4023,0.6344,0.1682,0.4013,0.2413,0.4112,0.3263,0.522,0.4101,0.4661
11.4,0.5994,0.4208,0.4146,0.643,0.184,0.4135,0.2311,0.4238,0.3275,0.4877,0.3899,0.4388
11.5,0.5472,0.4295,0.4258,0.6494,0.205,0.4272,0.2209,0.439,0.3299,0.4536,0.3711,0.4123
11.6,0.4907,0.438,0.4356,0.6532,0.2295,0.4413,0.2115,0.4566,0.3341,0.4204,0.3534,0.3869
11.7,0.4335,0.446,0.4438,0.6539,0.2553,0.4546,0.2036,0.4759,0.3398,0.3893,0.3372,0.3633
11.8,0.379,0.4529,0.4503,0.6511,0.2805,0.4658,0.1973,0.4959,0.3466,0.3611,0.3233,0.3422
11.9,0.3301,0.4583,0.4546,0.645,0.3033,0.4741,0.1928,0.516,0.3544,0.3362,0.3126,0.3244
12,0.288,0.4617,0.4567,0.6358,0.3222,0.479,0.1905,0.5364,0.3634,0.3146,0.3057,0.3101
12.1,0.2534,0.463,0.4561,0.6235,0.3361,0.4798,0.1916,0.5575,0.3745,0.2962,0.3028,0.2995
12.2,0.227,0.4621,0.4525,0.6075,0.3446,0.476,0.1969,0.5799,0.3884,0.2806,0.3043,0.2924
12.3,0.2084,0.4595,0.4457,0.588,0.3474,0.4677,0.2065,0.6035,0.405,0.2671,0.3108,0.2889
12.4,0.1966,0.4551,0.4357,0.5655,0.3446,0.4551,0.2192,0.6273,0.4232,0.2553,0.3225,0.2889
12.5,0.1901,0.4492,0.4221,0.5408,0.3363,0.4386,0.2333,0.6501,0.4417,0.2447,0.3391,0.2919
12.6,0.1874,0.4424,0.4054,0.5142,0.3229,0.4186,0.2481,0.6708,0.4595,0.235,0.3605,0.2978
12.7,0.1875,0.4352,0.3867,0.486,0.3051,0.3955,0.2636,0.6891,0.4763,0.2261,0.3868,0.3064
12.8,0.1895,0.4285,0.3674,0.4565,0.2837,0.3701,0.2793,0.7048,0.492,0.2183,0.4178,0.318
12.9,0.192,0.4223,0.3487,0.4266,0.2598,0.3432,0.294,0.7173,0.5057,0.2122,0.4526,0.3324
13,0.1942,0.4169,0.3319,0.3978,0.2352,0.3165,0.3061,0.7266,0.5164,0.2079,0.4899,0.3489
13.1,0.1948,0.4127,0.3185,0.3714,0.2118,0.2916,0.3155,0.7336,0.5246,0.2055,0.5281,0.3668
13.2,0.1929,0.4103,0.3104,0.3488,0.1917,0.2702,0.3237,0.7398,0.5317,0.2057,0.5658,0.3857
13.3,0.1876,0.4103,0.3087,0.3319,0.1769,0.2544,0.3325,0.7464,0.5395,0.209,0.6018,0.4054
13.4,0.1779,0.413,0.3138,0.3223,0.1687,0.2455,0.3433,0.7538,0.5486,0.2156,0.6355,0.4256
13.5,0.1637,0.4182,0.3265,0.3204,0.1674,0.2439,0.3561,0.7619,0.559,0.2257,0.6668,0.4463
13.6,0.1454,0.4255,0.3473,0.3256,0.1728,0.2492,0.3702,0.7702,0.5702,0.24,0.6962,0.4681
13.7,0.1231,0.4343,0.3761,0.3361,0.1842,0.2602,0.3847,0.7779,0.5813,0.2593,0.7244,0.4919
13.8,0.0973,0.4444,0.4117,0.3503,0.2012,0.2757,0.3996,0.784,0.5918,0.286,0.752,0.519
13.9,0.0684,0.4556,0.4523,0.3675,0.2232,0.2953,0.4149,0.7881,0.6015,0.322,0.779,0.5505
14,0.0374,0.4674,0.4959,0.3871,0.2496,0.3183,0.4307,0.7894,0.6101,0.3684,0.8053,0.5869
14.1,0.0054,0.4796,0.5408,0.4086,0.2787,0.3437,0.4462,0.7875,0.6169,0.4241,0.8306,0.6273
14.2,-0.0264,0.4914,0.5856,0.4314,0.3089,0.3701,0.461,0.7821,0.6216,0.4872,0.854,0.6706
14.3,-0.0565,0.5022,0.629,0.455,0.3386,0.3968,0.4751,0.7733,0.6242,0.5557,0.8753,0.7155
14.4,-0.0828,0.5112,0.6698,0.4791,0.3668,0.4229,0.4889,0.7607,0.6248,0.6273,0.8942,0.7608
14.5,-0.1035,0.5179,0.707,0.503,0.3927,0.4478,0.5033,0.7441,0.6237,0.6993,0.9102,0.8047
14.6,-0.118,0.522,0.7404,0.5257,0.4156,0.4707,0.5187,0.7234,0.6211,0.7684,0.9229,0.8456
14.7,-0.1264,0.5236,0.7703,0.5455,0.4347,0.4901,0.5354,0.6994,0.6174,0.8317,0.9315,0.8816
14.8,-0.1292,0.5223,0.7967,0.5603,0.4491,0.5047,0.5524,0.6733,0.6128,0.8868,0.9355,0.9112
14.9,-0.1269,0.5184,0.8187,0.5693,0.4586,0.514,0.5683,0.646,0.6071,0.9325,0.9344,0.9335
15,-0.1193,0.5124,0.8349,0.5735,0.4641,0.5188,0.5812,0.6181,0.5996,0.9682,0.9283,0.9483
15.1,-0.1066,0.5046,0.845,0.5738,0.4667,0.5202,0.5899,0.5898,0.5898,0.9938,0.9174,0.9556
15.2,-0.0899,0.4953,0.8493,0.5708,0.4676,0.5192,0.5943,0.5623,0.5783,1.009,0.9022,0.9556
15.3,-0.0707,0.485,0.8485,0.565,0.4675,0.5163,0.595,0.5374,0.5662,1.0139,0.8835,0.9487
15.4,-0.0501,0.4738,0.8428,0.5568,0.4671,0.512,0.5922,0.5168,0.5545,1.0091,0.862,0.9356
