Time,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC,TRADIE - Echoes 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1026,0.5999,0.7775,0.816,0.6943,0.7552,0.579,0.6778,0.6284,0.7171,0.7795,0.7483
0.1,-0.1125,0.5979,0.8122,0.8087,0.6998,0.7543,0.5842,0.7073,0.6457,0.7365,0.7866,0.7615
0.2,-0.1247,0.5968,0.8452,0.7995,0.7056,0.7525,0.5918,0.735,0.6634,0.7509,0.7912,0.7711
0.3,-0.1368,0.5969,0.8754,0.7891,0.7118,0.7505,0.602,0.76,0.681,0.7612,0.7932,0.7772
0.4,-0.1482,0.5981,0.9016,0.7782,0.7183,0.7482,0.6145,0.7815,0.698,0.7679,0.7922,0.7801
0.5,-0.16,0.6001,0.9229,0.7667,0.7244,0.7456,0.629,0.7992,0.7141,0.7705,0.7878,0.7792
0.6,-0.1729,0.6026,0.9389,0.755,0.7297,0.7424,0.6455,0.8128,0.7291,0.769,0.78,0.7745
0.7,-0.1856,0.6058,0.9497,0.7437,0.734,0.7389,0.6645,0.8224,0.7434,0.7639,0.7691,0.7665
0.8,-0.1956,0.6103,0.955,0.7332,0.7373,0.7352,0.6863,0.8276,0.757,0.7551,0.7553,0.7552
0.9,-0.2007,0.6157,0.9547,0.7237,0.7392,0.7315,0.7102,0.8281,0.7692,0.7426,0.7385,0.7406
1,-0.2007,0.6221,0.9489,0.7153,0.7399,0.7276,0.7351,0.8238,0.7795,0.7263,0.7189,0.7226
1.1,-0.1962,0.6299,0.9385,0.7081,0.7399,0.724,0.7598,0.8156,0.7877,0.7065,0.6971,0.7018
1.2,-0.1859,0.6401,0.9244,0.7027,0.7397,0.7212,0.7838,0.8043,0.794,0.6846,0.6741,0.6793
1.3,-0.1684,0.653,0.9081,0.6996,0.7396,0.7196,0.8068,0.7909,0.7988,0.6614,0.6507,0.6561
1.4,-0.1442,0.6687,0.8902,0.6991,0.7396,0.7194,0.8283,0.7758,0.8021,0.6366,0.6273,0.6319
1.5,-0.1149,0.6866,0.8708,0.701,0.7399,0.7205,0.8476,0.7589,0.8032,0.61,0.6036,0.6068
1.6,-0.0825,0.706,0.8497,0.7046,0.7404,0.7225,0.8636,0.7403,0.802,0.5831,0.5794,0.5812
1.7,-0.048,0.726,0.8274,0.7093,0.7408,0.725,0.8761,0.7206,0.7983,0.5569,0.555,0.5559
1.8,-0.0128,0.7452,0.8045,0.7143,0.7405,0.7274,0.8846,0.7001,0.7923,0.5319,0.5305,0.5312
1.9,0.0211,0.7618,0.7823,0.7186,0.739,0.7288,0.8887,0.6791,0.7839,0.5084,0.5063,0.5073
2,0.0515,0.7738,0.7616,0.7204,0.7353,0.7278,0.8877,0.6576,0.7726,0.4867,0.483,0.4848
2.1,0.0759,0.7801,0.7428,0.7179,0.7284,0.7232,0.8808,0.6359,0.7584,0.4669,0.4612,0.464
2.2,0.0931,0.7797,0.7265,0.7089,0.7174,0.7131,0.8678,0.6149,0.7414,0.4497,0.4416,0.4456
2.3,0.1024,0.7721,0.7134,0.6919,0.7015,0.6967,0.8492,0.5957,0.7224,0.4356,0.4249,0.4303
2.4,0.1037,0.7573,0.7039,0.6673,0.6812,0.6742,0.8258,0.5793,0.7026,0.4252,0.4112,0.4182
2.5,0.0965,0.7354,0.6986,0.6362,0.6571,0.6467,0.7983,0.5664,0.6824,0.4182,0.4003,0.4092
2.6,0.0824,0.7077,0.6978,0.6005,0.6305,0.6155,0.7677,0.5569,0.6623,0.4141,0.3914,0.4027
2.7,0.064,0.6757,0.7007,0.5622,0.6023,0.5822,0.7348,0.5508,0.6428,0.4122,0.3842,0.3982
2.8,0.0431,0.6406,0.7055,0.5223,0.5731,0.5477,0.7008,0.5477,0.6243,0.412,0.379,0.3955
2.9,0.0204,0.603,0.7113,0.4819,0.5436,0.5128,0.6664,0.5471,0.6068,0.4132,0.3757,0.3944
3,-0.0025,0.5642,0.7165,0.4419,0.5146,0.4783,0.6327,0.5483,0.5905,0.4153,0.3743,0.3948
3.1,-0.0235,0.5257,0.7195,0.4036,0.4874,0.4455,0.6008,0.5499,0.5753,0.4175,0.3744,0.396
3.2,-0.0422,0.4893,0.7202,0.3685,0.4639,0.4162,0.5715,0.5515,0.5615,0.4178,0.3758,0.3968
3.3,-0.0597,0.4559,0.7187,0.3374,0.4453,0.3913,0.5457,0.553,0.5493,0.4147,0.3785,0.3966
3.4,-0.076,0.426,0.7148,0.3102,0.4315,0.3709,0.5235,0.5539,0.5387,0.4073,0.3827,0.395
3.5,-0.0889,0.4,0.7076,0.2868,0.4218,0.3543,0.5048,0.5536,0.5292,0.3949,0.3879,0.3914
3.6,-0.0971,0.3788,0.6965,0.2667,0.4155,0.3411,0.4891,0.5518,0.5204,0.3767,0.3934,0.3851
3.7,-0.1006,0.3628,0.681,0.2497,0.4117,0.3307,0.476,0.5483,0.5121,0.3525,0.3984,0.3755
3.8,-0.1004,0.3517,0.6614,0.2357,0.4095,0.3226,0.4651,0.5428,0.5039,0.3229,0.4029,0.3629
3.9,-0.0978,0.3444,0.6385,0.2241,0.408,0.316,0.456,0.535,0.4955,0.2894,0.4071,0.3483
4,-0.0927,0.3402,0.6134,0.215,0.4065,0.3108,0.4476,0.5246,0.4861,0.2536,0.4111,0.3323
4.1,-0.0844,0.3386,0.5862,0.2086,0.4049,0.3067,0.439,0.5105,0.4748,0.2171,0.4141,0.3156
4.2,-0.0727,0.339,0.5571,0.2047,0.4029,0.3038,0.429,0.4925,0.4608,0.181,0.416,0.2985
4.3,-0.0588,0.3408,0.5266,0.2032,0.4008,0.302,0.4174,0.4708,0.4441,0.1465,0.4167,0.2816
4.4,-0.0443,0.3433,0.4951,0.2033,0.3983,0.3008,0.4044,0.4463,0.4253,0.1146,0.4164,0.2655
4.5,-0.03,0.3458,0.4634,0.2049,0.3953,0.3001,0.3906,0.42,0.4053,0.0864,0.4153,0.2508
4.6,-0.0164,0.3481,0.4316,0.2078,0.3916,0.2997,0.3764,0.3928,0.3846,0.062,0.4127,0.2373
4.7,-0.0037,0.3497,0.3997,0.2121,0.3873,0.2997,0.3625,0.3653,0.3639,0.0412,0.4083,0.2247
4.8,0.0085,0.3497,0.3677,0.2174,0.3823,0.2998,0.3491,0.3377,0.3434,0.024,0.4018,0.2129
4.9,0.0209,0.3475,0.3363,0.2225,0.3764,0.2995,0.3368,0.3107,0.3238,0.0113,0.3933,0.2023
5,0.0336,0.3426,0.3071,0.2268,0.3692,0.298,0.3265,0.2853,0.3059,0.0032,0.3832,0.1932
5.1,0.0464,0.3354,0.2815,0.2298,0.3614,0.2956,0.3185,0.263,0.2908,-0.0006,0.3716,0.1855
5.2,0.0578,0.3268,0.26,0.2321,0.3535,0.2928,0.3133,0.2451,0.2792,-0.001,0.3585,0.1787
5.3,0.0671,0.3173,0.242,0.2343,0.346,0.2902,0.311,0.2321,0.2715,0.0018,0.3447,0.1733
5.4,0.0755,0.3069,0.2267,0.2368,0.3386,0.2877,0.3114,0.2244,0.2679,0.0079,0.3309,0.1694
5.5,0.084,0.2958,0.2139,0.2395,0.3303,0.2849,0.3144,0.2219,0.2681,0.0169,0.3176,0.1673
5.6,0.0935,0.2842,0.2037,0.2423,0.3208,0.2815,0.3195,0.2246,0.2721,0.0287,0.305,0.1669
5.7,0.1036,0.2728,0.1964,0.2457,0.3108,0.2783,0.3267,0.2324,0.2795,0.0433,0.2933,0.1683
5.8,0.1138,0.2629,0.1924,0.2508,0.3019,0.2764,0.3358,0.2453,0.2905,0.0608,0.2831,0.172
5.9,0.124,0.2557,0.1915,0.2582,0.295,0.2766,0.347,0.263,0.305,0.0813,0.2748,0.1781
6,0.1344,0.2517,0.1934,0.2676,0.2906,0.2791,0.3604,0.2854,0.3229,0.1048,0.269,0.1869
6.1,0.1439,0.2507,0.1977,0.2785,0.2886,0.2835,0.3761,0.312,0.344,0.1313,0.2661,0.1987
