Time,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.6242,0.5109,0.511,0.8521,0.8968,0.8744,0.8662,0.5697,0.718,0.845,0.6439,0.7445
0.1,0.574,0.4926,0.4973,0.8269,0.8741,0.8505,0.87,0.5663,0.7181,0.8298,0.6405,0.7351
0.2,0.515,0.479,0.4886,0.803,0.8544,0.8287,0.8706,0.5657,0.7182,0.8134,0.6386,0.726
0.3,0.4501,0.4697,0.4849,0.78,0.838,0.809,0.8676,0.5678,0.7177,0.7965,0.6386,0.7175
0.4,0.3822,0.4646,0.486,0.7579,0.8251,0.7915,0.8613,0.5726,0.7169,0.7799,0.6406,0.7102
0.5,0.3129,0.463,0.4919,0.7376,0.8154,0.7765,0.8523,0.5801,0.7162,0.7644,0.6448,0.7046
0.6,0.2436,0.4639,0.5025,0.7199,0.8084,0.7641,0.8412,0.5902,0.7157,0.7506,0.6511,0.7009
0.7,0.1751,0.4662,0.5175,0.7055,0.8033,0.7544,0.828,0.6022,0.7151,0.7389,0.659,0.6989
0.8,0.1083,0.4685,0.5357,0.6937,0.7997,0.7467,0.8127,0.6151,0.7139,0.7292,0.6682,0.6987
0.9,0.044,0.4694,0.5552,0.6839,0.7969,0.7404,0.7955,0.6278,0.7116,0.7215,0.678,0.6997
