Time,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC,Uber Eats - They Eats like us 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2797,0.43,0.5252,0.4286,0.2962,0.3624,0.6108,0.6964,0.6536,0.5204,0.5181,0.5193
0.1,0.2761,0.4533,0.5365,0.4456,0.3268,0.3862,0.6105,0.6923,0.6514,0.5184,0.5157,0.5171
0.2,0.2646,0.4772,0.5479,0.4636,0.3614,0.4125,0.6116,0.6873,0.6495,0.5153,0.5128,0.514
0.3,0.245,0.5008,0.5604,0.4821,0.3991,0.4406,0.6155,0.6825,0.649,0.5123,0.5098,0.5111
0.4,0.2191,0.5228,0.5744,0.5006,0.4388,0.4697,0.6226,0.6786,0.6506,0.5103,0.5071,0.5087
0.5,0.1897,0.5417,0.5901,0.518,0.4787,0.4983,0.6323,0.6757,0.654,0.5101,0.5043,0.5072
0.6,0.1595,0.5568,0.6071,0.534,0.5168,0.5254,0.6437,0.6741,0.6589,0.5119,0.5014,0.5066
0.7,0.131,0.5676,0.625,0.5481,0.5517,0.5499,0.6568,0.6738,0.6653,0.5156,0.498,0.5068
0.8,0.1057,0.574,0.6432,0.5603,0.5823,0.5713,0.672,0.6757,0.6738,0.5211,0.4938,0.5074
0.9,0.0844,0.576,0.6612,0.5701,0.6082,0.5891,0.6899,0.6804,0.6852,0.528,0.4887,0.5083
1,0.0671,0.5737,0.6788,0.5774,0.6286,0.603,0.7112,0.6882,0.6997,0.536,0.4828,0.5094
1.1,0.053,0.5675,0.6957,0.5823,0.6434,0.6128,0.7359,0.6994,0.7176,0.5442,0.4763,0.5103
1.2,0.0418,0.5581,0.7119,0.5855,0.6527,0.6191,0.7641,0.7137,0.7389,0.5523,0.4701,0.5112
1.3,0.0329,0.5469,0.7272,0.5883,0.6572,0.6227,0.7952,0.7309,0.7631,0.5603,0.4648,0.5125
