Time,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC,Unicef - Global Parents Tax Appeal (Emotional) 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1967,0.4313,0.8203,0.4055,0.3752,0.3903,0.3698,0.5629,0.4663,0.8536,0.7996,0.8266
0.1,-0.1877,0.414,0.8102,0.3945,0.3572,0.3758,0.3649,0.5444,0.4546,0.8618,0.8147,0.8383
0.2,-0.1763,0.4003,0.7995,0.3863,0.3431,0.3647,0.3625,0.5269,0.4447,0.8671,0.8277,0.8474
0.3,-0.1632,0.3905,0.7883,0.3809,0.3334,0.3571,0.3633,0.5109,0.4371,0.8698,0.8387,0.8542
0.4,-0.1495,0.3847,0.777,0.3782,0.3282,0.3532,0.3678,0.497,0.4324,0.87,0.8474,0.8587
0.5,-0.1358,0.3824,0.7653,0.3782,0.3271,0.3526,0.376,0.4849,0.4305,0.8686,0.8541,0.8614
0.6,-0.1227,0.3829,0.7527,0.3805,0.3291,0.3548,0.3873,0.4741,0.4307,0.8663,0.8587,0.8625
0.7,-0.1103,0.3846,0.739,0.3846,0.3329,0.3588,0.4012,0.4637,0.4324,0.8633,0.8607,0.862
0.8,-0.0985,0.3864,0.7243,0.3898,0.337,0.3634,0.4172,0.4528,0.435,0.8597,0.8593,0.8595
0.9,-0.0868,0.3872,0.7091,0.395,0.34,0.3675,0.435,0.4411,0.438,0.8552,0.8537,0.8545
1,-0.0743,0.3867,0.694,0.3995,0.3408,0.3702,0.4535,0.4284,0.4409,0.8491,0.8432,0.8462
1.1,-0.0609,0.3846,0.6797,0.4023,0.3387,0.3705,0.4712,0.4149,0.443,0.8407,0.8276,0.8342
