Time,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC,Target - Kids on Playground 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.013,0.3745,0.7392,0.7359,0.4396,0.5877,0.5242,0.6098,0.567,0.3869,0.7494,0.5682
0.1,0.0035,0.3906,0.7279,0.7925,0.4691,0.6308,0.5524,0.6063,0.5793,0.4104,0.7818,0.5961
0.2,-0.0012,0.409,0.7142,0.8494,0.4987,0.6741,0.5751,0.5989,0.587,0.4347,0.8088,0.6218
0.3,-0.0013,0.4298,0.6984,0.9044,0.5283,0.7164,0.5922,0.5877,0.59,0.4593,0.8304,0.6449
0.4,0.0026,0.4532,0.6813,0.9555,0.5575,0.7565,0.6045,0.5735,0.589,0.4845,0.8469,0.6657
0.5,0.0093,0.4792,0.6642,1.0008,0.5855,0.7932,0.6128,0.5575,0.5851,0.5106,0.8587,0.6846
0.6,0.0182,0.5075,0.6484,1.0382,0.6117,0.8249,0.6175,0.541,0.5793,0.5377,0.8663,0.702
0.7,0.0277,0.5369,0.6348,1.0655,0.6354,0.8505,0.6185,0.5253,0.5719,0.5652,0.8702,0.7177
0.8,0.0351,0.5662,0.624,1.0816,0.6561,0.8689,0.6156,0.5117,0.5637,0.5922,0.8708,0.7315
0.9,0.0375,0.5938,0.6169,1.0863,0.6733,0.8798,0.6088,0.5013,0.555,0.6179,0.8687,0.7433
1,0.0342,0.619,0.6137,1.0804,0.6864,0.8834,0.5979,0.4948,0.5463,0.6418,0.8648,0.7533
1.1,0.0259,0.6412,0.6141,1.0654,0.6944,0.8799,0.5832,0.492,0.5376,0.6637,0.8597,0.7617
1.2,0.014,0.6599,0.6178,1.0423,0.6966,0.8694,0.5651,0.4926,0.5289,0.6836,0.8539,0.7687
1.3,-0.0006,0.6744,0.625,1.0123,0.6927,0.8525,0.5449,0.4962,0.5205,0.7015,0.8482,0.7748
