Time,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC,Tourism Australia - Come and Say Gday with Qantas 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3187,0.8987,0.6225,1.0058,0.6576,0.8317,0.8439,0.8931,0.8685,0.7939,0.8341,0.814
0.1,0.3245,0.8756,0.6138,0.9819,0.6257,0.8038,0.8256,0.8887,0.8571,0.7762,0.8115,0.7938
0.2,0.3319,0.8524,0.6092,0.9565,0.597,0.7767,0.8055,0.883,0.8443,0.7581,0.7893,0.7737
0.3,0.3399,0.8291,0.6085,0.929,0.5715,0.7502,0.7854,0.8757,0.8306,0.7402,0.768,0.7541
0.4,0.347,0.8053,0.6114,0.8993,0.5489,0.7241,0.7664,0.8666,0.8165,0.7236,0.7479,0.7357
0.5,0.3515,0.781,0.6176,0.8681,0.5293,0.6987,0.7491,0.8555,0.8023,0.7084,0.7293,0.7188
0.6,0.3528,0.757,0.6263,0.8377,0.5128,0.6752,0.7343,0.8426,0.7885,0.6942,0.7119,0.7031
0.7,0.3508,0.7347,0.6371,0.8107,0.5002,0.6554,0.7225,0.8289,0.7757,0.6808,0.6958,0.6883
0.8,0.3451,0.715,0.6493,0.7884,0.4922,0.6403,0.7138,0.8153,0.7646,0.6682,0.681,0.6746
0.9,0.3354,0.6982,0.6622,0.771,0.4884,0.6297,0.7078,0.8023,0.7551,0.6573,0.6673,0.6623
1,0.3219,0.6838,0.6757,0.7572,0.4876,0.6224,0.7042,0.7903,0.7472,0.6485,0.6552,0.6518
1.1,0.3046,0.6714,0.6898,0.7464,0.4884,0.6174,0.7033,0.7793,0.7413,0.6421,0.645,0.6435
1.2,0.2836,0.6609,0.7045,0.7387,0.4903,0.6145,0.7052,0.7696,0.7374,0.6376,0.637,0.6373
1.3,0.2591,0.6522,0.7205,0.7346,0.4936,0.6141,0.7097,0.7609,0.7353,0.6347,0.6316,0.6332
1.4,0.2312,0.6452,0.7373,0.7338,0.4984,0.6161,0.7165,0.7529,0.7347,0.6332,0.6295,0.6314
1.5,0.2002,0.6395,0.7541,0.7357,0.5042,0.62,0.7257,0.7452,0.7354,0.6331,0.6308,0.6319
1.6,0.1669,0.6343,0.7696,0.7397,0.5109,0.6253,0.7371,0.7379,0.7375,0.6341,0.6351,0.6346
1.7,0.1326,0.6297,0.7827,0.7463,0.5185,0.6324,0.7505,0.7315,0.741,0.6359,0.6417,0.6388
1.8,0.0984,0.6259,0.7932,0.7559,0.5281,0.642,0.7655,0.7267,0.7461,0.6385,0.6501,0.6443
1.9,0.0648,0.6236,0.8015,0.7688,0.5406,0.6547,0.7822,0.724,0.7531,0.642,0.6601,0.651
2,0.0305,0.6231,0.8078,0.7843,0.5566,0.6705,0.7997,0.7236,0.7616,0.6469,0.6715,0.6592
2.1,-0.0061,0.6242,0.8115,0.8013,0.5757,0.6885,0.8169,0.725,0.771,0.6534,0.684,0.6687
2.2,-0.0455,0.6265,0.8121,0.8182,0.5971,0.7077,0.8325,0.7283,0.7804,0.6613,0.6973,0.6793
2.3,-0.0863,0.6292,0.8092,0.8333,0.6201,0.7267,0.8451,0.7337,0.7894,0.6694,0.7104,0.6899
2.4,-0.1256,0.6315,0.8027,0.845,0.6438,0.7444,0.8544,0.7414,0.7979,0.6765,0.7219,0.6992
2.5,-0.1607,0.6329,0.7931,0.8521,0.6674,0.7597,0.8601,0.7509,0.8055,0.681,0.731,0.706
2.6,-0.1896,0.6332,0.7813,0.8542,0.6899,0.772,0.8621,0.7608,0.8114,0.6826,0.7368,0.7097
2.7,-0.2112,0.6328,0.7685,0.8519,0.7107,0.7813,0.8604,0.7697,0.815,0.6809,0.7392,0.71
2.8,-0.2247,0.6323,0.7558,0.8466,0.7296,0.7881,0.8554,0.7773,0.8164,0.6761,0.7383,0.7072
2.9,-0.23,0.6326,0.7446,0.8395,0.747,0.7933,0.8479,0.7839,0.8159,0.6685,0.7347,0.7016
3,-0.227,0.634,0.7358,0.8319,0.7629,0.7974,0.8384,0.7898,0.8141,0.6586,0.7291,0.6939
3.1,-0.2164,0.6366,0.729,0.8245,0.7771,0.8008,0.8269,0.7948,0.8108,0.6469,0.7222,0.6846
3.2,-0.1987,0.64,0.7237,0.8177,0.7892,0.8034,0.8137,0.7983,0.806,0.634,0.7144,0.6742
3.3,-0.1746,0.6436,0.7191,0.8119,0.7987,0.8053,0.7993,0.8,0.7997,0.6204,0.706,0.6632
3.4,-0.1447,0.6474,0.7148,0.807,0.8054,0.8062,0.7849,0.7999,0.7924,0.6064,0.6969,0.6517
3.5,-0.1096,0.6512,0.7107,0.8033,0.8091,0.8062,0.7716,0.7982,0.7849,0.5922,0.6872,0.6397
3.6,-0.0713,0.6546,0.7072,0.8002,0.8102,0.8052,0.7599,0.7952,0.7776,0.5779,0.6768,0.6274
3.7,-0.0319,0.6573,0.7051,0.7977,0.8096,0.8037,0.7502,0.7917,0.7709,0.5642,0.6664,0.6153
3.8,0.0065,0.6592,0.7053,0.7959,0.8083,0.8021,0.7426,0.7886,0.7656,0.5521,0.6566,0.6044
3.9,0.0423,0.6609,0.7083,0.795,0.8073,0.8011,0.7376,0.7871,0.7624,0.5421,0.6483,0.5952
4,0.0747,0.6633,0.7139,0.7952,0.8068,0.801,0.736,0.7878,0.7619,0.5347,0.642,0.5883
4.1,0.1033,0.6664,0.7214,0.7962,0.8064,0.8013,0.7378,0.7905,0.7641,0.5306,0.6377,0.5842
4.2,0.1276,0.6696,0.7305,0.7968,0.8048,0.8008,0.7427,0.7943,0.7685,0.5303,0.6356,0.583
