Time,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2115,0.5521,0.5218,0.5472,0.5297,0.5384,0.338,0.4234,0.3807,0.4511,0.5201,0.4856
0.1,-0.1861,0.5508,0.5203,0.5409,0.5204,0.5306,0.3478,0.4255,0.3866,0.4562,0.5307,0.4934
0.2,-0.1604,0.5519,0.5178,0.5356,0.5152,0.5254,0.3595,0.4295,0.3945,0.4656,0.5439,0.5047
0.3,-0.1344,0.5556,0.5146,0.5319,0.5137,0.5228,0.3737,0.4358,0.4048,0.4796,0.5597,0.5197
0.4,-0.1081,0.5621,0.5115,0.5299,0.5155,0.5227,0.3907,0.4445,0.4176,0.4986,0.5781,0.5383
0.5,-0.0829,0.5713,0.5088,0.5292,0.5205,0.5249,0.4107,0.4552,0.4329,0.5224,0.5985,0.5605
0.6,-0.0601,0.5826,0.506,0.5297,0.5283,0.529,0.4332,0.4668,0.45,0.5499,0.6202,0.5851
0.7,-0.0407,0.5954,0.5025,0.5309,0.5381,0.5345,0.4571,0.4788,0.468,0.58,0.6419,0.6109
0.8,-0.0249,0.6087,0.4979,0.533,0.5487,0.5409,0.4818,0.4909,0.4864,0.611,0.6627,0.6368
0.9,-0.0121,0.622,0.4923,0.5364,0.5593,0.5478,0.507,0.5033,0.5052,0.6417,0.6822,0.662
1,-0.0017,0.6341,0.4867,0.5412,0.569,0.5551,0.5327,0.5162,0.5244,0.6713,0.7003,0.6858
1.1,0.0065,0.6439,0.4814,0.5465,0.5775,0.562,0.5587,0.5292,0.5439,0.6994,0.7167,0.708
1.2,0.0125,0.6504,0.4765,0.5517,0.5847,0.5682,0.5842,0.5419,0.5631,0.7254,0.731,0.7282
1.3,0.0164,0.6533,0.4719,0.5563,0.5909,0.5736,0.6087,0.554,0.5814,0.7491,0.7426,0.7458
1.4,0.0185,0.6529,0.4674,0.5607,0.5966,0.5787,0.6317,0.5657,0.5987,0.7699,0.7513,0.7606
1.5,0.0194,0.6495,0.4629,0.5653,0.6023,0.5838,0.6528,0.5769,0.6148,0.7876,0.757,0.7723
1.6,0.0196,0.6433,0.4588,0.5698,0.6082,0.589,0.6717,0.5874,0.6296,0.8022,0.7592,0.7807
1.7,0.0188,0.6341,0.4561,0.5728,0.614,0.5934,0.6886,0.5973,0.643,0.8138,0.7579,0.7859
1.8,0.0171,0.6222,0.4553,0.5733,0.6193,0.5963,0.7037,0.6066,0.6552,0.8228,0.7533,0.788
1.9,0.0142,0.6076,0.457,0.5713,0.6237,0.5975,0.7176,0.6155,0.6665,0.8292,0.7459,0.7875
2,0.0102,0.5907,0.4611,0.5673,0.6269,0.5971,0.7303,0.6239,0.6771,0.8327,0.7362,0.7844
2.1,0.0056,0.572,0.4675,0.5626,0.6287,0.5957,0.7416,0.6317,0.6866,0.833,0.7245,0.7788
2.2,0.0009,0.5524,0.4761,0.5578,0.6292,0.5935,0.7514,0.639,0.6952,0.8309,0.7112,0.771
2.3,-0.0036,0.5326,0.4869,0.5535,0.6282,0.5909,0.7597,0.6458,0.7028,0.8272,0.697,0.7621
2.4,-0.0081,0.5131,0.4995,0.5499,0.6258,0.5879,0.7668,0.6522,0.7095,0.8224,0.6828,0.7526
2.5,-0.0129,0.4945,0.5129,0.5475,0.6218,0.5847,0.7727,0.6579,0.7153,0.8165,0.669,0.7427
2.6,-0.0181,0.4773,0.5262,0.547,0.6166,0.5818,0.7771,0.6631,0.7201,0.8085,0.6554,0.732
2.7,-0.024,0.4622,0.5384,0.5486,0.6109,0.5798,0.7796,0.6676,0.7236,0.7979,0.642,0.72
2.8,-0.0307,0.4495,0.5488,0.5522,0.6051,0.5787,0.7798,0.6713,0.7255,0.7844,0.6291,0.7067
2.9,-0.0376,0.4395,0.5573,0.5571,0.599,0.5781,0.777,0.674,0.7255,0.7683,0.617,0.6927
3,-0.0437,0.4324,0.5645,0.5633,0.5924,0.5779,0.7713,0.6758,0.7236,0.7505,0.6066,0.6785
3.1,-0.0479,0.429,0.5708,0.5715,0.5859,0.5787,0.7635,0.6775,0.7205,0.7318,0.5985,0.6651
3.2,-0.0497,0.4301,0.5761,0.5824,0.5804,0.5814,0.7542,0.6794,0.7168,0.7128,0.593,0.6529
3.3,-0.0486,0.4364,0.5802,0.5965,0.5766,0.5866,0.7437,0.6814,0.7126,0.694,0.5897,0.6418
3.4,-0.0438,0.4485,0.5829,0.6137,0.5749,0.5943,0.7324,0.6831,0.7078,0.6757,0.5884,0.632
3.5,-0.0351,0.466,0.5845,0.6338,0.575,0.6044,0.7207,0.6842,0.7024,0.6583,0.5893,0.6238
3.6,-0.0233,0.4887,0.585,0.6567,0.5771,0.6169,0.7093,0.6851,0.6972,0.6426,0.5925,0.6176
3.7,-0.0099,0.5159,0.5848,0.6826,0.5817,0.6322,0.6995,0.6864,0.6929,0.6295,0.5982,0.6138
3.8,0.0034,0.5468,0.584,0.7111,0.5891,0.6501,0.6921,0.6888,0.6905,0.62,0.6058,0.6129
3.9,0.0152,0.5803,0.5827,0.7419,0.5999,0.6709,0.6875,0.6927,0.6901,0.6146,0.6146,0.6146
4,0.0253,0.6154,0.5807,0.7746,0.6145,0.6946,0.6858,0.6981,0.6919,0.6135,0.6237,0.6186
4.1,0.0339,0.6509,0.5778,0.809,0.6325,0.7208,0.687,0.7048,0.6959,0.6161,0.6323,0.6242
4.2,0.0415,0.6854,0.574,0.8445,0.6529,0.7487,0.6914,0.7125,0.702,0.6221,0.6401,0.6311
4.3,0.0482,0.7174,0.5697,0.8797,0.6746,0.7772,0.6986,0.7209,0.7098,0.6312,0.6467,0.639
4.4,0.054,0.7457,0.5653,0.9128,0.6969,0.8048,0.7079,0.7292,0.7185,0.6429,0.6516,0.6472
4.5,0.0588,0.7697,0.5611,0.942,0.719,0.8305,0.718,0.7363,0.7272,0.6562,0.6548,0.6555
4.6,0.0616,0.7893,0.5575,0.9669,0.7403,0.8536,0.7284,0.7417,0.7351,0.6706,0.6562,0.6634
4.7,0.0617,0.8047,0.5546,0.9879,0.7598,0.8738,0.7391,0.7452,0.7422,0.6857,0.656,0.6708
4.8,0.0588,0.8161,0.5526,1.0055,0.7765,0.891,0.7501,0.7471,0.7486,0.7014,0.6545,0.678
4.9,0.0536,0.8236,0.552,1.0195,0.7897,0.9046,0.7612,0.7476,0.7544,0.7179,0.6518,0.6848
5,0.047,0.8274,0.5529,1.0296,0.8,0.9148,0.7726,0.7467,0.7596,0.7346,0.6479,0.6912
5.1,0.0405,0.8283,0.5551,1.0361,0.8075,0.9218,0.784,0.7447,0.7644,0.7511,0.6427,0.6969
5.2,0.0351,0.8272,0.5585,1.0399,0.8123,0.9261,0.7952,0.7416,0.7684,0.7669,0.6365,0.7017
5.3,0.0317,0.8246,0.5629,1.0417,0.8143,0.928,0.8057,0.7376,0.7716,0.7817,0.6296,0.7057
5.4,0.0306,0.82,0.5684,1.0414,0.8133,0.9273,0.815,0.7319,0.7734,0.7953,0.6222,0.7087
5.5,0.0323,0.8134,0.5749,1.0381,0.8091,0.9236,0.8223,0.7239,0.7731,0.8077,0.6143,0.711
5.6,0.0375,0.8049,0.5821,1.0312,0.8013,0.9162,0.8273,0.7132,0.7702,0.8187,0.6061,0.7124
5.7,0.0461,0.7949,0.5896,1.0207,0.79,0.9053,0.8298,0.6993,0.7645,0.8281,0.5977,0.7129
5.8,0.0578,0.7834,0.597,1.0068,0.7751,0.891,0.8296,0.6825,0.7561,0.8354,0.5889,0.7121
5.9,0.0723,0.7704,0.6039,0.9898,0.7573,0.8736,0.8268,0.6634,0.7451,0.84,0.5791,0.7095
6,0.0896,0.7558,0.6105,0.9699,0.7379,0.8539,0.8212,0.6425,0.7318,0.8413,0.5678,0.7045
6.1,0.1092,0.7396,0.6168,0.9472,0.7178,0.8325,0.8121,0.6202,0.7162,0.8388,0.5549,0.6968
6.2,0.1299,0.7221,0.6227,0.9227,0.6981,0.8104,0.7993,0.5967,0.698,0.8324,0.5405,0.6864
6.3,0.15,0.7042,0.6283,0.8975,0.6797,0.7886,0.7831,0.5719,0.6775,0.8224,0.5251,0.6738
6.4,0.1681,0.6866,0.6334,0.8727,0.6634,0.768,0.7644,0.5468,0.6556,0.8099,0.5095,0.6597
6.5,0.1823,0.6701,0.6382,0.849,0.6498,0.7494,0.7449,0.5225,0.6337,0.7958,0.4945,0.6452
6.6,0.1913,0.6557,0.643,0.8274,0.6399,0.7337,0.7262,0.5007,0.6134,0.7813,0.4812,0.6312
6.7,0.1939,0.6444,0.648,0.8087,0.634,0.7213,0.709,0.4826,0.5958,0.7669,0.4703,0.6186
6.8,0.1891,0.6369,0.6531,0.7938,0.632,0.7129,0.6941,0.4693,0.5817,0.7531,0.4625,0.6078
6.9,0.1767,0.6337,0.6583,0.7834,0.6343,0.7089,0.682,0.4618,0.5719,0.7401,0.4579,0.599
