Time,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC,Violence Against Women - Stop it at the Start - Jack 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6354,0.7497,1.015,0.477,0.5921,0.5346,0.6498,0.6798,0.6648,0.9101,0.7729,0.8415
0.1,-0.6336,0.7579,1.0223,0.4891,0.6172,0.5531,0.6525,0.6976,0.675,0.918,0.7661,0.8421
0.2,-0.6272,0.7636,1.023,0.5,0.6409,0.5705,0.6545,0.7143,0.6844,0.9196,0.756,0.8378
0.3,-0.6162,0.7671,1.0172,0.5103,0.6629,0.5866,0.6563,0.7291,0.6927,0.9135,0.7426,0.828
0.4,-0.6,0.7684,1.0052,0.5197,0.6823,0.601,0.6583,0.7412,0.6997,0.8992,0.7266,0.8129
0.5,-0.5778,0.7679,0.9878,0.5284,0.6986,0.6135,0.6602,0.7503,0.7052,0.8774,0.7091,0.7932
0.6,-0.5492,0.7663,0.9667,0.5365,0.7119,0.6242,0.662,0.7569,0.7094,0.8495,0.6914,0.7705
0.7,-0.514,0.7643,0.9433,0.5443,0.7223,0.6333,0.6635,0.7614,0.7125,0.8175,0.6742,0.7459
0.8,-0.4723,0.7623,0.9184,0.5519,0.7292,0.6405,0.6639,0.7635,0.7137,0.783,0.6578,0.7204
0.9,-0.4245,0.7601,0.8923,0.5587,0.7318,0.6453,0.6621,0.7622,0.7122,0.7472,0.6424,0.6948
1,-0.3719,0.7574,0.8658,0.5646,0.7297,0.6471,0.6576,0.7567,0.7071,0.7114,0.6285,0.67
1.1,-0.3157,0.7539,0.8401,0.5694,0.7228,0.6461,0.6503,0.7471,0.6987,0.6773,0.6168,0.647
1.2,-0.2569,0.7495,0.8168,0.5735,0.7116,0.6426,0.6407,0.7341,0.6874,0.6464,0.6082,0.6273
1.3,-0.1963,0.7441,0.7971,0.5779,0.6966,0.6373,0.6293,0.7186,0.674,0.6202,0.6037,0.612
1.4,-0.1349,0.7376,0.7812,0.5833,0.6784,0.6308,0.6166,0.7012,0.6589,0.5994,0.603,0.6012
1.5,-0.0734,0.7306,0.7688,0.5902,0.657,0.6236,0.6025,0.6816,0.6421,0.5835,0.6049,0.5942
1.6,-0.0127,0.724,0.7586,0.5991,0.6329,0.616,0.5866,0.66,0.6233,0.5713,0.6076,0.5895
1.7,0.0464,0.7186,0.7498,0.6102,0.6065,0.6083,0.5688,0.637,0.6029,0.5624,0.6104,0.5864
1.8,0.1024,0.7149,0.7418,0.6229,0.5787,0.6008,0.5495,0.6138,0.5817,0.5564,0.6131,0.5848
1.9,0.1533,0.7125,0.7342,0.6365,0.5506,0.5935,0.5293,0.5915,0.5604,0.5534,0.6161,0.5847
2,0.1978,0.7107,0.7268,0.6497,0.5237,0.5867,0.5084,0.5707,0.5395,0.5531,0.6195,0.5863
2.1,0.2354,0.7092,0.7194,0.6616,0.4997,0.5806,0.487,0.5515,0.5192,0.5551,0.6234,0.5892
2.2,0.2659,0.708,0.7115,0.6712,0.4795,0.5753,0.4655,0.5342,0.4998,0.5591,0.6277,0.5934
2.3,0.2885,0.7066,0.7028,0.6773,0.4631,0.5702,0.4447,0.5192,0.482,0.565,0.6323,0.5986
2.4,0.3016,0.7044,0.6932,0.6787,0.4502,0.5644,0.4253,0.5074,0.4663,0.5722,0.6369,0.6046
2.5,0.3031,0.7006,0.6831,0.6748,0.4403,0.5576,0.4077,0.4991,0.4534,0.5805,0.641,0.6107
2.6,0.2919,0.6952,0.6728,0.6662,0.4338,0.55,0.3916,0.4946,0.4431,0.589,0.6441,0.6165
2.7,0.2678,0.6887,0.6629,0.6545,0.4312,0.5428,0.3765,0.4941,0.4353,0.5974,0.6461,0.6217
2.8,0.2315,0.6817,0.6538,0.6413,0.4331,0.5372,0.3623,0.4976,0.43,0.6048,0.647,0.6259
2.9,0.1841,0.6746,0.6461,0.6275,0.4393,0.5334,0.35,0.5055,0.4278,0.6108,0.6472,0.629
3,0.1271,0.6673,0.6399,0.6133,0.4493,0.5313,0.3408,0.5179,0.4294,0.6149,0.6462,0.6305
3.1,0.0626,0.6597,0.6349,0.5988,0.4622,0.5305,0.3358,0.5339,0.4349,0.6166,0.6429,0.6298
3.2,-0.0061,0.6519,0.6305,0.5847,0.4776,0.5312,0.3348,0.5521,0.4434,0.6154,0.6365,0.6259
3.3,-0.0758,0.6446,0.6262,0.572,0.4945,0.5332,0.3373,0.5709,0.4541,0.6103,0.6262,0.6182
3.4,-0.1439,0.6381,0.6215,0.561,0.5124,0.5367,0.3428,0.589,0.4659,0.6006,0.612,0.6063
3.5,-0.2086,0.6325,0.6166,0.552,0.5305,0.5412,0.3514,0.6057,0.4786,0.5865,0.5945,0.5905
3.6,-0.2689,0.6277,0.6122,0.5444,0.5476,0.546,0.3633,0.6204,0.4918,0.5688,0.5746,0.5717
