Time,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC,Panadol - Extra Tough Pain 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2338,1.0984,0.6935,0.6101,0.421,0.5156,0.7355,0.2996,0.5175,0.5038,0.2678,0.3858
0.1,-0.1753,1.1007,0.7351,0.6363,0.4457,0.541,0.7381,0.3363,0.5372,0.5223,0.2879,0.4051
0.2,-0.121,1.0976,0.7689,0.6612,0.4687,0.565,0.7368,0.3691,0.5529,0.5389,0.3083,0.4236
0.3,-0.0717,1.0897,0.7952,0.6858,0.489,0.5874,0.7332,0.3988,0.566,0.5543,0.3295,0.4419
0.4,-0.0278,1.0772,0.8136,0.7099,0.5062,0.6081,0.7276,0.4265,0.5771,0.5695,0.352,0.4608
0.5,0.01,1.0602,0.8243,0.7328,0.5212,0.627,0.7198,0.4521,0.586,0.5855,0.3763,0.4809
0.6,0.0396,1.0396,0.828,0.754,0.5354,0.6447,0.71,0.475,0.5925,0.6024,0.4021,0.5022
0.7,0.0599,1.0159,0.8261,0.7728,0.549,0.6609,0.699,0.4947,0.5969,0.6194,0.429,0.5242
0.8,0.0709,0.9897,0.82,0.7891,0.5617,0.6754,0.6874,0.5114,0.5994,0.6356,0.4559,0.5457
0.9,0.0721,0.9614,0.8117,0.8031,0.5736,0.6883,0.6756,0.5258,0.6007,0.6504,0.4817,0.5661
1,0.0636,0.9322,0.8024,0.8148,0.5854,0.7001,0.6638,0.5391,0.6015,0.6641,0.5055,0.5848
1.1,0.0462,0.9035,0.7926,0.8241,0.5973,0.7107,0.6525,0.5517,0.6021,0.6764,0.5267,0.6015
1.2,0.0216,0.8766,0.7827,0.8306,0.6088,0.7197,0.6425,0.5634,0.6029,0.6867,0.5448,0.6158
1.3,-0.0078,0.8516,0.7726,0.8335,0.6185,0.726,0.634,0.5738,0.6039,0.6939,0.5599,0.6269
1.4,-0.0396,0.8281,0.7623,0.832,0.6255,0.7287,0.6268,0.5829,0.6049,0.6972,0.5721,0.6347
1.5,-0.072,0.8057,0.7521,0.8264,0.6297,0.728,0.621,0.5902,0.6056,0.6972,0.5821,0.6396
1.6,-0.1042,0.7849,0.7424,0.8179,0.6324,0.7252,0.6169,0.5958,0.6064,0.6954,0.5908,0.6431
1.7,-0.1354,0.7661,0.734,0.8078,0.6347,0.7213,0.615,0.6,0.6075,0.6925,0.5996,0.6461
