Time,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC,Uber Eats - Magic 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2367,0.5461,0.7968,0.5012,0.6186,0.5599,0.5212,0.6103,0.5658,0.5606,0.5799,0.5702
0.1,-0.2369,0.5426,0.8178,0.5009,0.6337,0.5673,0.554,0.6218,0.5879,0.5457,0.5867,0.5662
0.2,-0.2306,0.5392,0.8402,0.5034,0.6494,0.5764,0.5949,0.6358,0.6153,0.5376,0.5967,0.5672
0.3,-0.2178,0.5369,0.8633,0.5097,0.6649,0.5873,0.6435,0.6518,0.6477,0.5363,0.6098,0.5731
0.4,-0.198,0.5363,0.8861,0.5194,0.6789,0.5992,0.6983,0.6692,0.6837,0.5412,0.6255,0.5833
0.5,-0.1716,0.5376,0.9076,0.5317,0.6905,0.6111,0.7565,0.6869,0.7217,0.5505,0.6427,0.5966
0.6,-0.1395,0.5409,0.9268,0.5459,0.699,0.6224,0.8151,0.7038,0.7595,0.5616,0.6601,0.6109
0.7,-0.1026,0.5459,0.9434,0.5616,0.7039,0.6328,0.8707,0.7196,0.7952,0.5719,0.6766,0.6242
0.8,-0.0612,0.5524,0.957,0.5788,0.7048,0.6418,0.9207,0.7337,0.8272,0.5799,0.691,0.6354
0.9,-0.0158,0.5599,0.9672,0.5969,0.701,0.6489,0.9627,0.745,0.8539,0.5847,0.7022,0.6434
1,0.0326,0.568,0.9733,0.6148,0.6918,0.6533,0.9949,0.7527,0.8738,0.5853,0.7096,0.6474
1.1,0.0819,0.5764,0.9747,0.632,0.6774,0.6547,1.0165,0.7553,0.8859,0.5808,0.7128,0.6468
1.2,0.1299,0.5846,0.9711,0.6484,0.6585,0.6535,1.0274,0.7528,0.8901,0.5711,0.7124,0.6417
1.3,0.174,0.5923,0.963,0.6642,0.6363,0.6503,1.028,0.7456,0.8868,0.5569,0.7089,0.6329
1.4,0.2128,0.5989,0.9504,0.6791,0.6122,0.6456,1.0187,0.7347,0.8767,0.5393,0.7027,0.621
1.5,0.2446,0.6041,0.9334,0.6923,0.5873,0.6398,0.9999,0.7209,0.8604,0.5189,0.6939,0.6064
1.6,0.2675,0.6076,0.9118,0.7034,0.5628,0.6331,0.9726,0.7047,0.8387,0.496,0.6827,0.5894
1.7,0.2805,0.6096,0.886,0.7121,0.54,0.626,0.9383,0.6866,0.8124,0.4703,0.6697,0.57
1.8,0.2846,0.6105,0.8569,0.7188,0.5197,0.6192,0.8988,0.6672,0.783,0.4426,0.6553,0.549
