Time,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC,Wolf Bass Mountain 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0398,0.7448,0.7946,0.6881,0.7336,0.7108,0.7176,0.5173,0.6175,0.7966,0.8765,0.8366
0.1,0.0042,0.729,0.79,0.6684,0.6998,0.6841,0.7091,0.526,0.6176,0.7954,0.8829,0.8391
0.2,0.0424,0.7169,0.7842,0.6509,0.6687,0.6598,0.7032,0.5376,0.6204,0.7926,0.8852,0.8389
0.3,0.0718,0.7086,0.7771,0.6348,0.6418,0.6383,0.7007,0.5516,0.6262,0.7884,0.8838,0.8361
0.4,0.0906,0.7038,0.7689,0.6194,0.6194,0.6194,0.7019,0.5677,0.6348,0.7831,0.8794,0.8313
0.5,0.0976,0.7012,0.7601,0.6045,0.6015,0.603,0.7064,0.5853,0.6459,0.7771,0.8733,0.8252
0.6,0.093,0.6991,0.7522,0.5896,0.5875,0.5885,0.7142,0.6042,0.6592,0.7712,0.8668,0.819
0.7,0.0784,0.6967,0.7463,0.5749,0.5774,0.5762,0.7249,0.6244,0.6746,0.7659,0.8606,0.8132
0.8,0.055,0.6941,0.743,0.5611,0.5721,0.5666,0.7376,0.6457,0.6917,0.7613,0.8548,0.808
0.9,0.0242,0.6917,0.742,0.5486,0.5723,0.5605,0.7516,0.668,0.7098,0.7573,0.8496,0.8034
1,-0.0122,0.6898,0.7428,0.5377,0.5782,0.558,0.7664,0.691,0.7287,0.7537,0.8453,0.7995
1.1,-0.0521,0.6881,0.7446,0.528,0.5895,0.5587,0.7814,0.7142,0.7478,0.7501,0.8425,0.7963
1.2,-0.0934,0.6862,0.7467,0.519,0.605,0.562,0.7965,0.7369,0.7667,0.7463,0.8412,0.7937
1.3,-0.1338,0.684,0.7491,0.5109,0.6233,0.5671,0.811,0.7584,0.7847,0.7421,0.8414,0.7918
1.4,-0.1702,0.6815,0.7515,0.5039,0.6428,0.5734,0.8241,0.7783,0.8012,0.7375,0.8429,0.7902
1.5,-0.2002,0.6789,0.7534,0.4983,0.6618,0.5801,0.8346,0.7961,0.8153,0.7322,0.8453,0.7888
1.6,-0.2227,0.6761,0.7543,0.4943,0.679,0.5867,0.8418,0.8108,0.8263,0.7264,0.8485,0.7875
1.7,-0.2386,0.6726,0.7534,0.4917,0.6936,0.5926,0.8449,0.822,0.8335,0.7206,0.8526,0.7866
1.8,-0.2495,0.6686,0.7501,0.4901,0.7055,0.5978,0.8438,0.8292,0.8365,0.715,0.8575,0.7862
1.9,-0.2565,0.664,0.7441,0.4894,0.7147,0.6021,0.8381,0.8323,0.8352,0.7097,0.8627,0.7862
2,-0.2594,0.6589,0.7353,0.4891,0.7212,0.6052,0.8278,0.8313,0.8295,0.7045,0.8676,0.7861
2.1,-0.2575,0.653,0.724,0.4884,0.7242,0.6063,0.8134,0.8262,0.8198,0.6993,0.8719,0.7856
2.2,-0.2501,0.6463,0.7112,0.4864,0.7229,0.6047,0.7961,0.8174,0.8068,0.6936,0.8747,0.7842
2.3,-0.2364,0.6388,0.6977,0.4824,0.7163,0.5994,0.777,0.8053,0.7911,0.6867,0.8755,0.7811
2.4,-0.2163,0.631,0.6839,0.4763,0.7037,0.59,0.7567,0.7898,0.7733,0.6781,0.8733,0.7757
2.5,-0.1904,0.6232,0.6698,0.4685,0.6849,0.5767,0.7353,0.7707,0.753,0.6673,0.8677,0.7675
2.6,-0.1601,0.6159,0.6553,0.4597,0.6604,0.5601,0.7123,0.7478,0.7301,0.6547,0.8588,0.7567
2.7,-0.1268,0.6093,0.6403,0.4507,0.6318,0.5413,0.6879,0.7218,0.7048,0.6407,0.8473,0.744
2.8,-0.092,0.6038,0.6248,0.4422,0.6009,0.5215,0.663,0.6941,0.6785,0.6261,0.8339,0.73
2.9,-0.0566,0.5993,0.6094,0.4346,0.5691,0.5018,0.6394,0.6666,0.653,0.6119,0.8191,0.7155
3,-0.0226,0.5948,0.5944,0.4275,0.5375,0.4825,0.6189,0.6409,0.6299,0.5988,0.8036,0.7012
3.1,0.0073,0.5894,0.5801,0.4205,0.5069,0.4637,0.6026,0.6176,0.6101,0.5879,0.788,0.688
3.2,0.0316,0.5824,0.5663,0.413,0.478,0.4455,0.591,0.5973,0.5941,0.5799,0.7732,0.6765
3.3,0.0496,0.5739,0.5527,0.4045,0.452,0.4283,0.5837,0.5805,0.5821,0.5748,0.7596,0.6672
3.4,0.0612,0.5644,0.5391,0.3953,0.43,0.4127,0.5804,0.5671,0.5737,0.5725,0.7474,0.66
3.5,0.0674,0.5545,0.5255,0.3861,0.4127,0.3994,0.5804,0.5569,0.5687,0.5723,0.7365,0.6544
3.6,0.0695,0.5442,0.5119,0.3775,0.4002,0.3888,0.5829,0.5497,0.5663,0.5735,0.7269,0.6502
3.7,0.0694,0.5332,0.4985,0.3703,0.3925,0.3814,0.587,0.5451,0.566,0.5756,0.7191,0.6473
3.8,0.0688,0.5215,0.4854,0.3651,0.3893,0.3772,0.5919,0.5428,0.5674,0.5784,0.7131,0.6457
