Time,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC,Voltaren Emulgel Tennis Match 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5861,0.7317,0.3022,0.6648,0.8816,0.7732,0.453,0.6102,0.5316,0.4511,0.4615,0.4563
0.1,-0.5772,0.7247,0.2973,0.6727,0.8547,0.7637,0.441,0.6043,0.5226,0.4626,0.4635,0.463
0.2,-0.5593,0.7189,0.2947,0.6789,0.8254,0.7522,0.433,0.5973,0.5152,0.4731,0.466,0.4696
0.3,-0.5348,0.714,0.2948,0.6831,0.7944,0.7387,0.429,0.5896,0.5093,0.483,0.4699,0.4765
0.4,-0.5063,0.7096,0.2984,0.6845,0.7618,0.7232,0.4288,0.5811,0.5049,0.4926,0.4758,0.4842
0.5,-0.4759,0.7053,0.3053,0.6824,0.7281,0.7053,0.4329,0.5716,0.5023,0.5018,0.4831,0.4925
0.6,-0.4448,0.7013,0.3148,0.6764,0.6942,0.6853,0.4422,0.5617,0.5019,0.5099,0.4904,0.5002
0.7,-0.4145,0.698,0.3263,0.6671,0.6611,0.6641,0.4576,0.5518,0.5047,0.5163,0.496,0.5062
0.8,-0.3861,0.696,0.3393,0.6553,0.6302,0.6427,0.4804,0.5428,0.5116,0.521,0.4996,0.5103
0.9,-0.3613,0.6956,0.3541,0.6423,0.6023,0.6223,0.5107,0.5358,0.5233,0.5242,0.5016,0.5129
1,-0.3423,0.6969,0.3715,0.6292,0.5785,0.6039,0.5479,0.5316,0.5397,0.5257,0.5021,0.5139
1.1,-0.3301,0.7002,0.3918,0.617,0.56,0.5885,0.5902,0.5313,0.5607,0.5259,0.5017,0.5138
1.2,-0.3246,0.7054,0.4154,0.6069,0.5483,0.5776,0.6362,0.5357,0.5859,0.525,0.5006,0.5128
1.3,-0.3249,0.713,0.4411,0.5996,0.5449,0.5723,0.6841,0.5451,0.6146,0.5238,0.4995,0.5117
1.4,-0.3304,0.723,0.4672,0.5955,0.5505,0.573,0.7323,0.5591,0.6457,0.5234,0.4993,0.5114
1.5,-0.341,0.7351,0.4925,0.5947,0.5646,0.5796,0.7785,0.5769,0.6777,0.5252,0.5014,0.5133
1.6,-0.3557,0.7488,0.517,0.5967,0.5862,0.5915,0.821,0.5977,0.7093,0.5301,0.5069,0.5185
1.7,-0.3728,0.7629,0.5416,0.601,0.6141,0.6075,0.8585,0.6209,0.7397,0.5382,0.5171,0.5277
1.8,-0.3899,0.7763,0.5667,0.6065,0.6464,0.6265,0.8907,0.6457,0.7682,0.5499,0.5328,0.5414
1.9,-0.4047,0.7875,0.5925,0.612,0.6812,0.6466,0.9171,0.6712,0.7941,0.5651,0.5546,0.5598
2,-0.4165,0.7957,0.6187,0.6165,0.7172,0.6668,0.9369,0.6959,0.8164,0.5833,0.582,0.5826
2.1,-0.4263,0.8006,0.6454,0.6197,0.753,0.6863,0.95,0.7191,0.8346,0.6039,0.614,0.6089
